"Name","LastWriteTime","Length"
"trending_integrated_20260209_225705.csv","2026-03-16 ?? 2:45:57","73974"
"trending_integrated_20260115_112151.xlsx","2026-03-16 ?? 2:45:57","29740"
"trending_integrated_20260115_062119.xlsx","2026-03-16 ?? 2:45:57","28367"
"trending_integrated_20260115_061500.xlsx","2026-03-16 ?? 2:45:57","28328"
"trending_integrated_20260115_055538.xlsx","2026-03-16 ?? 2:45:57","27290"
"trending_integrated_20260115_054754.xlsx","2026-03-16 ?? 2:45:57","27295"
"trending_integrated_20260115_054332.xlsx","2026-03-16 ?? 2:45:57","27411"
"trending_integrated_20260115_053815.xlsx","2026-03-16 ?? 2:45:57","27416"
"trending_integrated_20260115_053527.xlsx","2026-03-16 ?? 2:45:57","26874"
"trending_integrated_20260115_050807.xlsx","2026-03-16 ?? 2:45:57","31082"
"trending_integrated_20260115_050334.xlsx","2026-03-16 ?? 2:45:57","30560"
"trending_integrated_20260115_050139.xlsx","2026-03-16 ?? 2:45:57","30534"
"trending_integrated_20260115_050020.xlsx","2026-03-16 ?? 2:45:57","30526"
"trending_integrated_20260115_043445.xlsx","2026-03-16 ?? 2:45:57","27300"
"trending_integrated_20260115_023438.xlsx","2026-03-16 ?? 2:45:57","29315"
"trending_integrated_20260114_105809.xlsx","2026-03-16 ?? 2:45:57","23179"
"trending_integrated_20260114_021214.xlsx","2026-03-16 ?? 2:45:57","25227"
"trending_integrated_20260113_171653.xlsx","2026-03-16 ?? 2:45:57","23944"
"trending_integrated_20260113_084055.xlsx","2026-03-16 ?? 2:45:57","26167"
"trending_integrated_20260113_081912.xlsx","2026-03-16 ?? 2:45:57","22977"
"trending_integrated_20260113_080333.xlsx","2026-03-16 ?? 2:45:57","22961"
"trending_integrated_20260113_080104.xlsx","2026-03-16 ?? 2:45:57","22917"
"trending_integrated_20260113_074901.xlsx","2026-03-16 ?? 2:45:57","22831"
"trending_integrated_20260113_073445.xlsx","2026-03-16 ?? 2:45:57","22733"
"trending_integrated_20260113_073318.xlsx","2026-03-16 ?? 2:45:57","22688"
"trending_integrated_20260113_071451.xlsx","2026-03-16 ?? 2:45:57","21844"
"trending_integrated_20260113_070345.xlsx","2026-03-16 ?? 2:45:57","21783"
"trending_integrated_20260113_052202.xlsx","2026-03-16 ?? 2:45:57","20477"
"trending_integrated_20260113_052145.xlsx","2026-03-16 ?? 2:45:57","20395"
"trending_integrated_20260113_052047.xlsx","2026-03-16 ?? 2:45:57","20382"
"trending_integrated_20260113_051956.xlsx","2026-03-16 ?? 2:45:57","20398"
"trending_integrated_20260113_050606.xlsx","2026-03-16 ?? 2:45:57","25163"
"trending_integrated_20260113_043819.xlsx","2026-03-16 ?? 2:45:57","24866"
"trending_integrated_20260113_025700.xlsx","2026-03-16 ?? 2:45:57","24660"
"trending_integrated_20260113_025243.xlsx","2026-03-16 ?? 2:45:57","24107"
