시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,146060,율촌,1575,2.45%,1212,1.79%,+29.95%,105,다른건모르겟고 시총200억은 진짜 매력적이다[1] / 정원오 대학동문 교수 학연 대장주 율촌 / 재료(정원오 동문+우크라 재건주+포스코...[5] / 하루짜리 상승일뿐[2],Positive (90%),"정원오, 율촌, 이상",False
KOSDAQ,053700,삼보모터스,6420,0.19%,5220,0.00%,+22.99%,144,이런 회사가 천일고속처럼 가야함...[1] / 2026 라스베가스 ces 참가 확정 / 세력이미리 계산을 하고[1] / 전사채... 어느정도 흡수된 듯!,Positive (76%),"상한가, 시총, 이상",False
KOSDAQ,080220,제주반도체,26350,5.57%,22350,2.51%,+17.90%,534,올라가는 애를 왜 팔아요?ㅋㅋ[3] / 1년 11개월만에 수익전환[4] / 오늘 외인 100만주 순매수 미쳤다 ㅋㅋㅋㅋ[1] / 오늘 상한가 가는줄 알고[5],Positive (60%),"오늘, 상한가, 프매",False
KOSDAQ,488900,비츠로넥스텍,19250,1.03%,16930,1.13%,+13.70%,147,나스닥 시간외 급등[1] / ◆우주항공 대장주 / 투주  뜨것다 / ●주포들 우주항공 대장주로 집결,Positive (85%),"시간외, 오늘, 오늘은",False
KOSPI,093240,형지엘리트,1698,1.11%,1497,2.72%,+13.43%,437,삼성·SK·현대차·LG 총수 동행…방중 경제사...[1] / 시외상 가는 이유 / 방중 사절단가서 사진 한장 뉴스뜨면 / 물량을 다 흡수해 가네?,Positive (59%),"ㅋㅋㅋ, 오늘, 상한가",False
KOSPI,000390,삼화페인트,7760,11.32%,7230,11.11%,+7.33%,215,아무튼 / 김씨 VS 윤씨일가 경영권분쟁 활시울은 당겨...[3] / 흠..이라믄 담주 상한가🔝급등랠리 각인데.... / 12/30 장 요약: 경영권 승계 불안/상속세 부...[1],Positive (55%),"오늘, 경영권, 윤씨",False
KOSDAQ,486990,노타,46300,1.38%,43250,0.99%,+7.05%,572,아 내가 너무 초긍정적으로 보나... 546... / 49500에 안팔고 뭐헀지 나?[5] / 다음주 안에 6만원 넘을것같네요[3] / 노타 오버행[2],Positive (54%),"오늘, 노타, 삼성전자",False
KOSDAQ,003310,대주산업,3400,1.85%,3235,2.21%,+5.10%,146,지금 생방송 Mbc  정원호[2] / 3920원이상 투경확정 그아래는 괜춘[1] / 아유 친절들 하셔라 / 놀랬네...3520 안넘으면 상관 없네.,Positive (86%),"정원오, 토꼈네, 먹고",False
KOSDAQ,030530,원익홀딩스,48700,6.02%,47750,6.18%,+1.99%,368,이용한 회장이 엑시트한게 아닙니다[2] / 대주주 매도. 세력은 몰랐을까?[6] / 원익홀딩스 2025년을 기분좋게 마감 했습... / 뭔 10% 도 아니고 1% 가지고 호들갑들 떠셔[1],Negative (75%),"대주주, 원익, 매도",False
KOSPI,000660,SK하이닉스,651000,53.80%,640000,53.82%,+1.72%,800,65만 미쳤네[5] / 하이닉스[1] / ADR공시 한방에[1] / ADR공시 예상,Negative (61%),"하이닉스, 오늘, ...",False
KOSDAQ,242040,나무기술,1324,1.89%,1317,2.82%,+0.53%,130,"수주 회사도, 수주 금액도 하나 안 중요한 게[2] / 한헤 마지막 폐장일 쌍코피 터지신분?[1] / 일단 금감원에 조가조작 기사 신고 ㄱㄱ[1] / 사명 바뀜[1]",Negative (57%),"진짜, 글로벌, ㅋㅋㅋ",False
KOSPI,005930,삼성전자,119900,52.32%,119500,52.34%,+0.33%,800,15만전자[1] / 국정운영은 이재명정부처럼 하는거다[8] / 주식투자 대박났습니다[1] / 12만전자 이재명대통령님 감쏴~~♡,Positive (55%),"삼전, ..., 개미들",False
KOSPI,034020,두산에너빌리티,75300,22.46%,76500,22.49%,-1.57%,246,"물량 뺏기지 마세요 / 사우디,아랍,유럽,아시아 / [속보]원안위, 새울 원전 3호기 신규 가동... / 꽉 잡아라 던지지말고 어제 세력들어 왔다",Negative (52%),"오늘, 원전, 어제",False
KOSDAQ,049630,재영솔루텍,4510,5.44%,4670,7.38%,-3.43%,122,마지막 탑승 기회[4] / 그냥머리채끌어땅겨버리네!![4] / 투자주의[1] / 대단하다.....재영로보티즈!,Negative (54%),"ㅋㅋㅋ, 어제, 오늘",False
KOSDAQ,490470,세미파이브,26500,0.00%,27650,0.40%,-4.16%,609,오늘부터   3연상으로 가나요[1] / 마지막으로 한번 알려줄께요 안타까워서 그려 / 연말 연시에갬들 전부 뒤통네. / 오늘의 관전평,Negative (68%),"1332, ..., 오늘",False
