시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts
KOSDAQ,025440,DH오토웨어,1246,0.00%,937,0.00%,+29.93%,43,상폐해라[3] / 재탕 설거지에 몰려드는   호구들[2] / 아 제기랄[1] / ㅋㅋㅋㅋ호가창만봐도,Positive (63%),"이상, 상승했어요, 현대차",False,"[{'title': '물량장악 끝나고', 'date': '2026.01.13 11:34', 'views': '25', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=025440&nid=410181877&page=1', 'body': '', 'score': 115}, {'title': '개털렷네', 'date': '2026.01.13 11:23', 'views': '12', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=025440&nid=410180151&page=1', 'body': '', 'score': 102}, {'title': '아![1]', 'date': '2026.01.13 11:12', 'views': '32', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=025440&nid=410178299&page=1', 'body': '', 'score': 122}, {'title': '현대차 로봇라인', 'date': '2026.01.13 11:08', 'views': '38', 'likes': '3', 'dislikes': '3', 'link': '/item/board_read.naver?code=025440&nid=410177742&page=1', 'body': '', 'score': 128}, {'title': '아 제기랄[1]', 'date': '2026.01.13 10:23', 'views': '82', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=025440&nid=410169848&page=1', 'body': '', 'score': 172}, {'title': '재탕 설거지에 몰려드는   호구들[2]', 'date': '2026.01.13 09:58', 'views': '109', 'likes': '3', 'dislikes': '5', 'link': '/item/board_read.naver?code=025440&nid=410165707&page=2', 'body': '', 'score': 199}, {'title': '그렇게 안티를 해봤자 물량 잠겼다.', 'date': '2026.01.13 11:27', 'views': '14', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=025440&nid=410180801&page=1', 'body': '', 'score': 74}, {'title': '상폐해라[3]', 'date': '2026.01.13 10:00', 'views': '221', 'likes': '2', 'dislikes': '3', 'link': '/item/board_read.naver?code=025440&nid=410166066&page=2', 'body': '', 'score': 281}, {'title': 'ㅋㅋㅋㅋ호가창만봐도', 'date': '2026.01.13 09:58', 'views': '73', 'likes': '2', 'dislikes': '1', 'link': '/item/board_read.naver?code=025440&nid=410165701&page=2', 'body': '', 'score': 133}, {'title': '꺼억', 'date': '2026.01.13 09:52', 'views': '20', 'likes': '2', 'dislikes': '1', 'link': '/item/board_read.naver?code=025440&nid=410164548&page=2', 'body': '', 'score': 80}]"
KOSPI,001210,금호전기,1064,13.22%,643,13.03%,+27.43%,53,제2의 계양이다[1] / 제2의 계양전기.. / 금호야 / 이번 상 찍으면 안 풀림[1],Positive (58%),"정원오, 이상, 상승했어요",False,"[{'title': '금호야', 'date': '2026.01.13 09:12', 'views': '21', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=001210&nid=410156333&page=3', 'body': '', 'score': 201}, {'title': '오예 상따몰빵 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ...', 'date': '2026.01.13 09:19', 'views': '24', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=001210&nid=410157792&page=2', 'body': '', 'score': 174}, {'title': '제2의 계양전기..', 'date': '2026.01.13 10:28', 'views': '90', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=001210&nid=410170731&page=1', 'body': '', 'score': 210}, {'title': '정원오 테마 이게 대장이다[1]', 'date': '2026.01.13 09:55', 'views': '51', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=001210&nid=410165043&page=2', 'body': '', 'score': 171}, {'title': '이번 상 찍으면 안 풀림[1]', 'date': '2026.01.13 09:40', 'views': '58', 'likes': '4', 'dislikes': '3', 'link': '/item/board_read.naver?code=001210&nid=410162347&page=2', 'body': '', 'score': 178}, {'title': '제2의 계양이다[1]', 'date': '2026.01.13 09:34', 'views': '91', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=001210&nid=410161083&page=2', 'body': '', 'score': 211}, {'title': '가자[1]', 'date': '2026.01.13 09:15', 'views': '52', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=001210&nid=410156955&page=3', 'body': '', 'score': 172}, {'title': '빨리 걸어 잠그자~', 'date': '2026.01.13 09:14', 'views': '4', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=001210&nid=410156722&page=3', 'body': '', 'score': 124}, {'title': '좀 진득하게 들고 가보자[1]', 'date': '2026.01.13 11:18', 'views': '27', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=001210&nid=410179416&page=1', 'body': '', 'score': 117}, {'title': '대박[2]', 'date': '2026.01.13 11:13', 'views': '52', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=001210&nid=410178484&page=1', 'body': '', 'score': 142}]"
KOSDAQ,053700,삼보모터스,8460,0.00%,6820,0.00%,+20.00%,80,매도 매물소화하면서  끌고 가네.. 상칠수도있... / 매출 1조에 시가 총액 1800억[3] / 근 6년만에.... / 이주식은 여기까지~,Positive (61%),"삼보, 이상, 상승했어요",False,"[{'title': '매도 매물소화하면서  끌고 가네.. 상칠수도있...', 'date': '2026.01.13 09:42', 'views': '65', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=053700&nid=410162674&page=3', 'body': '', 'score': 275}, {'title': '이주식은 여기까지~', 'date': '2026.01.13 10:26', 'views': '49', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=053700&nid=410170407&page=2', 'body': '', 'score': 229}, {'title': '근 6년만에....', 'date': '2026.01.13 10:19', 'views': '82', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=053700&nid=410169183&page=2', 'body': '', 'score': 262}, {'title': '삼보. 오늘은 운에', 'date': '2026.01.13 08:12', 'views': '34', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=053700&nid=410150487&page=4', 'body': '', 'score': 184}, {'title': '매출 1조에 시가 총액 1800억[3]', 'date': '2026.01.13 09:44', 'views': '143', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=053700&nid=410163132&page=3', 'body': '', 'score': 263}, {'title': '안티들 깝쌌을때부터[1]', 'date': '2026.01.13 09:42', 'views': '38', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=053700&nid=410162741&page=3', 'body': '', 'score': 158}, {'title': '애들아 고생했다', 'date': '2026.01.13 09:21', 'views': '32', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=053700&nid=410158291&page=3', 'body': '', 'score': 152}, {'title': '모터, 감속기, 액츄에이터 대량 생산 기업', 'date': '2026.01.13 08:36', 'views': '66', 'likes': '4', 'dislikes': '3', 'link': '/item/board_read.naver?code=053700&nid=410152101&page=4', 'body': '', 'score': 186}, {'title': 'AMR(자율주행로봇) + AAM(차세대항공모빌...', 'date': '2026.01.13 11:25', 'views': '48', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=053700&nid=410180557&page=1', 'body': '', 'score': 138}, {'title': '세력  이ㆍ직', 'date': '2026.01.13 10:38', 'views': '33', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=053700&nid=410172230&page=2', 'body': '', 'score': 123}]"
KOSPI,017040,광명전기,1551,5.05%,1236,4.59%,+15.40%,50,상한가 이유 / 원래 광명전기는 진짜 좋은 회사였다.[1] / 지금의 흐름은[5] / 아침9시에 사고 안팔았어요. 수익 인증글 남...,Positive (60%),"이상, 상승했어요, 상에",False,"[{'title': '지금의 흐름은[5]', 'date': '2026.01.13 11:04', 'views': '109', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=017040&nid=410177100&page=1', 'body': '', 'score': 259}, {'title': '상한가 이유', 'date': '2026.01.13 09:37', 'views': '499', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=017040&nid=410161684&page=2', 'body': '', 'score': 649}, {'title': '원래 광명전기는 진짜 좋은 회사였다.[1]', 'date': '2026.01.13 09:20', 'views': '231', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=017040&nid=410158068&page=2', 'body': '', 'score': 351}, {'title': '상을치고', 'date': '2026.01.13 10:15', 'views': '19', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=017040&nid=410168558&page=2', 'body': '', 'score': 79}, {'title': '아침9시에 사고 안팔았어요. 수익 인증글 남...', 'date': '2026.01.13 09:19', 'views': '128', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=017040&nid=410157795&page=2', 'body': '', 'score': 188}, {'title': '점심시간 전에~~~쫙~~~~', 'date': '2026.01.13 09:16', 'views': '44', 'likes': '2', 'dislikes': '4', 'link': '/item/board_read.naver?code=017040&nid=410157214&page=2', 'body': '', 'score': 104}, {'title': '3천이상 가시죠', 'date': '2026.01.13 09:08', 'views': '37', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=017040&nid=410155606&page=3', 'body': '', 'score': 97}, {'title': '와..이런날이[1]', 'date': '2026.01.13 11:29', 'views': '21', 'likes': '1', 'dislikes': '0', 'link': '/item/board_read.naver?code=017040&nid=410181165&page=1', 'body': '', 'score': 51}, {'title': '그럼 그렇지 ..', 'date': '2026.01.13 10:21', 'views': '38', 'likes': '1', 'dislikes': '0', 'link': '/item/board_read.naver?code=017040&nid=410169566&page=1', 'body': '', 'score': 68}, {'title': '내가말했죠', 'date': '2026.01.13 10:20', 'views': '18', 'likes': '1', 'dislikes': '0', 'link': '/item/board_read.naver?code=017040&nid=410169444&page=1', 'body': '', 'score': 48}]"
KOSDAQ,101400,엔시트론,391,0.98%,340,1.30%,+13.33%,47,자율주행  반도체 대장주  엔시트론 / HLB -7조회사 대웅 -1조 회사 / 엔시트론 자회사 자율주행 구글  테슬라 협력 / 1000원도 안하는 자율주행  &  반도체주,Positive (100%),"자율주행, 엔시트론, 구글",False,"[{'title': '자율주행  반도체 대장주  엔시트론', 'date': '2026.01.13 10:39', 'views': '59', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=101400&nid=410172421&page=2', 'body': '', 'score': 209}, {'title': '정원오 선거 까지 세종대왕 보것다///', 'date': '2026.01.13 10:15', 'views': '28', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=101400&nid=410168576&page=2', 'body': '', 'score': 118}, {'title': '엔시트론 역시 좋은 재료가 많구나  숨은진주다//...', 'date': '2026.01.13 10:11', 'views': '29', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=101400&nid=410167877&page=2', 'body': '', 'score': 119}, {'title': '엔시트론 자회사 자율주행 구글  테슬라 협력', 'date': '2026.01.13 10:08', 'views': '44', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=101400&nid=410167314&page=2', 'body': '', 'score': 134}, {'title': 'HLB -7조회사 대웅 -1조 회사', 'date': '2026.01.13 09:48', 'views': '79', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=101400&nid=410163872&page=2', 'body': '', 'score': 169}, {'title': '1000원도 안하는 자율주행  &  반도체주', 'date': '2026.01.13 09:47', 'views': '40', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=101400&nid=410163742&page=2', 'body': '', 'score': 130}, {'title': '엔시트론 자회사  구글 자율주행 협업', 'date': '2026.01.13 11:09', 'views': '32', 'likes': '2', 'dislikes': '1', 'link': '/item/board_read.naver?code=101400&nid=410177787&page=1', 'body': '', 'score': 92}, {'title': '승부사 양고니가 로봇/자율주행 테마 놓칠리가 ...', 'date': '2026.01.13 11:03', 'views': '29', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=101400&nid=410176862&page=1', 'body': '', 'score': 89}, {'title': '단타방', 'date': '2026.01.13 11:02', 'views': '23', 'likes': '2', 'dislikes': '2', 'link': '/item/board_read.naver?code=101400&nid=410176777&page=1', 'body': '', 'score': 83}, {'title': '자회사    구글 자율주행 협력사[1]', 'date': '2026.01.13 10:58', 'views': '43', 'likes': '2', 'dislikes': '1', 'link': '/item/board_read.naver?code=101400&nid=410175997&page=1', 'body': '', 'score': 103}]"
KOSDAQ,250060,모비스,4395,3.73%,4140,4.45%,+12.98%,76,임총 사업목적 추가하고 새 경영진 합류[1] / 대세는 AI와 핵 융합 / 현대 모비스랑 착각해서 매수하는듯? / 핵융합로 관련 대장주,Positive (61%),"이상, 상승했어요, 핵융합로",False,"[{'title': '임총 사업목적 추가하고 새 경영진 합류[1]', 'date': '2026.01.13 09:29', 'views': '196', 'likes': '11', 'dislikes': '2', 'link': '/item/board_read.naver?code=250060&nid=410160091&page=4', 'body': '', 'score': 526}, {'title': '대세는 AI와 핵 융합', 'date': '2026.01.13 10:53', 'views': '57', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=250060&nid=410175160&page=1', 'body': '', 'score': 357}, {'title': '현대 모비스랑 착각해서 매수하는듯?', 'date': '2026.01.13 10:01', 'views': '37', 'likes': '8', 'dislikes': '4', 'link': '/item/board_read.naver?code=250060&nid=410166151&page=3', 'body': '', 'score': 277}, {'title': '핵융합로 관련 대장주', 'date': '2026.01.13 11:04', 'views': '50', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=250060&nid=410177090&page=1', 'body': '', 'score': 260}, {'title': '개미들  물량  안나온다  형...', 'date': '2026.01.13 10:51', 'views': '38', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=250060&nid=410174829&page=2', 'body': '', 'score': 248}, {'title': '상가요. 빨리!', 'date': '2026.01.13 11:03', 'views': '25', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=250060&nid=410176875&page=1', 'body': '', 'score': 175}, {'title': '테마주 치고 약하네[1]', 'date': '2026.01.13 10:52', 'views': '78', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=250060&nid=410175081&page=1', 'body': '', 'score': 198}, {'title': '내가 말했지 프매 엄청 매도중이고 기관 올매도라...', 'date': '2026.01.13 11:23', 'views': '39', 'likes': '3', 'dislikes': '3', 'link': '/item/board_read.naver?code=250060&nid=410180089&page=1', 'body': '', 'score': 129}, {'title': '꽉잡아라', 'date': '2026.01.13 11:15', 'views': '28', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=250060&nid=410178824&page=1', 'body': '', 'score': 118}, {'title': '상한가 한방', 'date': '2026.01.13 11:05', 'views': '31', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=250060&nid=410177245&page=1', 'body': '', 'score': 121}]"
KOSDAQ,090710,휴림로봇,9360,8.94%,8130,8.80%,+12.64%,183,sk  합병관련 쏘스 떳씁니다[2] / 9800원에 팔아야하나요?[2] / 오늘 휴림이는[1] / 좀더 가져가면 세종대왕도봄직한데 ..,Negative (54%),"오늘, 휴림로봇, 휴림",False,"[{'title': '오늘 휴림이는[1]', 'date': '2026.01.13 10:26', 'views': '240', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=090710&nid=410170332&page=6', 'body': '', 'score': 570}, {'title': 'sk  합병관련 쏘스 떳씁니다[2]', 'date': '2026.01.13 10:04', 'views': '582', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=090710&nid=410166714&page=8', 'body': '', 'score': 882}, {'title': '오늘9자는 확실히 보겠네', 'date': '2026.01.13 09:50', 'views': '82', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=090710&nid=410164184&page=8', 'body': '', 'score': 382}, {'title': '주포행님 운전 끝내주네~', 'date': '2026.01.13 09:31', 'views': '103', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=090710&nid=410160548&page=9', 'body': '', 'score': 403}, {'title': '좀더 가져가면 세종대왕도봄직한데 ..', 'date': '2026.01.13 09:16', 'views': '121', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=090710&nid=410157159&page=9', 'body': '', 'score': 421}, {'title': '9800원에 팔아야하나요?[2]', 'date': '2026.01.13 10:06', 'views': '549', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=090710&nid=410167052&page=8', 'body': '', 'score': 789}, {'title': '대형 MnA....제2의 레인보우', 'date': '2026.01.13 10:45', 'views': '121', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=090710&nid=410173422&page=5', 'body': '', 'score': 331}, {'title': '얼마전  8010원에  샀다고  놀림받은  상...[1]', 'date': '2026.01.13 10:42', 'views': '153', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=090710&nid=410172803&page=5', 'body': '', 'score': 363}, {'title': '형아가 말했지[1]', 'date': '2026.01.13 10:24', 'views': '152', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=090710&nid=410170022&page=6', 'body': '', 'score': 362}, {'title': '상한가네 1만 가겠다', 'date': '2026.01.13 10:20', 'views': '89', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=090710&nid=410169414&page=6', 'body': '', 'score': 299}]"
KOSPI,005380,현대차,409000,35.88%,366000,36.15%,+11.44%,734,평단 405000원인데 손절해야할까요 ㅠㅠ[5] / **** 지금 개미들 많이 털고 있는데 반드...[2] / 지금 매수[2] / 현차 무슨일있나요[2],Positive (65%),"현대차, 오늘, 어제",False,"[{'title': '**** 지금 개미들 많이 털고 있는데 반드...[2]', 'date': '2026.01.13 09:32', 'views': '185', 'likes': '17', 'dislikes': '2', 'link': '/item/board_read.naver?code=005380&nid=410160768&page=28', 'body': '', 'score': 695}, {'title': '오늘(13일) 40만 넘는다고 생각하면 좋...', 'date': '2026.01.13 10:02', 'views': '38', 'likes': '16', 'dislikes': '1', 'link': '/item/board_read.naver?code=005380&nid=410166337&page=24', 'body': '', 'score': 518}, {'title': '오늘은) 외인, 투신, 연기금 모두다...', 'date': '2026.01.13 10:51', 'views': '83', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=005380&nid=410174797&page=15', 'body': '', 'score': 503}, {'title': '평단 405000원인데 손절해야할까요 ㅠㅠ[5]', 'date': '2026.01.13 10:26', 'views': '393', 'likes': '14', 'dislikes': '4', 'link': '/item/board_read.naver?code=005380&nid=410170348&page=19', 'body': '', 'score': 813}, {'title': '현차 무슨일있나요[2]', 'date': '2026.01.13 11:19', 'views': '159', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=005380&nid=410179551&page=7', 'body': '', 'score': 549}, {'title': '현대차가 이렇게 오르는건', 'date': '2026.01.13 11:13', 'views': '77', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=005380&nid=410178551&page=11', 'body': '', 'score': 467}, {'title': '강성노조 감사하읍니다 덕분에 아틀라스 탄생...[1]', 'date': '2026.01.13 10:37', 'views': '67', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=005380&nid=410172108&page=17', 'body': '', 'score': 457}, {'title': '월말까지 60만차', 'date': '2026.01.13 11:25', 'views': '46', 'likes': '12', 'dislikes': '2', 'link': '/item/board_read.naver?code=005380&nid=410180575&page=5', 'body': '', 'score': 406}, {'title': '26년 주도주는 현대차', 'date': '2026.01.13 10:53', 'views': '50', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=005380&nid=410175106&page=15', 'body': '', 'score': 410}, {'title': '지금 매수[2]', 'date': '2026.01.13 10:45', 'views': '261', 'likes': '12', 'dislikes': '4', 'link': '/item/board_read.naver?code=005380&nid=410173447&page=16', 'body': '', 'score': 621}]"
KOSPI,272210,한화시스템,83800,9.92%,76900,10.19%,+7.85%,373,오늘 상한가 쳐도 단기과열.투주.투경 다...[1] / ■ ■한화비젼 + 한화시스템 은 한몸 패... / 지구대마왕 트황상이 말했다. 까불지말라고... / 간장종지들 말많네[1],Negative (50%),"오늘, 상한가, 한화시스템",False,"[{'title': '오늘 상한가 쳐도 단기과열.투주.투경 다...[1]', 'date': '2026.01.13 10:32', 'views': '197', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=272210&nid=410171327&page=4', 'body': '', 'score': 677}, {'title': '지구대마왕 트황상이 말했다. 까불지말라고...', 'date': '2026.01.13 10:34', 'views': '71', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=272210&nid=410171528&page=4', 'body': '', 'score': 521}, {'title': '■ ■한화비젼 + 한화시스템 은 한몸 패...', 'date': '2026.01.13 10:35', 'views': '210', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=272210&nid=410171671&page=4', 'body': '', 'score': 600}, {'title': '고마 일찍 상치고[1]', 'date': '2026.01.13 10:25', 'views': '74', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=272210&nid=410170255&page=5', 'body': '', 'score': 434}, {'title': '2차슈팅 10프로 돌파하면 공매도 터집니다! ^...', 'date': '2026.01.13 09:54', 'views': '104', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=272210&nid=410164979&page=9', 'body': '', 'score': 464}, {'title': '이종목 단기과열종목 아니라구요ㆍ왜시총...', 'date': '2026.01.13 11:19', 'views': '92', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=272210&nid=410179512&page=1', 'body': '', 'score': 392}, {'title': '한화오션도', 'date': '2026.01.13 10:25', 'views': '56', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=272210&nid=410170215&page=5', 'body': '', 'score': 356}, {'title': '오늘 9만 가나요', 'date': '2026.01.13 10:07', 'views': '53', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=272210&nid=410167252&page=7', 'body': '', 'score': 353}, {'title': '오늘 15%이상 갈듯[2]', 'date': '2026.01.13 09:51', 'views': '120', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=272210&nid=410164380&page=9', 'body': '', 'score': 420}, {'title': '간장종지들 말많네[1]', 'date': '2026.01.13 08:32', 'views': '188', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=272210&nid=410151803&page=18', 'body': '', 'score': 488}]"
KOSDAQ,098460,고영,28300,16.05%,25550,15.92%,+7.81%,410,주도주가 의료로봇으로교체됐다. / 여기 주포 누구냐[1] / 역사적 신고가 앞 매물대 보세여[1] / 고영,Mixed,"프로그램, 오늘, 고영",False,"[{'title': '고영', 'date': '2026.01.13 10:22', 'views': '31', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=098460&nid=410169788&page=10', 'body': '', 'score': 241}, {'title': '여기 주포 누구냐[1]', 'date': '2026.01.13 10:09', 'views': '44', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=098460&nid=410167594&page=11', 'body': '', 'score': 254}, {'title': '좀 시원하게 쏴주면 덧나냐', 'date': '2026.01.13 10:09', 'views': '30', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=098460&nid=410167473&page=11', 'body': '', 'score': 240}, {'title': '주도주가 의료로봇으로교체됐다.', 'date': '2026.01.13 09:06', 'views': '47', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=098460&nid=410155168&page=19', 'body': '', 'score': 257}, {'title': '역사적 신고가 앞 매물대 보세여[1]', 'date': '2026.01.13 11:33', 'views': '67', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=098460&nid=410181715&page=2', 'body': '', 'score': 247}, {'title': '더 내린다고 계속 말했음 터셈', 'date': '2026.01.13 11:09', 'views': '32', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=098460&nid=410177868&page=4', 'body': '', 'score': 212}, {'title': '신용적당히써라', 'date': '2026.01.13 11:09', 'views': '31', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=098460&nid=410177811&page=4', 'body': '', 'score': 211}, {'title': '고영 드디어 설겆이 완료', 'date': '2026.01.13 11:08', 'views': '48', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=098460&nid=410177741&page=4', 'body': '', 'score': 228}, {'title': '고영 대표님', 'date': '2026.01.13 11:00', 'views': '42', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=098460&nid=410176358&page=5', 'body': '', 'score': 222}, {'title': '12월 9일이랑 똑같음 패대기임 ㅅㄱ', 'date': '2026.01.13 11:00', 'views': '41', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=098460&nid=410176311&page=5', 'body': '', 'score': 221}]"
