시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,101170,우림피티에스,13850,4.06%,11140,4.74%,+29.92%,69,축하합니다[2] / 로보티즈 10배 넘게 상승[2] / 우림피티에스가 상한가 간 이유: / 역시~~변함없는 불변의 법칙[1],Positive (69%),"이상, 상승했어요, 상한가",False
KOSDAQ,317830,에스피시스템스,14700,0.86%,12500,1.25%,+17.88%,51,에스피시스템스참 쉬운 로봇자동화 마로솔 ... / 개 버릇 남 못준다고 또 윗꼬리네 얘는 / 역시  내가 사면 가네 내가팔면 내리고[1] / ■ 꾸물꾸물 올리는척 하는 이유.,Positive (91%),"이상, 상승했어요, 같이",False
KOSPI,004310,현대약품,7920,2.22%,6510,2.21%,+17.16%,135,"오늘 상치면 팔아야지 / 현대약품 , 지금 흐름이 심상치 않습니다 / 애들아 정신차려... / 이재명은 한다며 한다!! 건보적용",Positive (62%),"이상, 아직, 상승했어요",False
KOSDAQ,319400,현대무벡스,19640,2.18%,16130,1.61%,+16.21%,300,믿음[1] / 산타 선물 잘 받았습니다[2] / 193에 탓는데[3] / 보유자의 영역이 되버렸다,Mixed,"오늘, 미수신용으로, 전재산",False
KOSDAQ,208370,셀바스헬스케어,6780,1.14%,5810,1.54%,+14.92%,123,상뉴스네.. 비밀유지 오픈 재탕아님 / 존슨앤존슨이 재탕이라는애들은 눈이없네[1] / 725조  존슨앤존슨  계열사  빅파마 얀센[1] / 존슨앤존스,Positive (88%),"존슨앤존슨이, 상한가, 존슨앤존슨",False
KOSDAQ,125490,한라캐스트,18880,0.41%,17290,1.20%,+12.58%,152,글로벌 ai면 테슬라 맞지? / 이거 아는분 있으세요 ?? / 2월20일 / 하차한다 뺘2,Positive (54%),"2만원, 무벡스, 위로",False
KOSDAQ,049630,재영솔루텍,3365,3.52%,3100,4.21%,+9.08%,65,신고가 확정[2] / ((((수고들하세요 3500원 마지막다 매도)...[2] / 오늘 종가 상한가 가면 / 형들,Negative (54%),"이상, 상승했어요, 오늘",False
KOSDAQ,003310,대주산업,2885,2.55%,2450,1.99%,+8.66%,86,"지방 선거 황제주 답게 상 치고 / 내생각에 진짜 힘은[1] / 1차 목표가 3천원, 2차 목표가 5천원 / 연말기준",Positive (85%),"정원오, 목표가, 진짜",False
KOSDAQ,330350,위더스제약,9200,0.83%,8680,0.88%,+8.36%,40,오늘은 어제와 달리[1] / 주가조작수준이냐 / 9150위에선 롤링스타트[4] / 잡식주,Positive (70%),"이상, 상승했어요, 오늘은",False
KOSDAQ,090710,휴림로봇,6600,4.78%,5820,3.02%,+5.94%,102,기다리라고했지 휴림15만원간다[1] / 이제부터[1] / 힘좋고 상가겠네[2] / 이전 고점 뚫으면..[1],Negative (57%),"오늘, 상한가, 휴림",False
KOSPI,249420,일동제약,39425,4.83%,36650,5.29%,+5.70%,86,장투주주 키움입니다[2] / 오 예 NXT 좋다[1] / 150만주 15분만에 소화함 / 진짜 못읽네.. 안타깝다 멍청한게..[6],Mixed,"오늘, 지금, 진짜",True
KOSDAQ,030530,원익홀딩스,37000,3.07%,33700,2.23%,+5.41%,90,에라 모르겠다[2] / 37700원 공매도[1] / 여기서부터 다시 10배 상승이다[1] / 응 안팔어[2],Positive (58%),"전고점, 다시, 이야",False
KOSDAQ,298830,슈어소프트테크,7510,1.37%,7100,1.78%,+5.03%,58,"프로그램 설거지 / 제목 : 현대차그룹, 소프트웨어 전환 가속!...[1] / 죽어라 던지네ㅋㅋ썩은 물량이 많아서 안되긋다... / 근 2주간",Positive (60%),"임박, 절때, 만원까지",False
KOSPI,082740,한화엔진,46050,18.96%,43350,18.75%,+1.88%,41,한화엔진 I R 팀 긴장한 듯~[1] / 장기투자자는 걱정 안 하셔도될듯(외인보유 ... / 미 군함건조 한화엔진이 한다! / 오늘 고점에 판 개미들은,Negative (66%),"하이빅스비, 가자, 오늘",False
KOSPI,022100,포스코DX,29775,4.05%,26700,3.85%,+0.08%,108,방송 추천하고 / 로봇주  10배 상승하자 / 이제는 포스코 그룹주들 다 같이 오르니 / 끝,Positive (57%),"이제, 15분봉, ...",False
KOSPI,005930,삼성전자,111500,52.22%,110500,52.13%,0.00%,404,조선일보 ㅠ[4] / 베네수엘라[4] / 삼전도 나스닥 갑시다. / 신한이 주식시장의,Negative (59%),"..., 삼전, 오늘은",False
KOSPI,042660,한화오션,122400,9.69%,109700,9.49%,-0.81%,800,팔았는데 더 오를까봐 급 안티질하는게 / 장기 우상향 확정주 / 장기 우상향 확정주 / 음...분석해보니,Negative (55%),"오늘, 어제, 공매도",False
KOSDAQ,491000,리브스메드,54200,,54997,,-1.45%,800,"눈 비비고 다시 봤다...시총이 뭐꼬... / 지금 매집하면 오후장 100% 수익!!! / 68,200원매수,48,800매도하고 / ㅋㅋ 상장 하자마자 하한가",Negative (53%),"오늘, 공모가, ㅋㅋ",False
