시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts
KOSDAQ,049180,셀루메드,1098,1.70%,808,1.71%,+29.94%,70,상잔량이 힌트 / 거봐라....[2] / 상 풀리는게 의도가 아니라 / 대한민국대통령이,Positive (77%),"이상, 상승했어요, 상잔량이",False,"[{'title': '상잔량이 힌트', 'date': '2026.01.06 10:43', 'views': '141', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=049180&nid=409715995&page=1', 'body': '', 'score': 411}, {'title': '거봐라....[2]', 'date': '2026.01.06 10:47', 'views': '152', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=049180&nid=409716668&page=1', 'body': '', 'score': 302}, {'title': '상 풀리는게 의도가 아니라', 'date': '2026.01.06 10:33', 'views': '111', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=049180&nid=409714573&page=2', 'body': '', 'score': 261}, {'title': '오늘 두번이상 더 풀면', 'date': '2026.01.06 10:28', 'views': '71', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=049180&nid=409713973&page=2', 'body': '', 'score': 221}, {'title': '크게 피해 입은 개인들 수사요청 많이 한거같은...', 'date': '2026.01.06 09:29', 'views': '39', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=049180&nid=409704529&page=3', 'body': '', 'score': 189}, {'title': '성지글입니다 빠져나오세요', 'date': '2026.01.06 10:38', 'views': '69', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=049180&nid=409715331&page=1', 'body': '', 'score': 189}, {'title': '트리오차트네요', 'date': '2026.01.06 09:45', 'views': '44', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=049180&nid=409707211&page=3', 'body': '', 'score': 164}, {'title': '대한민국대통령이', 'date': '2026.01.06 09:01', 'views': '130', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=049180&nid=409699339&page=4', 'body': '', 'score': 250}, {'title': '셀루메드', 'date': '2026.01.06 11:28', 'views': '53', 'likes': '3', 'dislikes': '3', 'link': '/item/board_read.naver?code=049180&nid=409722086&page=1', 'body': '', 'score': 143}, {'title': '에라이 내것도 받아무라[1]', 'date': '2026.01.06 11:09', 'views': '85', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=049180&nid=409719720&page=1', 'body': '', 'score': 175}]"
KOSDAQ,0015G0,그린광학,21300,1.24%,15830,0.96%,+25.22%,65,55천원에 있으신분[1] / 현대 테슬라 / 오늘 왜 상갈거같냐 이거[1] / 15500에 ㆍ2천주[1],Positive (90%),"오늘, 이상, 상승했어요",False,"[{'title': '55천원에 있으신분[1]', 'date': '2026.01.06 10:17', 'views': '109', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=0015G0&nid=409712259&page=3', 'body': '', 'score': 379}, {'title': '오늘 왜 상갈거같냐 이거[1]', 'date': '2026.01.06 10:20', 'views': '57', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=0015G0&nid=409712709&page=3', 'body': '', 'score': 207}, {'title': '현대 테슬라', 'date': '2026.01.06 10:15', 'views': '84', 'likes': '5', 'dislikes': '5', 'link': '/item/board_read.naver?code=0015G0&nid=409711928&page=3', 'body': '', 'score': 234}, {'title': '최소 55000원 봅니다', 'date': '2026.01.06 09:35', 'views': '28', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=0015G0&nid=409705635&page=3', 'body': '', 'score': 178}, {'title': '이거 주도주됩니다', 'date': '2026.01.06 09:34', 'views': '38', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=0015G0&nid=409705450&page=4', 'body': '', 'score': 188}, {'title': '윗꼬리 전문', 'date': '2026.01.06 11:23', 'views': '28', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=0015G0&nid=409721444&page=1', 'body': '', 'score': 148}, {'title': '악질이군. 윗꼬리 또 다네[1]', 'date': '2026.01.06 11:14', 'views': '41', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=0015G0&nid=409720393&page=1', 'body': '', 'score': 161}, {'title': '빨래[1]', 'date': '2026.01.06 10:43', 'views': '63', 'likes': '4', 'dislikes': '5', 'link': '/item/board_read.naver?code=0015G0&nid=409716012&page=2', 'body': '', 'score': 183}, {'title': '15500에 ㆍ2천주[1]', 'date': '2026.01.06 10:41', 'views': '83', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=0015G0&nid=409715678&page=2', 'body': '', 'score': 203}, {'title': '쥐구멍에도 볕뜰날이 있다고', 'date': '2026.01.06 10:39', 'views': '13', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=0015G0&nid=409715428&page=2', 'body': '', 'score': 133}]"
KOSDAQ,053450,세코닉스,6470,7.50%,5470,7.31%,+16.79%,87,"긴급)세코닉스, 엔비디아 자율주행 전방 카메라... / 엔비디아 로보택시 키운다~~[1] / 갈거면 이미 잠귔어야됨 / 8.5% 잘 먹고 갑니다.",Positive (69%),"엔비디아, 찬티알바, 희망회로,",False,"[{'title': '엔비디아 로보택시 키운다~~[1]', 'date': '2026.01.06 10:35', 'views': '65', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409714926&page=2', 'body': '', 'score': 215}, {'title': '긴급)세코닉스, 엔비디아 자율주행 전방 카메라...', 'date': '2026.01.06 09:59', 'views': '176', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=053450&nid=409709570&page=2', 'body': '', 'score': 326}, {'title': '갈거면 이미 잠귔어야됨', 'date': '2026.01.06 09:25', 'views': '21', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=053450&nid=409703857&page=4', 'body': '', 'score': 171}, {'title': '8.5% 잘 먹고 갑니다.', 'date': '2026.01.06 09:25', 'views': '10', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409703748&page=4', 'body': '', 'score': 160}, {'title': '테스트용납품이고 하드웨어는 벤츠꺼쓴다.', 'date': '2026.01.06 09:23', 'views': '29', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=053450&nid=409703368&page=4', 'body': '', 'score': 149}, {'title': '대략 2년간 세코닉스 보유자로서', 'date': '2026.01.06 09:46', 'views': '51', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409707387&page=3', 'body': '', 'score': 141}, {'title': '상한가에 털어낸 분들이 승자', 'date': '2026.01.06 09:40', 'views': '26', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409706418&page=3', 'body': '', 'score': 116}, {'title': '어차피  오늘은 상한가야', 'date': '2026.01.06 11:10', 'views': '25', 'likes': '2', 'dislikes': '1', 'link': '/item/board_read.naver?code=053450&nid=409719802&page=1', 'body': '', 'score': 85}, {'title': '재료가 좋다 좋아[2]', 'date': '2026.01.06 11:00', 'views': '66', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409718392&page=1', 'body': '', 'score': 126}, {'title': '찬티알바 희망회로, 정신승리 속지마라 한강간...[1]', 'date': '2026.01.06 10:41', 'views': '24', 'likes': '2', 'dislikes': '1', 'link': '/item/board_read.naver?code=053450&nid=409715646&page=1', 'body': '', 'score': 84}]"
KOSDAQ,138360,협진,1957,9.55%,1306,8.65%,+15.32%,98,"매집근거로 제시한 목표가에서[1] / 거래양 1,760만주 완전히 손바뀜 달성했고.... / 로봇 전문기업 앤로보틱스의 지분 100%를 약...[1] / 거래정지에서 살아돌아와서[1]",Negative (75%),"ㅋㅋ, 손바뀜, 오늘",False,"[{'title': '사명변경,.하면 주가는 최소 1만찍는다[1]', 'date': '2026.01.06 11:46', 'views': '67', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409724238&page=1', 'body': '', 'score': 187}, {'title': '2년 가까이 쳐 물려 있던 거 잘 팔았다 ㅋㅋ...', 'date': '2026.01.06 11:18', 'views': '27', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409720891&page=1', 'body': '', 'score': 147}, {'title': '거래양 1,760만주 완전히 손바뀜 달성했고....', 'date': '2026.01.06 09:49', 'views': '98', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=138360&nid=409707881&page=3', 'body': '', 'score': 218}, {'title': '잡주네 조정들간다  끝[1]', 'date': '2026.01.06 10:23', 'views': '55', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=138360&nid=409713114&page=3', 'body': '', 'score': 145}, {'title': '매집근거로 제시한 목표가에서[1]', 'date': '2026.01.06 09:59', 'views': '168', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=138360&nid=409709492&page=3', 'body': '', 'score': 258}, {'title': '거래정지에서 살아돌아와서[1]', 'date': '2026.01.06 09:52', 'views': '104', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=138360&nid=409708408&page=3', 'body': '', 'score': 194}, {'title': '앤로보틱스--자율주행,스마트팩토리', 'date': '2026.01.06 09:47', 'views': '34', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=138360&nid=409707465&page=3', 'body': '', 'score': 124}, {'title': '로봇 전문기업 앤로보틱스의 지분 100%를 약...[1]', 'date': '2026.01.06 09:42', 'views': '111', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=138360&nid=409706687&page=3', 'body': '', 'score': 201}, {'title': '오늘은 손바뀜 선수교체', 'date': '2026.01.06 09:14', 'views': '25', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=138360&nid=409701476&page=4', 'body': '', 'score': 115}, {'title': '오늘부터 연속 상한가 랠리 시작... 제...', 'date': '2026.01.06 09:10', 'views': '26', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409700740&page=4', 'body': '', 'score': 116}]"
KOSPI,006800,미래에셋증권,28900,10.98%,24650,11.03%,+13.33%,153,저는 이만 물러갑니다 ^ ^ / 뭔 리포트 타령이야 ㅋㅋㅋ 이미 / '밸류에이션 퀀텀 점프'[1] / ■ 나는 코빗 인수가 신의 한수 같은데요[1],Positive (76%),"오늘, !!!, ...",False,"[{'title': '저는 이만 물러갑니다 ^ ^', 'date': '2026.01.06 10:23', 'views': '219', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409713194&page=4', 'body': '', 'score': 699}, {'title': '뭔 리포트 타령이야 ㅋㅋㅋ 이미', 'date': '2026.01.06 09:17', 'views': '245', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409702220&page=7', 'body': '', 'score': 515}, {'title': '26년 최고 대박주 기대 ~~~', 'date': '2026.01.06 09:04', 'views': '43', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409699752&page=8', 'body': '', 'score': 313}, {'title': ""'밸류에이션 퀀텀 점프'[1]"", 'date': '2026.01.06 09:14', 'views': '155', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409701467&page=8', 'body': '', 'score': 395}, {'title': '공매 천만주 이제 좀 갚자 ㅋㅋㅋㅋㅋㅋㅋ...', 'date': '2026.01.06 11:08', 'views': '56', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409719589&page=2', 'body': '', 'score': 266}, {'title': '와와!! 미수 5배 풀 가즈아  챈스임', 'date': '2026.01.06 11:06', 'views': '48', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=006800&nid=409719345&page=3', 'body': '', 'score': 258}, {'title': '■ 나는 코빗 인수가 신의 한수 같은데요[1]', 'date': '2026.01.06 11:00', 'views': '183', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=006800&nid=409718437&page=3', 'body': '', 'score': 393}, {'title': '아이들딱드라 무슨실적댐에가니 스패x상장 지분...', 'date': '2026.01.06 10:30', 'views': '91', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=006800&nid=409714242&page=4', 'body': '', 'score': 301}, {'title': '오늘', 'date': '2026.01.06 09:39', 'views': '22', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409706222&page=7', 'body': '', 'score': 232}, {'title': '이정도 리포트면 최소 10% 상승해야한다.[1]', 'date': '2026.01.06 09:13', 'views': '99', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409701334&page=8', 'body': '', 'score': 309}]"
KOSPI,012800,대창,1512,5.18%,1310,4.92%,+13.00%,64,구리가격 톤당 13000달러다 / 이주식 3년가까이 주주 / 인자봤네 구리가격 진짜 폭등이네;; / 어디까지 오를지도 이미진작 말씀드렸습니다ㅎㅎㅎ...[2],Positive (100%),"이상, 상승했어요, 개미들",False,"[{'title': '구리가격 톤당 13000달러다', 'date': '2026.01.06 10:16', 'views': '56', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=012800&nid=409712147&page=2', 'body': '', 'score': 176}, {'title': '호가 움직임 느릿', 'date': '2026.01.06 09:45', 'views': '21', 'likes': '4', 'dislikes': '3', 'link': '/item/board_read.naver?code=012800&nid=409707214&page=3', 'body': '', 'score': 141}, {'title': '인자봤네 구리가격 진짜 폭등이네;;', 'date': '2026.01.06 09:43', 'views': '26', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=012800&nid=409706982&page=3', 'body': '', 'score': 146}, {'title': '개미한티 물량 터는중', 'date': '2026.01.06 09:31', 'views': '16', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=012800&nid=409704860&page=3', 'body': '', 'score': 136}, {'title': '이주식 3년가까이 주주', 'date': '2026.01.06 09:30', 'views': '38', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=012800&nid=409704708&page=3', 'body': '', 'score': 158}, {'title': '어디까지 오를지도 이미진작 말씀드렸습니다ㅎㅎㅎ...[2]', 'date': '2026.01.06 11:52', 'views': '52', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=012800&nid=409724961&page=1', 'body': '', 'score': 142}, {'title': '개미들 갑자기 몰렷다', 'date': '2026.01.06 09:40', 'views': '13', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=012800&nid=409706402&page=3', 'body': '', 'score': 103}, {'title': '지린다', 'date': '2026.01.06 09:27', 'views': '4', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=012800&nid=409704167&page=3', 'body': '', 'score': 94}, {'title': '이정도면 만족..^^[1]', 'date': '2026.01.06 11:36', 'views': '44', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=012800&nid=409723113&page=1', 'body': '', 'score': 104}, {'title': '아까다보여드렸는데..[3]', 'date': '2026.01.06 10:57', 'views': '62', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=012800&nid=409718099&page=1', 'body': '', 'score': 122}]"
KOSDAQ,274090,켄코아에어로스페이스,22700,4.87%,18710,4.27%,+11.00%,129,"켄코아에어로스페이스, 미국 열처리 기업 인수[1] / 요즘핫한 우주항공 테마에 시총3천억밖에 ...[2] / 미국 열처리기업 알멕 히트트리팅 인수 분석 / 18000원? 아니",Negative (52%),"이제, 분봉상, 당첨",False,"[{'title': '요즘핫한 우주항공 테마에 시총3천억밖에 ...[2]', 'date': '2026.01.06 11:12', 'views': '91', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409720112&page=4', 'body': '', 'score': 241}, {'title': '켄코아에어로스페이스, 미국 열처리 기업 인수[1]', 'date': '2026.01.06 10:57', 'views': '150', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409718112&page=5', 'body': '', 'score': 300}, {'title': '18000원? 아니', 'date': '2026.01.06 09:07', 'views': '30', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=274090&nid=409700311&page=7', 'body': '', 'score': 180}, {'title': '""오후장, 방향 이미 정해졌습니다""', 'date': '2026.01.06 12:10', 'views': '8', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409726984&page=1', 'body': '', 'score': 128}, {'title': '미국 열처리기업 알멕 히트트리팅 인수 분석', 'date': '2026.01.06 11:07', 'views': '87', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409719393&page=5', 'body': '', 'score': 207}, {'title': '털리셨나요?[1]', 'date': '2026.01.06 11:01', 'views': '39', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=274090&nid=409718650&page=5', 'body': '', 'score': 159}, {'title': '여기 거기죠? 과일빙수파는가게', 'date': '2026.01.06 10:57', 'views': '21', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409718039&page=5', 'body': '', 'score': 141}, {'title': '우주는 켄코아가 정통이지 5천억은 가줘야...', 'date': '2026.01.06 10:39', 'views': '22', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409715457&page=6', 'body': '', 'score': 142}, {'title': '켄코아는 사이비...', 'date': '2026.01.06 11:55', 'views': '20', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409725234&page=1', 'body': '', 'score': 110}, {'title': '완존끝', 'date': '2026.01.06 11:53', 'views': '15', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=274090&nid=409725072&page=2', 'body': '', 'score': 105}]"
KOSPI,042700,한미반도체,177800,8.18%,144500,7.15%,+6.28%,476,이 그림은[4] / 말했잖아... 아침에 프로그램 매도는 겁주는거라...[3] / TC본더 시장 M/S 98% 공시[1] / 20까지?[1],Negative (56%),"오늘, 공매도, 오늘은",False,"[{'title': '이 그림은[4]', 'date': '2026.01.06 11:02', 'views': '295', 'likes': '27', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409718680&page=4', 'body': '', 'score': 1105}, {'title': '말했잖아... 아침에 프로그램 매도는 겁주는거라...[3]', 'date': '2026.01.06 10:53', 'views': '255', 'likes': '24', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409717489&page=5', 'body': '', 'score': 975}, {'title': 'TC본더 시장 M/S 98% 공시[1]', 'date': '2026.01.06 10:00', 'views': '242', 'likes': '21', 'dislikes': '3', 'link': '/item/board_read.naver?code=042700&nid=409709705&page=11', 'body': '', 'score': 872}, {'title': '신한 아직 정신 못차렸네', 'date': '2026.01.06 08:05', 'views': '48', 'likes': '20', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409695202&page=24', 'body': '', 'score': 648}, {'title': '사람 맘이 라는게 참...[3]', 'date': '2026.01.06 11:35', 'views': '200', 'likes': '16', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409722970&page=3', 'body': '', 'score': 680}, {'title': '결국[2]', 'date': '2026.01.06 10:34', 'views': '162', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409714761&page=6', 'body': '', 'score': 642}, {'title': '상승 초기진입 ㅋㅋㅋ[1]', 'date': '2026.01.06 10:59', 'views': '111', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409718383&page=5', 'body': '', 'score': 561}, {'title': '20까지?[1]', 'date': '2026.01.06 10:43', 'views': '248', 'likes': '15', 'dislikes': '2', 'link': '/item/board_read.naver?code=042700&nid=409715929&page=6', 'body': '', 'score': 698}, {'title': '오늘도 10프로 올려줌니다', 'date': '2026.01.06 11:01', 'views': '64', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409718605&page=4', 'body': '', 'score': 484}, {'title': '공매견들 발악하는거봐? 시외에서 떨궈 놓고 방...', 'date': '2026.01.06 09:43', 'views': '85', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409706950&page=13', 'body': '', 'score': 505}]"
KOSPI,012200,계양전기,8370,0.00%,7850,0.00%,+5.95%,125,현대자동차프리 초상승폭크다!! / 삼성에 례인보우  있다면  현대차에 계양전기 있... / 오늘장   로봇 테마주들 일제히 상승ㅡ강세 예... / 가만있으면되..,Negative (56%),"★★★, 오늘, 현대차",False,"[{'title': '현대자동차프리 초상승폭크다!!', 'date': '2026.01.06 08:11', 'views': '84', 'likes': '13', 'dislikes': '4', 'link': '/item/board_read.naver?code=012200&nid=409695564&page=7', 'body': '', 'score': 474}, {'title': '시원하게 정지먹고 가즈아', 'date': '2026.01.06 10:39', 'views': '30', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=012200&nid=409715382&page=2', 'body': '', 'score': 300}, {'title': '삼성에 례인보우  있다면  현대차에 계양전기 있...', 'date': '2026.01.06 10:25', 'views': '46', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=012200&nid=409713517&page=2', 'body': '', 'score': 316}, {'title': '안정적,,,', 'date': '2026.01.06 10:12', 'views': '21', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=012200&nid=409711605&page=3', 'body': '', 'score': 291}, {'title': '오늘장   로봇 테마주들 일제히 상승ㅡ강세 예...', 'date': '2026.01.06 08:34', 'views': '41', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=012200&nid=409697272&page=7', 'body': '', 'score': 311}, {'title': '가만있으면되..', 'date': '2026.01.06 10:06', 'views': '67', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=012200&nid=409710681&page=3', 'body': '', 'score': 307}, {'title': '가치투자 이 친구는 ㅋㅋㅋ', 'date': '2026.01.06 11:39', 'views': '52', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=012200&nid=409723479&page=1', 'body': '', 'score': 262}, {'title': '진즉 출근 했씀다♡♡♡ 모베드 ᆢ', 'date': '2026.01.06 10:51', 'views': '54', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=012200&nid=409717178&page=2', 'body': '', 'score': 264}, {'title': '차근 차근 물량소화하면서', 'date': '2026.01.06 10:22', 'views': '48', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=012200&nid=409712968&page=2', 'body': '', 'score': 258}, {'title': '우선주 에서 이사 왔어요', 'date': '2026.01.06 10:21', 'views': '32', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=012200&nid=409712958&page=2', 'body': '', 'score': 242}]"
KOSDAQ,950250,테라뷰,12650,0.00%,9780,0.00%,+5.95%,191,어제 거래량을 보시오[2] / 테라뷰 / 오늘 / 3달정도면. 5만원대에서. 논다,Negative (58%),"오늘, 테라뷰, 반도체",False,"[{'title': '테라뷰', 'date': '2026.01.06 11:11', 'views': '40', 'likes': '9', 'dislikes': '5', 'link': '/item/board_read.naver?code=950250&nid=409719999&page=1', 'body': '', 'score': 310}, {'title': '어제 거래량을 보시오[2]', 'date': '2026.01.06 10:42', 'views': '191', 'likes': '9', 'dislikes': '3', 'link': '/item/board_read.naver?code=950250&nid=409715828&page=3', 'body': '', 'score': 461}, {'title': '오늘', 'date': '2026.01.06 09:07', 'views': '26', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=950250&nid=409700242&page=9', 'body': '', 'score': 296}, {'title': '3달정도면. 5만원대에서. 논다', 'date': '2026.01.06 11:08', 'views': '45', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=950250&nid=409719647&page=1', 'body': '', 'score': 285}, {'title': '삼성이 지분 7%투자 엔비디아 공급', 'date': '2026.01.06 10:11', 'views': '62', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=950250&nid=409711314&page=4', 'body': '', 'score': 272}, {'title': '삼성벤처투자, 삼성증권이 6프로 지분 보유 왜 ...[1]', 'date': '2026.01.06 10:01', 'views': '54', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=950250&nid=409709846&page=5', 'body': '', 'score': 264}, {'title': '포춘 500대 기업에 1년도 아니고 ...', 'date': '2026.01.06 11:24', 'views': '101', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=950250&nid=409721586&page=1', 'body': '', 'score': 281}, {'title': '16층 살려주세요~', 'date': '2026.01.06 10:12', 'views': '34', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=950250&nid=409711583&page=4', 'body': '', 'score': 214}, {'title': '상 간다 꽉 붙잡아~!', 'date': '2026.01.06 09:56', 'views': '11', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=950250&nid=409709029&page=5', 'body': '', 'score': 191}, {'title': '여기 주포행님', 'date': '2026.01.06 09:56', 'views': '10', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=950250&nid=409709012&page=5', 'body': '', 'score': 190}]"
