종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,latest_posts,code
CS,1872,+30.00%,25,KOSDAQ,,"[{'title': '내일 종가도 상한가 2430원', 'likes': '21', 'link': '/item/board_read.naver?code=065770&nid=416861874&page=1', 'body': ''}, {'title': '요즘 상풀리는게 유행인데 CS는 철통이네...[1]', 'likes': '11', 'link': '/item/board_read.naver?code=065770&nid=416853140&page=1', 'body': ''}, {'title': '역시가 역시네![3]', 'likes': '11', 'link': '/item/board_read.naver?code=065770&nid=416843173&page=1', 'body': ''}, {'title': '종가 상한가가 확실하다', 'likes': '11', 'link': '/item/board_read.naver?code=065770&nid=416817640&page=1', 'body': ''}, {'title': '시총 363억. 이제 투자주의', 'likes': '9', 'link': '/item/board_read.naver?code=065770&nid=416888772&page=1', 'body': ''}]",065770
다날,7800,+30.00%,299,KOSDAQ,,"[{'title': '3상은치겠죠?[5]', 'likes': '24', 'link': '/item/board_read.naver?code=064260&nid=416818833&page=13', 'body': ''}, {'title': '내일 절대로 물량 털리지 마라!', 'likes': '23', 'link': '/item/board_read.naver?code=064260&nid=416883427&page=2', 'body': ''}, {'title': '화요일 상. 수요일 상 부탁드립니다[3]', 'likes': '15', 'link': '/item/board_read.naver?code=064260&nid=416871952&page=3', 'body': ''}, {'title': '■9천~일만원 뚫는다..', 'likes': '15', 'link': '/item/board_read.naver?code=064260&nid=416842765&page=7', 'body': ''}, {'title': '카페 주주로서 한마디만 하겠소', 'likes': '14', 'link': '/item/board_read.naver?code=064260&nid=416880786&page=2', 'body': ''}]",064260
제이케이시냅스,663,+30.00%,21,KOSDAQ,,"[{'title': '상폐시즌에 이런종목[2]', 'likes': '12', 'link': '/item/board_read.naver?code=060230&nid=416827077&page=1', 'body': ''}, {'title': '아 결국 올라오네[1]', 'likes': '8', 'link': '/item/board_read.naver?code=060230&nid=416833122&page=1', 'body': ''}, {'title': '거즌 6백만주 출현인데 낼 잡아먹고 올릴려나 ...', 'likes': '4', 'link': '/item/board_read.naver?code=060230&nid=416872360&page=1', 'body': ''}, {'title': '1000각', 'likes': '4', 'link': '/item/board_read.naver?code=060230&nid=416828356&page=1', 'body': ''}, {'title': '단타로 130만원꿀꺽', 'likes': '4', 'link': '/item/board_read.naver?code=060230&nid=416815603&page=1', 'body': ''}]",060230
풍산홀딩스,47250,+29.99%,275,KOSPI,,"[{'title': '한에 공시 냈으니깐 보고와[1]', 'likes': '30', 'link': '/item/board_read.naver?code=005810&nid=416830042&page=11', 'body': ''}, {'title': '아침에 5백만주도 상 풀렸는데[2]', 'likes': '17', 'link': '/item/board_read.naver?code=005810&nid=416862122&page=3', 'body': ''}, {'title': '한화에어로스페이스  공시 해석', 'likes': '16', 'link': '/item/board_read.naver?code=005810&nid=416853419&page=5', 'body': ''}, {'title': '전문가들이  상한가 3방 이상나온다보  썰까네...', 'likes': '15', 'link': '/item/board_read.naver?code=005810&nid=416857090&page=4', 'body': ''}, {'title': '지금 매매창구를 잘 봐봐[2]', 'likes': '14', 'link': '/item/board_read.naver?code=005810&nid=416859365&page=4', 'body': ''}]",005810
이노인스트루먼트,1574,+29.98%,73,KOSDAQ,,"[{'title': '내일도 상한가 2045원', 'likes': '32', 'link': '/item/board_read.naver?code=215790&nid=416875759&page=1', 'body': ''}, {'title': '부럽습돠', 'likes': '15', 'link': '/item/board_read.naver?code=215790&nid=416850951&page=2', 'body': ''}, {'title': '아직도 시총 634억. 이노인스트루먼트 분석', 'likes': '13', 'link': '/item/board_read.naver?code=215790&nid=416888667&page=1', 'body': ''}, {'title': '광통대장', 'likes': '13', 'link': '/item/board_read.naver?code=215790&nid=416848574&page=2', 'body': ''}, {'title': '두말하면 잔소리다', 'likes': '13', 'link': '/item/board_read.naver?code=215790&nid=416814938&page=3', 'body': ''}]",215790
한패스,19170,+29.97%,225,KOSDAQ,,"[{'title': '하도 씨게 물려서 상한가 감흥도 없네 ㅋㅋ[6]', 'likes': '14', 'link': '/item/board_read.naver?code=408470&nid=416866986&page=1', 'body': ''}, {'title': '저는 오늘 한패스땜에 주식 접습니다[4]', 'likes': '13', 'link': '/item/board_read.naver?code=408470&nid=416864508&page=2', 'body': ''}, {'title': '평단 47,000원입니다 ㅎㅎㅎㅎㅎㅎ[3]', 'likes': '11', 'link': '/item/board_read.naver?code=408470&nid=416817816&page=11', 'body': ''}, {'title': '보원케미칼도 문닫음 이종목도 상장한지 이틀됨', 'likes': '10', 'link': '/item/board_read.naver?code=408470&nid=416854459&page=6', 'body': ''}, {'title': '신규 상장주 손대다간 패가 망신(Feat. 에...[2]', 'likes': '9', 'link': '/item/board_read.naver?code=408470&nid=416869795&page=1', 'body': ''}]",408470
광전자,5790,+29.97%,232,KOSPI,,"[{'title': '내일도 상한가 7520원[1]', 'likes': '37', 'link': '/item/board_read.naver?code=017900&nid=416862093&page=3', 'body': ''}, {'title': '(내일 상한가) 젠슨황 1픽 주식[2]', 'likes': '24', 'link': '/item/board_read.naver?code=017900&nid=416881482&page=2', 'body': ''}, {'title': '빅테크 기업들  테이터 센터  전력비용 과다로...[3]', 'likes': '22', 'link': '/item/board_read.naver?code=017900&nid=416881969&page=1', 'body': ''}, {'title': '光전자가[6]', 'likes': '20', 'link': '/item/board_read.naver?code=017900&nid=416863730&page=3', 'body': ''}, {'title': '실리콘포토닉스, 광섬유, 마이크로 TAS', 'likes': '19', 'link': '/item/board_read.naver?code=017900&nid=416873693&page=2', 'body': ''}]",017900
진영,2220,+29.90%,100,KOSDAQ,,"[{'title': 'cb발행뉴스뜨고 상한가 갔다.[1]', 'likes': '9', 'link': '/item/board_read.naver?code=285800&nid=416879674&page=1', 'body': ''}, {'title': '지금 사면 대박이지', 'likes': '9', 'link': '/item/board_read.naver?code=285800&nid=416874458&page=2', 'body': ''}, {'title': '13:24', 'likes': '6', 'link': '/item/board_read.naver?code=285800&nid=416883876&page=1', 'body': ''}, {'title': '시간외하한가[3]', 'likes': '6', 'link': '/item/board_read.naver?code=285800&nid=416877645&page=1', 'body': ''}, {'title': '망했네', 'likes': '6', 'link': '/item/board_read.naver?code=285800&nid=416870687&page=2', 'body': ''}]",285800
모비릭스,3240,+29.86%,30,KOSDAQ,,"[{'title': '4년 연속 영업적자였어 상폐전에 물량 넘기기 ...', 'likes': '5', 'link': '/item/board_read.naver?code=348030&nid=416826242&page=2', 'body': ''}, {'title': '시외 한번 깨지거 보니까 오늘 올린 개미 내일...[1]', 'likes': '3', 'link': '/item/board_read.naver?code=348030&nid=416875396&page=1', 'body': ''}, {'title': '구조대 도착', 'likes': '3', 'link': '/item/board_read.naver?code=348030&nid=416845128&page=1', 'body': ''}, {'title': '뭐가 있나보네', 'likes': '3', 'link': '/item/board_read.naver?code=348030&nid=416831548&page=1', 'body': ''}, {'title': '낼 시초에 던져라[1]', 'likes': '2', 'link': '/item/board_read.naver?code=348030&nid=416878980&page=1', 'body': ''}]",348030
프로이천,2450,+29.84%,87,KOSDAQ,,"[{'title': '상풀리면 주포 매집이다 ㅋ[1]', 'likes': '10', 'link': '/item/board_read.naver?code=321260&nid=416855661&page=3', 'body': ''}, {'title': '애플을 애플이라고 말을 못해~ ㅋㅋ 공시...[1]', 'likes': '9', 'link': '/item/board_read.naver?code=321260&nid=416878762&page=1', 'body': ''}, {'title': '무려 애플인데[1]', 'likes': '9', 'link': '/item/board_read.naver?code=321260&nid=416857113&page=2', 'body': ''}, {'title': '추카드려요 들[1]', 'likes': '8', 'link': '/item/board_read.naver?code=321260&nid=416879589&page=1', 'body': ''}, {'title': '프로이천', 'likes': '8', 'link': '/item/board_read.naver?code=321260&nid=416857531&page=2', 'body': ''}]",321260
보원케미칼,11070,+22.05%,296,KOSDAQ,,"[{'title': '시외매동 알려줄께[1]', 'likes': '19', 'link': '/item/board_read.naver?code=0010F0&nid=416878111&page=6', 'body': ''}, {'title': 'ㅋㅋㅋ속보봣지? 내그럴줄알앗다. 10퍼 그냥먹...[1]', 'likes': '11', 'link': '/item/board_read.naver?code=0010F0&nid=416886823&page=3', 'body': ''}, {'title': '흥구석유,현대에너지솔루션, 흥아해운,태경 케미...', 'likes': '10', 'link': '/item/board_read.naver?code=0010F0&nid=416887336&page=2', 'body': ''}, {'title': '하따한 사람이 승자네', 'likes': '10', 'link': '/item/board_read.naver?code=0010F0&nid=416883039&page=4', 'body': ''}, {'title': '하한가에[3]', 'likes': '9', 'link': '/item/board_read.naver?code=0010F0&nid=416878245&page=6', 'body': ''}]",0010F0
씨엔플러스,404,+21.32%,25,KOSDAQ,,"[{'title': '하~~~[1]', 'likes': '8', 'link': '/item/board_read.naver?code=115530&nid=416870934&page=1', 'body': ''}, {'title': '오늘 깔끔하네', 'likes': '8', 'link': '/item/board_read.naver?code=115530&nid=416861052&page=1', 'body': ''}, {'title': '첫 상 가는 날.', 'likes': '8', 'link': '/item/board_read.naver?code=115530&nid=416855395&page=1', 'body': ''}, {'title': '■ 오늘은 5%~10% 정도 상승 마감 예상됨[2]', 'likes': '6', 'link': '/item/board_read.naver?code=115530&nid=416818077&page=1', 'body': ''}, {'title': '이제 조급한건', 'likes': '5', 'link': '/item/board_read.naver?code=115530&nid=416812087&page=1', 'body': ''}]",115530
남선알미늄,2130,+18.01%,298,KOSPI,,"[{'title': '시외 1970원에[2]', 'likes': '19', 'link': '/item/board_read.naver?code=008350&nid=416885553&page=2', 'body': ''}, {'title': '이란이  공식거부!', 'likes': '19', 'link': '/item/board_read.naver?code=008350&nid=416884409&page=2', 'body': ''}, {'title': '<속보> 이란이 중재안 거부함[1]', 'likes': '18', 'link': '/item/board_read.naver?code=008350&nid=416885946&page=2', 'body': ''}, {'title': '트럼프는 걍 명분쌓기야', 'likes': '17', 'link': '/item/board_read.naver?code=008350&nid=416885393&page=2', 'body': ''}, {'title': '시외 털린넘들은[1]', 'likes': '16', 'link': '/item/board_read.naver?code=008350&nid=416882277&page=3', 'body': ''}]",008350
디이엔티,5040,+17.62%,27,KOSDAQ,,"[{'title': '오랜만에 큰 거래량이 들어왔습니다[4]', 'likes': '8', 'link': '/item/board_read.naver?code=079810&nid=416848740&page=1', 'body': ''}, {'title': '얼척없네요[3]', 'likes': '7', 'link': '/item/board_read.naver?code=079810&nid=416857440&page=1', 'body': ''}, {'title': '지켜보자구[2]', 'likes': '6', 'link': '/item/board_read.naver?code=079810&nid=416843536&page=1', 'body': ''}, {'title': '상호가 얼마나 뭐 같았으면 ㅋ', 'likes': '5', 'link': '/item/board_read.naver?code=079810&nid=416860040&page=1', 'body': ''}, {'title': '아무런 이슈없이 급등하는게 좋은거 아...[1]', 'likes': '5', 'link': '/item/board_read.naver?code=079810&nid=416854314&page=1', 'body': ''}]",079810
