취합날짜,취합시간,시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts,외인변화,scraper_version,date
2026-01-19,15:00,KOSPI,454910,두산로보틱스,107300,4.03%,91300.0,3.98%,+18.69%,234,주식시장에서 제일 한심한 부류[1] / 110 쌍봉 뜨길래 팔고 나옴[2] / 오늘 흔들다가 / 두산로보틱스 나왔습니다.[1],Positive (60%),"오늘, 상한가, 두산로보틱스",0,"[{'title': '오늘 흔들다가', 'date': '2026.01.19 14:12', 'views': '95', 'likes': '9', 'dislikes': '5', 'link': '/item/board_read.naver?code=454910&nid=410605324&page=1', 'body': '', 'score': 365}, {'title': '주식시장에서 제일 한심한 부류[1]', 'date': '2026.01.19 10:04', 'views': '153', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=454910&nid=410569069&page=7', 'body': '', 'score': 423}, {'title': '이걸 못드시고던지네 ㅠ', 'date': '2026.01.19 12:56', 'views': '63', 'likes': '7', 'dislikes': '5', 'link': '/item/board_read.naver?code=454910&nid=410595378&page=3', 'body': '', 'score': 273}, {'title': '오늘 상치면', 'date': '2026.01.19 12:47', 'views': '47', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=454910&nid=410594357&page=3', 'body': '', 'score': 257}, {'title': '이거 상한가 못가게', 'date': '2026.01.19 11:30', 'views': '90', 'likes': '6', 'dislikes': '4', 'link': '/item/board_read.naver?code=454910&nid=410583844&page=4', 'body': '', 'score': 270}, {'title': '110 쌍봉 뜨길래 팔고 나옴[2]', 'date': '2026.01.19 10:56', 'views': '243', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=454910&nid=410578243&page=5', 'body': '', 'score': 423}, {'title': '이넘아 ^^', 'date': '2026.01.19 09:38', 'views': '47', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=454910&nid=410564280&page=8', 'body': '', 'score': 227}, {'title': '딱 세가지 종목', 'date': '2026.01.19 14:23', 'views': '132', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=454910&nid=410606913&page=1', 'body': '', 'score': 282}, {'title': '내가사니까 개흘러리네', 'date': '2026.01.19 12:48', 'views': '31', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=454910&nid=410594509&page=3', 'body': '', 'score': 181}, {'title': '두산로보틱스 나왔습니다.[1]', 'date': '2026.01.19 11:44', 'views': '199', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=454910&nid=410585986&page=4', 'body': '', 'score': 349}]",,,
2026-01-19,19:32,KOSDAQ,250060,모비스,5210,3.88%,4205.0,1.42%,+23.90%,103,가능한 사업이겠죠?[1] / 주총때  양수자...[1] / ■글로벌뉴스 : 아이온큐(IonQ)■[1] / 아이온큐 자회사 ‘아이디퀀티크’,Positive (72%),"모비스, 이상, 상승했어요",0,"[{'title': '시총 1600억 훗훗', 'date': '2026.01.19 17:32', 'views': '164', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=250060&nid=410625973&page=1', 'body': '', 'score': 374}, {'title': '아이온큐 자회사 ‘아이디퀀티크’', 'date': '2026.01.19 17:31', 'views': '187', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=250060&nid=410625961&page=1', 'body': '', 'score': 397}, {'title': '■글로벌뉴스 : 아이온큐(IonQ)■[1]', 'date': '2026.01.19 17:13', 'views': '190', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=250060&nid=410625001&page=1', 'body': '', 'score': 400}, {'title': '가능한 사업이겠죠?[1]', 'date': '2026.01.19 10:28', 'views': '203', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=250060&nid=410573011&page=4', 'body': '', 'score': 413}, {'title': '모비스 시간외상승 +110[1]', 'date': '2026.01.19 17:51', 'views': '168', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=250060&nid=410627029&page=1', 'body': '', 'score': 348}, {'title': '주총때  양수자...[1]', 'date': '2026.01.19 15:35', 'views': '230', 'likes': '6', 'dislikes': '4', 'link': '/item/board_read.naver?code=250060&nid=410617398&page=2', 'body': '', 'score': 410}, {'title': '지금 사서 내일 상한가 함더 먹으세요', 'date': '2026.01.19 13:47', 'views': '79', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=250060&nid=410601553&page=2', 'body': '', 'score': 259}, {'title': '오를 이유 단 1 도 없다[2]', 'date': '2026.01.19 12:20', 'views': '187', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=250060&nid=410590998&page=3', 'body': '', 'score': 367}, {'title': '우와~미친듯이 오르네[1]', 'date': '2026.01.19 10:57', 'views': '125', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=250060&nid=410578462&page=4', 'body': '', 'score': 305}, {'title': '기다리는 자에게 복이 옵니다 ^^', 'date': '2026.01.19 09:24', 'views': '76', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=250060&nid=410561198&page=5', 'body': '', 'score': 256}]",,,
2026-01-19,19:32,KOSDAQ,47310,파워로직스,5870,1.96%,5040.0,1.90%,+16.47%,114,"공매도물량죽어났네~[1] / 로봇의 심장[1] / 거래량  하루 1,200만주가 저점에서 터졌다[1] / 종가 6000원 위로 마감 해주세요.[2]",Positive (76%),"이상, 상승했어요, ...",0,"[{'title': '로봇주로 안오른 황금주 아니긋나', 'date': '2026.01.19 17:02', 'views': '68', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=047310&nid=410624322&page=1', 'body': '', 'score': 218}, {'title': '파워로직스야 오늘 그래도 15%이상 올라줘서 너...', 'date': '2026.01.19 13:21', 'views': '80', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=047310&nid=410598373&page=2', 'body': '', 'score': 230}, {'title': '아... 중장기 봐야겠네.. 초전도체+아틀라스 ...', 'date': '2026.01.19 11:45', 'views': '56', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=047310&nid=410586197&page=4', 'body': '', 'score': 206}, {'title': '로봇의 심장[1]', 'date': '2026.01.19 09:55', 'views': '150', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=047310&nid=410567559&page=6', 'body': '', 'score': 300}, {'title': '공매도물량죽어났네~[1]', 'date': '2026.01.19 15:28', 'views': '225', 'likes': '4', 'dislikes': '3', 'link': '/item/board_read.naver?code=047310&nid=410616542&page=1', 'body': '', 'score': 345}, {'title': '종가 6000원 위로 마감 해주세요.[2]', 'date': '2026.01.19 15:01', 'views': '136', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=047310&nid=410612741&page=1', 'body': '', 'score': 256}, {'title': '거래량  하루 1,200만주가 저점에서 터졌다[1]', 'date': '2026.01.19 18:08', 'views': '175', 'likes': '3', 'dislikes': '4', 'link': '/item/board_read.naver?code=047310&nid=410627899&page=1', 'body': '', 'score': 265}, {'title': '모베 시외오르니', 'date': '2026.01.19 17:37', 'views': '70', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=047310&nid=410626301&page=1', 'body': '', 'score': 160}, {'title': '단일가 예고뜬다', 'date': '2026.01.19 17:05', 'views': '103', 'likes': '3', 'dislikes': '7', 'link': '/item/board_read.naver?code=047310&nid=410624497&page=1', 'body': '', 'score': 193}, {'title': '20분 후 출발할듯.[3]', 'date': '2026.01.19 14:28', 'views': '117', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=047310&nid=410607741&page=1', 'body': '', 'score': 207}]",,,
2026-01-19,19:32,KOSPI,33530,SJG세종,11410,5.93%,10140.0,5.26%,+12.52%,132,"시외부터 내일까지 또 간당[2] / 11,490원에 우선 2,500주 매수[1] / 2011년 4월26일[1] / 12620 상방안착하믄",Positive (72%),"오늘은, 상한가, 세종",0,"[{'title': '12620 상방안착하믄', 'date': '2026.01.19 11:31', 'views': '31', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=033530&nid=410584050&page=5', 'body': '', 'score': 211}, {'title': '거래량  조금만', 'date': '2026.01.19 09:48', 'views': '30', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=033530&nid=410566066&page=7', 'body': '', 'score': 210}, {'title': '2011년 4월26일[1]', 'date': '2026.01.19 17:57', 'views': '66', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=033530&nid=410627392&page=1', 'body': '', 'score': 216}, {'title': '오늘자 특징주 뉴스로인해 현대차로봇주...[1]', 'date': '2026.01.19 18:28', 'views': '68', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=033530&nid=410628843&page=1', 'body': '', 'score': 188}, {'title': '오늘 털렸구먼', 'date': '2026.01.19 15:24', 'views': '58', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=033530&nid=410616053&page=1', 'body': '', 'score': 178}, {'title': '시외부터 내일까지 또 간당[2]', 'date': '2026.01.19 15:20', 'views': '126', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=033530&nid=410615480&page=1', 'body': '', 'score': 246}, {'title': '카악~퉤', 'date': '2026.01.19 14:18', 'views': '29', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=033530&nid=410606220&page=2', 'body': '', 'score': 149}, {'title': '11,490원에 우선 2,500주 매수[1]', 'date': '2026.01.19 13:42', 'views': '98', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=033530&nid=410600872&page=2', 'body': '', 'score': 218}, {'title': '다 파라뿓는데[1]', 'date': '2026.01.19 13:07', 'views': '63', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=033530&nid=410596730&page=3', 'body': '', 'score': 183}, {'title': '세계최고평가에 ,,,에라이개잡주[2]', 'date': '2026.01.19 12:29', 'views': '88', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=033530&nid=410592269&page=3', 'body': '', 'score': 208}]",,,
2026-01-19,19:32,KOSPI,92780,DYP,8430,,7890.0,,+6.84%,147,주차완벽하다[2] / 폭등의 끝은 과연 어디일까요? / 1. 12 자 모베이스 전자랑 닮은꼴..[4] / DYP 회사는?,Positive (60%),"오늘, 내일, 오늘은",0,"[{'title': '갈거 아니까 개미들이 붙어서 내릴수가 없...[1]', 'date': '2026.01.19 14:53', 'views': '122', 'likes': '10', 'dislikes': '5', 'link': '/item/board_read.naver?code=092780&nid=410611501&page=2', 'body': '', 'score': 422}, {'title': '주차완벽하다[2]', 'date': '2026.01.19 15:31', 'views': '347', 'likes': '9', 'dislikes': '3', 'link': '/item/board_read.naver?code=092780&nid=410616867&page=1', 'body': '', 'score': 617}, {'title': '종가 9000원 전후, 도지일봉', 'date': '2026.01.19 14:25', 'views': '136', 'likes': '9', 'dislikes': '4', 'link': '/item/board_read.naver?code=092780&nid=410607271&page=2', 'body': '', 'score': 406}, {'title': '1. 12 자 모베이스 전자랑 닮은꼴..[4]', 'date': '2026.01.19 13:09', 'views': '228', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=092780&nid=410596997&page=3', 'body': '', 'score': 498}, {'title': '얼마나 가려고', 'date': '2026.01.19 09:36', 'views': '62', 'likes': '9', 'dislikes': '4', 'link': '/item/board_read.naver?code=092780&nid=410563860&page=7', 'body': '', 'score': 332}, {'title': 'DYP 회사는?', 'date': '2026.01.19 08:16', 'views': '158', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=092780&nid=410552695&page=8', 'body': '', 'score': 428}, {'title': '폭등의 끝은 과연 어디일까요?', 'date': '2026.01.19 15:43', 'views': '266', 'likes': '8', 'dislikes': '3', 'link': '/item/board_read.naver?code=092780&nid=410618252&page=1', 'body': '', 'score': 506}, {'title': '낼부터 ...', 'date': '2026.01.19 15:29', 'views': '99', 'likes': '8', 'dislikes': '4', 'link': '/item/board_read.naver?code=092780&nid=410616751&page=1', 'body': '', 'score': 339}, {'title': '거봐라 안털리니 결국엔 살수밖에 없다[1]', 'date': '2026.01.19 15:29', 'views': '115', 'likes': '7', 'dislikes': '4', 'link': '/item/board_read.naver?code=092780&nid=410616676&page=1', 'body': '', 'score': 325}, {'title': '내일  장대양봉  상한가[2]', 'date': '2026.01.19 15:25', 'views': '163', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=092780&nid=410616258&page=1', 'body': '', 'score': 373}]",,,
2026-01-19,19:32,KOSDAQ,12860,모베이스전자,5720,1.54%,5680.0,1.93%,+0.70%,562,공시도 못보는 주린이들아 그냥 주식 ...[5] / 다시말하지만 가격조정 쉽게 안나와[1] / 허접 휴림로봇도 1만6천대 돌파하는 시국에 모... / 현재.......,Positive (55%),"오늘, 정지, 내일",0,"[{'title': '다시말하지만 가격조정 쉽게 안나와[1]', 'date': '2026.01.19 18:19', 'views': '452', 'likes': '29', 'dislikes': '3', 'link': '/item/board_read.naver?code=012860&nid=410628448&page=1', 'body': '', 'score': 1322}, {'title': '허접 휴림로봇도 1만6천대 돌파하는 시국에 모...', 'date': '2026.01.19 18:18', 'views': '191', 'likes': '25', 'dislikes': '1', 'link': '/item/board_read.naver?code=012860&nid=410628393&page=2', 'body': '', 'score': 941}, {'title': '현재.......', 'date': '2026.01.19 19:00', 'views': '140', 'likes': '24', 'dislikes': '1', 'link': '/item/board_read.naver?code=012860&nid=410630173&page=1', 'body': '', 'score': 860}, {'title': '공시도 못보는 주린이들아 그냥 주식 ...[5]', 'date': '2026.01.19 18:27', 'views': '641', 'likes': '23', 'dislikes': '7', 'link': '/item/board_read.naver?code=012860&nid=410628774&page=1', 'body': '', 'score': 1331}, {'title': '정지되도 그담날 쩜상이네...[1]', 'date': '2026.01.19 18:00', 'views': '177', 'likes': '20', 'dislikes': '5', 'link': '/item/board_read.naver?code=012860&nid=410627502&page=2', 'body': '', 'score': 777}, {'title': '내일 정지 아니면 일찌감치 상칠듯[1]', 'date': '2026.01.19 17:57', 'views': '237', 'likes': '20', 'dislikes': '8', 'link': '/item/board_read.naver?code=012860&nid=410627395&page=2', 'body': '', 'score': 837}, {'title': '명분이 있다3', 'date': '2026.01.19 18:45', 'views': '237', 'likes': '19', 'dislikes': '2', 'link': '/item/board_read.naver?code=012860&nid=410629551&page=1', 'body': '', 'score': 807}, {'title': '시외 개몰빵 뒤져보자[1]', 'date': '2026.01.19 17:58', 'views': '150', 'likes': '19', 'dislikes': '7', 'link': '/item/board_read.naver?code=012860&nid=410627402&page=2', 'body': '', 'score': 720}, {'title': '겨우 3배가지고 ㅋㅋ  계양이때쯤에 어마어...', 'date': '2026.01.19 17:00', 'views': '199', 'likes': '19', 'dislikes': '1', 'link': '/item/board_read.naver?code=012860&nid=410624218&page=3', 'body': '', 'score': 769}, {'title': '팔고 가실분들은 가세요~ㅎㅎ', 'date': '2026.01.19 16:50', 'views': '234', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=012860&nid=410623565&page=3', 'body': '', 'score': 774}]",,,
2026-01-20,10:39,KOSDAQ,50110,캠시스,873,2.10%,517.0,3.79%,+29.91%,42,연상 의미있냐?[3] / 30프로 상한가 먹고 갑니다.[2] / 유증 감자 / 현대차와 ai 관련주로엮인 캠시스,Positive (100%),"상한가, 캠시스, 텐배거",0,"[{'title': '연상 의미있냐?[3]', 'date': '2026.01.20 09:30', 'views': '166', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410655128&page=1', 'body': '', 'score': 376}, {'title': '30프로 상한가 먹고 갑니다.[2]', 'date': '2026.01.20 09:31', 'views': '103', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410655419&page=1', 'body': '', 'score': 283}, {'title': '상한가 3번 맞아도 -72프로', 'date': '2026.01.20 10:02', 'views': '34', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410661395&page=1', 'body': '', 'score': 124}, {'title': '현대차와 ai 관련주로엮인 캠시스', 'date': '2026.01.20 09:11', 'views': '86', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=050110&nid=410650212&page=2', 'body': '', 'score': 176}, {'title': '유증 감자', 'date': '2026.01.20 08:39', 'views': '90', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410645748&page=3', 'body': '', 'score': 180}, {'title': '현대차[1]', 'date': '2026.01.20 09:51', 'views': '79', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410659383&page=1', 'body': '', 'score': 139}, {'title': '엮이면 기본 10배임', 'date': '2026.01.20 09:27', 'views': '56', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410654461&page=1', 'body': '', 'score': 116}, {'title': '현대로봇과 협력설[1]', 'date': '2026.01.20 09:22', 'views': '91', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410653007&page=2', 'body': '', 'score': 151}, {'title': '상좀 그만풀어[1]', 'date': '2026.01.20 09:18', 'views': '62', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410652087&page=2', 'body': '', 'score': 122}, {'title': '캠시스', 'date': '2026.01.20 09:10', 'views': '45', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=050110&nid=410649971&page=2', 'body': '', 'score': 105}]",,,
2026-01-20,10:39,KOSDAQ,67290,JW신약,2330,1.36%,2070.0,0.82%,+16.21%,42,안전벨트 하고[1] / 중외제약 상칠려고한다 / 보통 호재는 아닌가보네 / 여기는 종토방이,Positive (88%),"이상, 상승했어요, 개인들아",0,"[{'title': '빠르게 움직이신분들은 다 챙겨가셨네요.', 'date': '2026.01.20 09:38', 'views': '33', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=067290&nid=410657088&page=2', 'body': '', 'score': 153}, {'title': '안전벨트 하고[1]', 'date': '2026.01.20 09:17', 'views': '47', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=067290&nid=410651645&page=2', 'body': '', 'score': 167}, {'title': '여기는 종토방이', 'date': '2026.01.20 08:37', 'views': '35', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=067290&nid=410645600&page=3', 'body': '', 'score': 155}, {'title': '중외제약 상칠려고한다', 'date': '2026.01.20 08:04', 'views': '45', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=067290&nid=410642456&page=3', 'body': '', 'score': 165}, {'title': '보통 호재는 아닌가보네', 'date': '2026.01.20 09:39', 'views': '74', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=067290&nid=410657268&page=2', 'body': '', 'score': 164}, {'title': '머리가 자라나...JW중외, 탈모치료...', 'date': '2026.01.20 10:34', 'views': '32', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=067290&nid=410667077&page=1', 'body': '', 'score': 92}, {'title': '개인들아 팔지마라 후회합니다', 'date': '2026.01.20 09:57', 'views': '69', 'likes': '2', 'dislikes': '2', 'link': '/item/board_read.naver?code=067290&nid=410660620&page=1', 'body': '', 'score': 129}, {'title': '뚜껑 열리네', 'date': '2026.01.20 09:56', 'views': '28', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=067290&nid=410660439&page=1', 'body': '', 'score': 88}, {'title': '왜케흘러내리냐', 'date': '2026.01.20 09:44', 'views': '21', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=067290&nid=410658207&page=1', 'body': '', 'score': 81}, {'title': '뭐냐', 'date': '2026.01.20 09:36', 'views': '26', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=067290&nid=410656679&page=2', 'body': '', 'score': 86}]",,,
2026-01-20,10:39,KOSDAQ,3310,대주산업,4695,3.17%,3885.0,3.27%,+14.37%,59,"20%에서 8%까짘ㅋㅋㅋ 떨어졌을때[1] / 이제 대주산업,육일이 대장주 순환매 차례 / 호랑이 없는굴에 늑대가 대장이다..[2] / 무조건 상따[1]",Positive (69%),"이상, 상승했어요, 이제",0,"[{'title': '이제 대주산업,육일이 대장주 순환매 차례', 'date': '2026.01.20 08:33', 'views': '40', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=003310&nid=410645167&page=3', 'body': '', 'score': 190}, {'title': '빠르게 움직이신분들은 다 챙겨가셨네요.', 'date': '2026.01.20 09:36', 'views': '40', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=003310&nid=410656564&page=2', 'body': '', 'score': 160}, {'title': 'ㄹㅇ 정치테마주 움직임이네 ㅋㅋㅋㅋㅋ', 'date': '2026.01.20 09:21', 'views': '27', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=003310&nid=410652739&page=3', 'body': '', 'score': 147}, {'title': '호랑이 없는굴에 늑대가 대장이다..[2]', 'date': '2026.01.20 09:51', 'views': '80', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=003310&nid=410659540&page=1', 'body': '', 'score': 170}, {'title': '외인이 쓸어담는다', 'date': '2026.01.20 09:40', 'views': '61', 'likes': '3', 'dislikes': '3', 'link': '/item/board_read.naver?code=003310&nid=410657512&page=2', 'body': '', 'score': 151}, {'title': '20%에서 8%까짘ㅋㅋㅋ 떨어졌을때[1]', 'date': '2026.01.20 09:36', 'views': '122', 'likes': '3', 'dislikes': '3', 'link': '/item/board_read.naver?code=003310&nid=410656651&page=2', 'body': '', 'score': 212}, {'title': '완존[1]', 'date': '2026.01.20 09:21', 'views': '34', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=003310&nid=410652849&page=2', 'body': '', 'score': 124}, {'title': '무조건 상따[1]', 'date': '2026.01.20 10:10', 'views': '103', 'likes': '2', 'dislikes': '1', 'link': '/item/board_read.naver?code=003310&nid=410663021&page=1', 'body': '', 'score': 163}, {'title': '에레레레레레', 'date': '2026.01.20 10:00', 'views': '21', 'likes': '2', 'dislikes': '1', 'link': '/item/board_read.naver?code=003310&nid=410661094&page=1', 'body': '', 'score': 81}, {'title': '20% 이상 상승했어요 🎉', 'date': '2026.01.20 09:29', 'views': '20', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=003310&nid=410655082&page=2', 'body': '', 'score': 80}]",,,
2026-01-20,10:39,KOSDAQ,7820,에스엠코어,5750,3.80%,4765.0,3.29%,+12.97%,62,현대엘리베이터의 현대무벡스도 시총 4조 ... / 상한가 깨졋노 / 아까보여드린건데물어보셔서...[2] / 제2의 현대무벡스라고 보도 ㄷㄷㄷ,Positive (75%),"상한가, 너무, 로봇",0,"[{'title': '상한가 깨졋노', 'date': '2026.01.20 10:01', 'views': '19', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=007820&nid=410661333&page=2', 'body': '', 'score': 169}, {'title': '현대엘리베이터의 현대무벡스도 시총 4조 ...', 'date': '2026.01.20 09:44', 'views': '67', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=007820&nid=410658160&page=2', 'body': '', 'score': 217}, {'title': '후 5일전에 손해보고나왓는데 상한가치길래', 'date': '2026.01.20 10:38', 'views': '20', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=007820&nid=410667737&page=1', 'body': '', 'score': 140}, {'title': '하방VI ㄷㄷㄷㄷ', 'date': '2026.01.20 10:40', 'views': '10', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=007820&nid=410667970&page=1', 'body': '', 'score': 100}, {'title': '그지근성을 못버리네', 'date': '2026.01.20 10:32', 'views': '13', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=007820&nid=410666772&page=1', 'body': '', 'score': 103}, {'title': '주가조작', 'date': '2026.01.20 10:32', 'views': '12', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=007820&nid=410666700&page=1', 'body': '', 'score': 102}, {'title': '제2의 현대무벡스라고 보도 ㄷㄷㄷ', 'date': '2026.01.20 10:30', 'views': '58', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=007820&nid=410666428&page=1', 'body': '', 'score': 148}, {'title': '쩜상먹을라고상따하는데이럿게상따죽이면상따어...[1]', 'date': '2026.01.20 10:13', 'views': '50', 'likes': '3', 'dislikes': '3', 'link': '/item/board_read.naver?code=007820&nid=410663533&page=2', 'body': '', 'score': 140}, {'title': '아까보여드린건데물어보셔서...[2]', 'date': '2026.01.20 10:00', 'views': '65', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=007820&nid=410661087&page=2', 'body': '', 'score': 155}, {'title': '상한가를 기록했어요 📈', 'date': '2026.01.20 09:46', 'views': '19', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=007820&nid=410658583&page=2', 'body': '', 'score': 109}]",,,
