취합날짜,취합시간,시장구분,code,종목명,price,foreign_rate,어제_종가,어제_외국인비중,change_rate,recent_posts_count,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts,외인변화,scraper_version,date,change_rate_num,foreign_rate_num,recent_posts,date_dt,next_day_change
,,KOSPI,064400,LG씨엔에스,68500,5.63%,64500.0,6.58%,+4.74%,186,걍 들고 있어 / 개미 920만 / 야이 털린 흑우들아,Positive (52%),"120일선, 오늘, 데이터센터",0,,,,2025-12-12,4.74,5.63,186,2025-12-12,-3.19
,,KOSDAQ,101170,우림피티에스,15820,4.08%,10660.0,4.06%,+14.22%,205,낼 경고는 기정사실이네 / ■■ 반등시 물량줄여.. 월욜갭하락 경고 / 고점에서 익절해서 다행이다 ^_^ / 느낌상 오늘 상,Positive (53%),"상한가, ..., 오늘",0,,,,2025-12-26,14.22,4.08,205,2025-12-26,26.11
,,KOSDAQ,950250,테라뷰,12850,0.00%,17030.0,0.00%,-11.26%,400,자전일꺼 같았지[1] / 테라헤르츠 기술력은 최고인데 회사나 자본등 그... / 고생하셨습니다.[1],Positive (51%),"테라뷰, 진짜, 하나",0,,,,2025-12-12,-11.26,0.0,400,2025-12-12,-2.63
,,KOSDAQ,12860,모베이스전자,2610,2.37%,1957.0,2.77%,+2.76%,288,●●  현대차 로봇의 숨은강자 =》모베이스전...[2] / 계양은 언제 끝날지 불안한데 / 3년만에 탈출[6] / 지하로 들어갈때도[2],Negative (62%),"오늘, 오늘은, 1조",0,"[{'title': '●●  현대차 로봇의 숨은강자 =》모베이스전...[2]', 'date': '2026.01.12 08:22', 'views': '133', 'likes': '16', 'dislikes': '4', 'link': '/item/board_read.naver?code=012860&nid=410070193&page=15', 'body': '', 'score': 613}, {'title': '현대차 장전불기둥..', 'date': '2026.01.12 08:29', 'views': '76', 'likes': '13', 'dislikes': '2', 'link': '/item/board_read.naver?code=012860&nid=410070682&page=15', 'body': '', 'score': 466}, {'title': '계양은 언제 끝날지 불안한데', 'date': '2026.01.12 11:42', 'views': '151', 'likes': '12', 'dislikes': '3', 'link': '/item/board_read.naver?code=012860&nid=410097913&page=10', 'body': '', 'score': 511}, {'title': '묵은지 씼는 과정이니 놔두라 좀', 'date': '2026.01.12 09:20', 'views': '32', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=012860&nid=410076797&page=14', 'body': '', 'score': 392}, {'title': '상한가 가겠네요[1]', 'date': '2026.01.12 09:14', 'views': '60', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=012860&nid=410075626&page=14', 'body': '', 'score': 420}, {'title': '오늘은 20% 에서', 'date': '2026.01.12 11:20', 'views': '90', 'likes': '11', 'dislikes': '3', 'link': '/item/board_read.naver?code=012860&nid=410095239&page=10', 'body': '', 'score': 420}, {'title': '지하로 들어갈때도[2]', 'date': '2026.01.12 11:19', 'views': '158', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=012860&nid=410095059&page=10', 'body': '', 'score': 488}, {'title': '하.[1]', 'date': '2026.01.12 08:51', 'views': '81', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=012860&nid=410072319&page=15', 'body': '', 'score': 411}, {'title': '2024년', 'date': '2026.01.12 10:25', 'views': '75', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=012860&nid=410087215&page=12', 'body': '', 'score': 375}, {'title': '3년만에 탈출[6]', 'date': '2026.01.12 09:30', 'views': '210', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=012860&nid=410078456&page=13', 'body': '', 'score': 510}]",,,2026-01-12,2.76,2.37,288,2026-01-12,0.7
,,KOSPI,42660,한화오션,133000,9.95%,121200.0,9.40%,+2.54%,499,미군함 발주는 확실하고 / 공매세력이 두려운 건 한화오션이 투자경고 지정...[1] / < 강훈식이 현대차 임원과 왜 함께 가겠는가?...[1] / 월요일 대폭발을 위한 자리,Negative (59%),"오늘, 한화오션, ...",0,"[{'title': '< 강훈식이 현대차 임원과 왜 함께 가겠는가?...[1]', 'date': '2026.01.09 08:36', 'views': '104', 'likes': '16', 'dislikes': '1', 'link': '/item/board_read.naver?code=042660&nid=409962442&page=23', 'body': '', 'score': 584}, {'title': '월요일 대폭발을 위한 자리', 'date': '2026.01.09 10:04', 'views': '114', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=042660&nid=409977193&page=14', 'body': '', 'score': 564}, {'title': '오늘 한화 계열 다 폭발하는데[1]', 'date': '2026.01.09 10:54', 'views': '109', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=042660&nid=409985150&page=10', 'body': '', 'score': 529}, {'title': '미군함 발주는 확실하고', 'date': '2026.01.09 10:17', 'views': '238', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=042660&nid=409979242&page=13', 'body': '', 'score': 658}, {'title': '요거봐라 시난이[1]', 'date': '2026.01.09 08:37', 'views': '103', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=042660&nid=409962505&page=23', 'body': '', 'score': 523}, {'title': '오늘 날라갑니다', 'date': '2026.01.09 08:37', 'views': '51', 'likes': '14', 'dislikes': '3', 'link': '/item/board_read.naver?code=042660&nid=409962476&page=23', 'body': '', 'score': 471}, {'title': '공매도 마지막 발악[1]', 'date': '2026.01.09 10:20', 'views': '134', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=042660&nid=409979805&page=13', 'body': '', 'score': 524}, {'title': '솔직히 안티보다 더 역한 것들이', 'date': '2026.01.09 08:35', 'views': '48', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=042660&nid=409962390&page=23', 'body': '', 'score': 438}, {'title': '공매세력이 두려운 건 한화오션이 투자경고 지정...[1]', 'date': '2026.01.09 10:06', 'views': '263', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=042660&nid=409977479&page=14', 'body': '', 'score': 623}, {'title': '어차피 갈건데 느긋하게기다린다[1]', 'date': '2026.01.09 08:11', 'views': '67', 'likes': '12', 'dislikes': '2', 'link': '/item/board_read.naver?code=042660&nid=409960688&page=25', 'body': '', 'score': 427}]",,,2026-01-09,2.54,9.95,499,2026-01-09,7.44
,,KOSPI,022100,포스코DX,36150,3.53%,29150.0,3.87%,+21.51%,302,2년 됐네요 37000원이 평단가예요[3] / 포스코 로봇는 휴머노이드가 아님[1] / 주식인 인내의 시간[1] / 이번주 안에 전고점 돌파한다고 언급했는데...,Positive (60%),"상한가, 드루와, 오늘",0,"[{'title': '주식인 인내의 시간[1]', 'date': '2026.01.15 10:15', 'views': '53', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=022100&nid=410350889&page=6', 'body': '', 'score': 323}, {'title': '뭇진데~~ㅋㅋㅋ[1]', 'date': '2026.01.15 10:50', 'views': '59', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=022100&nid=410357125&page=3', 'body': '', 'score': 299}, {'title': '이번주 안에 전고점 돌파한다고 언급했는데...', 'date': '2026.01.15 10:25', 'views': '76', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=022100&nid=410352542&page=4', 'body': '', 'score': 316}, {'title': '4만원 목표', 'date': '2026.01.15 08:33', 'views': '45', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=022100&nid=410333279&page=15', 'body': '', 'score': 285}, {'title': '2년 됐네요 37000원이 평단가예요[3]', 'date': '2026.01.15 11:03', 'views': '143', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=022100&nid=410359164&page=2', 'body': '', 'score': 353}, {'title': '텐베거 종목  입니다', 'date': '2026.01.15 10:48', 'views': '72', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=022100&nid=410356659&page=3', 'body': '', 'score': 282}, {'title': '오늘종가 조심히..', 'date': '2026.01.15 10:47', 'views': '54', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=022100&nid=410356555&page=3', 'body': '', 'score': 264}, {'title': '상한가', 'date': '2026.01.15 10:17', 'views': '66', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=022100&nid=410351117&page=5', 'body': '', 'score': 276}, {'title': '형들아, 이거 5월달에 5만원 찍고 7월달에 7...', 'date': '2026.01.15 10:13', 'views': '83', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=022100&nid=410350349&page=6', 'body': '', 'score': 293}, {'title': '포스코 로봇는 휴머노이드가 아님[1]', 'date': '2026.01.15 10:12', 'views': '115', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=022100&nid=410350167&page=6', 'body': '', 'score': 325}]",,,2026-01-15,21.51,3.53,302,2026-01-15,2.76
,,KOSDAQ,125490,한라캐스트,19760,4.09%,17960.0,4.46%,+10.02%,211,=속보)) 아리로봇 -83%폭락중???꼬라지가 ...[2] / 내일 대장 경주마당첨!!!! / 왕의 귀환,Negative (61%),"테슬라, 개미들, 로봇",0,,,,2025-12-15,10.02,4.09,211,2025-12-15,10.91
,,KOSPI,34020,두산에너빌리티,84200,23.05%,84000.0,23.07%,+0.60%,271,제가 몇달지켜봐씀[2] / 오늘 9 만 도전~ / 오늘은 9만 두빌  갑시다 / 순환매 오늘부터 원전턴입니다.,Negative (57%),"오늘, 주식, 반도체",0,"[{'title': '오늘 9 만 도전~', 'date': '2026.01.09 08:25', 'views': '41', 'likes': '17', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409961682&page=13', 'body': '', 'score': 551}, {'title': '오늘은 9만 두빌  갑시다', 'date': '2026.01.09 08:35', 'views': '51', 'likes': '15', 'dislikes': '1', 'link': '/item/board_read.naver?code=034020&nid=409962360&page=13', 'body': '', 'score': 501}, {'title': '순환매 오늘부터 원전턴입니다.', 'date': '2026.01.09 08:45', 'views': '102', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=034020&nid=409963144&page=13', 'body': '', 'score': 492}, {'title': 'SMR', 'date': '2026.01.09 08:04', 'views': '135', 'likes': '11', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409960192&page=14', 'body': '', 'score': 465}, {'title': '★ 두산에너빌리티: 5년간 20배 폭등(고평...[1]', 'date': '2026.01.09 11:30', 'views': '78', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=034020&nid=409990280&page=2', 'body': '', 'score': 378}, {'title': '제가 몇달지켜봐씀[2]', 'date': '2026.01.09 10:49', 'views': '295', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409984304&page=3', 'body': '', 'score': 565}, {'title': '이런개잡주', 'date': '2026.01.09 10:17', 'views': '21', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=034020&nid=409979335&page=6', 'body': '', 'score': 291}, {'title': '조급함의 결과는?[3]', 'date': '2026.01.09 09:43', 'views': '122', 'likes': '9', 'dislikes': '8', 'link': '/item/board_read.naver?code=034020&nid=409973352&page=8', 'body': '', 'score': 392}, {'title': '오늘갈거같아서 버텼는데[1]', 'date': '2026.01.09 09:14', 'views': '89', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=034020&nid=409967274&page=10', 'body': '', 'score': 359}, {'title': '장중에 사지말자..종가에 사서', 'date': '2026.01.09 11:47', 'views': '47', 'likes': '8', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409992624&page=1', 'body': '', 'score': 287}]",,,2026-01-09,0.6,23.05,271,2026-01-09,4.16
,,KOSDAQ,068240,다원시스,2795,7.15%,3780.0,7.58%,-26.06%,400,대통령이 사기당한거라고 한것치고는 쩜하 안간게... / 금요일 정리 하셨습니까? / 이런 쓰레기회사는 곧 상폐 당한다,Negative (60%),"이런, 다원시스, ...",0,,,,2025-12-15,-26.06,7.15,400,2025-12-15,-12.07
,,KOSDAQ,319400,현대무벡스,12380,1.02%,11650.0,1.36%,+4.03%,417,요즘장이 좀 쉬운게[2] / 이건[1] / 고돌이판[1],Negative (53%),"오늘, 어제, 신한",0,,,,2025-12-17,4.03,1.02,417,2025-12-17,9.85
