시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,261520,이지스,20500,0.06%,14999,,+36.67%,400,"기관, 소수 계좌 놀이터인데 / 상장 당일 이런 흐름으로 물렸을 경우 / 내일 시가 19500. 고가 20000. 저...",Negative (52%),"내일, 이지스, 오늘",False
KOSDAQ,389680,유디엠텍,611,2.07%,470,2.13%,+30.00%,48,지나미 행님 믿슙니다~~[2] / 오늘. 모르는애들 어디서 나타난거지[1] / 이건 기술특례상장이라 거덜나도  향후 4년은....[1],Positive (75%),"이상, 상승했어요, 상한가",False
KOSPI,128820,대성산업,7720,0.83%,5940,1.01%,+29.97%,400,쩜상10방세계최초현대.기아차공동개발성공[1] / 아침에 올라온건데[1] / 내일도 상한가,Positive (68%),"대성산업, 상한가, 내일",False
KOSDAQ,038500,삼표시멘트,4145,1.38%,3190,2.03%,+29.94%,299,팩트? 니들이 뭘알아??!! / 네이버에 삼표시멘트 무상증자 치니 바... / 제일 가벼운 종목 정원오 총대장주!,Positive (62%),"정원오, 성수동, 삼표",False
KOSPI,249420,일동제약,40500,7.18%,32500,6.94%,+24.62%,400,이제 고만 먹을란다 일동[3] / 갔지?[1] / 오늘은 안티들이 전혀  안보이네.,Positive (57%),"오늘, 일동제약, 상한가",False
KOSDAQ,424870,이뮨온시아,14150,3.96%,11580,1.96%,+22.19%,371,"## 올 11월26일 ,27일 시장장과 같다 / 투경임빅. 임박이라...주가 9990 / 요곤 9990",Positive (69%),"오늘, 투경, 이제",False
KOSDAQ,006730,서부T&D,14070,16.10%,11610,16.62%,+21.19%,357,서울  신정동  부지  개발 및   용... / 미국장 맛이 가네 / 미장,Negative (58%),"오늘, 내일, 서울",False
KOSPI,009070,KCTC,6470,4.02%,5400,4.35%,+19.81%,179,아까아침에도[1] / 목표가[1] / 재료가 좋은데  왜 상한가  못갔나[2],Positive (68%),"오늘, 이상, 양재동",False
KOSPI,000230,일동홀딩스,15800,1.95%,13490,2.12%,+17.12%,123,내일 쫄지들 말고 눌러주면 줏어라.[2] / 내가 정신이 나갔지[5] / 일동제약 투자주의 걸리면 홀딩스가 날라간다[1],Positive (80%),"이상, ..., 상승했어요",False
KOSDAQ,365590,하이딥,542,4.99%,466,4.91%,+16.31%,29,얜 감자가 진짜 아쉽네 ㅋㅋㅋㅋㅋㅋ[1] / 정원오 대장주로 등극되면 5천원도 가능할 듯 ...[1] / 하이딥 상한번 하자[1],Positive (100%),"정원오, 이상, 상승했어요",False
KOSDAQ,105550,엣지파운드리,1873,2.50%,1621,2.94%,+15.55%,43,S 소장네  회원들 뚜껑 열리겠네..ㅎㅎㅎ[3] / 블록딜이란다 ㅋㅋㅋ[4] / 공시담당자 없어??,Positive (80%),"이상, 상승했어요, 150만주",False
KOSPI,013360,일성건설,2590,65.19%,2245,64.68%,+15.37%,71,[AI 요약] 일성건설의 매매거래정지 예고가 ...[1] / 얼마나 올랐다고 정지예고까지[1] / 대한민국은[1],Positive (75%),"이상, 상승했어요, 올랐다고",False
KOSDAQ,044180,KD,670,1.11%,590,2.26%,+13.56%,46,KD 참고하세요[1] / [AI 요약] KD(주)가 투자주의종목으로...[1] / 애가뤼 쯔어어억,Positive (71%),"상한가, 상간다, 이상",False
KOSDAQ,298830,슈어소프트테크,7040,1.53%,6200,1.01%,+13.55%,198,우리시장 장중 미국선물흐름 / 단기 과열  이고  뭐고 ? / 여기 주포들이 보통이 아니여 ㅋㅋ[1],Positive (60%),"오늘, ...[1], ...",False
KOSDAQ,049630,재영솔루텍,3265,8.21%,2885,7.45%,+13.17%,140,부럽다 1200원에 3년물려잇다가1100원에 5...[4] / 야이씨 4천만원 날렸다[2] / 실체도 없는데 간다고?[4],Positive (61%),"지금, 목표가, 대아티아이",False
KOSPI,105840,우진,20250,14.71%,18240,12.64%,+11.02%,69,8천3백여주 아직 홀딩중입니다 훠훠훠[1] / 장대양봉 다음날 꼭 꼬라박는우리 우진해장국[1] / 여긴 세력형들이 천사네,Positive (85%),"이렇게, 아직, 매수",False
KOSPI,004060,SG세계물산,365,2.09%,329,1.81%,+10.94%,67,내일 어떻게 될까?[1] / 개미탕이네 / 1차매수 소액한 평단340 3만주 형이다[1],Positive (71%),"..., 상., 부동산",False
KOSPI,011090,에넥스,610,1.78%,551,1.76%,+10.71%,23,여기  주포는 / 안티 대모집[1] / 아재  큰형님,Positive (87%),"이상, 상승했어요, 시총",False
KOSPI,001360,삼성제약,1920,2.59%,1755,2.35%,+9.40%,135,게온아재다 / 게온 갓이다 / 낼아침시초가는2080이상,Negative (57%),"삼성제약, 오늘, 이제",False
KOSDAQ,010170,대한광통신,2360,,2169,,+8.76%,56,지금매수[2] / 실적발표[1] / 낼 무조건 빠짐 잘봐 ㅋ,Positive (66%),"무조건, 기관, 투경",False
KOSDAQ,056080,유진로봇,14840,16.05%,13660,15.14%,+8.64%,224,종가에 따라 들어갔는데[3] / 내일 마이너스 10퍼 시작이네[2] / 미선물 급반등중. 판넘들 똥된듯..[1],Negative (60%),"ㅇㅇ, 내일, 시외",False
KOSDAQ,136480,하림,3110,4.34%,2970,4.61%,+4.71%,154,"고병원성AI + 공매금지[3] / 아림  개미피 빨대 꽂은 종목, 12일하루간 ...[1] / 천안 주변지역",Negative (57%),"하림지주, 상한가, 하림",False
KOSDAQ,195990,에이비프로바이오,302,5.08%,289,4.94%,+4.50%,10,동생들아[4] / 들어가면 큰일나죠 이거는[2] / 점심후 커피타임 ㅡ 앗 간만에 올랐네,Positive (100%),"이상, 상승했어요, 🎉[1]",False
KOSPI,004140,동방,2760,5.28%,2645,5.70%,+4.35%,27,동방은 땅없어서 거품입니다[2] / 홈페이지를 가보니 / 땅없는 물류회사는 껍데기야,Positive (100%),"동방도, 땅없는, 물류회사는",False
KOSPI,092200,디아이씨,11310,2.64%,10900,2.49%,+3.76%,139,"전체시장은 오늘밤 뉴욕증시에 달려있다. 그리...[2] / 풉[1] / ◆ 현대차  로보택시개발,  감속기 공급할듯...",Positive (55%),"오늘, 디아이씨, 로봇",False
