시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts
KOSDAQ,0015G0,그린광학,21450,1.24%,15830,0.96%,+26.10%,144,55천원에 있으신분[1] / 상한가 안가도 들고 있어[2] / 22000원대  물량[1] / 40000원에 물려서[1],Positive (72%),"오늘, 이상, 상승했어요",False,"[{'title': '55천원에 있으신분[1]', 'date': '2026.01.06 10:17', 'views': '115', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=0015G0&nid=409712259&page=7', 'body': '', 'score': 385}, {'title': '상한가 안가도 들고 있어[2]', 'date': '2026.01.06 14:38', 'views': '137', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=0015G0&nid=409744136&page=2', 'body': '', 'score': 287}, {'title': '40000원에 물려서[1]', 'date': '2026.01.06 12:58', 'views': '83', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=0015G0&nid=409731900&page=4', 'body': '', 'score': 233}, {'title': '22000원대  물량[1]', 'date': '2026.01.06 12:29', 'views': '89', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=0015G0&nid=409728992&page=5', 'body': '', 'score': 239}, {'title': '오늘 왜 상갈거같냐 이거[1]', 'date': '2026.01.06 10:20', 'views': '59', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=0015G0&nid=409712709&page=7', 'body': '', 'score': 209}, {'title': '최소 55000원 봅니다', 'date': '2026.01.06 09:35', 'views': '29', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=0015G0&nid=409705635&page=7', 'body': '', 'score': 179}, {'title': '이거 주도주됩니다', 'date': '2026.01.06 09:34', 'views': '41', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=0015G0&nid=409705450&page=7', 'body': '', 'score': 191}, {'title': '무너진다 튀어라~[1]', 'date': '2026.01.06 14:57', 'views': '19', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=0015G0&nid=409746624&page=1', 'body': '', 'score': 139}, {'title': '우주 방산 반도체 다 하는 회사', 'date': '2026.01.06 14:43', 'views': '44', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=0015G0&nid=409744867&page=2', 'body': '', 'score': 164}, {'title': '이정도면 충분히 매집하지 않았냐?', 'date': '2026.01.06 12:45', 'views': '24', 'likes': '4', 'dislikes': '3', 'link': '/item/board_read.naver?code=0015G0&nid=409730646&page=4', 'body': '', 'score': 144}]"
KOSDAQ,053450,세코닉스,6830,7.50%,5470,7.31%,+23.29%,155,"긴급)세코닉스, 엔비디아 자율주행 전방 카메라... / 엔비디아 홈페이지에  자율주행차 카메라...[3] / 로봇택시 + 로봇  PER 7배 엔비디아가 선...[1] / 엔비디아 로보택시 키운다~~[1]",Positive (67%),"엔비디아, 상한가, 찬티알바",False,"[{'title': '엔비디아 홈페이지에  자율주행차 카메라...[3]', 'date': '2026.01.06 12:38', 'views': '226', 'likes': '13', 'dislikes': '5', 'link': '/item/board_read.naver?code=053450&nid=409729957&page=4', 'body': '', 'score': 616}, {'title': '긴급)세코닉스, 엔비디아 자율주행 전방 카메라...', 'date': '2026.01.06 09:59', 'views': '356', 'likes': '9', 'dislikes': '5', 'link': '/item/board_read.naver?code=053450&nid=409709570&page=6', 'body': '', 'score': 626}, {'title': '로봇택시 + 로봇  PER 7배 엔비디아가 선...[1]', 'date': '2026.01.06 14:45', 'views': '58', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409745040&page=2', 'body': '', 'score': 238}, {'title': '흔들리지 마시고,, 꽉 잡으세요.[2]', 'date': '2026.01.06 15:10', 'views': '6', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409748409&page=1', 'body': '', 'score': 156}, {'title': '이회사 망인가요?', 'date': '2026.01.06 13:02', 'views': '22', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=053450&nid=409732359&page=4', 'body': '', 'score': 172}, {'title': '쏟아진다', 'date': '2026.01.06 13:02', 'views': '15', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=053450&nid=409732285&page=4', 'body': '', 'score': 165}, {'title': '엔비디아 로보택시 키운다~~[1]', 'date': '2026.01.06 10:35', 'views': '72', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=053450&nid=409714926&page=5', 'body': '', 'score': 222}, {'title': '갈거면 이미 잠귔어야됨', 'date': '2026.01.06 09:25', 'views': '24', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=053450&nid=409703857&page=7', 'body': '', 'score': 174}, {'title': '8.5% 잘 먹고 갑니다.', 'date': '2026.01.06 09:25', 'views': '11', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409703748&page=7', 'body': '', 'score': 161}, {'title': '춥다', 'date': '2026.01.06 14:43', 'views': '15', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=053450&nid=409744852&page=2', 'body': '', 'score': 135}]"
KOSDAQ,474170,루미르,11960,1.87%,9640,1.50%,+16.46%,187,"스페이스 X와 계약이다!!!!! / 흔들리지 마시고,, 꽉 잡으세요.[2] / 개 나 소 나 스페이스 X와 계약하는게 아... / 재탕ㅋㄱㅋㄱㅋ",Positive (51%),"..., 상한가, 우주",False,"[{'title': '스페이스 X와 계약이다!!!!!', 'date': '2026.01.06 12:32', 'views': '34', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=474170&nid=409729312&page=6', 'body': '', 'score': 244}, {'title': '흔들리지 마시고,, 꽉 잡으세요.[2]', 'date': '2026.01.06 15:03', 'views': '27', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=474170&nid=409747431&page=1', 'body': '', 'score': 177}, {'title': '개 나 소 나 스페이스 X와 계약하는게 아...', 'date': '2026.01.06 12:51', 'views': '33', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=474170&nid=409731253&page=4', 'body': '', 'score': 153}, {'title': '재탕ㅋㄱㅋㄱㅋ', 'date': '2026.01.06 11:55', 'views': '11', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=474170&nid=409725314&page=8', 'body': '', 'score': 131}, {'title': '마감전 핵심포인트', 'date': '2026.01.06 15:02', 'views': '10', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=474170&nid=409747265&page=1', 'body': '', 'score': 100}, {'title': '올리는척', 'date': '2026.01.06 13:59', 'views': '16', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=474170&nid=409738977&page=2', 'body': '', 'score': 106}, {'title': '어종상 알지?ㅋㅋㅋ', 'date': '2026.01.06 13:50', 'views': '33', 'likes': '3', 'dislikes': '3', 'link': '/item/board_read.naver?code=474170&nid=409737792&page=2', 'body': '', 'score': 123}, {'title': '굿뉴스에', 'date': '2026.01.06 13:49', 'views': '37', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=474170&nid=409737684&page=2', 'body': '', 'score': 127}, {'title': '역시 재탕은 재앙이다', 'date': '2026.01.06 13:34', 'views': '15', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=474170&nid=409735658&page=3', 'body': '', 'score': 105}, {'title': '오늘은 여기까지.....', 'date': '2026.01.06 13:27', 'views': '22', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=474170&nid=409734815&page=3', 'body': '', 'score': 112}]"
KOSPI,006800,미래에셋증권,28600,10.98%,24650,11.03%,+12.16%,227,저는 이만 물러갑니다 ^ ^ / 5major Good News and...[1] / 28400에 탔는데 이거 왜이러나요[1] / 뭔 리포트 타령이야 ㅋㅋㅋ 이미,Positive (75%),"오늘, !!!, ...",False,"[{'title': '저는 이만 물러갑니다 ^ ^', 'date': '2026.01.06 10:23', 'views': '231', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409713194&page=8', 'body': '', 'score': 711}, {'title': '5major Good News and...[1]', 'date': '2026.01.06 13:40', 'views': '151', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=006800&nid=409736373&page=2', 'body': '', 'score': 571}, {'title': '두나무ㆍ스페이스Xㅡ세계최대수혜주', 'date': '2026.01.06 09:17', 'views': '46', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409702212&page=11', 'body': '', 'score': 376}, {'title': '28400에 탔는데 이거 왜이러나요[1]', 'date': '2026.01.06 13:43', 'views': '260', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=006800&nid=409736859&page=2', 'body': '', 'score': 530}, {'title': '■외국인,기관 160만주 매수', 'date': '2026.01.06 13:31', 'views': '85', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409735231&page=3', 'body': '', 'score': 355}, {'title': '■■■3만원 진입 초읽기■■■[1]', 'date': '2026.01.06 11:35', 'views': '177', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=006800&nid=409722941&page=6', 'body': '', 'score': 447}, {'title': '뭔 리포트 타령이야 ㅋㅋㅋ 이미', 'date': '2026.01.06 09:17', 'views': '249', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409702220&page=11', 'body': '', 'score': 519}, {'title': '26년 최고 대박주 기대 ~~~', 'date': '2026.01.06 09:04', 'views': '46', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409699752&page=12', 'body': '', 'score': 316}, {'title': '미국 스페이스x  상장때까지만 들고 있어...[1]', 'date': '2026.01.06 12:01', 'views': '219', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409726008&page=5', 'body': '', 'score': 459}, {'title': ""'밸류에이션 퀀텀 점프'[1]"", 'date': '2026.01.06 09:14', 'views': '159', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=006800&nid=409701467&page=11', 'body': '', 'score': 399}]"
KOSPI,042700,한미반도체,180200,8.18%,144500,7.15%,+7.71%,800,말했잖아... 아침에 프로그램 매도는 겁주는거라...[3] / TC본더 시장 M/S 98% 공시[1] / 왜 오르는지 알고 대응 / 사람 맘이 라는게 참...[3],Negative (59%),"오늘, 연기금, 공매도",False,"[{'title': '말했잖아... 아침에 프로그램 매도는 겁주는거라...[3]', 'date': '2026.01.06 10:53', 'views': '259', 'likes': '24', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409717489&page=25', 'body': '', 'score': 979}, {'title': 'TC본더 시장 M/S 98% 공시[1]', 'date': '2026.01.06 10:00', 'views': '245', 'likes': '21', 'dislikes': '3', 'link': '/item/board_read.naver?code=042700&nid=409709705&page=31', 'body': '', 'score': 875}, {'title': '세번째외칠게요.[3]', 'date': '2026.01.06 12:19', 'views': '121', 'likes': '19', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409727932&page=19', 'body': '', 'score': 691}, {'title': '공매도 박멸', 'date': '2026.01.06 12:41', 'views': '47', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409730296&page=17', 'body': '', 'score': 587}, {'title': '왜 오르는지 알고 대응', 'date': '2026.01.06 12:31', 'views': '182', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409729301&page=18', 'body': '', 'score': 722}, {'title': '공매도의 마지막', 'date': '2026.01.06 12:55', 'views': '72', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409731637&page=16', 'body': '', 'score': 552}, {'title': '20만원 넘기전까지 투경 없습니다!안티들 맨날 하...', 'date': '2026.01.06 12:17', 'views': '146', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409727729&page=20', 'body': '', 'score': 626}, {'title': '사람 맘이 라는게 참...[3]', 'date': '2026.01.06 11:35', 'views': '212', 'likes': '16', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409722970&page=23', 'body': '', 'score': 692}, {'title': '결국[2]', 'date': '2026.01.06 10:34', 'views': '167', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409714761&page=26', 'body': '', 'score': 647}, {'title': '털리구 나서[1]', 'date': '2026.01.06 14:19', 'views': '73', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409741538&page=7', 'body': '', 'score': 523}]"
KOSPI,012200,계양전기,8250,0.00%,7850,0.00%,+4.43%,223,현대자동차프리 초상승폭크다!! / 안티들아 ㅋㅋㅋㅋㅋ 니들 말대로 6 천 ...[2] / 대단하다 대단해~~ / 삼성에 례인보우  있다면  현대차에 계양전기 있...,Mixed,"★★★, 거래정지, 정지",False,"[{'title': '현대자동차프리 초상승폭크다!!', 'date': '2026.01.06 08:11', 'views': '86', 'likes': '13', 'dislikes': '4', 'link': '/item/board_read.naver?code=012200&nid=409695564&page=12', 'body': '', 'score': 476}, {'title': '안티들아 ㅋㅋㅋㅋㅋ 니들 말대로 6 천 ...[2]', 'date': '2026.01.06 12:19', 'views': '120', 'likes': '11', 'dislikes': '2', 'link': '/item/board_read.naver?code=012200&nid=409727928&page=6', 'body': '', 'score': 450}, {'title': '삼성에 례인보우  있다면  현대차에 계양전기 있...', 'date': '2026.01.06 10:25', 'views': '51', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=012200&nid=409713517&page=7', 'body': '', 'score': 381}, {'title': '안정적,,,', 'date': '2026.01.06 10:12', 'views': '25', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=012200&nid=409711605&page=8', 'body': '', 'score': 355}, {'title': '진즉 출근 했씀다♡♡♡ 모베드 ᆢ', 'date': '2026.01.06 10:51', 'views': '67', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=012200&nid=409717178&page=7', 'body': '', 'score': 367}, {'title': '시원하게 정지먹고 가즈아', 'date': '2026.01.06 10:39', 'views': '33', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=012200&nid=409715382&page=7', 'body': '', 'score': 333}, {'title': '목표가', 'date': '2026.01.06 13:07', 'views': '52', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=012200&nid=409732842&page=5', 'body': '', 'score': 322}, {'title': '현대차 촉각손로봇  360회전  구글과 협약', 'date': '2026.01.06 12:58', 'views': '75', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=012200&nid=409731953&page=5', 'body': '', 'score': 345}, {'title': '대단하다 대단해~~', 'date': '2026.01.06 12:00', 'views': '180', 'likes': '9', 'dislikes': '3', 'link': '/item/board_read.naver?code=012200&nid=409725838&page=6', 'body': '', 'score': 450}, {'title': '가치투자 이 친구는 ㅋㅋㅋ', 'date': '2026.01.06 11:39', 'views': '79', 'likes': '9', 'dislikes': '3', 'link': '/item/board_read.naver?code=012200&nid=409723479&page=6', 'body': '', 'score': 349}]"
KOSPI,000660,SK하이닉스,722000,53.82%,677000,53.81%,+3.74%,800,저렇게 잘하는 대통령안뽑고[6] / 내일부터 나스닥 상장 결정 기대감 시작 / 나스닥 상장이 코앞이다[1] / 이거 진짜...각도가,Positive (54%),"오늘, 하이닉스, ...",False,"[{'title': '저렇게 잘하는 대통령안뽑고[6]', 'date': '2026.01.06 13:58', 'views': '144', 'likes': '24', 'dislikes': '5', 'link': '/item/board_read.naver?code=000660&nid=409738933&page=13', 'body': '', 'score': 864}, {'title': '이거 진짜...각도가', 'date': '2026.01.06 10:54', 'views': '128', 'likes': '14', 'dislikes': '2', 'link': '/item/board_read.naver?code=000660&nid=409717599&page=38', 'body': '', 'score': 548}, {'title': '오전이', 'date': '2026.01.06 14:56', 'views': '39', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=000660&nid=409746505&page=2', 'body': '', 'score': 429}, {'title': '내일부터 나스닥 상장 결정 기대감 시작', 'date': '2026.01.06 14:35', 'views': '311', 'likes': '13', 'dislikes': '6', 'link': '/item/board_read.naver?code=000660&nid=409743804&page=5', 'body': '', 'score': 701}, {'title': '지금 과열이라는 애들 특', 'date': '2026.01.06 14:14', 'views': '118', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=000660&nid=409740877&page=10', 'body': '', 'score': 508}, {'title': '거봐라 내가 아침에 혼자 속보라고 hbm4 16...[3]', 'date': '2026.01.06 13:07', 'views': '147', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=000660&nid=409732812&page=29', 'body': '', 'score': 537}, {'title': '오늘 마감전 빨간불', 'date': '2026.01.06 12:32', 'views': '36', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=000660&nid=409729365&page=33', 'body': '', 'score': 426}, {'title': '오늘 69를 벽으로 박치기해대면서', 'date': '2026.01.06 12:18', 'views': '52', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=000660&nid=409727864&page=34', 'body': '', 'score': 442}, {'title': '반도체 대장주는 하닉이야[1]', 'date': '2026.01.06 10:58', 'views': '63', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=000660&nid=409718124&page=38', 'body': '', 'score': 453}, {'title': '나스닥 상장이 코앞이다[1]', 'date': '2026.01.06 14:34', 'views': '265', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=000660&nid=409743633&page=5', 'body': '', 'score': 625}]"
KOSDAQ,274090,켄코아에어로스페이스,21150,4.87%,18710,4.27%,+3.42%,201,"오늘 오후장 많이들 파시겠네[2] / 켄코아에어로스페이스, 미국 열처리 기업 ...[1] / 앞으로 더 어려울까요 ㅠㅠ[1] / 이번주 3만5천원 돌파합니다[1]",Negative (55%),"오늘, 이제, 분봉상",False,"[{'title': '이번주 3만5천원 돌파합니다[1]', 'date': '2026.01.06 14:22', 'views': '95', 'likes': '6', 'dislikes': '4', 'link': '/item/board_read.naver?code=274090&nid=409741980&page=1', 'body': '', 'score': 275}, {'title': '오늘 오후장 많이들 파시겠네[2]', 'date': '2026.01.06 14:00', 'views': '172', 'likes': '6', 'dislikes': '4', 'link': '/item/board_read.naver?code=274090&nid=409739118&page=2', 'body': '', 'score': 352}, {'title': '차트보니 완전 박살난듯;;[1]', 'date': '2026.01.06 13:59', 'views': '93', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409738972&page=2', 'body': '', 'score': 273}, {'title': '앞으로 더 어려울까요 ㅠㅠ[1]', 'date': '2026.01.06 14:08', 'views': '144', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=274090&nid=409740132&page=2', 'body': '', 'score': 294}, {'title': '요즘핫한 우주항공 테마에 시총3천억밖에 ...[2]', 'date': '2026.01.06 11:12', 'views': '98', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409720112&page=8', 'body': '', 'score': 248}, {'title': '켄코아에어로스페이스, 미국 열처리 기업 ...[1]', 'date': '2026.01.06 10:57', 'views': '158', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409718112&page=9', 'body': '', 'score': 308}, {'title': '18000원? 아니', 'date': '2026.01.06 09:07', 'views': '33', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=274090&nid=409700311&page=10', 'body': '', 'score': 183}, {'title': '보합 마무리가 제일 아름다운데', 'date': '2026.01.06 14:17', 'views': '30', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=274090&nid=409741279&page=2', 'body': '', 'score': 150}, {'title': '미국 열처리기업 알멕 히트트리팅 인수 분...', 'date': '2026.01.06 11:07', 'views': '93', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=274090&nid=409719393&page=8', 'body': '', 'score': 213}, {'title': '털리셨나요?[1]', 'date': '2026.01.06 11:01', 'views': '45', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=274090&nid=409718650&page=9', 'body': '', 'score': 165}]"
KOSPI,034020,두산에너빌리티,85100,23.13%,75200,22.45%,+2.28%,493,계약 소식[1] / 공매의 마지막 발악일 뿐이다!! 매도 주체...[2] / 일론 머스크의 xAI가 한국의 두산에너빌리티로부터... / 오늘 최소 97400원은 돌파하겠지.[1],Positive (55%),"오늘, ..., 신한",False,"[{'title': '공매의 마지막 발악일 뿐이다!! 매도 주체...[2]', 'date': '2026.01.06 11:25', 'views': '322', 'likes': '24', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409721741&page=10', 'body': '', 'score': 1042}, {'title': '계약 소식[1]', 'date': '2026.01.06 14:01', 'views': '695', 'likes': '19', 'dislikes': '4', 'link': '/item/board_read.naver?code=034020&nid=409739268&page=3', 'body': '', 'score': 1265}, {'title': '일론 머스크의 xAI가 한국의 두산에너빌리티로부터...', 'date': '2026.01.06 13:24', 'views': '438', 'likes': '19', 'dislikes': '1', 'link': '/item/board_read.naver?code=034020&nid=409734505&page=6', 'body': '', 'score': 1008}, {'title': '오늘 최소 97400원은 돌파하겠지.[1]', 'date': '2026.01.06 08:43', 'views': '122', 'likes': '19', 'dislikes': '5', 'link': '/item/board_read.naver?code=034020&nid=409697895&page=22', 'body': '', 'score': 692}, {'title': '신한은 카드고 머고 안쓴다', 'date': '2026.01.06 13:49', 'views': '69', 'likes': '15', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409737726&page=4', 'body': '', 'score': 519}, {'title': '신한 공매 파산', 'date': '2026.01.06 14:04', 'views': '234', 'likes': '14', 'dislikes': '3', 'link': '/item/board_read.naver?code=034020&nid=409739718&page=3', 'body': '', 'score': 654}, {'title': '모든 종목이 파란불인데,.. 이정도로 견디다는건...[1]', 'date': '2026.01.06 12:32', 'views': '165', 'likes': '14', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409729325&page=8', 'body': '', 'score': 585}, {'title': '털린애들은 쫌 가라[1]', 'date': '2026.01.06 09:32', 'views': '69', 'likes': '14', 'dislikes': '3', 'link': '/item/board_read.naver?code=034020&nid=409705036&page=16', 'body': '', 'score': 489}, {'title': '머스크 인정', 'date': '2026.01.06 13:56', 'views': '245', 'likes': '13', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409738716&page=3', 'body': '', 'score': 635}, {'title': '가스터빈 ge버노바가 시총 200조다 두빌 존...', 'date': '2026.01.06 13:35', 'views': '141', 'likes': '13', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=409735773&page=5', 'body': '', 'score': 531}]"
KOSDAQ,138360,협진,1718,9.55%,1306,8.65%,+1.24%,168,"사명변경,.하면 주가는 최소 1만찍는다[1] / 거래양 1,760만주 완전히 손바뀜 달성했고..... / 협진로보틱스~~~ / 2년 가까이 쳐 물려 있던 거 잘 팔았다 ㅋㅋ...",Mixed,"ㅋㅋ, 오늘, 손바뀜",False,"[{'title': '사명변경,.하면 주가는 최소 1만찍는다[1]', 'date': '2026.01.06 11:46', 'views': '154', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409724238&page=4', 'body': '', 'score': 364}, {'title': '협진로보틱스~~~', 'date': '2026.01.06 13:08', 'views': '70', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409732930&page=4', 'body': '', 'score': 190}, {'title': '2년 가까이 쳐 물려 있던 거 잘 팔았다 ㅋㅋ...', 'date': '2026.01.06 11:18', 'views': '40', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409720891&page=5', 'body': '', 'score': 160}, {'title': '거래양 1,760만주 완전히 손바뀜 달성했고.....', 'date': '2026.01.06 09:49', 'views': '104', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=138360&nid=409707881&page=7', 'body': '', 'score': 224}, {'title': '늦지 않았습니다', 'date': '2026.01.06 14:20', 'views': '18', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=138360&nid=409741769&page=3', 'body': '', 'score': 108}, {'title': '인간지표들 많이 담았냐[1]', 'date': '2026.01.06 14:10', 'views': '43', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409740408&page=3', 'body': '', 'score': 133}, {'title': '진심 2000원 로봇주네', 'date': '2026.01.06 12:49', 'views': '48', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409731081&page=4', 'body': '', 'score': 138}, {'title': '지금. 협진. 불법적으로. 1주식. 매수. 매...', 'date': '2026.01.06 12:41', 'views': '54', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=138360&nid=409730298&page=4', 'body': '', 'score': 144}, {'title': '종가는 상한가!!  로봇회사로  변신', 'date': '2026.01.06 12:36', 'views': '41', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=138360&nid=409729700&page=4', 'body': '', 'score': 131}, {'title': '다른건 모르것고 제품 품절만', 'date': '2026.01.06 12:32', 'views': '55', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=138360&nid=409729361&page=4', 'body': '', 'score': 145}]"
