timestamp,event,model,prompt_tokens,output_tokens,total_tokens,req_stocks,resp_stocks,req_posts,req_chars,body_ok,body_fail,cache_hit,cache_miss,posts_dropped,noise_only_stocks
2026-07-28 09:02:19,run_summary,,,,,,,,,0,45,,,,
2026-07-28 09:02:24,batch_call,gemini-2.5-flash-lite,1239,656,1895,9,9,45,2247,,,,,,
2026-07-28 09:02:33,batch_call,gemini-2.5-flash-lite,232,85,319,,,,502,,,,,,
2026-07-28 09:05:33,batch_call,gemini-2.5-flash,425,249,2986,,,,696,,,,,,
2026-07-28 09:05:42,batch_call,gemini-2.5-flash,445,254,2185,,,,704,,,,,,
2026-07-28 09:12:45,run_summary,,,,,,,,,0,55,,,,
2026-07-28 09:12:49,batch_call,gemini-2.5-flash-lite,1378,628,2006,10,10,50,2479,,,,,,
2026-07-28 09:12:50,batch_call,gemini-2.5-flash-lite,413,92,505,1,1,5,924,,,,,,
2026-07-28 09:22:23,run_summary,,,,,,,,,0,65,,,,
2026-07-28 09:22:27,batch_call,gemini-2.5-flash-lite,1349,610,1959,10,10,50,2441,,,,,,
2026-07-28 09:22:29,batch_call,gemini-2.5-flash-lite,638,257,895,3,3,15,1276,,,,,,
2026-07-28 09:37:54,run_summary,,,,,,,,,0,65,,,,
2026-07-28 09:37:59,batch_call,gemini-2.5-flash-lite,1291,782,2073,10,10,50,2334,,,,,,
2026-07-28 09:38:00,batch_call,gemini-2.5-flash-lite,658,208,866,3,3,15,1302,,,,,,
2026-07-28 09:42:59,run_summary,,,,,,,,,0,70,,,,
2026-07-28 09:43:04,batch_call,gemini-2.5-flash-lite,1321,622,1943,10,10,50,2405,,,,,,
2026-07-28 09:43:05,batch_call,gemini-2.5-flash-lite,700,319,1019,4,4,20,1383,,,,,,
2026-07-28 09:53:11,run_summary,,,,,,,,,0,80,,,,
2026-07-28 09:53:16,batch_call,gemini-2.5-flash-lite,1319,693,2012,10,10,50,2401,,,,,,
2026-07-28 09:53:18,batch_call,gemini-2.5-flash-lite,910,472,1382,6,6,30,1710,,,,,,
2026-07-28 10:02:44,run_summary,,,,,,,,,0,80,,,,
2026-07-28 10:02:50,batch_call,gemini-2.5-flash-lite,1308,762,2070,10,10,50,2368,,,,,,
2026-07-28 10:02:52,batch_call,gemini-2.5-flash-lite,917,372,1289,6,6,30,1723,,,,,,
2026-07-28 10:03:04,batch_call,gemini-2.5-flash-lite,230,70,300,,,,500,,,,,,
2026-07-28 10:06:07,batch_call,gemini-2.5-flash,431,172,2412,,,,682,,,,,,
2026-07-28 10:06:25,batch_call,gemini-2.5-flash,465,298,3889,,,,715,,,,,,
2026-07-28 10:22:51,run_summary,,,,,,,,,0,95,,,,
2026-07-28 10:22:56,batch_call,gemini-2.5-flash-lite,1285,676,1961,10,10,50,2350,,,,,,
2026-07-28 10:22:58,batch_call,gemini-2.5-flash-lite,1183,660,1843,9,9,45,2157,,,,,,
2026-07-28 10:33:12,run_summary,,,,,,,,,0,100,,,,
2026-07-28 10:33:17,batch_call,gemini-2.5-flash-lite,1271,705,1976,10,10,50,2328,,,,,,
2026-07-28 10:33:20,batch_call,gemini-2.5-flash-lite,1271,704,1975,10,10,50,2291,,,,,,
2026-07-28 10:43:03,run_summary,,,,,,,,,0,95,,,,
2026-07-28 10:43:07,batch_call,gemini-2.5-flash-lite,1274,628,1902,10,10,50,2325,,,,,,
2026-07-28 10:43:11,batch_call,gemini-2.5-flash-lite,1198,697,1895,9,9,45,2163,,,,,,
2026-07-28 10:53:02,run_summary,,,,,,,,,0,95,,,,
2026-07-28 10:53:06,batch_call,gemini-2.5-flash-lite,1260,673,1933,10,10,50,2300,,,,,,
2026-07-28 10:53:08,batch_call,gemini-2.5-flash-lite,1213,592,1805,9,9,45,2206,,,,,,
2026-07-28 11:03:12,run_summary,,,,,,,,,0,65,,,,
2026-07-28 11:03:16,batch_call,gemini-2.5-flash-lite,1299,643,1942,10,10,50,2334,,,,,,
2026-07-28 11:03:18,,,,,,3,0,15,,,,,,,
2026-07-28 11:03:32,batch_call,gemini-2.5-flash-lite,231,77,308,,,,503,,,,,,
2026-07-28 11:07:14,batch_call,gemini-2.5-flash,394,323,3282,,,,642,,,,,,
2026-07-28 11:07:24,batch_call,gemini-2.5-flash,417,293,2582,,,,650,,,,,,
2026-07-28 11:13:09,run_summary,,,,,,,,,0,70,,,,
2026-07-28 11:13:14,batch_call,gemini-2.5-flash-lite,1303,617,1920,10,10,50,2351,,,,,,
2026-07-28 11:13:15,batch_call,gemini-2.5-flash-lite,714,271,985,4,4,20,1415,,,,,,
2026-07-28 11:23:30,run_summary,,,,,,,,,0,80,,,,
2026-07-28 11:23:35,batch_call,gemini-2.5-flash-lite,1289,731,2022,10,10,50,2346,,,,,,
2026-07-28 11:23:37,batch_call,gemini-2.5-flash-lite,920,432,1352,6,6,30,1735,,,,,,
2026-07-28 11:33:39,run_summary,,,,,,,,,0,80,,,,
2026-07-28 11:33:43,batch_call,gemini-2.5-flash-lite,1282,662,1944,10,10,50,2340,,,,,,
2026-07-28 11:33:45,batch_call,gemini-2.5-flash-lite,923,445,1368,6,6,30,1740,,,,,,
