데이터_수집시각,시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts,외인변화,scraper_version,게시물,외인비중,전일종가,전일외인,감정,키워드,연속
2026-01-02,KOSPI,68270,셀트리온,189600.0,21.06%,181300.0,21.08%,+4.75%,91.0,[속보 주주필독] 국내 CMO중 세계1...[3] / 오늘[1] / 오늘 혹시 횡보 조정주면[5] / 공매도 곡소리 나는날ᆢ릴리 위탁계약은 ...[1],Positive (64%),"■■, 오늘, 뉴스",False,"[{'title': '[속보 주주필독] 국내 CMO중 세계1...[3]', 'date': '2026.01.02 08:31', 'views': '298', 'likes': '25', 'dislikes': '1', 'link': '/item/board_read.naver?code=068270&nid=409525329&page=4', 'body': '', 'score': 1048}, {'title': '오늘[1]', 'date': '2026.01.02 08:12', 'views': '163', 'likes': '21', 'dislikes': '7', 'link': '/item/board_read.naver?code=068270&nid=409524943&page=4', 'body': '', 'score': 793}, {'title': '오늘 혹시 횡보 조정주면[5]', 'date': '2026.01.02 08:45', 'views': '176', 'likes': '17', 'dislikes': '6', 'link': '/item/board_read.naver?code=068270&nid=409525654&page=3', 'body': '', 'score': 686}, {'title': '25만원 까지 절매 매도 금지 입니다.[1]', 'date': '2026.01.02 08:57', 'views': '121', 'likes': '16', 'dislikes': '3', 'link': '/item/board_read.naver?code=068270&nid=409525964&page=3', 'body': '', 'score': 601}, {'title': '공매도 곡소리 나는날ᆢ릴리 위탁계약은 ...[1]', 'date': '2026.01.02 08:37', 'views': '198', 'likes': '15', 'dislikes': '4', 'link': '/item/board_read.naver?code=068270&nid=409525468&page=4', 'body': '', 'score': 648}, {'title': '뉴스 미국공장인수  목표가 25만 올해...[1]', 'date': '2026.01.02 08:39', 'views': '97', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=068270&nid=409525513&page=4', 'body': '', 'score': 487}, {'title': '오늘......................', 'date': '2026.01.02 09:16', 'views': '59', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=068270&nid=409526584&page=2', 'body': '', 'score': 419}, {'title': '목표가 35마넌', 'date': '2026.01.02 09:00', 'views': '75', 'likes': '11', 'dislikes': '2', 'link': '/item/board_read.naver?code=068270&nid=409526037&page=3', 'body': '', 'score': 405}, {'title': '부푼 개미들 ㅋㅋ갭상승 장대음봉[3]', 'date': '2026.01.02 08:49', 'views': '88', 'likes': '11', 'dislikes': '8', 'link': '/item/board_read.naver?code=068270&nid=409525741&page=3', 'body': '', 'score': 418}, {'title': '항체약외에 일라이릴리 비만약도', 'date': '2026.01.02 08:40', 'views': '75', 'likes': '11', 'dislikes': '4', 'link': '/item/board_read.naver?code=068270&nid=409525523&page=3', 'body': '', 'score': 405}]",,,,,,,,,
2026-01-02,KOSDAQ,80220,제주반도체,27450.0,5.61%,22350.0,2.51%,+4.17%,43.0,오늘 주식시장10시개장 / 오늘 넥스터  장시작 시간..??[4] / 미리축하드립니다[1] / 31층 6000주 2년 전 고수님들 5만 원 가능...[5],Negative (63%),"오늘, 설거지, 거래량",False,"[{'title': '오늘 주식시장10시개장', 'date': '2026.01.02 08:21', 'views': '181', 'likes': '20', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409525120&page=2', 'body': '', 'score': 781}, {'title': '미리축하드립니다[1]', 'date': '2026.01.02 08:41', 'views': '287', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=080220&nid=409525557&page=2', 'body': '', 'score': 587}, {'title': '네이버는 리딩방 애들  단속 강력히 해라~~~', 'date': '2026.01.02 09:21', 'views': '35', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409526767&page=2', 'body': '', 'score': 305}, {'title': '4만은', 'date': '2026.01.02 08:07', 'views': '69', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409524848&page=2', 'body': '', 'score': 279}, {'title': '오늘 넥스터  장시작 시간..??[4]', 'date': '2026.01.02 08:12', 'views': '627', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=080220&nid=409524948&page=2', 'body': '', 'score': 777}, {'title': '31층 6000주 2년 전 고수님들 5만 원 가능...[5]', 'date': '2026.01.02 09:02', 'views': '293', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=080220&nid=409526123&page=2', 'body': '', 'score': 413}, {'title': '오사카는 주말내내 손절 이야기하네[2]', 'date': '2026.01.02 08:58', 'views': '126', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=080220&nid=409525994&page=2', 'body': '', 'score': 246}, {'title': '오늘', 'date': '2026.01.02 08:16', 'views': '46', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409525015&page=2', 'body': '', 'score': 166}, {'title': '오늘은 30,000터치', 'date': '2026.01.02 09:54', 'views': '21', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=080220&nid=409528173&page=1', 'body': '', 'score': 111}, {'title': '조용![1]', 'date': '2026.01.02 09:43', 'views': '73', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=080220&nid=409527653&page=1', 'body': '', 'score': 163}]",,,,,,,,,
2026-01-02,KOSPI,5930,삼성전자,120500.0,52.33%,119500.0,52.34%,+0.50%,239.0,오늘 시장 개장시간!![5] / 거래소  정시 개장해야[3] / 정규시간에 시무식하는 것은 금융적폐[1] / 여기서 대통령 욕할 시간에,Positive (62%),"오늘, ..., 삼전",False,"[{'title': '오늘 시장 개장시간!![5]', 'date': '2026.01.02 08:04', 'views': '539', 'likes': '26', 'dislikes': '1', 'link': '/item/board_read.naver?code=005930&nid=409524788&page=12', 'body': '', 'score': 1319}, {'title': '정규시간에 시무식하는 것은 금융적폐[1]', 'date': '2026.01.02 09:02', 'views': '208', 'likes': '25', 'dislikes': '1', 'link': '/item/board_read.naver?code=005930&nid=409526104&page=6', 'body': '', 'score': 958}, {'title': '여기서 대통령 욕할 시간에', 'date': '2026.01.02 08:08', 'views': '37', 'likes': '22', 'dislikes': '6', 'link': '/item/board_read.naver?code=005930&nid=409524861&page=11', 'body': '', 'score': 697}, {'title': '윤석열 김건희 한동훈 한덕수가 사영 ...[2]', 'date': '2026.01.02 08:44', 'views': '32', 'likes': '21', 'dislikes': '7', 'link': '/item/board_read.naver?code=005930&nid=409525628&page=8', 'body': '', 'score': 662}, {'title': '거래소  정시 개장해야[3]', 'date': '2026.01.02 08:59', 'views': '491', 'likes': '20', 'dislikes': '2', 'link': '/item/board_read.naver?code=005930&nid=409526022&page=7', 'body': '', 'score': 1091}, {'title': '25년 상승률[1]', 'date': '2026.01.02 08:50', 'views': '79', 'likes': '20', 'dislikes': '4', 'link': '/item/board_read.naver?code=005930&nid=409525767&page=8', 'body': '', 'score': 679}, {'title': '●내란범을 사형안시키면 1년에 한번씩...', 'date': '2026.01.02 09:01', 'views': '59', 'likes': '18', 'dislikes': '12', 'link': '/item/board_read.naver?code=005930&nid=409526078&page=6', 'body': '', 'score': 599}, {'title': '정치는 니네 집가서 해(메인걸리게 추...[1]', 'date': '2026.01.02 09:05', 'views': '31', 'likes': '17', 'dislikes': '2', 'link': '/item/board_read.naver?code=005930&nid=409526198&page=6', 'body': '', 'score': 541}, {'title': '영업시간에 시무식', 'date': '2026.01.02 08:49', 'views': '147', 'likes': '17', 'dislikes': '0', 'link': '/item/board_read.naver?code=005930&nid=409525761&page=8', 'body': '', 'score': 657}, {'title': '군인들 통닭 예산 민주당이 깎았다꼬 내...', 'date': '2026.01.02 08:07', 'views': '55', 'likes': '17', 'dislikes': '5', 'link': '/item/board_read.naver?code=005930&nid=409524853&page=11', 'body': '', 'score': 565}]",,,,,,,,,
2026-01-02,KOSPI,660,SK하이닉스,652000.0,53.83%,640000.0,53.82%,+0.15%,92.0,"배당금 실화임?[3] / 삼성, 하이닉 둘다 보유한 주주로써..[1] / 오전 10시 개장하는 코스피는 휴일발표된 수출 ... / 하이닉스 오늘 강세 전망[3]",Positive (66%),"오늘, 삼성, 호재",False,"[{'title': '삼성, 하이닉 둘다 보유한 주주로써..[1]', 'date': '2026.01.02 08:12', 'views': '156', 'likes': '27', 'dislikes': '2', 'link': '/item/board_read.naver?code=000660&nid=409524946&page=5', 'body': '', 'score': 966}, {'title': '배당금 실화임?[3]', 'date': '2026.01.02 08:26', 'views': '567', 'likes': '23', 'dislikes': '6', 'link': '/item/board_read.naver?code=000660&nid=409525229&page=4', 'body': '', 'score': 1257}, {'title': '하이닉스', 'date': '2026.01.02 08:25', 'views': '74', 'likes': '23', 'dislikes': '2', 'link': '/item/board_read.naver?code=000660&nid=409525202&page=4', 'body': '', 'score': 764}, {'title': 'SK하이닉스 95만원·삼성전자 16만원 간다…메...', 'date': '2026.01.02 08:21', 'views': '204', 'likes': '19', 'dislikes': '1', 'link': '/item/board_read.naver?code=000660&nid=409525125&page=4', 'body': '', 'score': 774}, {'title': '오전 10시 개장하는 코스피는 휴일발표된 수출 ...', 'date': '2026.01.02 08:28', 'views': '394', 'likes': '18', 'dislikes': '2', 'link': '/item/board_read.naver?code=000660&nid=409525253&page=4', 'body': '', 'score': 934}, {'title': '하이닉스 오늘 강세 전망[3]', 'date': '2026.01.02 09:14', 'views': '265', 'likes': '17', 'dislikes': '4', 'link': '/item/board_read.naver?code=000660&nid=409526487&page=3', 'body': '', 'score': 775}, {'title': 'Kjh5083', 'date': '2026.01.02 08:12', 'views': '45', 'likes': '17', 'dislikes': '1', 'link': '/item/board_read.naver?code=000660&nid=409524939&page=5', 'body': '', 'score': 555}, {'title': '최고의 주주가치제고', 'date': '2026.01.02 08:12', 'views': '169', 'likes': '15', 'dislikes': '3', 'link': '/item/board_read.naver?code=000660&nid=409524957&page=5', 'body': '', 'score': 619}, {'title': '당장 100만원 가도', 'date': '2026.01.02 09:23', 'views': '110', 'likes': '14', 'dislikes': '4', 'link': '/item/board_read.naver?code=000660&nid=409526856&page=3', 'body': '', 'score': 530}, {'title': ""연초 SK하이닉스. 삼성 호재 또 터졌다'. 中..."", 'date': '2026.01.02 08:30', 'views': '122', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=000660&nid=409525294&page=4', 'body': '', 'score': 512}]",,,,,,,,,
2026-01-02,KOSPI,42660,한화오션,113200.0,9.25%,115600.0,9.24%,-0.35%,60.0,26년 연말 빛나는 예상 종 목[1] / 오늘 개장시간[2] / 수주 축하합니다 / < 강훈식 비서실장 캐나다 방문 예정.   포...[1],Negative (93%),"오늘, 새해부터, 26년",False,"[{'title': '26년 연말 빛나는 예상 종 목[1]', 'date': '2026.01.02 08:38', 'views': '442', 'likes': '26', 'dislikes': '6', 'link': '/item/board_read.naver?code=042660&nid=409525477&page=3', 'body': '', 'score': 1222}, {'title': '수주 축하합니다', 'date': '2026.01.02 09:23', 'views': '230', 'likes': '25', 'dislikes': '9', 'link': '/item/board_read.naver?code=042660&nid=409526845&page=2', 'body': '', 'score': 980}, {'title': '오늘 개장시간[2]', 'date': '2026.01.02 08:04', 'views': '342', 'likes': '23', 'dislikes': '1', 'link': '/item/board_read.naver?code=042660&nid=409524785&page=3', 'body': '', 'score': 1032}, {'title': '솔직히 새해부터 안티짓 하는애들이 뭔잘못이겠어...', 'date': '2026.01.02 08:22', 'views': '64', 'likes': '20', 'dislikes': '6', 'link': '/item/board_read.naver?code=042660&nid=409525142&page=3', 'body': '', 'score': 664}, {'title': '새해부터 안티하는 것들은', 'date': '2026.01.02 08:09', 'views': '50', 'likes': '17', 'dislikes': '9', 'link': '/item/board_read.naver?code=042660&nid=409524882&page=3', 'body': '', 'score': 560}, {'title': '< 강훈식 비서실장 캐나다 방문 예정.   포...[1]', 'date': '2026.01.02 09:01', 'views': '230', 'likes': '16', 'dislikes': '5', 'link': '/item/board_read.naver?code=042660&nid=409526060&page=2', 'body': '', 'score': 710}, {'title': '속초 가족여행 중...', 'date': '2026.01.02 09:00', 'views': '124', 'likes': '15', 'dislikes': '6', 'link': '/item/board_read.naver?code=042660&nid=409526040&page=3', 'body': '', 'score': 574}, {'title': '오늘 대폭락 예정임니다.[4]', 'date': '2026.01.02 08:04', 'views': '160', 'likes': '15', 'dislikes': '16', 'link': '/item/board_read.naver?code=042660&nid=409524787&page=3', 'body': '', 'score': 610}, {'title': '동네사람들은', 'date': '2026.01.02 09:38', 'views': '112', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=042660&nid=409527430&page=2', 'body': '', 'score': 532}, {'title': '안티분들 오늘은 그만 들어가시고', 'date': '2026.01.02 08:27', 'views': '49', 'likes': '14', 'dislikes': '4', 'link': '/item/board_read.naver?code=042660&nid=409525245&page=3', 'body': '', 'score': 469}]",,,,,,,,,
2026-01-02,KOSDAQ,347700,스피어,19090.0,4.52%,13680.0,4.32%,+29.95%,86.0,"스피어, 니켈 제련소 지분 인수로 공급망 경...[1] / 메리츠증권기사 / 유상증자 3000억 확정 개폭락 예정[7] / 메리츠證 “스피어, 니켈 제련소 지분 확보로 ...",Positive (61%),"상한가, 스피어, 지분",False,"[{'title': '메리츠증권기사', 'date': '2026.01.02 08:33', 'views': '174', 'likes': '13', 'dislikes': '2', 'link': '/item/board_read.naver?code=347700&nid=409525359&page=5', 'body': '', 'score': 564}, {'title': '스피어, 니켈 제련소 지분 인수로 공급망 경...[1]', 'date': '2026.01.02 08:29', 'views': '235', 'likes': '12', 'dislikes': '2', 'link': '/item/board_read.naver?code=347700&nid=409525270&page=5', 'body': '', 'score': 595}, {'title': '메리츠證 “스피어, 니켈 제련소 지분 확보로 ...', 'date': '2026.01.02 09:40', 'views': '127', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=347700&nid=409527517&page=4', 'body': '', 'score': 427}, {'title': '이제 상 안풀리니까 오늘은 안심하고.[3]', 'date': '2026.01.02 11:48', 'views': '186', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=347700&nid=409545958&page=1', 'body': '', 'score': 366}, {'title': '갭상후 상한가라고 얘기 했잖아 ㅋ', 'date': '2026.01.02 10:46', 'views': '49', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=347700&nid=409536996&page=3', 'body': '', 'score': 229}, {'title': '상잔량이 심히 우려스럽다ㅡ[3]', 'date': '2026.01.02 11:38', 'views': '143', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=347700&nid=409544848&page=1', 'body': '', 'score': 293}, {'title': '주주분들 축하합니다[1]', 'date': '2026.01.02 11:23', 'views': '74', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=347700&nid=409542968&page=1', 'body': '', 'score': 224}, {'title': '유상증자 3000억 확정 개폭락 예정[7]', 'date': '2026.01.02 09:04', 'views': '290', 'likes': '5', 'dislikes': '15', 'link': '/item/board_read.naver?code=347700&nid=409526190&page=5', 'body': '', 'score': 440}, {'title': '헐 일하다 봤는데 상쳤네!', 'date': '2026.01.02 11:13', 'views': '32', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=347700&nid=409541641&page=2', 'body': '', 'score': 152}, {'title': '팁 ㅡ 그간 팁주었다', 'date': '2026.01.02 10:29', 'views': '113', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=347700&nid=409534146&page=3', 'body': '', 'score': 233}]",,,,,,,,,
2026-01-02,KOSPI,93240,형지엘리트,2205.0,1.13%,1497.0,2.72%,+29.86%,100.0,"이젠 수요일 이미 야그했듯이[4] / 흔들리지 마시고, 꽉 잡으세요.[2] / 형지로보틱스 개미들 입 소문 났다 / 형지로봇틱스",Positive (80%),"오늘, 상한가, 이상",False,"[{'title': '이젠 수요일 이미 야그했듯이[4]', 'date': '2026.01.02 10:21', 'views': '126', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409532431&page=3', 'body': '', 'score': 306}, {'title': '흔들리지 마시고, 꽉 잡으세요.[2]', 'date': '2026.01.02 10:02', 'views': '81', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409528900&page=5', 'body': '', 'score': 261}, {'title': '형지로보틱스 개미들 입 소문 났다', 'date': '2026.01.02 08:22', 'views': '85', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=093240&nid=409525141&page=5', 'body': '', 'score': 235}, {'title': '갖고 있을껄', 'date': '2026.01.02 10:43', 'views': '38', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409536536&page=2', 'body': '', 'score': 158}, {'title': '반도체분야는 이재용 , 모빌리티 분야는 정의...[1]', 'date': '2026.01.02 11:31', 'views': '97', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409544039&page=1', 'body': '', 'score': 187}, {'title': '오후에 상풀리고[2]', 'date': '2026.01.02 11:21', 'views': '79', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=093240&nid=409542814&page=1', 'body': '', 'score': 169}, {'title': '오늘 쩜상이네..[1]', 'date': '2026.01.02 09:44', 'views': '90', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409527676&page=5', 'body': '', 'score': 180}, {'title': '형지로봇틱스', 'date': '2026.01.02 08:14', 'views': '134', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409524992&page=5', 'body': '', 'score': 224}, {'title': '이거잖아요..아까말한게[2]', 'date': '2026.01.02 11:30', 'views': '32', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409543847&page=1', 'body': '', 'score': 92}, {'title': '中 경제사절단, 로봇∙반도체∙모빌리티∙2차전...', 'date': '2026.01.02 11:27', 'views': '44', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409543558&page=1', 'body': '', 'score': 104}]",,,,,,,,,
2026-01-02,KOSPI,123690,한국화장품,11990.0,2.39%,9800.0,2.17%,+19.42%,94.0,"4대그룹 총수에 ‘한한령 직격탄’ 게임-엔터기업... / 30일 종가에 샀는데 ㅜㅠ[2] / 죽, 세력은 오늘 상한가를 가고 월요일 갭상승 / 설레발치는거보니",Positive (62%),"오늘, 한국화장품, 중국",False,"[{'title': '4대그룹 총수에 ‘한한령 직격탄’ 게임-엔터기업...', 'date': '2026.01.02 08:59', 'views': '119', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=123690&nid=409526018&page=4', 'body': '', 'score': 389}, {'title': '오늘이 정규장 첫시세임 쫄필요없음', 'date': '2026.01.02 09:27', 'views': '39', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=123690&nid=409527014&page=4', 'body': '', 'score': 219}, {'title': '이재명은 시진핑보다 위대하다', 'date': '2026.01.02 09:06', 'views': '31', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=123690&nid=409526249&page=4', 'body': '', 'score': 211}, {'title': '설레발치는거보니', 'date': '2026.01.02 08:49', 'views': '40', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=123690&nid=409525740&page=5', 'body': '', 'score': 220}, {'title': '30일 종가에 샀는데 ㅜㅠ[2]', 'date': '2026.01.02 09:37', 'views': '91', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=123690&nid=409527401&page=4', 'body': '', 'score': 241}, {'title': '죽, 세력은 오늘 상한가를 가고 월요일 갭상승', 'date': '2026.01.02 09:07', 'views': '90', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=123690&nid=409526295&page=4', 'body': '', 'score': 240}, {'title': '10860사서 11100 매도[2]', 'date': '2026.01.02 11:00', 'views': '63', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=123690&nid=409539657&page=2', 'body': '', 'score': 183}, {'title': '시초가 입성 합니다 잘부탁 드려요[1]', 'date': '2026.01.02 09:38', 'views': '46', 'likes': '4', 'dislikes': '4', 'link': '/item/board_read.naver?code=123690&nid=409527451&page=4', 'body': '', 'score': 166}, {'title': '갭상승후', 'date': '2026.01.02 09:14', 'views': '40', 'likes': '4', 'dislikes': '5', 'link': '/item/board_read.naver?code=123690&nid=409526492&page=4', 'body': '', 'score': 160}, {'title': '11월19일과 12월29일이 대칭을 이루고 1...', 'date': '2026.01.02 08:50', 'views': '87', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=123690&nid=409525771&page=5', 'body': '', 'score': 207}]",,,,,,,,,
2026-01-02,KOSDAQ,319400,현대무벡스,22150.0,2.01%,20350.0,2.99%,+17.88%,205.0,"추세 아직!! CES 기대감 현대무벡스 2... / AGV가 상품을 착착, 겐트리가 타이어를 ... / 하늘 높이  불타오르는  현무를 기대하며[1] / 무백 샀다가 아내랑 뜨밤하게 생겼다 ㅋㅋ[2]",Positive (79%),"오늘, 투경, ...",False,"[{'title': '하늘 높이  불타오르는  현무를 기대하며[1]', 'date': '2026.01.02 08:59', 'views': '137', 'likes': '22', 'dislikes': '3', 'link': '/item/board_read.naver?code=319400&nid=409526016&page=11', 'body': '', 'score': 797}, {'title': '추세 아직!! CES 기대감 현대무벡스 2...', 'date': '2026.01.02 08:14', 'views': '220', 'likes': '22', 'dislikes': '0', 'link': '/item/board_read.naver?code=319400&nid=409524982&page=11', 'body': '', 'score': 880}, {'title': 'AGV가 상품을 착착, 겐트리가 타이어를 ...', 'date': '2026.01.02 08:06', 'views': '175', 'likes': '21', 'dislikes': '0', 'link': '/item/board_read.naver?code=319400&nid=409524828&page=11', 'body': '', 'score': 805}, {'title': '외쿡형들   미친겁니다?', 'date': '2026.01.02 11:51', 'views': '76', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=319400&nid=409546295&page=1', 'body': '', 'score': 496}, {'title': '무백 샀다가 아내랑 뜨밤하게 생겼다 ㅋㅋ[2]', 'date': '2026.01.02 10:30', 'views': '402', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=319400&nid=409534211&page=7', 'body': '', 'score': 792}, {'title': '공사현장 지키는 ‘깐부’ 로봇…피지컬 AI...', 'date': '2026.01.02 08:48', 'views': '150', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=319400&nid=409525715&page=11', 'body': '', 'score': 540}, {'title': '기업들 신년사 보면 알겠지만 AI,자동화로...', 'date': '2026.01.02 11:52', 'views': '91', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=319400&nid=409546464&page=1', 'body': '', 'score': 421}, {'title': '갑자기 확 끌어 올린다.', 'date': '2026.01.02 11:08', 'views': '70', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=319400&nid=409540880&page=4', 'body': '', 'score': 400}, {'title': '새해 첫 날이니 2만원 안착하고 시작해야지~~[1]', 'date': '2026.01.02 10:03', 'views': '35', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=319400&nid=409529157&page=10', 'body': '', 'score': 365}, {'title': '마감상', 'date': '2026.01.02 11:47', 'views': '31', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=319400&nid=409545814&page=2', 'body': '', 'score': 331}]",,,,,,,,,
2026-01-02,KOSPI,42700,한미반도체,141200.0,5.98%,130400.0,6.16%,+10.83%,212.0,매도벽 하나도안무서운이유 / 형들아.[6] / 개인 빼고 올 매수 / 주주는 아니지만 이 기회에 공매들,Positive (52%),"공매도, 오늘, 한미반도체",False,"[{'title': '매도벽 하나도안무서운이유', 'date': '2026.01.02 11:18', 'views': '147', 'likes': '29', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409542387&page=4', 'body': '', 'score': 1017}, {'title': '형들아.[6]', 'date': '2026.01.02 10:43', 'views': '112', 'likes': '26', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409536445&page=7', 'body': '', 'score': 892}, {'title': '주주는 아니지만 이 기회에 공매들', 'date': '2026.01.02 11:47', 'views': '48', 'likes': '21', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409545886&page=2', 'body': '', 'score': 678}, {'title': '오늘 공매도 제삿날이다', 'date': '2026.01.02 11:44', 'views': '41', 'likes': '21', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409545481&page=2', 'body': '', 'score': 671}, {'title': '개인 빼고 올 매수', 'date': '2026.01.02 11:18', 'views': '88', 'likes': '21', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409542375&page=4', 'body': '', 'score': 718}, {'title': 'Vi 이맛이지!!', 'date': '2026.01.02 11:43', 'views': '69', 'likes': '19', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409545400&page=3', 'body': '', 'score': 639}, {'title': '첫날부터 순국선열들이 도와주신다[2]', 'date': '2026.01.02 10:33', 'views': '50', 'likes': '19', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409534705&page=8', 'body': '', 'score': 620}, {'title': '오늘종가 14만원간다', 'date': '2026.01.02 10:04', 'views': '57', 'likes': '19', 'dislikes': '2', 'link': '/item/board_read.naver?code=042700&nid=409529337&page=9', 'body': '', 'score': 627}, {'title': '오늘 형이 종가 14만원 예언했는데[2]', 'date': '2026.01.02 11:38', 'views': '126', 'likes': '18', 'dislikes': '3', 'link': '/item/board_read.naver?code=042700&nid=409544757&page=3', 'body': '', 'score': 666}, {'title': '이종', 'date': '2026.01.02 11:30', 'views': '65', 'likes': '17', 'dislikes': '3', 'link': '/item/board_read.naver?code=042700&nid=409543901&page=3', 'body': '', 'score': 575}]",,,,,,,,,
