date,005930_삼성전자,000660_SK하이닉스,005935_삼성전자우,402340_SK스퀘어,009150_삼성전기,373220_LG에너지솔루션,005380_현대차,207940_삼성바이오로직스,105560_KB금융,028260_삼성물산,032830_삼성생명,012450_한화에어로스페이스,034020_두산에너빌리티,055550_신한지주,329180_HD현대중공업,000270_기아,034730_SK,006400_삼성SDI,068270_셀트리온,086790_하나금융지주,066570_LG전자,012330_현대모비스,010120_LS ELECTRIC,035420_NAVER,000810_삼성화재,298040_효성중공업,316140_우리금융지주,267260_HD현대일렉트릭,096770_SK이노베이션,005490_POSCO홀딩스,000150_두산,042660_한화오션,009540_HD한국조선해양,010130_고려아연,042700_한미반도체,138040_메리츠금융지주,011200_HMM,015760_한국전력,017670_SK텔레콤,033780_KT&G,051910_LG화학,010140_삼성중공업,010950_S-Oil,006800_미래에셋증권,018260_삼성에스디에스,003550_LG,024110_기업은행,267250_HD현대,003670_포스코퓨처엠,079550_LIG디펜스앤에어로스페이스,035720_카카오,086280_현대글로비스,272210_한화시스템,278470_에이피알,000720_현대건설,030200_KT,011070_LG이노텍,064350_현대로템,047810_한국항공우주,005830_DB손해보험,003490_대한항공,443060_HD현대마린솔루션,071050_한국금융지주,307950_현대오토에버,078930_GS,006260_LS,047050_포스코인터내셔널,028050_삼성E&A,005940_NH투자증권,323410_카카오뱅크,000500_가온전선,180640_한진칼,003230_삼양식품,259960_크래프톤,007660_이수페타시스,090430_아모레퍼시픽,016360_삼성증권,047040_대우건설,161390_한국타이어앤테크놀로지,021240_코웨이,039490_키움증권,000880_한화,352820_하이브,064400_LG씨엔에스,128940_한미약품,009830_한화솔루션,062040_산일전기,032640_LG유플러스,267270_HD건설기계,005387_현대차2우B,001440_대한전선,326030_SK바이오팜,353200_대덕전자,000990_DB하이텍,175330_JB금융지주,241560_두산밥캣,377300_카카오페이,000100_유한양행,052690_한전기술,029780_삼성카드
20260429,226000,1293000,163500,830000,827000,473000,556000,1473000,160600,308500,252000,1420000,129200,100000,690000,156900,425000,712000,194446,127100,135800,439000,273000,220000,464000,3982000,33500,1260000,149800,469000,1572000,132300,472000,1604000,357500,113900,20750,44500,95600,176500,407500,33000,134300,67700,170200,98300,22550,301000,261000,968000,48400,238500,118100,451000,168600,60500,592000,264000,166300,172200,25100,268500,249000,474000,82100,418500,84900,54300,34600,24550,120583,113300,1314000,277500,146000,141400,108700,36900,61200,87400,423500,159063,252500,66700,483000,45228,221000,16050,196000,258500,51200,101800,115400,152600,27100,74500,56600,93200,193300,53000
20260430,220500,1286000,158300,841000,832000,460500,531000,1470000,160500,298500,249500,1417000,127100,99900,685000,151800,425000,695000,191109,127900,140900,425000,278000,211000,461000,3912000,33350,1252000,146200,462000,1596000,131800,461500,1579000,368000,111700,20500,43550,95100,178300,397000,32350,134500,64800,166200,99100,22600,310500,252000,941000,47300,227000,117300,424500,161800,60900,573000,268500,169000,167600,24550,265500,240000,450500,81900,453000,87300,53100,33650,24350,134197,112700,1341000,265000,150300,135300,107500,35000,59200,86100,398000,160143,263000,65000,460000,47822,266000,15840,183900,248000,56300,99900,112800,158500,27300,72000,55700,91600,188600,53300
20260504,232500,1447000,169600,991000,918000,472000,539000,1485000,157800,320000,265000,1465000,127200,98000,680000,154000,475500,705000,188536,126600,143200,431500,294000,209000,473500,4228000,33300,1299000,145700,502000,1705000,133000,469500,1629000,378000,113400,21150,44500,97400,179600,429000,32250,128000,70300,166900,102300,22100,302500,267000,983000,47100,225500,119700,428500,159400,60600,595000,269000,180000,166800,24500,269500,262000,446000,80900,509000,87300,55000,36450,24400,160315,112300,1316000,288500,149000,134300,137900,32150,61500,86700,422500,167946,257500,65900,445000,47067,333500,15990,191100,249500,60700,99300,114400,161700,27350,74000,56000,90500,186300,52500
20260506,266000,1601000,189300,1089000,912000,482000,550000,1480000,158900,375500,298000,1433000,127000,97300,648000,154600,520000,698000,185581,125500,154900,432500,315500,208000,480500,4597000,32600,1389000,146700,506000,1790000,130200,452500,1747000,394500,111600,20550,45050,95500,175400,423500,31850,122000,83800,170000,103000,21600,285500,288500,979000,46300,220000,122200,422000,163700,58500,632000,262000,176600,162000,24550,260500,291500,441000,76900,531000,83600,53000,38450,25000,203936,109700,1294000,284000,151600,130000,149500,32200,59500,83200,484500,168787,246500,67000,434500,45369,319500,15400,187700,250500,69200,98500,125400,162000,26550,72600,63300,87800,182000,51600
20260507,271500,1654000,185400,1099000,917000,483000,572000,1468000,161200,405000,300000,1317000,136400,98900,693000,157600,543000,694000,193016,128800,148700,441500,318500,207500,490000,4601000,33200,1420000,137800,535000,1817000,129900,467500,1560000,393000,113200,20950,44700,93200,176700,425000,33700,118200,79000,176600,104600,21750,290000,296000,866000,45250,230500,116700,401500,167400,59500,637000,235000,171800,165000,26350,269500,276000,455500,78600,507000,80700,64400,37700,23900,203936,113800,1264000,270000,147400,129900,145200,33200,64700,86900,466000,167466,243500,67700,430500,44709,322500,15370,192600,256500,64100,99600,120700,157500,26350,76700,57800,88000,185400,51600
20260508,268500,1686000,182700,1098000,914000,476500,613000,1472000,161700,422500,295000,1307000,129600,98000,658000,164500,550000,678000,189108,126500,154100,509000,313000,215000,499000,4398000,32850,1403000,134700,525000,1735000,126100,452000,1559000,390000,112400,20600,44050,93500,181000,429500,31950,116800,79600,175400,108900,21800,289000,290000,840000,46000,251000,115900,434000,164000,59300,624000,223000,166800,164600,27050,240500,268500,592000,79400,543000,78000,62400,36600,23650,265061,114100,1360000,273000,141100,129400,137200,32850,62100,87600,452500,169627,247500,71000,436000,44615,331000,15050,185100,271500,72300,99400,123200,168100,26050,74900,57000,86600,173600,50900
20260511,285500,1880000,194900,1187000,900000,468000,646000,1458000,158800,452000,299500,1315000,128000,97200,685000,174700,571000,684000,182340,126600,156700,553000,304000,211500,505000,4333000,32500,1362000,132700,512000,1720000,130500,474000,1528000,400000,112000,20050,43200,98200,180300,423500,33950,110900,79400,173700,105100,21350,293500,280000,875000,44700,251000,116100,438000,165800,58800,688000,219500,169500,162200,25750,257000,266000,635000,77400,541000,75300,58600,36050,23150,265061,110900,1319000,284500,140100,127900,135200,32100,61100,92800,459000,165785,241500,70500,423500,42917,324000,15320,180400,272000,70500,98600,125800,186700,26100,73200,59400,84600,171400,50200
20260512,279000,1835000,187000,1126000,958000,443000,646000,1443000,153600,435000,299500,1284000,125600,96700,707000,168300,541000,629000,184247,123100,184900,548000,289000,204000,505000,4197000,31800,1309000,128500,479000,1676000,122000,464500,1512000,377500,107500,19800,41250,103400,182100,388500,31400,114300,74300,179300,110400,21350,287000,261000,879000,43550,265500,111700,415500,156000,59900,696000,215000,165900,161500,24850,248500,249500,615000,76200,510000,74000,54900,34000,22550,313406,109700,1331000,277500,128400,123200,128000,30150,59200,91800,420000,170707,231500,73000,454500,40559,312000,15730,178900,266500,67200,102600,128000,165800,25700,71800,57600,84900,163500,49450
20260513,284000,1976000,189100,1190000,1029000,430000,710000,1410000,152000,428500,306000,1286000,120000,95200,733000,179500,550000,634000,181578,122300,191400,649000,285000,201500,498000,4197000,31150,1280000,129700,478500,1682000,121400,460500,1501000,400500,106500,19830,40750,105800,178000,387500,31050,115300,72900,179300,108700,20800,298500,251500,873000,42950,284000,109600,402000,160700,59300,753000,215000,163500,160800,25750,232000,251500,699000,71900,517000,72500,53000,33550,22050,280620,112200,1295000,281000,133100,120500,127900,28950,59100,94600,410500,168907,230500,73500,445000,40700,302500,15490,179400,282500,65400,99200,142900,185600,24750,70300,51100,84700,156000,48850
20260514,296000,1970000,193700,1171000,1024000,442000,712000,1449000,156000,442000,330000,1306000,117100,96800,671000,178100,541000,636000,185962,126500,217000,650000,280000,213000,538000,4025000,31800,1267000,126700,486500,1703000,120400,437500,1511000,409500,110100,20100,39650,102700,189000,392500,30150,115000,72300,182900,117000,21300,279000,250500,878000,45950,263000,116100,425000,169300,61600,760000,212500,172200,173000,27300,222000,258000,689000,74700,505000,74600,54700,35000,23600,221718,123100,1439000,293500,132500,130200,130000,32600,61800,96200,420000,174309,247000,86100,449500,45087,293500,16600,171900,286000,65500,102400,144600,182800,25650,71500,57800,89400,154900,51000
20260515,270500,1819000,179400,1098000,1010000,417000,700000,1419000,155600,396500,310000,1216000,110800,95100,640000,168000,503000,614000,179957,119000,240500,629000,259000,203500,554000,3745000,31250,1179000,123500,467500,1614000,118100,416000,1426000,369000,105800,19890,38750,101300,179800,374000,29300,112100,69900,189000,126000,20900,269500,235500,834000,44000,242000,104300,404000,155000,58700,732000,201500,161100,164500,26050,215500,258000,648000,77300,472500,71900,50600,32550,22450,188099,119200,1444000,279000,128000,122000,123200,28500,62200,94700,396000,169747,244000,86600,472500,38295,268500,16210,162400,279500,60000,96600,135800,163500,24950,69700,51100,86000,146900,50800
20260518,281000,1840000,185100,1093000,1031000,408000,663000,1386000,153000,399500,313500,1227000,112100,93100,615000,162500,530000,613000,174620,114200,217000,571000,253500,200000,554000,3730000,30650,1147000,123300,463000,1593000,115800,410000,1420000,317000,106300,19960,37650,100500,178200,373000,29550,111500,70500,180600,115400,20650,269000,232000,839000,42450,230000,106100,402000,144900,57000,760000,201000,161700,160600,25550,221000,240500,596000,74800,528000,71300,49500,31950,22300,211160,111400,1366000,282000,131500,120400,119900,29300,61800,92500,390000,151500,235000,81300,432500,40889,258500,15600,163000,270000,58100,95500,140400,170900,25250,67700,49100,83400,144700,48800
20260519,275500,1745000,180800,1020000,987000,400000,604000,1346000,152800,380500,312000,1286000,106000,93900,598000,154900,519000,587000,173952,115300,191700,525000,243500,198100,551000,3580000,30300,1095000,119600,440500,1500000,111900,400000,1374000,288000,108800,19820,39150,97700,177200,350500,28550,110100,66400,171000,105300,20600,265000,224000,862000,41600,214000,104100,397500,139300,56200,793000,195600,161800,164100,25800,218000,234000,536000,75500,541000,70600,49250,31050,22200,215605,111600,1391000,276000,120900,119900,114500,27050,60400,91100,377500,147658,236000,74800,439500,38955,245500,15560,161400,251500,53200,93000,134300,157300,25650,67200,47250,81300,140000,49150
20260520,276000,1745000,177800,1029000,1061000,384500,592000,1337000,151700,370500,312000,1249000,101300,94000,636000,149400,526000,570000,170998,115600,181000,535000,238500,191500,543000,3569000,30100,1066000,115500,417000,1478000,110500,399000,1314000,287500,108200,19670,36900,98100,178200,332000,27650,110800,62000,164800,103100,20300,259000,216500,833000,40150,210500,101600,390000,136200,55800,760000,190500,158000,156300,24800,222000,232500,558000,73900,500000,68200,47400,30450,21950,194211,109200,1357000,265500,121600,116100,112700,26650,59300,88200,363500,147658,226500,71200,414500,37682,245500,15260,153600,248000,52000,91000,133000,162000,24950,64100,45350,81500,135500,48350
