date,code,name,open,high,low,close,volume,amount
20260417,005930,삼성전자,217000,218000,215000,216000,18079322,3913720108000
20260420,005930,삼성전자,214500,219000,213000,214500,17107741,3694826177250
20260421,005930,삼성전자,218000,220000,216000,219000,16752132,3656410642186
20260422,005930,삼성전자,218500,222500,215500,217500,16823480,3668380491500
20260423,005930,삼성전자,223000,229500,216000,224500,34525485,7739982934106
20260424,005930,삼성전자,224000,225000,216500,219500,19626666,4314144436734
20260427,005930,삼성전자,220000,226000,218500,224500,22870374,5112167489250
20260428,005930,삼성전자,224000,226000,221500,222000,18444490,4114489907013
20260429,005930,삼성전자,219500,228000,218500,226000,20363756,4544913518216
20260430,005930,삼성전자,229000,230000,220500,220500,22161975,4984706020346
20260504,005930,삼성전자,228000,232500,224000,232500,32920816,7534835308220
20260506,005930,삼성전자,254000,270000,251000,266000,53097996,13873583841584
20260507,005930,삼성전자,272000,277000,260000,271500,41404687,11101719159250
20260508,005930,삼성전자,260000,270000,260000,268500,25875880,6856898737478
20260511,005930,삼성전자,284500,288500,280000,285500,36031094,10278092379571
20260512,005930,삼성전자,290000,291500,266000,279000,41211149,11516481508515
20260513,005930,삼성전자,264000,285500,262000,284000,35540134,9797838529400
20260514,005930,삼성전자,282000,299500,282000,296000,39314752,11532240252620
20260515,005930,삼성전자,291000,296500,266000,270500,38075487,10667342314779
20260518,005930,삼성전자,269500,288500,262000,281000,33555214,9319457366471
20260519,005930,삼성전자,274000,281500,266000,275500,30767569,8425000673138
20260520,005930,삼성전자,278000,282500,263500,276000,35662077,9744232201916
20260521,005930,삼성전자,291000,299500,287000,299500,36168689,10669803962580
20260522,005930,삼성전자,300000,300500,292000,292500,18395274,5415999876319
20260526,005930,삼성전자,298000,302000,297500,299000,23441371,7028907724698
20260527,005930,삼성전자,321500,323000,306000,307000,33916688,10730431777324
20260528,005930,삼성전자,305000,306500,287500,299500,30195334,9008512632780
20260529,005930,삼성전자,309500,319000,305500,317000,37241537,11699639541368
20260601,005930,삼성전자,319500,354500,319500,349000,45052488,15359749127061
20260602,005930,삼성전자,360500,370000,342000,360500,44720282,15945279373744
20260604,005930,삼성전자,349000,366000,348000,351500,34771037,12341958993806
20260605,005930,삼성전자,333500,343000,325000,329000,33725012,11191087320641
20260608,005930,삼성전자,293000,315500,292500,295500,38929682,11802483835807
20260609,005930,삼성전자,310000,324000,300000,322000,30124249,9419668803569
20260610,005930,삼성전자,311000,314500,295250,302500,27050362,8222479219022
20260611,005930,삼성전자,290500,306500,287500,299000,31420307,9359984196250
20260612,005930,삼성전자,326000,339000,320000,322500,31006148,10243164332536
20260615,005930,삼성전자,342500,344500,334000,337000,21500067,7267809113959
20260616,005930,삼성전자,343000,345500,332500,343000,17548685,5970562049352
20260617,005930,삼성전자,332000,348000,331500,346500,18134051,6145208668000
20260618,005930,삼성전자,345000,363000,344500,362500,32764450,11580404055091
20260619,005930,삼성전자,372500,374500,346250,354000,43284898,15606827170070
20260622,005930,삼성전자,343000,363000,342000,353500,24330451,8592603997000
20260623,005930,삼성전자,347500,353000,310000,310000,41266630,13714975503784
20260624,005930,삼성전자,314000,341000,314000,340500,47809959,15837943400424
20260625,005930,삼성전자,359500,362500,352000,358500,36157158,12953176257708
20260626,005930,삼성전자,354000,356500,321500,339500,39735951,13408352495497
20260629,005930,삼성전자,331000,335500,316000,323000,35436521,11470650838416
20260630,005930,삼성전자,323500,343000,321000,334000,29237216,9724402126750
20260701,005930,삼성전자,334500,339000,311500,314500,24968382,8016067724007
20260702,005930,삼성전자,290000,304000,281500,286000,38905074,11362882136500
20260703,005930,삼성전자,288500,313000,283500,309500,31520538,9454828621194
20260706,005930,삼성전자,320000,325000,303000,318000,23872879,7520834251000
20260707,005930,삼성전자,307000,310000,286000,296000,32421032,9581962248113
20260708,005930,삼성전자,285500,300000,273500,277500,33525758,9556310278550
20260709,005930,삼성전자,288500,291500,267500,278000,29703616,8319219373155
20260710,005930,삼성전자,291000,298000,282000,285000,20088811,5816051148000
20260713,005930,삼성전자,285000,292500,253000,254500,31882652,8455131369000
20260714,005930,삼성전자,255000,270000,247000,263000,40086496,10415841854750
20260715,005930,삼성전자,283500,284500,273000,279500,24873414,6952196477350
20260716,005930,삼성전자,264500,265500,252500,255000,27001478,6939369046582
20260720,005930,삼성전자,241000,257500,240000,244000,26804038,6614607186368
20260721,005930,삼성전자,247000,263500,243000,259000,20386896,5224768025862
20260722,005930,삼성전자,276000,276000,260000,260500,22292003,6021000636074
20260723,005930,삼성전자,269000,273000,263000,270000,16011816,4308084851750
20260724,005930,삼성전자,266000,266500,247000,249500,26175580,6628392525500
20260727,005930,삼성전자,257000,258500,246000,254000,23296044,5855537328000
20260728,005930,삼성전자,238500,240000,218500,220000,41639623,9401020869850
20260729,005930,삼성전자,226500,234000,189200,208500,65555523,13726154839133
20260730,005930,삼성전자,214000,226000,202000,207000,46694193,9915591555814
20260731,005930,삼성전자,257000,267000,243000,262500,58478873,14924241538350
20260803,005930,삼성전자,248000,249500,238000,239500,27825493,6736160892310
20260804,005930,삼성전자,244500,244500,228000,240000,29433821,6922844531100
20260805,005930,삼성전자,254000,254500,244000,246000,22577128,5610076087593
20260806,005930,삼성전자,241500,246000,228000,230500,26101823,6091288502000
20260807,005930,삼성전자,235000,239500,229000,231000,20546010,4791580972001
20260810,005930,삼성전자,236000,238500,228500,230000,16327805,3783527758000
20260811,005930,삼성전자,229500,243000,227500,239500,23310969,5537944545490
20260812,005930,삼성전자,243500,260500,241000,255500,27102479,6868918179750
20260813,005930,삼성전자,267500,271000,262500,268000,35530867,9517753428321
20260814,005930,삼성전자,275000,275500,266000,274500,21669476,5874450961500
20260818,005930,삼성전자,283000,288000,265000,268500,24464621,6742432203720
20260819,005930,삼성전자,251500,254500,246500,247500,22788552,5682871706750
20260820,005930,삼성전자,257000,273000,252500,271000,26095919,6961393123500
20260821,005930,삼성전자,267000,285000,266000,281500,27746471,7703213942500
20260824,005930,삼성전자,271500,272000,255000,257000,32451940,8456072427750
20260825,005930,삼성전자,249000,258000,245000,257000,21617407,5445381811750
20260826,005930,삼성전자,256500,266500,255500,261500,19532523,5109878328250
20260827,005930,삼성전자,270000,271000,262500,266000,16829395,4488160057932
20260828,005930,삼성전자,262500,266000,256000,257000,15106746,3925852660500
20260831,005930,삼성전자,249000,260000,246000,260000,18270969,4647038997556
20260901,005930,삼성전자,256500,262500,254000,261000,15319615,3975422357250
20260902,005930,삼성전자,252000,255500,249500,250500,15176841,3825055733000
20260903,005930,삼성전자,254000,255000,243000,250000,13756022,3452976472500
20260904,005930,삼성전자,254000,259000,252500,255500,14031862,3586126499750
20260907,005930,삼성전자,267000,270000,264000,270000,18314016,4900114076282
20260908,005930,삼성전자,272000,279000,269000,269500,22716517,6236737732500
20260909,005930,삼성전자,269500,275000,267500,269500,16370962,4436451989189
20260910,005930,삼성전자,269000,270500,263500,269000,22517075,6028310398811
20260911,005930,삼성전자,258000,261500,256500,259500,13939111,3605176833500
20260417,000660,SK하이닉스,1149000,1155000,1121000,1128000,3578235,4068760085195
20260420,000660,SK하이닉스,1148000,1175000,1141000,1166000,3748014,4355715922197
20260421,000660,SK하이닉스,1196000,1228000,1193000,1224000,3516960,4275047284191
20260422,000660,SK하이닉스,1227000,1233000,1195000,1223000,2894919,3518783111500
20260423,000660,SK하이닉스,1220000,1267000,1183000,1225000,5343871,6558016801135
20260424,000660,SK하이닉스,1237000,1242000,1193000,1222000,3127857,3813440481697
20260427,000660,SK하이닉스,1253000,1317000,1249000,1292000,4563073,5881438282900
20260428,000660,SK하이닉스,1313000,1328000,1296000,1300000,3002713,3935434758924
20260429,000660,SK하이닉스,1284000,1317000,1281000,1293000,3001208,3891337191212
20260430,000660,SK하이닉스,1312000,1325000,1286000,1286000,3342342,4355325578994
20260504,000660,SK하이닉스,1339000,1450000,1333000,1447000,5776641,8099065567750
20260506,000660,SK하이닉스,1590000,1614000,1557000,1601000,6631934,10558101860470
20260507,000660,SK하이닉스,1622000,1665000,1567000,1654000,5860618,9481164019780
20260508,000660,SK하이닉스,1591000,1689000,1591000,1686000,4278087,7029929370772
20260511,000660,SK하이닉스,1833000,1949000,1826000,1880000,7433039,14004335299500
20260512,000660,SK하이닉스,1944000,1967000,1804000,1835000,9160593,17254404225500
20260513,000660,SK하이닉스,1781000,1990000,1781000,1976000,7126921,13535538165412
20260514,000660,SK하이닉스,1976000,1994000,1937000,1970000,6040068,11875492405612
20260515,000660,SK하이닉스,1950000,1995000,1789000,1819000,7485233,14133100318500
20260518,000660,SK하이닉스,1780000,1897000,1731000,1840000,6481608,11755178614060
20260519,000660,SK하이닉스,1791000,1823000,1740000,1745000,4575855,8105578348163
20260520,000660,SK하이닉스,1743000,1778000,1690000,1745000,5535123,9620351918509
20260521,000660,SK하이닉스,1801000,1954000,1796000,1940000,5096690,9696408439000
20260522,000660,SK하이닉스,1942000,1952000,1912000,1941000,3135190,6074722419170
20260526,000660,SK하이닉스,2008000,2087000,2006000,2052000,4903591,10079288149810
20260527,000660,SK하이닉스,2279000,2358000,2200000,2243000,7545783,17164205410523
20260528,000660,SK하이닉스,2189000,2305000,2151000,2289000,6229499,13894546860496
20260529,000660,SK하이닉스,2352000,2379000,2290500,2333000,8518013,19864932227914
20260601,000660,SK하이닉스,2299000,2398000,2296000,2363000,5602897,13184450197500
20260602,000660,SK하이닉스,2376000,2407000,2259000,2360000,5837216,13587276562233
20260604,000660,SK하이닉스,2284000,2327000,2262000,2298000,3941067,9036753877655
20260605,000660,SK하이닉스,2142000,2188000,2070000,2070000,5778751,12216749328700
20260608,000660,SK하이닉스,1856000,2072000,1855000,1911000,6610833,13018820350500
20260609,000660,SK하이닉스,2050000,2226000,1998000,2215000,5878039,12438552783575
20260610,000660,SK하이닉스,2137000,2180000,1992000,2048000,4928269,10247099112784
20260611,000660,SK하이닉스,1975000,2163000,1960000,2101000,6625775,13762080390120
20260612,000660,SK하이닉스,2281000,2304000,2150000,2150000,5286416,11838149141836
20260615,000660,SK하이닉스,2283000,2322000,2265000,2288000,3872910,8883799414425
20260616,000660,SK하이닉스,2381000,2400000,2286000,2382000,3644469,8608079280084
20260617,000660,SK하이닉스,2335000,2523000,2334000,2521000,3980010,9758005324358
20260618,000660,SK하이닉스,2556000,2738000,2556000,2685000,5808765,15395549087600
20260619,000660,SK하이닉스,2824000,2891000,2688000,2764000,7478195,20821483047128
20260622,000660,SK하이닉스,2728000,2945000,2728000,2919000,5179795,14909424563700
20260623,000660,SK하이닉스,2898000,2943000,2536000,2555000,8050335,21934538087990
20260624,000660,SK하이닉스,2598000,2703000,2453000,2580000,7487916,19385797230696
20260625,000660,SK하이닉스,2865000,2987000,2749000,2917000,6790853,19513026832000
20260626,000660,SK하이닉스,2850000,2880000,2600000,2673000,7467492,20261482929408
20260629,000660,SK하이닉스,2636000,2688000,2517000,2628000,5217788,13544453411500
20260630,000660,SK하이닉스,2608000,2742000,2541000,2650000,5109213,13522108237000
20260701,000660,SK하이닉스,2665000,2723000,2502000,2560000,4277276,11075008889000
20260702,000660,SK하이닉스,2351000,2448000,2187000,2187000,7685914,17774537012843
20260703,000660,SK하이닉스,2197000,2454000,2045000,2425000,7984914,18076083052500
20260706,000660,SK하이닉스,2450000,2497000,2292000,2343000,4235360,10104797943882
20260707,000660,SK하이닉스,2289000,2343000,2080000,2201000,6351195,13935026133500
20260708,000660,SK하이닉스,2118000,2329000,2076000,2076000,6975631,15255963240278
20260709,000660,SK하이닉스,2228000,2270000,2091000,2186000,6261504,13711944705000
20260710,000660,SK하이닉스,2296000,2305000,2166000,2180000,4827239,10732251998500
20260713,000660,SK하이닉스,2113000,2142000,1839000,1845000,8040043,15653240664220
20260714,000660,SK하이닉스,1825000,1936000,1678000,1913000,10447011,19098006165543
20260715,000660,SK하이닉스,2120000,2171000,2070000,2082000,6046951,12789651669000
20260716,000660,SK하이닉스,1902000,1919000,1821000,1842000,5608812,10416507905142
