cycle_id,ts,code,name,fact_score,sentiment,tick_power,consecutive_days,change_rate,engine_signal,engine_reason
14901840,2026-09-01 09:02:56,005930,삼성전자,0.1,-2,115.14,96,-1.35,WATCH,1차 필터(AND) 조건 미충족
14901840,2026-09-01 09:02:56,096770,SK이노베이션,0.3,5,109.65,1,4.3,WATCH,1차 필터(AND) 조건 미충족
14901840,2026-09-01 09:02:56,028300,HLB,0.2,3,44.58,2,4.78,WATCH,1차 필터(AND) 조건 미충족
14901845,2026-09-01 09:12:05,002990,금호건설,0.2,1,114.91,44,3.52,WATCH,1차 필터(AND) 조건 미충족
14901845,2026-09-01 09:12:05,005930,삼성전자,0.3,2,95.81,96,-1.73,WATCH,1차 필터(AND) 조건 미충족
14901845,2026-09-01 09:12:05,073240,금호타이어,0.1,-3,233.63,43,3.26,WATCH,1차 필터(AND) 조건 미충족
14901845,2026-09-01 09:12:05,100090,SK오션플랜트,0.2,-5,55.62,1,-10.29,WATCH,1차 필터(AND) 조건 미충족
14901845,2026-09-01 09:12:05,090460,비에이치,0.4,4,56.29,1,8.45,WATCH,1차 필터(AND) 조건 미충족
14901845,2026-09-01 09:12:05,096770,SK이노베이션,0.3,3,153.71,1,8.53,WATCH,1차 필터(AND) 조건 미충족
14901850,2026-09-01 09:28:26,001210,금호전기,0.0,-2,103.43,11,11.94,WATCH,Engine fallback
14901850,2026-09-01 09:28:26,002990,금호건설,0.1,1,98.7,44,2.19,WATCH,Engine fallback
14901850,2026-09-01 09:28:26,005930,삼성전자,0.6,2,84.48,96,-1.92,WATCH,Engine fallback
14901850,2026-09-01 09:28:26,073240,금호타이어,0.1,-3,156.78,43,2.58,WATCH,Engine fallback
14901850,2026-09-01 09:28:26,100090,SK오션플랜트,0.3,-5,61.04,1,-9.64,WATCH,Engine fallback
14901850,2026-09-01 09:28:26,090460,비에이치,0.3,4,56.84,1,9.27,WATCH,Engine fallback
14901850,2026-09-01 09:28:26,096770,SK이노베이션,0.2,3,145.19,1,9.32,WATCH,Engine fallback
14901855,2026-09-01 09:32:47,001210,금호전기,0.0,0,97.57,11,10.58,WATCH,1차 필터(AND) 조건 미충족
14901855,2026-09-01 09:32:47,005930,삼성전자,0.4,5,98.31,96,-0.96,WATCH,1차 필터(AND) 조건 미충족
14901855,2026-09-01 09:32:47,002990,금호건설,0.1,1,90.59,44,0.73,WATCH,1차 필터(AND) 조건 미충족
14901855,2026-09-01 09:32:47,073240,금호타이어,0.1,-6,159.68,43,4.35,WATCH,1차 필터(AND) 조건 미충족
14901855,2026-09-01 09:32:47,090460,비에이치,0.3,2,81.82,1,12.18,WATCH,1차 필터(AND) 조건 미충족
14901855,2026-09-01 09:32:47,047040,대우건설,0.1,-3,77.96,6,-2.58,WATCH,1차 필터(AND) 조건 미충족
14901855,2026-09-01 09:32:47,198440,강동씨앤엘,0.6,7,32.18,2,29.9,WATCH,1차 필터(AND) 조건 미충족
14901855,2026-09-01 09:32:47,024840,KBI메탈,0.4,3,98.11,2,5.22,WATCH,1차 필터(AND) 조건 미충족
14901855,2026-09-01 09:32:47,950260,인제니아테라퓨틱스(Reg.S),0.2,0,148.86,11,4.93,WATCH,1차 필터(AND) 조건 미충족
14901860,2026-09-01 09:49:00,001210,금호전기,0.0,1,94.67,11,9.54,WATCH,Engine fallback
14901860,2026-09-01 09:49:00,073240,금호타이어,0.2,-2,157.7,43,5.84,WATCH,Engine fallback
14901860,2026-09-01 09:49:00,005930,삼성전자,0.1,-3,104.44,96,-0.38,WATCH,Engine fallback
14901860,2026-09-01 09:49:00,090460,비에이치,0.1,0,88.22,1,11.9,WATCH,Engine fallback
14901865,2026-09-01 09:55:49,001210,금호전기,0.1,5,91.0,11,7.53,WATCH,Engine fallback
14901865,2026-09-01 09:55:49,073240,금호타이어,0.2,2,139.34,43,3.94,WATCH,Engine fallback
14901865,2026-09-01 09:55:49,002990,금호건설,0.2,3,81.79,44,-3.04,WATCH,Engine fallback
14901865,2026-09-01 09:55:49,005930,삼성전자,0.3,-2,101.83,96,-1.06,WATCH,Engine fallback
14901865,2026-09-01 09:55:49,090460,비에이치,0.3,-4,96.92,1,14.65,WATCH,Engine fallback
14901865,2026-09-01 09:55:49,000660,SK하이닉스,0.4,6,101.03,63,0.96,WATCH,Engine fallback
14901865,2026-09-01 09:55:49,024840,KBI메탈,0.5,5,87.8,2,4.04,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,001210,금호전기,0.1,2,89.84,11,6.33,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,005930,삼성전자,0.6,3,124.03,96,0.77,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,073240,금호타이어,0.2,1,135.58,43,4.76,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,002990,금호건설,0.1,-1,79.75,44,-4.13,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,0220W0,한화머시너리앤서비스홀딩스,0.4,4,134.19,6,2.32,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,090460,비에이치,0.3,0,103.63,1,15.74,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,047040,대우건설,0.1,-3,59.83,6,-4.73,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,100090,SK오션플랜트,0.2,-6,54.12,1,-10.36,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,096770,SK이노베이션,0.4,5,123.05,1,8.37,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,067290,JW신약,0.5,6,108.29,2,26.74,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,198440,강동씨앤엘,0.3,8,33.32,2,29.32,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,024840,KBI메탈,0.6,3,86.39,2,3.37,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,032820,우리기술,0.1,-7,86.92,3,-7.41,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,079650,서산,0.2,5,103.3,3,3.07,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,010170,대한광통신,0.0,-6,50.94,6,-4.15,WATCH,Engine fallback
14901870,2026-09-01 10:02:13,950260,인제니아테라퓨틱스(Reg.S),0.2,-2,110.52,11,1.42,WATCH,Engine fallback
14901875,2026-09-01 10:16:19,001210,금호전기,0.1,-7,88.29,11,5.37,WATCH,1차 필터(AND) 조건 미충족
14901875,2026-09-01 10:16:19,005930,삼성전자,0.3,2,120.86,96,-0.1,WATCH,1차 필터(AND) 조건 미충족
14901875,2026-09-01 10:16:19,002990,금호건설,0.2,-4,83.07,44,-3.95,WATCH,1차 필터(AND) 조건 미충족
14901875,2026-09-01 10:16:19,073240,금호타이어,0.2,3,128.06,43,3.53,WATCH,1차 필터(AND) 조건 미충족
14901875,2026-09-01 10:16:19,090460,비에이치,0.4,6,107.59,1,15.74,WATCH,1차 필터(AND) 조건 미충족
14901875,2026-09-01 10:16:19,000660,SK하이닉스,0.5,5,103.99,63,1.31,WATCH,1차 필터(AND) 조건 미충족
14901875,2026-09-01 10:16:19,067290,JW신약,0.5,7,108.6,2,28.91,WATCH,1차 필터(AND) 조건 미충족
14901875,2026-09-01 10:16:19,198440,강동씨앤엘,0.6,8,33.89,2,28.46,WATCH,1차 필터(AND) 조건 미충족
14901875,2026-09-01 10:16:19,024840,KBI메탈,0.4,1,86.99,2,4.38,WATCH,1차 필터(AND) 조건 미충족
14901880,2026-09-01 10:26:44,001210,금호전기,0.1,-5,89.18,11,7.93,WATCH,Engine fallback
14901880,2026-09-01 10:26:44,005930,삼성전자,0.3,3,121.31,96,0.1,WATCH,Engine fallback
14901880,2026-09-01 10:26:44,002990,금호건설,0.1,-3,81.86,44,-2.67,WATCH,Engine fallback
14901880,2026-09-01 10:26:44,073240,금호타이어,0.2,2,127.33,43,3.67,WATCH,Engine fallback
14901880,2026-09-01 10:26:44,090460,비에이치,0.4,7,104.83,1,14.37,WATCH,Engine fallback
14901880,2026-09-01 10:26:44,0220W0,한화머시너리앤서비스홀딩스,0.3,5,125.61,6,1.91,WATCH,Engine fallback
14901880,2026-09-01 10:26:44,100090,SK오션플랜트,0.3,-6,57.57,1,-9.86,WATCH,Engine fallback
14901880,2026-09-01 10:26:44,010170,대한광통신,0.1,-7,49.67,6,-5.09,WATCH,Engine fallback
14901880,2026-09-01 10:26:44,950260,인제니아테라퓨틱스(Reg.S),0.3,1,102.0,11,0.68,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,001210,금호전기,0.0,0,89.35,11,8.49,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,005930,삼성전자,0.2,2,116.0,96,-0.19,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,002990,금호건설,0.1,-1,81.53,44,-2.79,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,073240,금호타이어,0.0,-2,124.38,43,3.12,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,090460,비에이치,0.1,1,105.61,1,15.47,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,0220W0,한화머시너리앤서비스홀딩스,0.2,1,120.35,6,1.5,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,047040,대우건설,0.1,-3,56.97,6,-5.94,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,100090,SK오션플랜트,0.2,-4,56.9,1,-10.0,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,096770,SK이노베이션,0.3,3,123.23,1,8.69,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,000660,SK하이닉스,0.3,2,97.33,63,0.96,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,067290,JW신약,0.1,-3,109.03,2,30.0,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,198440,강동씨앤엘,0.2,7,34.05,2,28.74,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,010170,대한광통신,0.0,-6,49.83,6,-4.94,WATCH,Engine fallback
14901886,2026-09-01 10:36:20,950260,인제니아테라퓨틱스(Reg.S),0.3,2,100.36,11,1.25,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,001210,금호전기,0.1,-5,88.95,11,6.65,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,005930,삼성전자,0.3,0,117.28,96,0.0,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,002990,금호건설,0.1,-3,80.88,44,-3.16,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,073240,금호타이어,0.2,3,123.92,43,2.99,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,090460,비에이치,0.4,2,104.7,1,14.37,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,000660,SK하이닉스,0.3,1,97.74,63,1.55,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,067290,JW신약,0.4,5,108.7,2,30.0,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,198440,강동씨앤엘,0.5,8,34.38,2,29.03,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,024840,KBI메탈,0.3,-2,85.02,2,4.21,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,032820,우리기술,0.1,-6,84.78,3,-8.19,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,079650,서산,0.2,2,95.07,3,2.3,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,010170,대한광통신,0.1,-7,50.14,6,-4.73,WATCH,Engine fallback
14901890,2026-09-01 10:44:41,950260,인제니아테라퓨틱스(Reg.S),0.3,2,101.88,11,2.44,WATCH,Engine fallback
14901895,2026-09-01 10:52:41,004310,현대약품,0.1,5,112.98,1,23.51,WATCH,Engine fallback
14901895,2026-09-01 10:52:41,001210,금호전기,0.0,0,89.52,11,8.33,WATCH,Engine fallback
14901895,2026-09-01 10:52:41,005930,삼성전자,0.3,-2,118.27,96,0.0,WATCH,Engine fallback
14901895,2026-09-01 10:52:41,002990,금호건설,0.2,1,81.28,44,-2.61,WATCH,Engine fallback
14901895,2026-09-01 10:52:41,073240,금호타이어,0.1,-4,122.03,43,3.12,WATCH,Engine fallback
14901895,2026-09-01 10:52:41,090460,비에이치,0.3,2,99.88,1,11.63,WATCH,Engine fallback
14901895,2026-09-01 10:52:41,047040,대우건설,0.1,-3,56.6,6,-6.82,WATCH,Engine fallback
