ts_kst,breadth,momentum,trend,sample,source,breadth_cap,p10,p25,p75,p90,up,down,turnover,regime,bull_score
2026-09-01 09:10,39.0,-0.37,20.9,100,top100_live,15.0,-2.19,-1.23,0.48,1.58,39,56,14726,SIDEWAYS,37.7
2026-09-01 09:20,39.0,-0.27,20.9,100,top100_live,17.3,-2.82,-1.44,0.59,1.84,39,58,24323,SIDEWAYS,37.9
2026-09-01 09:30,38.0,-0.26,20.9,100,top100_live,17.6,-2.94,-1.61,0.47,1.69,38,57,32695,SIDEWAYS,37.5
2026-09-01 09:41,36.0,-0.45,20.9,100,top100_live,42.3,-3.14,-1.73,0.47,1.63,36,63,41888,SIDEWAYS,36.3
2026-09-01 09:50,38.0,-0.47,20.9,100,top100_live,45.1,-3.53,-1.74,0.52,1.45,38,59,51136,SIDEWAYS,37.1
2026-09-01 10:00,32.0,-0.64,20.9,100,top100_live,70.8,-3.71,-2.18,0.24,1.03,32,66,60096,SIDEWAYS,34.4
2026-09-01 10:10,37.0,-0.48,20.9,100,top100_live,73.9,-3.08,-1.69,0.37,1.69,37,58,70406,SIDEWAYS,36.7
2026-09-01 10:20,40.0,-0.46,20.9,100,top100_live,73.6,-3.20,-1.93,0.58,1.69,40,60,77621,SIDEWAYS,37.9
2026-09-01 10:31,32.0,-1.13,20.9,100,top100_live,40.6,-3.54,-2.49,0.13,1.24,32,67,83557,SIDEWAYS,33.5
2026-09-01 10:40,33.0,-0.93,20.9,100,top100_live,43.2,-3.69,-2.30,0.19,1.62,33,66,88723,SIDEWAYS,34.3
2026-09-01 10:50,37.0,-0.72,20.9,100,top100_live,43.9,-3.65,-2.18,0.37,1.65,37,60,93581,SIDEWAYS,36.3
2026-09-01 11:00,32.0,-1.00,20.9,100,top100_live,40.2,-3.74,-2.63,0.19,1.56,32,66,98504,SIDEWAYS,33.8
2026-09-01 11:10,32.0,-0.97,20.9,100,top100_live,42.7,-4.06,-2.58,0.19,1.47,32,65,102662,SIDEWAYS,33.8
2026-09-01 11:20,29.0,-0.82,20.9,100,top100_live,41.2,-3.80,-2.38,0.19,1.60,29,68,106268,SIDEWAYS,32.9
2026-09-01 11:31,25.0,-1.06,20.9,100,top100_live,35.6,-4.41,-2.68,0.00,1.40,25,73,110678,SIDEWAYS,30.9
2026-09-01 11:41,22.0,-1.17,20.9,100,top100_live,10.4,-4.63,-2.87,0.00,1.47,22,74,114455,SIDEWAYS,29.5
2026-09-01 11:51,26.0,-1.05,20.9,100,top100_live,37.1,-4.27,-2.65,0.01,1.56,26,72,118122,SIDEWAYS,31.3
2026-09-01 12:00,27.0,-0.72,20.9,100,top100_live,36.6,-4.31,-2.29,0.01,1.65,27,71,121231,SIDEWAYS,32.3
2026-09-01 12:11,29.0,-0.57,20.9,100,top100_live,39.5,-4.63,-2.41,0.21,1.72,29,69,124211,SIDEWAYS,33.3
2026-09-01 12:20,29.0,-0.66,20.9,100,top100_live,40.0,-4.78,-2.41,0.07,1.69,29,68,126369,SIDEWAYS,33.2
2026-09-01 12:30,30.0,-0.78,20.9,100,top100_live,40.9,-5.05,-2.46,0.19,1.72,30,70,129102,SIDEWAYS,33.4
2026-09-01 12:40,32.0,-0.61,20.9,100,top100_live,42.2,-3.91,-2.16,0.21,1.75,32,62,132205,SIDEWAYS,34.5
2026-09-01 12:51,39.0,-0.39,20.9,100,top100_live,44.1,-3.57,-2.05,0.48,1.76,39,57,136042,SIDEWAYS,37.6
2026-09-01 13:00,40.0,-0.39,20.9,100,top100_live,45.0,-3.84,-2.06,0.51,1.95,40,55,138658,SIDEWAYS,38.0
2026-09-01 13:10,40.0,-0.48,20.9,100,top100_live,73.5,-3.81,-2.16,0.48,1.77,40,56,142905,SIDEWAYS,37.9
2026-09-01 13:20,40.0,-0.39,20.9,100,top100_live,72.6,-4.14,-2.28,0.66,1.76,40,56,146082,SIDEWAYS,38.0
2026-09-01 13:31,43.0,-0.42,20.9,100,top100_live,74.3,-4.27,-2.19,0.51,1.67,43,56,149495,SIDEWAYS,39.2
2026-09-01 13:41,42.0,-0.42,20.9,100,top100_live,73.1,-4.14,-2.06,0.60,1.76,42,56,152540,SIDEWAYS,38.8
2026-09-01 13:50,41.0,-0.38,20.9,100,top100_live,72.8,-4.24,-1.93,0.72,1.95,41,56,158281,SIDEWAYS,38.5
2026-09-01 14:00,36.0,-0.58,20.9,100,top100_live,42.8,-4.51,-2.06,0.45,1.78,36,61,162625,SIDEWAYS,36.1
2026-09-01 14:10,33.0,-0.56,20.9,100,top100_live,41.3,-4.85,-2.06,0.48,1.66,33,64,166910,SIDEWAYS,34.9
2026-09-01 14:20,30.0,-0.68,20.9,100,top100_live,40.7,-4.78,-2.50,0.37,1.50,30,69,170863,SIDEWAYS,33.5
2026-09-01 14:30,35.0,-0.44,20.9,100,top100_live,42.2,-4.51,-2.17,0.72,1.63,35,63,176107,SIDEWAYS,36.0
2026-09-01 14:40,43.0,-0.17,20.9,100,top100_live,75.1,-3.97,-1.91,0.89,1.96,43,55,182238,SIDEWAYS,39.6
2026-09-01 14:51,49.0,-0.08,20.9,100,top100_live,75.8,-3.91,-1.89,1.15,2.14,49,51,188933,SIDEWAYS,42.2
2026-09-01 15:00,52.0,0.03,20.9,100,top100_live,76.7,-3.69,-1.80,1.25,2.07,52,48,193634,SIDEWAYS,43.6
2026-09-01 15:10,49.0,0.00,20.9,100,top100_live,76.1,-3.72,-1.78,1.18,2.16,49,47,197417,SIDEWAYS,42.3
2026-09-01 15:20,48.0,0.00,20.9,100,top100_live,75.7,-3.80,-1.94,0.98,1.98,48,49,202091,SIDEWAYS,41.9
2026-09-01 15:30,48.0,0.00,20.9,100,top100_live,75.7,-3.80,-1.94,0.98,1.98,48,49,202218,SIDEWAYS,41.9
2026-09-01 15:40,49.0,-0.02,20.9,100,top100_live,77.1,-3.68,-1.92,0.96,2.04,49,50,210624,SIDEWAYS,42.3
2026-09-02 09:10,9.0,-2.53,20.9,100,top100_live,4.5,-4.73,-3.75,-1.14,0.00,9,88,15075,SIDEWAYS,21.9
2026-09-02 09:20,11.0,-2.02,20.9,100,top100_live,3.8,-4.06,-2.95,-0.89,0.01,11,88,24205,SIDEWAYS,23.6
2026-09-02 09:30,11.0,-1.85,20.9,100,top100_live,6.9,-4.10,-2.95,-0.82,0.01,11,87,31909,SIDEWAYS,23.9
2026-09-02 09:40,16.0,-1.46,20.9,100,top100_live,6.8,-3.95,-2.59,-0.67,0.51,16,80,38775,SIDEWAYS,26.6
2026-09-02 09:50,16.0,-1.81,20.9,100,top100_live,6.7,-4.29,-3.01,-0.69,0.69,16,82,45286,SIDEWAYS,26.0
2026-09-02 10:00,13.0,-2.06,20.9,100,top100_live,5.5,-4.64,-3.27,-0.92,0.60,13,84,51457,SIDEWAYS,24.3
2026-09-02 10:11,18.0,-2.06,20.9,100,top100_live,7.2,-4.56,-3.22,-0.61,0.57,18,81,58081,SIDEWAYS,26.3
2026-09-02 10:20,16.0,-2.21,20.9,100,top100_live,6.7,-4.69,-3.40,-0.71,0.28,16,81,63628,BEAR,25.3
2026-09-02 10:30,17.0,-2.30,20.9,100,top100_live,7.1,-4.49,-3.41,-0.66,0.48,17,81,68948,BEAR,25.5
2026-09-02 10:40,14.0,-2.87,20.9,100,top100_live,5.9,-5.20,-4.01,-1.03,0.66,14,84,76280,BEAR,23.3
2026-09-02 10:50,16.0,-2.83,20.9,100,top100_live,6.4,-5.12,-3.83,-0.84,0.26,16,83,81879,BEAR,24.2
2026-09-02 11:00,14.0,-2.83,20.9,100,top100_live,5.9,-5.35,-3.86,-0.86,0.42,14,85,87339,BEAR,23.4
2026-09-02 11:10,14.0,-2.99,20.9,100,top100_live,5.9,-5.46,-4.15,-0.86,0.31,14,83,91461,BEAR,23.1
2026-09-02 11:20,15.0,-2.80,20.9,100,top100_live,6.2,-5.37,-3.81,-0.55,0.48,15,82,95796,BEAR,23.8
2026-09-02 11:30,15.0,-2.96,20.9,100,top100_live,5.9,-5.49,-4.15,-0.69,0.51,15,83,99384,BEAR,23.5
2026-09-02 11:41,16.0,-3.09,20.9,100,top100_live,6.2,-5.54,-4.29,-0.74,0.71,16,84,103415,BEAR,23.7
2026-09-02 11:50,16.0,-2.86,20.9,100,top100_live,6.2,-5.54,-4.05,-0.74,0.48,16,84,106280,BEAR,24.1
