cycle_id,ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
,2026-09-18 16:12:52,sim11_watchlist,000070,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000080,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000100,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000120,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000150,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000155,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000210,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000240,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000270,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000370,,skip,eps_low,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000500,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000640,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000660,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000670,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000720,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000810,,skip,eps_low,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000815,,skip,near_52w_low,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000880,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,000990,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001040,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001060,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001120,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001200,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001230,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001430,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001440,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001450,,skip,revenue_low,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001510,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001680,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001740,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001800,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,001820,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,002240,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,002380,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,002790,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,002990,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003030,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003090,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003160,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003230,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003240,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003280,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003350,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003470,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003490,,skip,eps_low,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003530,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003540,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003545,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003550,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003620,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003670,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,003690,,skip,revenue_low,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004000,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004020,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004170,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004310,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004370,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004490,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004690,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004710,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004800,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,004990,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005070,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005090,,skip,no_eps,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005180,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005300,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005380,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005385,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005387,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005389,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005440,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005490,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005690,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005830,,skip,eps_low,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005850,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005880,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005930,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005935,,skip,no_eps,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,005940,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006040,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006110,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006120,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006220,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006260,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006280,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006340,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006360,,skip,no_eps,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006400,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006405,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006650,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,006800,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,007070,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,007310,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,007340,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,007660,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,007810,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,008730,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,008770,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,008930,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,009150,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,009155,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,009290,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,009420,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,009450,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,009540,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,009830,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,009970,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,010060,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,010120,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,010130,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,010140,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,010780,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,010820,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,010950,,skip,no_eps,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,010955,,skip,no_eps,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,011070,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,011170,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,011200,,skip,below_ma50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,011210,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,011760,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,011780,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,011790,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,011930,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,012330,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
