ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
2026-07-29 09:02:58,sim1,005930,삼성전자,skip,price_moved,227500.0,3.41,400562104500.0,59.1,0.0,783.0,542.0,1.44,1.0,783.00,1531,1.96,0.4584,,,,,-0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:02:58,sim1,000660,SK하이닉스,skip,no_ignition,1585000.0,2.26,419002196000.0,49.0,0.0,794.0,615.0,1.29,1.0,794.00,1209,1.52,0.4649,,,,,0.067,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:02:58,sim1,475150,SK이터닉스,skip,no_ignition,50000.0,2.67,14508138650.0,26.0,0.0,83.0,62.0,1.34,1.0,83.00,338,4.07,0.0486,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:02:58,sim1,034020,두산에너빌리티,skip,cooldown,65700.0,1.55,5552941100.0,36.0,0.0,48.0,36.0,1.33,1.0,48.00,305,6.35,0.0281,,,,,0.000,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:12:50,sim1,005930,삼성전자,skip,price_moved,231500.0,5.23,943977932500.0,59.1,0.0,785.0,541.0,1.45,1.0,785.00,1341,1.71,0.4285,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:12:50,sim1,006340,대원전선,skip,cooldown,14030.0,3.16,43042501595.0,45.9,0.0,49.0,31.0,1.58,1.0,49.00,182,3.71,0.0267,,,,,0.100,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:12:50,sim1,475150,SK이터닉스,skip,price_moved,50800.0,4.31,48034197500.0,26.0,0.0,100.0,72.0,1.39,1.0,100.00,374,3.74,0.0546,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:12:50,sim1,000660,SK하이닉스,skip,price_moved,1607000.0,3.68,1262197911500.0,49.0,0.0,792.0,595.0,1.33,1.0,792.00,1067,1.35,0.4323,,,,,0.067,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:12:50,sim1,217730,강스템바이오텍,skip,price_moved,2280.0,16.98,2858587663.0,50.9,0.0,45.0,29.0,1.55,1.0,45.00,229,5.09,0.0246,,,,,0.133,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:12:50,sim1,034020,두산에너빌리티,skip,cooldown,65550.0,1.31,15272766050.0,36.0,0.0,61.0,42.0,1.45,1.0,61.00,333,5.46,0.0333,,,,,-0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
