ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
2026-08-03 09:02:26,sim1,009150,삼성전기,skip,price_moved,1185000.0,3.77,36595465000.0,25.8,0.0,109.0,90.0,1.21,1.0,109.00,459,4.21,1.0000,,,,,0.133,0.0,,0.000,0.000,0.000,0.000,1,3,0.000
2026-08-03 09:12:51,sim1,005930,삼성전자,skip,price_moved,244000.0,-7.05,989512764500.0,8.3,0.0,795.0,524.0,1.52,1.0,795.00,1330,1.67,0.4073,,,,,0.000,0.0,,-2.226,-0.754,0.000,-2.619,0,3,0.000
2026-08-03 09:12:51,sim1,073240,금호타이어,skip,price_moved,7060.0,-3.16,11951092340.0,50.2,0.0,108.0,63.0,1.71,1.0,108.00,525,4.86,0.0553,,,,,0.000,0.0,,-1.754,-0.286,0.000,-0.468,0,3,0.000
2026-08-03 09:12:51,sim1,002990,금호건설,skip,no_trend,9070.0,-0.44,11114225915.0,7.2,0.0,40.0,30.0,1.33,1.0,40.00,77,1.93,0.0205,,,,,0.133,0.0,,-0.346,0.650,0.000,-0.041,0,3,0.000
2026-08-03 09:12:51,sim1,000660,SK하이닉스,skip,price_moved,1602000.0,-6.75,1287816041500.0,11.0,0.0,787.0,552.0,1.43,1.0,787.00,971,1.23,0.4032,,,,,0.033,0.0,,-2.208,-1.221,0.000,-2.783,0,3,0.000
2026-08-03 09:12:51,sim1,024060,흥구석유,skip,price_moved,9670.0,-13.20,5173635355.0,7.0,0.0,79.0,51.0,1.55,1.0,79.00,250,3.16,0.0405,,,,,0.067,0.0,,0.000,0.000,0.000,0.000,1,3,0.000
2026-08-03 09:12:51,sim1,009150,삼성전기,skip,no_ignition,1170000.0,2.45,306581890000.0,25.8,0.0,143.0,113.0,1.27,1.0,143.00,508,3.55,0.0733,,,,,0.167,0.0,,0.000,0.000,0.000,0.000,1,3,0.000
2026-08-03 09:23:06,sim1,005930,삼성전자,skip,price_moved,243500.0,-7.24,1367502186750.0,8.3,0.0,792.0,539.0,1.47,1.0,792.00,1477,1.86,0.3722,,,,,0.000,0.0,,-2.226,-0.754,0.000,-2.619,0,3,0.000
2026-08-03 09:23:06,sim1,047040,대우건설,skip,no_ignition,12830.0,0.39,28091035355.0,43.2,0.0,54.0,42.0,1.29,1.0,54.00,139,2.57,0.0254,,,,,0.133,0.0,,0.344,-0.286,0.000,0.489,0,3,0.000
2026-08-03 09:23:06,sim1,073240,금호타이어,skip,price_moved,6950.0,-4.66,14680248195.0,50.2,0.0,122.0,72.0,1.69,1.0,122.00,559,4.58,0.0573,,,,,0.000,0.0,,-1.754,-0.286,0.000,-0.468,0,3,0.000
2026-08-03 09:23:06,sim1,006340,대원전선,skip,no_ignition,12850.0,-1.15,22642116220.0,15.5,0.0,42.0,19.0,2.21,1.0,42.00,76,1.81,0.0197,,,,,0.133,0.0,,0.544,-1.221,0.000,0.428,0,3,0.000
2026-08-03 09:23:06,sim1,002990,금호건설,skip,no_trend,9170.0,0.66,14637331715.0,7.2,0.0,46.0,32.0,1.44,1.0,46.00,104,2.26,0.0216,,,,,0.100,0.0,,-0.346,0.650,0.000,-0.041,0,3,0.000
2026-08-03 09:23:06,sim1,000660,SK하이닉스,skip,price_moved,1600000.0,-6.87,1678548973500.0,11.0,0.0,789.0,574.0,1.37,1.0,789.00,905,1.15,0.3708,,,,,0.000,0.0,,-2.208,-1.221,0.000,-2.783,0,3,0.000
2026-08-03 09:23:06,sim1,475150,SK이터닉스,skip,price_moved,43400.0,-4.51,33116074000.0,61.5,0.0,43.0,26.0,1.65,1.0,43.00,135,3.14,0.0202,,,,,-0.033,0.0,,-0.778,-1.689,0.000,-0.291,0,3,0.000
2026-08-03 09:23:06,sim1,009150,삼성전기,skip,price_moved,1189000.0,4.12,382119834500.0,25.8,0.0,154.0,115.0,1.34,1.0,154.00,536,3.48,0.0724,,,,,0.167,0.0,,0.000,0.000,0.000,0.000,1,3,0.000
2026-08-03 09:23:06,sim1,024060,흥구석유,skip,price_moved,9550.0,-14.27,6920433260.0,7.0,0.0,86.0,55.0,1.56,1.0,86.00,259,3.01,0.0404,,,,,0.067,0.0,,0.000,0.000,0.000,0.000,1,3,0.000
2026-08-03 09:33:01,sim1,005930,삼성전자,skip,price_moved,241000.0,-8.19,1809456728250.0,8.3,0.0,792.0,562.0,1.41,1.0,792.00,1434,1.81,0.3572,,,,,0.000,0.0,,-2.226,-0.754,0.000,-2.619,0,3,0.000
2026-08-03 09:33:01,sim1,047040,대우건설,skip,no_ignition,12770.0,-0.08,32218090155.0,43.2,0.0,66.0,52.0,1.27,1.0,66.00,162,2.45,0.0298,,,,,0.133,0.0,,0.344,-0.286,0.000,0.489,0,3,0.000
2026-08-03 09:33:01,sim1,073240,금호타이어,skip,price_moved,6860.0,-5.90,17208060165.0,50.2,0.0,149.0,84.0,1.77,1.0,149.00,629,4.22,0.0672,,,,,0.000,0.0,,-1.754,-0.286,0.000,-0.468,0,3,0.000
