timestamp,symbol,action,price,quantity,reason
2026-04-07 12:14:09,신성이엔지(011930),BUY,"3,495",85,[오리지널] 1단계 Buzz Filter 통과 (119 posts) 동일 비중 진입
2026-04-07 12:14:09,조일알미늄(018470),BUY,"1,563",191,[오리지널] 1단계 Buzz Filter 통과 (37 posts) 동일 비중 진입
2026-04-07 12:14:09,한국ANKOR유전(152550),BUY,296,1013,[오리지널] 1단계 Buzz Filter 통과 (83 posts) 동일 비중 진입
2026-04-07 12:14:09,광전자(017900),BUY,"7,520",39,[오리지널] 1단계 Buzz Filter 통과 (205 posts) 동일 비중 진입
2026-04-07 12:14:09,형지엘리트(093240),BUY,"1,071",280,[오리지널] 1단계 Buzz Filter 통과 (83 posts) 동일 비중 진입
2026-04-07 12:14:09,대영포장(014160),BUY,"1,283",233,[오리지널] 1단계 Buzz Filter 통과 (56 posts) 동일 비중 진입
2026-04-07 12:14:09,알루코(001780),BUY,"2,600",115,[오리지널] 1단계 Buzz Filter 통과 (35 posts) 동일 비중 진입
2026-04-07 12:14:09,KEC(092220),BUY,"1,370",218,[오리지널] 1단계 Buzz Filter 통과 (34 posts) 동일 비중 진입
2026-04-07 12:14:09,대우건설(047040),BUY,"17,390",17,[오리지널] 1단계 Buzz Filter 통과 (421 posts) 동일 비중 진입
2026-04-07 12:14:09,남선알미늄(008350),BUY,"2,225",134,[오리지널] 1단계 Buzz Filter 통과 (624 posts) 동일 비중 진입
2026-04-07 04:20:51,한국ANKOR유전(152550),BUY,307,977,[오리지널] 1단계 Buzz Filter 통과 (101 posts) 동일 비중 진입
2026-04-07 04:20:51,남선알미늄(008350),BUY,"2,160",138,[오리지널] 1단계 Buzz Filter 통과 (995 posts) 동일 비중 진입
2026-04-07 04:20:51,대영포장(014160),BUY,"1,457",205,[오리지널] 1단계 Buzz Filter 통과 (82 posts) 동일 비중 진입
2026-04-07 04:20:51,조일알미늄(018470),BUY,"1,525",196,[오리지널] 1단계 Buzz Filter 통과 (81 posts) 동일 비중 진입
2026-04-07 04:20:51,형지엘리트(093240),BUY,"1,069",280,[오리지널] 1단계 Buzz Filter 통과 (104 posts) 동일 비중 진입
2026-04-07 04:20:51,대우건설(047040),BUY,"17,100",17,[오리지널] 1단계 Buzz Filter 통과 (448 posts) 동일 비중 진입
2026-04-07 04:20:51,광전자(017900),BUY,"7,520",39,[오리지널] 1단계 Buzz Filter 통과 (422 posts) 동일 비중 진입
2026-04-07 04:20:51,신성이엔지(011930),BUY,"3,480",86,[오리지널] 1단계 Buzz Filter 통과 (137 posts) 동일 비중 진입
2026-04-07 04:20:51,에코프로머티(450080),BUY,"73,500",4,[오리지널] 1단계 Buzz Filter 통과 (338 posts) 동일 비중 진입
2026-04-07 04:20:51,대한해운(005880),BUY,"2,300",130,[오리지널] 1단계 Buzz Filter 통과 (99 posts) 동일 비중 진입
2026-04-07 05:03:06,한국ANKOR유전(152550),SELL,307,977,[오리지널] Buzz Filter 이탈로 인한 추세 매도
2026-04-07 05:03:06,대영포장(014160),SELL,"1,457",205,[오리지널] Buzz Filter 이탈로 인한 추세 매도
2026-04-07 05:03:06,조일알미늄(018470),SELL,"1,525",196,[오리지널] Buzz Filter 이탈로 인한 추세 매도
2026-04-07 05:03:06,형지엘리트(093240),SELL,"1,069",280,[오리지널] Buzz Filter 이탈로 인한 추세 매도
2026-04-07 05:03:06,대한해운(005880),SELL,"2,300",130,[오리지널] Buzz Filter 이탈로 인한 추세 매도
2026-04-07 05:03:06,흥아해운(003280),BUY,"3,880",77,[오리지널] 1단계 Buzz Filter 통과 (548 posts) 동일 비중 진입
2026-04-07 05:03:06,삼성전자(005930),BUY,"194,300",1,[오리지널] 1단계 Buzz Filter 통과 (2696 posts) 동일 비중 진입
2026-04-07 05:03:06,인스코비(006490),BUY,461,650,[오리지널] 1단계 Buzz Filter 통과 (123 posts) 동일 비중 진입
2026-04-07 05:03:06,후성(093370),BUY,"9,750",30,[오리지널] 1단계 Buzz Filter 통과 (246 posts) 동일 비중 진입
2026-04-07 05:15:29,삼성E&A(028050),BUY,"48,150",6,[오리지널] 1단계 Buzz Filter 통과 (489 posts) 동일 비중 진입
2026-04-07 05:33:36,인스코비(006490),SELL,461,650,[오리지널] Buzz Filter 이탈로 인한 추세 매도
2026-04-07 05:33:36,풍산홀딩스(005810),BUY,"58,300",5,[오리지널] 1단계 Buzz Filter 통과 (364 posts) 동일 비중 진입
2026-04-07 07:20:49,남선알미늄(008350),BUY,2180,137,298660,[오리지널] 노이즈
2026-04-07 07:20:49,흥아해운(003280),BUY,3795,79,299805,[오리지널] 하방 추세 우려
2026-04-07 07:20:49,한국ANKOR유전(152550),BUY,280,1071,299880,[오리지널] 시간 언급
2026-04-07 07:20:49,대영포장(014160),BUY,1288,232,298816,[오리지널] 장중 고생 언급
2026-04-07 07:20:49,신성이엔지(011930),BUY,3435,87,298845,[오리지널] 노이즈
2026-04-07 07:20:49,대우건설(047040),BUY,17350,17,294950,[오리지널] 데이터 없음
2026-04-07 07:20:49,광전자(017900),BUY,7520,39,293280,[오리지널] 상한가 안착
2026-04-07 07:20:49,삼성E&A(028050),BUY,47800,6,286800,[오리지널] 수급 기대감
2026-04-07 07:20:49,삼성전자(005930),BUY,196500,1,196500,[오리지널] 목표가 상향
2026-04-07 07:20:49,에코프로머티(450080),BUY,73100,4,292400,[오리지널] 노이즈
