종목명,현재가,등락률,외인변화,게시물,외인비중,시장구분,전일종가,전일외인,게시물_요약,감정,키워드,연속,code,code
캡스톤파트너스,4645.0,+29.93%,-3.53,171,2.95,KOSDAQ,3575.0,6.48,노이즈,0,[],1.0,452300,452300
광전자,7520.0,+29.88%,-0.28,306,18.2,KOSPI,5790.0,18.48,상승 기대감,0,['상승'],1.0,017900,017900
아크릴,37650.0,+19.33%,-1.12,262,3.71,KOSDAQ,31550.0,4.83,노이즈,0,[],1.0,0007C0,0007C0
프로이천,2900.0,+18.37%,1.0,281,1.92,KOSDAQ,2450.0,0.92,정보 없음,0,[],1.0,321260,321260
서울반도체,10300.0,+17.58%,-0.83,155,7.85,KOSDAQ,8760.0,8.68,노이즈,0,[],1.0,046890,046890
풍산홀딩스,54800.0,+15.98%,-1.21,833,11.62,KOSPI,47250.0,12.83,신익현 LIG D&A,0,"['신익현', 'LIG D&A']",1.0,005810,005810
창해에탄올,12010.0,+15.93%,-0.54,557,1.37,KOSDAQ,10360.0,1.91,내일 20% 상승 루머,0,"['내일 상승', '루머']",1.0,004650,004650
리센스메디컬,23600.0,+12.38%,0.74,239,1.91,KOSDAQ,21000.0,1.17,노이즈,0,[],1.0,394420,394420
흥구석유,22850.0,+9.86%,1.11,1110,1.22,KOSDAQ,20800.0,0.11,하한가 출발 및 유가 상승 기대,0,"['하한가', '유가 상승', '기대']",1.0,024060,024060
엘앤에프,185000.0,+8.44%,0.45,271,19.75,KOSPI,170600.0,19.3,연기금 위탁 투자,0,"['연기금', '위탁']",1.0,066970,066970
파워넷,5680.0,+8.19%,-1.94,183,2.48,KOSDAQ,5250.0,4.42,정보 없음,0,[],1.0,037030,037030
에코프로머티,73100.0,+6.10%,0.11,394,16.74,KOSPI,68900.0,16.63,토론 없음,0,[],1.0,450080,450080
한화에어로스페이스,1537000.0,+6.00%,0.19,134,45.38,KOSPI,1450000.0,45.19,미국 이란 공격,0,"['미국', '이란', '전쟁']",1.0,012450,012450
풍국주정,11140.0,+5.00%,-0.03,135,0.9,KOSDAQ,10610.0,0.93,노이즈,0,[],1.0,023900,023900
한국ANKOR유전,280.0,+4.87%,0.94,146,1.8,KOSPI,267.0,0.86,토론 없음,0,[],1.0,152550,152550
삼성E&A,47800.0,+4.71%,-0.14,766,45.1,KOSPI,45650.0,45.24,**3가지 시나리오** 가능성,0,"['외인기관', '시나리오']",1.0,028050,028050
세림B&G,2385.0,+4.61%,0.41,151,2.92,KOSDAQ,2280.0,2.51,정보 없음,0,[],1.0,340440,340440
카카오,46400.0,+3.46%,0.14,171,29.58,KOSPI,44850.0,29.44,정보 없음,0,[],1.0,035720,035720
SK하이닉스,916000.0,+3.39%,0.08,1082,52.69,KOSPI,886000.0,52.61,환율 유가 시장,0,"['환율', '유가', '시장']",1.0,000660,000660
한화시스템,131700.0,+3.21%,0.17,476,9.01,KOSPI,127600.0,8.84,도람푸,0,['도람푸'],1.0,272210,272210
남선알미늄,2180.0,+2.35%,-0.7,481,1.9,KOSPI,2130.0,2.6,2배 폭등,0,"['폭등', '알미늄']",1.0,008350,008350
삼성전자,196500.0,+1.76%,-0.05,1068,48.39,KOSPI,193100.0,48.44,국내 증시 영향,0,"['증시', '전쟁']",1.0,005930,005930
우리로,7070.0,+1.73%,0.54,316,2.82,KOSDAQ,6950.0,2.28,정보 없음,0,[],1.0,046970,046970
대영포장,1288.0,+1.42%,-0.93,149,1.35,KOSPI,1270.0,2.28,토론 없음,0,[],1.0,014160,014160
삼성전자우,130900.0,+1.39%,-0.06,151,76.15,KOSPI,129100.0,76.21,정보 없음,0,[],1.0,005935,005935
기가레인,2400.0,+0.42%,-0.34,201,1.53,KOSDAQ,2390.0,1.87,정보 없음,0,[],1.0,049080,049080
대우건설,17350.0,+0.23%,-0.08,354,9.55,KOSPI,17310.0,9.63,주주 환영,0,['환영'],1.0,047040,047040
흥아해운,3795.0,+0.13%,0.18,833,1.54,KOSPI,3790.0,1.36,이란 외교채널 중단,0,"['이란', '전쟁', '홍해']",1.0,003280,003280
후성,9870.0,-0.30%,0.56,201,7.18,KOSPI,9900.0,6.62,노이즈,0,[],1.0,093370,093370
인스코비,467.0,-2.51%,-0.28,176,0.74,KOSPI,479.0,1.02,시초가 매수 기회,0,"['시초가', '매수']",1.0,006490,006490
파라택시스코리아,416.0,-3.03%,0.04,182,35.07,KOSDAQ,429.0,35.03,노이즈,0,[],1.0,288330,288330
