종목명,현재가,등락률,외인변화,당일_게시글수,현재_외국인비중,시장구분,어제_종가,어제_외국인비중,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts,scraper_version,code
인벤테라,35250,+112.35%,0.0,800,0.48%,KOSDAQ,16599,,상 갈줄 알고 존버해서 망했으면 개추[4] / 역시 안되는구나.[3] / 이 종목 씨게 물렸으면[3] / -100이상 손실중이면,Negative (51%),"갈줄, 알고, 존버해서, 망했으면, 개추",1,"[{'title': '상 갈줄 알고 존버해서 망했으면 개추[4]', 'date': '2026.04.02 15:29', 'views': '428', 'likes': '43', 'dislikes': '1', 'link': '/item/board_read.naver?code=0007J0&nid=416633198&page=9', 'body': '', 'score': 1718}, {'title': '-100이상 손실중이면', 'date': '2026.04.02 15:37', 'views': '66', 'likes': '21', 'dislikes': '1', 'link': '/item/board_read.naver?code=0007J0&nid=416634362&page=9', 'body': '', 'score': 696}, {'title': '이 종목 씨게 물렸으면[3]', 'date': '2026.04.02 18:09', 'views': '201', 'likes': '17', 'dislikes': '1', 'link': '/item/board_read.naver?code=0007J0&nid=416647701&page=2', 'body': '', 'score': 711}, {'title': '6층형들 있음[2]', 'date': '2026.04.02 15:36', 'views': '182', 'likes': '17', 'dislikes': '0', 'link': '/item/board_read.naver?code=0007J0&nid=416634261&page=9', 'body': '', 'score': 692}, {'title': '역시 안되는구나.[3]', 'date': '2026.04.02 17:33', 'views': '545', 'likes': '15', 'dislikes': '3', 'link': '/item/board_read.naver?code=0007J0&nid=416645098&page=2', 'body': '', 'score': 995}, {'title': '내일 상 못가면 한달동안 풀만뜯어먹어야지', 'date': '2026.04.02 16:07', 'views': '77', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=0007J0&nid=416637870&page=7', 'body': '', 'score': 527}, {'title': '흠 낼 뭔가 쩜상 나올거같은데[1]', 'date': '2026.04.02 17:36', 'views': '269', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=0007J0&nid=416645321&page=2', 'body': '', 'score': 689}, {'title': '상승장에 뛰어 들어서 쳐물렸는데[1]', 'date': '2026.04.02 17:25', 'views': '212', 'likes': '14', 'dislikes': '4', 'link': '/item/board_read.naver?code=0007J0&nid=416644484&page=3', 'body': '', 'score': 632}, {'title': '의무보호확약이 많아서', 'date': '2026.04.02 15:37', 'views': '84', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=0007J0&nid=416634278&page=9', 'body': '', 'score': 504}, {'title': '3연상의 느낌[1]', 'date': '2026.04.02 18:05', 'views': '179', 'likes': '13', 'dislikes': '3', 'link': '/item/board_read.naver?code=0007J0&nid=416647484&page=2', 'body': '', 'score': 569}]",9.2 (Strategy Advisor),0007J0
기가레인,2045,+29.92%,-0.14,181,1.49%,KOSDAQ,1574,1.63%,"광통신에서 제2의 에코프로(1,000배) 나온... / 담주 월요일부터 연상행진 예상~~ / ㅋㅋㅋㅋ금요일에 정지인거 개쩐다[1] / 난 진짜 멍청이임[1]",Positive (57%),"담주, 월요일부터, 연상행진, 오늘부터, 이가격",1,"[{'title': '담주 월요일부터 연상행진 예상~~', 'date': '2026.04.02 17:26', 'views': '177', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=049080&nid=416644541&page=1', 'body': '', 'score': 477}, {'title': '오늘부터 이가격 으로는 절대 매수 못함[2]', 'date': '2026.04.02 17:01', 'views': '138', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=049080&nid=416642542&page=1', 'body': '', 'score': 378}, {'title': 'ㅋㅋㅋㅋ금요일에 정지인거 개쩐다[1]', 'date': '2026.04.02 15:32', 'views': '231', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=049080&nid=416633545&page=2', 'body': '', 'score': 471}, {'title': '기가막히게 금요일장 거래정지네ㅋㅋㄲㅋ', 'date': '2026.04.02 14:49', 'views': '110', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=049080&nid=416623828&page=3', 'body': '', 'score': 350}, {'title': '광통신에서 제2의 에코프로(1,000배) 나온...', 'date': '2026.04.02 10:01', 'views': '276', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=049080&nid=416568301&page=7', 'body': '', 'score': 516}, {'title': '난 진짜 멍청이임[1]', 'date': '2026.04.02 17:07', 'views': '205', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=049080&nid=416642978&page=1', 'body': '', 'score': 415}, {'title': '힘은 장사네', 'date': '2026.04.02 13:13', 'views': '47', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=049080&nid=416607493&page=5', 'body': '', 'score': 257}, {'title': '알루미늄 테마 유일한 우선주!!', 'date': '2026.04.02 16:51', 'views': '65', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=049080&nid=416641749&page=1', 'body': '', 'score': 245}, {'title': '개미들 많이 털렸네', 'date': '2026.04.02 16:23', 'views': '50', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=049080&nid=416639378&page=2', 'body': '', 'score': 230}, {'title': '대박이다', 'date': '2026.04.02 15:30', 'views': '81', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=049080&nid=416633224&page=3', 'body': '', 'score': 261}]",9.2 (Strategy Advisor),049080
한국ANKOR유전,304,+29.91%,2.33,241,3.75%,KOSPI,234,1.42%,낼 종가도 상한가 395원[3] / 내일은확실하게 쩜상이고~외인/사모는 계속매수...[2] / 4/30일 상장폐지 확정[3] / 아.    스발[1],Positive (74%),"종가도, 395원, 스발, 유가폭등, 상폐빔",5,"[{'title': '낼 종가도 상한가 395원[3]', 'date': '2026.04.02 15:03', 'views': '98', 'likes': '13', 'dislikes': '3', 'link': '/item/board_read.naver?code=152550&nid=416627617&page=2', 'body': '', 'score': 488}, {'title': '아.    스발[1]', 'date': '2026.04.02 15:53', 'views': '84', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=152550&nid=416636495&page=1', 'body': '', 'score': 324}, {'title': '유가폭등 + 상폐빔 + 주포 물량 잠금', 'date': '2026.04.02 11:17', 'views': '46', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=152550&nid=416587663&page=7', 'body': '', 'score': 256}, {'title': '내일은확실하게 쩜상이고~외인/사모는 계속매수...[2]', 'date': '2026.04.02 15:17', 'views': '229', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=152550&nid=416630980&page=1', 'body': '', 'score': 409}, {'title': '내일도 어종상 ㅋ[4]', 'date': '2026.04.02 15:05', 'views': '89', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=152550&nid=416628371&page=2', 'body': '', 'score': 269}, {'title': '4/30일 상장폐지 확정[3]', 'date': '2026.04.02 14:11', 'views': '201', 'likes': '6', 'dislikes': '5', 'link': '/item/board_read.naver?code=152550&nid=416615764&page=2', 'body': '', 'score': 381}, {'title': '■■아직 공시못본사람이 많다■■[4]', 'date': '2026.04.02 11:29', 'views': '112', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=152550&nid=416590370&page=7', 'body': '', 'score': 292}, {'title': '낼은 상 맞어[1]', 'date': '2026.04.02 18:11', 'views': '55', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=152550&nid=416647874&page=1', 'body': '', 'score': 205}, {'title': '트럼프형 요', 'date': '2026.04.02 15:53', 'views': '66', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=152550&nid=416636522&page=1', 'body': '', 'score': 216}, {'title': '주포가 물량을 확보하지 못해서 상한가가 자꾸 깨지는...', 'date': '2026.04.02 12:09', 'views': '43', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=152550&nid=416597949&page=6', 'body': '', 'score': 193}]",9.2 (Strategy Advisor),152550
빅텍,6130,+27.18%,1.46,368,3.72%,KOSDAQ,4820,2.26%,오늘같은 이런장에[4] / 외국인 50만주 또 삿네[3] / 매매동향 총평[1] / 상한가에 다들 너무 목숨거네!!,Positive (64%),"외국인, 오늘같은, 이런장에, 매매동향, 총평",1,"[{'title': '오늘같은 이런장에[4]', 'date': '2026.04.02 17:49', 'views': '228', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=065450&nid=416646261&page=1', 'body': '', 'score': 528}, {'title': '매매동향 총평[1]', 'date': '2026.04.02 16:05', 'views': '113', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=065450&nid=416637651&page=3', 'body': '', 'score': 413}, {'title': '상한가에 다들 너무 목숨거네!!', 'date': '2026.04.02 17:42', 'views': '72', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=065450&nid=416645789&page=1', 'body': '', 'score': 342}, {'title': '막판까지도[1]', 'date': '2026.04.02 15:24', 'views': '55', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=065450&nid=416632270&page=4', 'body': '', 'score': 295}, {'title': '오늘 기관 외국인 매수는', 'date': '2026.04.02 17:35', 'views': '92', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=065450&nid=416645244&page=1', 'body': '', 'score': 302}, {'title': '낼도 기대되네...ㅎ', 'date': '2026.04.02 17:12', 'views': '39', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=065450&nid=416643388&page=2', 'body': '', 'score': 249}, {'title': '개인들만 매도했네요', 'date': '2026.04.02 15:44', 'views': '55', 'likes': '7', 'dislikes': '5', 'link': '/item/board_read.naver?code=065450&nid=416635293&page=3', 'body': '', 'score': 265}, {'title': '내일 많이 빠지겠다[1]', 'date': '2026.04.02 15:34', 'views': '64', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=065450&nid=416633915&page=4', 'body': '', 'score': 274}, {'title': '세력이 예술적이네', 'date': '2026.04.02 15:20', 'views': '31', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=065450&nid=416631594&page=5', 'body': '', 'score': 241}, {'title': '외국인 50만주 또 삿네[3]', 'date': '2026.04.02 11:24', 'views': '228', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=065450&nid=416589184&page=11', 'body': '', 'score': 438}]",9.2 (Strategy Advisor),065450
제이씨케미칼,5720,+21.57%,-1.26,153,1.38%,KOSDAQ,4705,2.64%,이거이거완전테마주일세[4] / 낼은..[2] / 형이 답말해줄께[1] / 조망간 2030년 혼합비율 앞당긴다고 할듯[1],Positive (79%),"낼은, 형이, 답말해줄께, 이거이거완전테마주일세, 이제",1,"[{'title': '낼은..[2]', 'date': '2026.04.02 17:54', 'views': '145', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=137950&nid=416646632&page=1', 'body': '', 'score': 295}, {'title': '형이 답말해줄께[1]', 'date': '2026.04.02 14:17', 'views': '107', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=137950&nid=416616678&page=3', 'body': '', 'score': 257}, {'title': '이거이거완전테마주일세[4]', 'date': '2026.04.02 16:47', 'views': '184', 'likes': '4', 'dislikes': '5', 'link': '/item/board_read.naver?code=137950&nid=416641395&page=1', 'body': '', 'score': 304}, {'title': '이제 바이오연료다!!', 'date': '2026.04.02 14:43', 'views': '46', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=137950&nid=416622292&page=3', 'body': '', 'score': 166}, {'title': '못버티면 나가야하고', 'date': '2026.04.02 13:55', 'views': '56', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=137950&nid=416613412&page=4', 'body': '', 'score': 176}, {'title': '팜유로 항공유,선박유만 만들면 게임종료긴함[3]', 'date': '2026.04.02 11:10', 'views': '90', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=137950&nid=416585922&page=7', 'body': '', 'score': 210}, {'title': '조망간 2030년 혼합비율 앞당긴다고 할듯[1]', 'date': '2026.04.02 17:17', 'views': '140', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=137950&nid=416643814&page=1', 'body': '', 'score': 230}, {'title': '유가 미친듯이 폭등중(有)', 'date': '2026.04.02 15:05', 'views': '50', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=137950&nid=416628175&page=2', 'body': '', 'score': 140}, {'title': '실망매물나오면 7~8프로대 마감하겠네', 'date': '2026.04.02 14:56', 'views': '24', 'likes': '3', 'dislikes': '4', 'link': '/item/board_read.naver?code=137950&nid=416625588&page=2', 'body': '', 'score': 114}, {'title': '각 나라에서 탄소배출권 먼저 사고 대체에너지 괜...', 'date': '2026.04.02 14:22', 'views': '71', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=137950&nid=416617545&page=3', 'body': '', 'score': 161}]",9.2 (Strategy Advisor),137950
흥아해운,4470,+20.49%,-0.68,800,1.87%,KOSPI,3710,2.55%,뭔투경타령? 정리한다[5] / 투경은 모든요건다해당되야함[4] / 무슨 반도체주도 아니고[2] / 개미들아 걱정 말거라.[2],Negative (57%),"미증시, 거래량, 3억주나, 돌린, 개미들아",9,"[{'title': '오늘 밤 미증시', 'date': '2026.04.02 18:21', 'views': '36', 'likes': '17', 'dislikes': '1', 'link': '/item/board_read.naver?code=003280&nid=416648564&page=2', 'body': '', 'score': 546}, {'title': '거래량 3억주나 돌린 주포다', 'date': '2026.04.02 18:06', 'views': '75', 'likes': '17', 'dislikes': '0', 'link': '/item/board_read.naver?code=003280&nid=416647529&page=3', 'body': '', 'score': 585}, {'title': '개미들아 걱정 말거라.[2]', 'date': '2026.04.02 18:47', 'views': '202', 'likes': '15', 'dislikes': '1', 'link': '/item/board_read.naver?code=003280&nid=416650354&page=1', 'body': '', 'score': 652}, {'title': '뭔투경타령? 정리한다[5]', 'date': '2026.04.02 15:54', 'views': '357', 'likes': '15', 'dislikes': '4', 'link': '/item/board_read.naver?code=003280&nid=416636667&page=16', 'body': '', 'score': 807}, {'title': '내일 미장 폭망하면 어차피 투경 달고도 가...', 'date': '2026.04.02 18:38', 'views': '52', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=003280&nid=416649731&page=1', 'body': '', 'score': 472}, {'title': 'WTI 107불 돌파 낼 상이다 상!', 'date': '2026.04.02 17:44', 'views': '50', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=003280&nid=416645927&page=5', 'body': '', 'score': 470}, {'title': '무슨 반도체주도 아니고[2]', 'date': '2026.04.02 15:44', 'views': '238', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=003280&nid=416635330&page=17', 'body': '', 'score': 658}, {'title': '투경은 모든요건다해당되야함[4]', 'date': '2026.04.02 15:34', 'views': '295', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=003280&nid=416633876&page=18', 'body': '', 'score': 715}, {'title': '오늘 트럼프. 종전 기대감으로[2]', 'date': '2026.04.02 15:34', 'views': '189', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=003280&nid=416633822&page=18', 'body': '', 'score': 609}, {'title': '시간외 매집끝[1]', 'date': '2026.04.02 17:44', 'views': '101', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=003280&nid=416645920&page=5', 'body': '', 'score': 491}]",9.2 (Strategy Advisor),003280
에스아이리소스,288,+20.00%,0.97,112,9.84%,KOSDAQ,240,8.87%,"석탄, 석유, 바이오연료 3재료다 얘는 / 180억 에스아이리소스 석유 만드는회사 바이오... / 조용히들 하고, 5백때까지는 추매하지마라~~ / 감보적정 재무탄탄  오백원가겠다",Positive (78%),"석유, 감보적정, 재무탄탄, 조용히들, 하고",1,"[{'title': '감보적정 재무탄탄  오백원가겠다', 'date': '2026.04.02 15:11', 'views': '29', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=065420&nid=416629674&page=2', 'body': '', 'score': 209}, {'title': '조용히들 하고, 5백때까지는 추매하지마라~~', 'date': '2026.04.02 14:16', 'views': '36', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=065420&nid=416616548&page=3', 'body': '', 'score': 216}, {'title': '오늘안가요 형말들어', 'date': '2026.04.02 12:38', 'views': '24', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=065420&nid=416602001&page=4', 'body': '', 'score': 204}, {'title': '180억 에스아이리소스 석유 만드는회사 바이오...', 'date': '2026.04.02 11:20', 'views': '42', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=065420&nid=416588327&page=5', 'body': '', 'score': 222}, {'title': '종가에 재매수', 'date': '2026.04.02 16:13', 'views': '24', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=065420&nid=416638489&page=2', 'body': '', 'score': 174}, {'title': '야들아', 'date': '2026.04.02 15:30', 'views': '23', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=065420&nid=416633226&page=2', 'body': '', 'score': 173}, {'title': '석탄, 석유, 바이오연료 3재료다 얘는', 'date': '2026.04.02 11:34', 'views': '104', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=065420&nid=416591672&page=5', 'body': '', 'score': 254}, {'title': '유가  실시간  7% 폭등중   미쳤다', 'date': '2026.04.02 17:43', 'views': '25', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=065420&nid=416645848&page=1', 'body': '', 'score': 145}, {'title': '시간외 물량 싹 걷어가네', 'date': '2026.04.02 17:36', 'views': '60', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=065420&nid=416645308&page=1', 'body': '', 'score': 180}, {'title': '왜 이렇게 오늘 따라 던지는 놈이 많냐', 'date': '2026.04.02 16:19', 'views': '19', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=065420&nid=416639060&page=1', 'body': '', 'score': 139}]",9.2 (Strategy Advisor),065420
피노,9350,+19.26%,-0.54,228,49.41%,KOSDAQ,7840,49.95%,피노가 가는군[1] / 삼성SDI  3자배정!!! 큰 물결이 시작이 ...[3] / 종지 장초 급등 10시 이후 급락~~~ / 인고의 시간을  견디신분들 추카~~~~[4],Positive (57%),"종지, 장초, 10시, 이후, 인고의",1,"[{'title': '종지 장초 급등 10시 이후 급락~~~', 'date': '2026.04.02 16:48', 'views': '248', 'likes': '10', 'dislikes': '5', 'link': '/item/board_read.naver?code=033790&nid=416641517&page=1', 'body': '', 'score': 548}, {'title': '인고의 시간을  견디신분들 추카~~~~[4]', 'date': '2026.04.02 15:24', 'views': '211', 'likes': '10', 'dislikes': '5', 'link': '/item/board_read.naver?code=033790&nid=416632324&page=2', 'body': '', 'score': 511}, {'title': '6일에', 'date': '2026.04.02 15:24', 'views': '85', 'likes': '10', 'dislikes': '3', 'link': '/item/board_read.naver?code=033790&nid=416632216&page=3', 'body': '', 'score': 385}, {'title': '삼성SDI  3자배정!!! 큰 물결이 시작이 ...[3]', 'date': '2026.04.02 17:02', 'views': '335', 'likes': '8', 'dislikes': '15', 'link': '/item/board_read.naver?code=033790&nid=416642609&page=1', 'body': '', 'score': 575}, {'title': 'Sdi 주주입니다', 'date': '2026.04.02 15:53', 'views': '78', 'likes': '8', 'dislikes': '5', 'link': '/item/board_read.naver?code=033790&nid=416636474&page=2', 'body': '', 'score': 318}, {'title': '피노가 가는군[1]', 'date': '2026.04.02 15:36', 'views': '341', 'likes': '8', 'dislikes': '3', 'link': '/item/board_read.naver?code=033790&nid=416634218&page=2', 'body': '', 'score': 581}, {'title': '피노SDI의', 'date': '2026.04.02 15:35', 'views': '102', 'likes': '8', 'dislikes': '2', 'link': '/item/board_read.naver?code=033790&nid=416633975&page=2', 'body': '', 'score': 342}, {'title': '[2026. 4. 6.이면] 삼성피노 되는거여...', 'date': '2026.04.02 15:21', 'views': '135', 'likes': '8', 'dislikes': '2', 'link': '/item/board_read.naver?code=033790&nid=416631754&page=3', 'body': '', 'score': 375}, {'title': '시외ㅡ3000주입성', 'date': '2026.04.02 17:46', 'views': '54', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=033790&nid=416646089&page=1', 'body': '', 'score': 264}, {'title': '형은 얘기해주었다', 'date': '2026.04.02 17:17', 'views': '97', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=033790&nid=416643829&page=1', 'body': '', 'score': 307}]",9.2 (Strategy Advisor),033790
세림B&G,1994,+17.78%,-1.14,147,1.36%,KOSDAQ,1693,2.50%,"세림B&G 이거 기사 이러면 1000억 아닌...[1] / 앞으로 2,3주간 계속 이란을 폭격해... / 이건 ㅉ짜이밍이 누르는거다[3] / 뉴스에 나프타 플라스틱 계속 나온다[3]",Positive (78%),"플라스틱, 대란, 기사, 이러면, 1000억",1,"[{'title': '세림B&G 이거 기사 이러면 1000억 아닌...[1]', 'date': '2026.04.02 16:59', 'views': '169', 'likes': '11', 'dislikes': '2', 'link': '/item/board_read.naver?code=340440&nid=416642389&page=1', 'body': '', 'score': 499}, {'title': '이건 ㅉ짜이밍이 누르는거다[3]', 'date': '2026.04.02 11:57', 'views': '96', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=340440&nid=416596114&page=5', 'body': '', 'score': 366}, {'title': '앞으로 2,3주간 계속 이란을 폭격해...', 'date': '2026.04.02 11:34', 'views': '168', 'likes': '9', 'dislikes': '6', 'link': '/item/board_read.naver?code=340440&nid=416591683&page=5', 'body': '', 'score': 438}, {'title': '다음주 플라스틱 대란 발생', 'date': '2026.04.02 15:11', 'views': '48', 'likes': '4', 'dislikes': '7', 'link': '/item/board_read.naver?code=340440&nid=416629734&page=1', 'body': '', 'score': 168}, {'title': '내일  상?[1]', 'date': '2026.04.02 15:05', 'views': '53', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=340440&nid=416628378&page=2', 'body': '', 'score': 173}, {'title': '뉴스에 나프타 플라스틱 계속 나온다[3]', 'date': '2026.04.02 14:54', 'views': '81', 'likes': '4', 'dislikes': '5', 'link': '/item/board_read.naver?code=340440&nid=416625057&page=2', 'body': '', 'score': 201}, {'title': '플라스틱 대란 불보듯 뻔하다.', 'date': '2026.04.02 14:22', 'views': '29', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=340440&nid=416617475&page=2', 'body': '', 'score': 149}, {'title': '이제 상 보내제[1]', 'date': '2026.04.02 14:20', 'views': '40', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=340440&nid=416617205&page=2', 'body': '', 'score': 160}, {'title': '이런날 상 못가면 안되는거 아냐?', 'date': '2026.04.02 13:21', 'views': '15', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=340440&nid=416608660&page=3', 'body': '', 'score': 135}, {'title': '전쟁 2~3달 갈수도', 'date': '2026.04.02 13:18', 'views': '22', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=340440&nid=416608166&page=3', 'body': '', 'score': 142}]",9.2 (Strategy Advisor),340440
흥구석유,21650,+17.54%,0.06,634,0.91%,KOSDAQ,18420,0.85%,오늘 투주해제됨.[1] / 투경해제 ㅎㅎㅎㅎ / ★ 내일 신용 반대매매 물량 출회[1] / 어종상[4],Positive (59%),"투주해제됨, 투경해제, 신용, 반대매매, 물량",1,"[{'title': '오늘 투주해제됨.[1]', 'date': '2026.04.02 18:13', 'views': '221', 'likes': '18', 'dislikes': '4', 'link': '/item/board_read.naver?code=024060&nid=416648044&page=1', 'body': '', 'score': 761}, {'title': '투경해제 ㅎㅎㅎㅎ', 'date': '2026.04.02 18:34', 'views': '188', 'likes': '14', 'dislikes': '4', 'link': '/item/board_read.naver?code=024060&nid=416649421&page=1', 'body': '', 'score': 608}, {'title': '★ 내일 신용 반대매매 물량 출회[1]', 'date': '2026.04.02 16:15', 'views': '116', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=024060&nid=416638650&page=5', 'body': '', 'score': 476}, {'title': '딱봐도 낼 최소15퍼 이상인데[1]', 'date': '2026.04.02 17:54', 'views': '97', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=024060&nid=416646635&page=2', 'body': '', 'score': 427}, {'title': '3박자가 맞아 떨어지네', 'date': '2026.04.02 16:50', 'views': '63', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=024060&nid=416641657&page=4', 'body': '', 'score': 363}, {'title': '종가에 픽~~~', 'date': '2026.04.02 18:25', 'views': '33', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=024060&nid=416648886&page=1', 'body': '', 'score': 303}, {'title': '2만원 지지하면 5만원 열려있대', 'date': '2026.04.02 17:45', 'views': '22', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=024060&nid=416645998&page=2', 'body': '', 'score': 292}, {'title': '미래에서 왔습니다[1]', 'date': '2026.04.02 17:05', 'views': '116', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=024060&nid=416642804&page=4', 'body': '', 'score': 386}, {'title': '어종상[4]', 'date': '2026.04.02 15:51', 'views': '174', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=024060&nid=416636314&page=6', 'body': '', 'score': 444}, {'title': '안녕하시와요~~~~', 'date': '2026.04.02 18:08', 'views': '28', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=024060&nid=416647639&page=1', 'body': '', 'score': 238}]",9.2 (Strategy Advisor),024060
