종목명,현재가,등락률,외인변화,당일_게시글수,현재_외국인비중,시장구분,어제_종가,어제_외국인비중,게시물_요약,감정분석,Top_Keyword,latest_posts,scraper_version,code
다날,7800,+30.00%,-0.9,319,6.11%,KOSDAQ,6000,7.01%,"[단독] “韓, 스테이블코인 실험할 최...[1] / 3상은치겠죠?[5] / 다날 10만원까지 무난하게 갑답니다.[3] / 화요일 상. 수요일 상 부탁드립니다[2]",Positive (64%),"다날, 상한가, 오늘","[{'title': '3상은치겠죠?[5]', 'date': '2026.04.06 10:02', 'views': '1810', 'likes': '22', 'dislikes': '2', 'link': '/item/board_read.naver?code=064260&nid=416818833&page=12', 'body': '', 'score': 2470}, {'title': '[단독] “韓, 스테이블코인 실험할 최...[1]', 'date': '2026.04.06 08:31', 'views': '2293', 'likes': '22', 'dislikes': '4', 'link': '/item/board_read.naver?code=064260&nid=416803886&page=16', 'body': '', 'score': 2953}, {'title': '■9천~일만원 뚫는다..', 'date': '2026.04.06 13:01', 'views': '216', 'likes': '15', 'dislikes': '1', 'link': '/item/board_read.naver?code=064260&nid=416842765&page=6', 'body': '', 'score': 666}, {'title': '화요일 상. 수요일 상 부탁드립니다[2]', 'date': '2026.04.06 17:05', 'views': '313', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=064260&nid=416871952&page=2', 'body': '', 'score': 733}, {'title': '다날 10만원까지 무난하게 갑답니다.[3]', 'date': '2026.04.06 17:02', 'views': '434', 'likes': '14', 'dislikes': '4', 'link': '/item/board_read.naver?code=064260&nid=416871591&page=2', 'body': '', 'score': 854}]",V8.2,064260
풍산홀딩스,47250,+29.99%,-0.29,270,12.79%,KOSPI,36350,13.08%,한에 공시 냈으니깐 보고와[1] / 아침에 5백만주도 상 풀렸는데[2] / 한화에어로스페이스  공시 해석 / 지금 매매창구를 잘 봐봐[2],Positive (54%),"풍산, 이거, 상한가","[{'title': '한에 공시 냈으니깐 보고와[1]', 'date': '2026.04.06 11:13', 'views': '1028', 'likes': '27', 'dislikes': '3', 'link': '/item/board_read.naver?code=005810&nid=416830042&page=11', 'body': '', 'score': 1838}, {'title': '아침에 5백만주도 상 풀렸는데[2]', 'date': '2026.04.06 15:38', 'views': '236', 'likes': '17', 'dislikes': '1', 'link': '/item/board_read.naver?code=005810&nid=416862122&page=3', 'body': '', 'score': 746}, {'title': '한화에어로스페이스  공시 해석', 'date': '2026.04.06 14:33', 'views': '217', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=005810&nid=416853419&page=4', 'body': '', 'score': 697}, {'title': '전문가들이  상한가 3방 이상나온다보  썰까네...', 'date': '2026.04.06 15:01', 'views': '101', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=005810&nid=416857090&page=3', 'body': '', 'score': 551}, {'title': '지금 매매창구를 잘 봐봐[2]', 'date': '2026.04.06 15:17', 'views': '182', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=005810&nid=416859365&page=3', 'body': '', 'score': 602}]",V8.2,005810
한패스,19170,+29.97%,0.1,226,1.16%,KOSDAQ,14750,1.06%,"저는 오늘 한패스땜에 주식 접습니다[3] / 하도 씨게 물려서 상한가 감흥도 없네 ㅋㅋ[3] / 평단 47,000원입니다 ㅎㅎㅎㅎㅎㅎ[3] / 보원케미칼도 문닫음 이종목도 상장한지 이틀됨",Positive (56%),"오늘, 상한가, 한패스","[{'title': '저는 오늘 한패스땜에 주식 접습니다[3]', 'date': '2026.04.06 15:59', 'views': '255', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=408470&nid=416864508&page=1', 'body': '', 'score': 615}, {'title': '하도 씨게 물려서 상한가 감흥도 없네 ㅋㅋ[3]', 'date': '2026.04.06 16:24', 'views': '209', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=408470&nid=416866986&page=1', 'body': '', 'score': 539}, {'title': '평단 47,000원입니다 ㅎㅎㅎㅎㅎㅎ[3]', 'date': '2026.04.06 09:56', 'views': '87', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=408470&nid=416817816&page=11', 'body': '', 'score': 417}, {'title': '보원케미칼도 문닫음 이종목도 상장한지 이틀됨', 'date': '2026.04.06 14:41', 'views': '46', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=408470&nid=416854459&page=6', 'body': '', 'score': 346}, {'title': '절대속지마세요[1]', 'date': '2026.04.06 14:47', 'views': '54', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=408470&nid=416855190&page=5', 'body': '', 'score': 294}]",V8.2,408470
광전자,5790,+29.97%,-0.91,224,18.49%,KOSPI,4455,19.40%,"내일도 상한가 7520원[1] / 光전자가[6] / 엔비디아가 투자하는 실리콘 포토닉스,...광전... / 실리콘포토닉스, 광섬유, 마이크로 TAS",Positive (68%),"광전자, 상한가, 광통신","[{'title': '내일도 상한가 7520원[1]', 'date': '2026.04.06 15:38', 'views': '230', 'likes': '33', 'dislikes': '5', 'link': '/item/board_read.naver?code=017900&nid=416862093&page=2', 'body': '', 'score': 1220}, {'title': '光전자가[6]', 'date': '2026.04.06 15:52', 'views': '535', 'likes': '18', 'dislikes': '0', 'link': '/item/board_read.naver?code=017900&nid=416863730&page=2', 'body': '', 'score': 1075}, {'title': '엔비디아가 투자하는 실리콘 포토닉스,...광전...', 'date': '2026.04.06 10:38', 'views': '109', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=017900&nid=416824890&page=6', 'body': '', 'score': 649}, {'title': '엔비디아가 투자하는 실리콘 포토닉스,...광전...', 'date': '2026.04.06 12:10', 'views': '188', 'likes': '17', 'dislikes': '1', 'link': '/item/board_read.naver?code=017900&nid=416837018&page=4', 'body': '', 'score': 698}, {'title': '실리콘포토닉스, 광섬유, 마이크로 TAS', 'date': '2026.04.06 17:21', 'views': '208', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=017900&nid=416873693&page=1', 'body': '', 'score': 658}]",V8.2,017900
보원케미칼,11070,+22.05%,0.08,793,0.19%,KOSDAQ,9070,0.11%,시외매동 알려줄께[1] / 전기차 +태양광 + 실적주 / 하한가에[3] / 이걸 하루 작전으로 보는 애들은 주식 접어라...[2],Positive (66%),"하한가, 내일, 오늘","[{'title': '시외매동 알려줄께[1]', 'date': '2026.04.06 18:12', 'views': '152', 'likes': '19', 'dislikes': '2', 'link': '/item/board_read.naver?code=0010F0&nid=416878111&page=3', 'body': '', 'score': 722}, {'title': '전기차 +태양광 + 실적주', 'date': '2026.04.06 13:44', 'views': '141', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=0010F0&nid=416847814&page=22', 'body': '', 'score': 531}, {'title': '이걸 하루 작전으로 보는 애들은 주식 접어라...[2]', 'date': '2026.04.06 15:37', 'views': '113', 'likes': '11', 'dislikes': '6', 'link': '/item/board_read.naver?code=0010F0&nid=416861986&page=14', 'body': '', 'score': 443}, {'title': '유통물량이', 'date': '2026.04.06 13:59', 'views': '112', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=0010F0&nid=416849506&page=21', 'body': '', 'score': 412}, {'title': '하한가에[3]', 'date': '2026.04.06 18:14', 'views': '203', 'likes': '9', 'dislikes': '4', 'link': '/item/board_read.naver?code=0010F0&nid=416878245&page=3', 'body': '', 'score': 473}]",V8.2,0010F0
남선알미늄,2130,+18.01%,1.97,664,2.61%,KOSPI,1805,0.64%,"난 지금 남선 한주도 없다만[6] / [속보] 종전 또 불발? 이란 외무부 “미국...[2] / 오늘 그냥 판 사람들은, 자기 전에 침대 위에 ...[1] / 제길헐 내일 또 폭등하긋네",Positive (55%),"시외, 내일, 이란","[{'title': '난 지금 남선 한주도 없다만[6]', 'date': '2026.04.06 17:21', 'views': '271', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=008350&nid=416873647&page=6', 'body': '', 'score': 691}, {'title': '시외 털린넘들은[1]', 'date': '2026.04.06 19:25', 'views': '88', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=008350&nid=416882277&page=1', 'body': '', 'score': 448}, {'title': '제길헐 내일 또 폭등하긋네', 'date': '2026.04.06 18:41', 'views': '94', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=008350&nid=416879850&page=2', 'body': '', 'score': 454}, {'title': '오늘 그냥 판 사람들은, 자기 전에 침대 위에 ...[1]', 'date': '2026.04.06 17:38', 'views': '127', 'likes': '12', 'dislikes': '5', 'link': '/item/board_read.naver?code=008350&nid=416875448&page=4', 'body': '', 'score': 487}, {'title': '[속보] 종전 또 불발? 이란 외무부 “미국...[2]', 'date': '2026.04.06 18:37', 'views': '242', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=008350&nid=416879658&page=2', 'body': '', 'score': 542}]",V8.2,008350
기가레인,2390,+16.87%,0.51,293,1.88%,KOSDAQ,2045,1.37%,"기가레인  10년차트 분석,[1] / 10년 20년 전세계 먹거리주입니다 / 던진거 시외에서 다주워먹네[1] / 시간외",Negative (55%),"오늘, 기가레인, 우리로","[{'title': '기가레인  10년차트 분석,[1]', 'date': '2026.04.06 10:35', 'views': '205', 'likes': '14', 'dislikes': '3', 'link': '/item/board_read.naver?code=049080&nid=416824419&page=12', 'body': '', 'score': 625}, {'title': '시간외', 'date': '2026.04.06 18:33', 'views': '61', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=049080&nid=416879432&page=1', 'body': '', 'score': 451}, {'title': '10년 20년 전세계 먹거리주입니다', 'date': '2026.04.06 15:45', 'views': '100', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=049080&nid=416862968&page=3', 'body': '', 'score': 460}, {'title': '오늘 못사면', 'date': '2026.04.06 09:22', 'views': '84', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=049080&nid=416811139&page=14', 'body': '', 'score': 444}, {'title': '던진거 시외에서 다주워먹네[1]', 'date': '2026.04.06 17:24', 'views': '125', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=049080&nid=416873960&page=2', 'body': '', 'score': 455}]",V8.2,049080
GS글로벌,3690,+16.40%,-0.68,140,4.14%,KOSPI,3170,4.82%,꺼억 잘묵고갑니다[2] / GS글로벌직원인 지인왈! / 형님들 우리G글이도 휴전이 더 호재인거죠... / 물렸으면 냅둬 어차피 작전주 성향이라,Negative (55%),"오늘, 내일, 이상","[{'title': 'GS글로벌직원인 지인왈!', 'date': '2026.04.06 14:12', 'views': '127', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=001250&nid=416850990&page=2', 'body': '', 'score': 547}, {'title': '물렸으면 냅둬 어차피 작전주 성향이라', 'date': '2026.04.06 13:39', 'views': '59', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=001250&nid=416847248&page=3', 'body': '', 'score': 389}, {'title': '형님들 우리G글이도 휴전이 더 호재인거죠...', 'date': '2026.04.06 16:31', 'views': '94', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=001250&nid=416867892&page=1', 'body': '', 'score': 394}, {'title': '꺼억 잘묵고갑니다[2]', 'date': '2026.04.06 15:03', 'views': '313', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=001250&nid=416857315&page=2', 'body': '', 'score': 613}, {'title': '휴전 뉴스떳네', 'date': '2026.04.06 16:13', 'views': '123', 'likes': '8', 'dislikes': '2', 'link': '/item/board_read.naver?code=001250&nid=416865813&page=1', 'body': '', 'score': 363}]",V8.2,001250
한국첨단소재,4095,+14.55%,-2.41,232,2.95%,KOSDAQ,3575,5.36%,"오늘 나온 공시,  <분석 보고서> 내용...[1] / 헐 / 정지 먹으면  좋은겨    하루 정지에  대한 / 광통신만으로도 이미 최소 만원은 가야하고",Positive (53%),"유증, 오늘, 거래정지","[{'title': '오늘 나온 공시,  <분석 보고서> 내용...[1]', 'date': '2026.04.06 17:01', 'views': '294', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=062970&nid=416871422&page=1', 'body': '', 'score': 684}, {'title': '광통신만으로도 이미 최소 만원은 가야하고', 'date': '2026.04.06 09:17', 'views': '62', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=062970&nid=416810050&page=10', 'body': '', 'score': 452}, {'title': '헐', 'date': '2026.04.06 15:32', 'views': '268', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=062970&nid=416861347&page=2', 'body': '', 'score': 628}, {'title': '정지 먹으면  좋은겨    하루 정지에  대한', 'date': '2026.04.06 16:38', 'views': '161', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=062970&nid=416868913&page=2', 'body': '', 'score': 461}, {'title': '이노,cs,광전자 상한가에 기가레인,한국첨단...', 'date': '2026.04.06 13:51', 'views': '153', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=062970&nid=416848614&page=4', 'body': '', 'score': 423}]",V8.2,062970
알루코,2780,+13.93%,0.97,126,2.59%,KOSPI,2440,1.62%,오늘에야 본 종목이라 아쉽[1] / 지능이 있으면 튀어라 공매물량 미리 ...[2] / 알미늄주 중에 얘가 꼴등[1] / 얜 진짜 웃기네,Positive (55%),"알루코, 이상, 중에","[{'title': '알미늄주 중에 얘가 꼴등[1]', 'date': '2026.04.06 12:39', 'views': '107', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=001780&nid=416840155&page=3', 'body': '', 'score': 317}, {'title': '얜 진짜 웃기네', 'date': '2026.04.06 11:29', 'views': '50', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=001780&nid=416832208&page=3', 'body': '', 'score': 260}, {'title': '목표가', 'date': '2026.04.06 18:12', 'views': '49', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=001780&nid=416878157&page=1', 'body': '', 'score': 199}, {'title': '지능이 있으면 튀어라 공매물량 미리 ...[2]', 'date': '2026.04.06 15:18', 'views': '178', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=001780&nid=416859592&page=2', 'body': '', 'score': 328}, {'title': '오늘에야 본 종목이라 아쉽[1]', 'date': '2026.04.06 10:23', 'views': '312', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=001780&nid=416822573&page=5', 'body': '', 'score': 462}]",V8.2,001780
