종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,latest_posts,code
다날,7800,+30.00%,299,KOSDAQ,,"[{'title': '내일 절대로 물량 털리지 마라!', 'likes': '25', 'link': '/item/board_read.naver?code=064260&nid=416883427&page=2', 'body': ''}, {'title': '3상은치겠죠?[5]', 'likes': '25', 'link': '/item/board_read.naver?code=064260&nid=416818833&page=13', 'body': ''}, {'title': '화요일 상. 수요일 상 부탁드립니다[3]', 'likes': '16', 'link': '/item/board_read.naver?code=064260&nid=416871952&page=3', 'body': ''}, {'title': '지금까지 본적있어??', 'likes': '15', 'link': '/item/board_read.naver?code=064260&nid=416880390&page=2', 'body': ''}, {'title': '■9천~일만원 뚫는다..', 'likes': '15', 'link': '/item/board_read.naver?code=064260&nid=416842765&page=7', 'body': ''}]",064260
풍산홀딩스,47250,+29.99%,277,KOSPI,,"[{'title': '한에 공시 냈으니깐 보고와[1]', 'likes': '31', 'link': '/item/board_read.naver?code=005810&nid=416830042&page=11', 'body': ''}, {'title': '아침에 5백만주도 상 풀렸는데[2]', 'likes': '17', 'link': '/item/board_read.naver?code=005810&nid=416862122&page=3', 'body': ''}, {'title': '한화에어로스페이스  공시 해석', 'likes': '16', 'link': '/item/board_read.naver?code=005810&nid=416853419&page=5', 'body': ''}, {'title': '전문가들이  상한가 3방 이상나온다보  썰까네...', 'likes': '15', 'link': '/item/board_read.naver?code=005810&nid=416857090&page=4', 'body': ''}, {'title': '지금 매매창구를 잘 봐봐[2]', 'likes': '14', 'link': '/item/board_read.naver?code=005810&nid=416859365&page=4', 'body': ''}]",005810
한패스,19170,+29.97%,229,KOSDAQ,,"[{'title': '하도 씨게 물려서 상한가 감흥도 없네 ㅋㅋ[6]', 'likes': '14', 'link': '/item/board_read.naver?code=408470&nid=416866986&page=1', 'body': ''}, {'title': '저는 오늘 한패스땜에 주식 접습니다[4]', 'likes': '13', 'link': '/item/board_read.naver?code=408470&nid=416864508&page=2', 'body': ''}, {'title': '평단 47,000원입니다 ㅎㅎㅎㅎㅎㅎ[3]', 'likes': '11', 'link': '/item/board_read.naver?code=408470&nid=416817816&page=11', 'body': ''}, {'title': '보원케미칼도 문닫음 이종목도 상장한지 이틀됨', 'likes': '10', 'link': '/item/board_read.naver?code=408470&nid=416854459&page=6', 'body': ''}, {'title': '신규 상장주 손대다간 패가 망신(Feat. 에...[2]', 'likes': '9', 'link': '/item/board_read.naver?code=408470&nid=416869795&page=1', 'body': ''}]",408470
광전자,5790,+29.97%,236,KOSPI,,"[{'title': '내일도 상한가 7520원[1]', 'likes': '37', 'link': '/item/board_read.naver?code=017900&nid=416862093&page=3', 'body': ''}, {'title': '(내일 상한가) 젠슨황 1픽 주식[2]', 'likes': '24', 'link': '/item/board_read.naver?code=017900&nid=416881482&page=2', 'body': ''}, {'title': '빅테크 기업들  테이터 센터  전력비용 과다...[3]', 'likes': '22', 'link': '/item/board_read.naver?code=017900&nid=416881969&page=2', 'body': ''}, {'title': '光전자가[6]', 'likes': '20', 'link': '/item/board_read.naver?code=017900&nid=416863730&page=3', 'body': ''}, {'title': '그간 광전자 무시해서 죄송합니다', 'likes': '19', 'link': '/item/board_read.naver?code=017900&nid=416890353&page=1', 'body': ''}]",017900
보원케미칼,11070,+22.05%,296,KOSDAQ,,"[{'title': '시외매동 알려줄께[1]', 'likes': '19', 'link': '/item/board_read.naver?code=0010F0&nid=416878111&page=6', 'body': ''}, {'title': 'ㅋㅋㅋ속보봣지? 내그럴줄알앗다. 10퍼 그냥먹...[1]', 'likes': '11', 'link': '/item/board_read.naver?code=0010F0&nid=416886823&page=3', 'body': ''}, {'title': '흥구석유,현대에너지솔루션, 흥아해운,태경 케미...', 'likes': '10', 'link': '/item/board_read.naver?code=0010F0&nid=416887336&page=3', 'body': ''}, {'title': '하따한 사람이 승자네', 'likes': '10', 'link': '/item/board_read.naver?code=0010F0&nid=416883039&page=4', 'body': ''}, {'title': '시외끝나니...결론은..수용불가//그럼 5,6...', 'likes': '9', 'link': '/item/board_read.naver?code=0010F0&nid=416887558&page=2', 'body': ''}]",0010F0
남선알미늄,2130,+18.01%,298,KOSPI,,"[{'title': '이란이  공식거부!', 'likes': '19', 'link': '/item/board_read.naver?code=008350&nid=416884409&page=3', 'body': ''}, {'title': '<속보> 이란이 중재안 거부함[1]', 'likes': '18', 'link': '/item/board_read.naver?code=008350&nid=416885946&page=3', 'body': ''}, {'title': '트럼프는 걍 명분쌓기야', 'likes': '17', 'link': '/item/board_read.naver?code=008350&nid=416885393&page=3', 'body': ''}, {'title': '시외 털린넘들은[1]', 'likes': '16', 'link': '/item/board_read.naver?code=008350&nid=416882277&page=4', 'body': ''}, {'title': '난 지금 남선 한주도 없다만[8]', 'likes': '16', 'link': '/item/board_read.naver?code=008350&nid=416873647&page=8', 'body': ''}]",008350
기가레인,2390,+16.87%,298,KOSDAQ,,"[{'title': '시간외', 'likes': '15', 'link': '/item/board_read.naver?code=049080&nid=416879432&page=2', 'body': ''}, {'title': '기가레인  10년차트 분석,[1]', 'likes': '14', 'link': '/item/board_read.naver?code=049080&nid=416824419&page=12', 'body': ''}, {'title': '그래야 이제 5배 상승 텐버거', 'likes': '12', 'link': '/item/board_read.naver?code=049080&nid=416884624&page=2', 'body': ''}, {'title': '10년 20년 전세계 먹거리주입니다', 'likes': '12', 'link': '/item/board_read.naver?code=049080&nid=416862968&page=4', 'body': ''}, {'title': '오늘 못사면', 'likes': '12', 'link': '/item/board_read.naver?code=049080&nid=416811139&page=14', 'body': ''}]",049080
GS글로벌,3690,+16.40%,146,KOSPI,,"[{'title': 'GS글로벌직원인 지인왈!', 'likes': '14', 'link': '/item/board_read.naver?code=001250&nid=416850990&page=3', 'body': ''}, {'title': 'GS글로벌 주요사업 ㅡ 풍력,철강,석탄,...[2]', 'likes': '11', 'link': '/item/board_read.naver?code=001250&nid=416882019&page=1', 'body': ''}, {'title': '물렸으면 냅둬 어차피 작전주 성향이라', 'likes': '11', 'link': '/item/board_read.naver?code=001250&nid=416847248&page=3', 'body': ''}, {'title': '년매출 4조 매년 수백억 흑자 글로벌 시...[5]', 'likes': '10', 'link': '/item/board_read.naver?code=001250&nid=416881319&page=1', 'body': ''}, {'title': '형님들 우리G글이도 휴전이 더 호재인거죠?', 'likes': '10', 'link': '/item/board_read.naver?code=001250&nid=416867892&page=2', 'body': ''}]",001250
한국첨단소재,4095,+14.55%,243,KOSDAQ,,"[{'title': '오늘 나온 공시,  <분석 보고서> 내용...[1]', 'likes': '21', 'link': '/item/board_read.naver?code=062970&nid=416871422&page=2', 'body': ''}, {'title': ""한국첨단소재, 블록체인 양자보안 플랫폼 '퀀...[3]"", 'likes': '18', 'link': '/item/board_read.naver?code=062970&nid=416886079&page=1', 'body': ''}, {'title': '[AI 요약] 한국첨단소재의 매매거래 정지 ...[1]', 'likes': '15', 'link': '/item/board_read.naver?code=062970&nid=416885803&page=1', 'body': ''}, {'title': '오빠들~모래 상한가 찍어준데요[1]', 'likes': '14', 'link': '/item/board_read.naver?code=062970&nid=416885397&page=1', 'body': ''}, {'title': '광통신만으로도 이미 최소 만원은 가야하고', 'likes': '13', 'link': '/item/board_read.naver?code=062970&nid=416810050&page=11', 'body': ''}]",062970
알루코,2780,+13.93%,129,KOSPI,,"[{'title': '이란이 미국제안을 받지 않을거임[2]', 'likes': '8', 'link': '/item/board_read.naver?code=001780&nid=416879521&page=1', 'body': ''}, {'title': '알미늄주 중에 얘가 꼴등[1]', 'likes': '7', 'link': '/item/board_read.naver?code=001780&nid=416840155&page=3', 'body': ''}, {'title': '얜 진짜 웃기네', 'likes': '7', 'link': '/item/board_read.naver?code=001780&nid=416832208&page=4', 'body': ''}, {'title': '목표가[1]', 'likes': '6', 'link': '/item/board_read.naver?code=001780&nid=416878157&page=1', 'body': ''}, {'title': '속보] 중재안 받은 이란 ""美 종전 의지 부족...', 'likes': '6', 'link': '/item/board_read.naver?code=001780&nid=416871058&page=1', 'body': ''}]",001780
