종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
광전자,7520,+29.88%,236,KOSPI,,주가 상승 이유 및 장중 상한량 문의,017900
풍산홀딩스,58300,+23.39%,364,KOSPI,,"점상 및 고점, 투경 관련 언급",005810
창해에탄올,12520,+20.85%,388,KOSDAQ,,"미국 에탄올 항공유 대규모 보조금 및 국내 정책 기대감, 긍정적 뉴스 발생으로 강한 상승 기대.",004650
프로이천,2945,+20.20%,195,KOSDAQ,,"낮은 시총과 매집 정황, 애플 관련 뉴스 기대감으로 장기 상승 전망.",321260
아크릴,37800,+19.81%,206,KOSDAQ,,조선시장 AI 테마 기대 속 구주주 매물 및 지정학적 우려,0007C0
흥구석유,23800,+14.42%,694,KOSDAQ,,"단기 반등 가능성이 언급되었으나, 구체적인 호재는 부재.",024060
세림B&G,2450,+7.46%,120,KOSDAQ,,"하락세 지속, 마지막 해먹고 튄다는 의견",340440
엘앤에프,182700,+7.09%,410,KOSPI,,"목표가 25만원 상향, 실적 모멘텀 언급",066970
파워넷,5620,+7.05%,157,KOSDAQ,5249.0,주포의 매집/방해 정황 언급 및 전반적인 투자심리 악화.,037030
에코프로머티,72900,+5.81%,360,KOSPI,,2차전지 대장주 및 연기금 움직임에 대한 불만,450080
한화시스템,133400,+4.55%,298,KOSPI,,"외국인 및 기관 수급 양호, 방산 테마 강세",272210
삼성E&A,47650,+4.38%,496,KOSPI,,"시초가 회복 기대, 휴전 관련 언급",028050
남선알미늄,2220,+4.23%,401,KOSPI,,"현 주가 및 향후 7,000원 도달 기대",008350
LIG넥스원,835000,+3.09%,342,KOSPI,,"방산 테마 관련 언급, 긍정/부정 의견 혼재",079550
카카오,46225,+3.07%,127,KOSPI,,목표가 언급 외 별도 분석 불가,035720
우리로,7140,+2.73%,280,KOSDAQ,6950.0,"물린 투자자들의 불만과 개미 꼬시기 우려 속, 대기 매수세 및 대장주 기대감 존재.",046970
흥아해운,3860,+1.85%,583,KOSPI,3789.0,이란 사빅 폭격 및 호르무즈 해협 통행료 관련 언급,003280
SK하이닉스,896500,+1.19%,1460,KOSPI,885957.0,"26년 영업이익 200조 예상, 반등 초입 구간 언급",000660
삼성전자,193900,+0.41%,2923,KOSPI,193108.0,내일 주가 예상 및 노조 관련 언급,005930
기가레인,2395,+0.21%,144,KOSDAQ,2389.0,"삼성전자 관련 기대감 및 긍정적 뉴스, 상승 VI 발생으로 긍정적 흐름.",049080
삼성전자우,129100,0.00%,121,KOSPI,129100.0,세계 두 번째 수익 회사 및 트럼프 관련 언급,005935
보원케미칼,10960,-0.99%,353,KOSDAQ,11069.0,"주가 하락 및 매도 의견 다수, 세력 언급",0010F0
대우건설,17000,-1.79%,279,KOSPI,17309.0,주가 상승 및 하락 관련 아쉬움 표현,047040
후성,9720,-1.82%,253,KOSPI,9900.0,수익 확정 및 외인 수급 관련 언급,093370
신성이엔지,3415,-4.48%,154,KOSPI,3575.0,외국인 수급 및 시외 폭락 신호 관련 문의,011930
우리기술,19650,-4.61%,281,KOSDAQ,20599.0,고점 물린 투자자들의 좌절감과 '끝난 주식'이라는 강한 부정적 인식 지배.,032820
스코넥,327,-5.76%,191,KOSDAQ,346.0,"의견거절, 3자배정 불발 루머 및 지속적인 공매도 우려로 매우 부정적.",276040
대한광통신,12380,-8.90%,351,KOSDAQ,13589.0,데이터센터 및 천광프로젝트 관련 기대감과 증권가 정보 언급으로 긍정적 분위기.,010170
다날,7070,-9.36%,926,KOSDAQ,7800.0,거래량 언급 외 분석 불가,064260
피노,9250,-10.45%,238,KOSDAQ,10329.0,"삼성과의 연관성 및 높은 적정가, 저평가 의견으로 긍정적 기대감 형성.",033790
SK오션플랜트,25650,-10.47%,370,KOSPI,28649.0,수급 조정 중이라는 긍정적 의견과 단순 선동 제외,100090
