timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-14 13:13:45,한국콜마(161890),BUY,136900,1,136900,"[선행매집] 매집 진입 (52주 95%, info +7.23)",,
2026-08-18 09:54:10,HMM(011200),BUY,22700,8,181600,"[선행매집] 매집 진입 (52주 91%, info +5.73)",,
2026-08-18 09:54:10,IPARK현대산업개발(294870),BUY,22650,8,181200,"[선행매집] 매집 진입 (52주 90%, info +1.64)",,
2026-08-18 11:14:10,IPARK현대산업개발(294870),SELL,22500,8,180000,"[선행매집] 정보축 반전 (info -0.11, -0.7%)",-0.86,-1551
2026-08-18 13:04:26,현대해상(001450),BUY,49200,3,147600,"[선행매집] 매집 진입 (52주 98%, info +3.56)",,
2026-08-19 09:03:02,한국콜마(161890),SELL,129700,1,129700,[선행매집] 손절 (-5.3%),-5.44,-7453
2026-08-19 09:13:29,HMM(011200),SELL,21200,8,169600,[선행매집] 손절 (-6.6%),-6.79,-12331
2026-08-19 10:13:50,팬오션(028670),BUY,6170,30,185100,"[선행매집] 매집 진입 (52주 93%, info +2.15)",,
2026-08-19 11:04:26,S-Oil(010950),BUY,153400,1,153400,"[선행매집] 매집 진입 (52주 87%, info +3.05)",,
2026-08-24 09:01:37,S-Oil(010950),SELL,143100,1,143100,[선행매집] 손절 (-6.7%),-6.90,-10579
2026-08-24 09:53:35,팬오션(028670),SELL,6370,30,191100,"[선행매집] 정보축 반전 (info -0.27, +3.2%)",+3.04,5627
2026-08-24 09:53:35,HMM(011200),BUY,22850,8,182800,"[선행매집] 매집 진입 (52주 92%, info +4.63)",,
2026-08-24 11:03:37,자이에스앤디(317400),BUY,10190,18,183420,"[선행매집] 매집 진입 (52주 92%, info +4.54)",,
2026-08-25 09:23:48,자이에스앤디(317400),SELL,9680,18,174240,[선행매집] 손절 (-5.0%),-5.19,-9520
2026-08-25 09:53:41,HMM(011200),SELL,22850,8,182800,"[선행매집] 정보축 반전 (info -0.93, +0.0%)",-0.20,-356
2026-08-25 09:53:41,아모레퍼시픽(090430),BUY,145000,1,145000,"[선행매집] 매집 진입 (52주 86%, info +5.03)",,
2026-08-25 09:55:37,아모레퍼시픽(090430),SELL,143600,1,143600,"[선행매집] 앵커 이탈 (52주고점 85%, -1.0%)",-1.16,-1680
2026-08-25 11:39:42,KB발해인프라(415640),BUY,10300,18,185400,"[선행매집] 매집 진입 (52주 91%, info +1.88)",,
2026-08-26 11:03:43,현대해상(001450),SELL,51200,3,153600,"[선행매집] 정보축 반전 (info -0.18, +4.1%)",+3.86,5700
2026-08-26 11:03:43,키다리스튜디오(020120),BUY,5950,31,184450,"[선행매집] 매집 진입 (52주 93%, info +1.59)",,
2026-08-26 13:15:43,IPARK현대산업개발(294870),BUY,22900,8,183200,"[선행매집] 매집 진입 (52주 91%, info +1.76)",,
2026-08-26 13:21:38,키다리스튜디오(020120),SELL,5590,31,173290,[선행매집] 손절 (-6.1%),-6.23,-11498
2026-08-27 09:56:48,대한항공(003490),BUY,28600,6,171600,"[선행매집] 매집 진입 (52주 92%, info +3.01)",,
2026-08-28 09:58:44,현대해상(001450),BUY,49950,3,149850,"[선행매집] 매집 진입 (52주 96%, info +3.70)",,
