timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-14 09:32:45,모나미(005360),BUY,1962,152,298224,"[상승모멘텀] 주도주 탑승 (기간 11.3%, ADX 38.3, 기관+0/외인+31,000)",,
2026-08-14 09:53:02,모나미(005360),SELL,1783,152,271016,[상승모멘텀] ATR 3배 손절 (-9.1%),-9.30,-27736
2026-08-14 10:23:03,현대해상(001450),BUY,45000,6,270000,"[상승모멘텀] 주도주 탑승 (기간 9.3%, ADX 43.2, 기관+4,000/외인+14,000)",,
2026-08-18 09:22:51,현대해상(001450),BUY,49900,3,149700,"[상승모멘텀] 불타기 50% (기관+0/외인+88,000)",,
2026-08-18 09:22:51,코리아써키트(007810),BUY,70300,5,351500,"[상승모멘텀] 주도주 탑승 (기간 6.8%, ADX 36.4, 기관+0/외인+31,000)",,
2026-08-18 10:03:05,유니퀘스트(077500),BUY,7930,47,372710,"[상승모멘텀] 주도주 탑승 (기간 13.5%, ADX 37.7, 기관+0/외인+51,000)",,
2026-08-18 10:42:46,코리아써키트(007810),SELL,63100,5,315500,[상승모멘텀] ATR 3배 손절 (-10.2%),-10.42,-36615
2026-08-19 10:33:27,자화전자(033240),BUY,30700,12,368400,"[상승모멘텀] 주도주 탑승 (기간 7.9%, ADX 41.7, 기관+0/외인+8,000)",,
2026-08-19 13:43:35,빙그레(005180),BUY,80300,4,321200,"[상승모멘텀] 주도주 탑승 (기간 8.0%, ADX 26.3, 기관+6,000/외인-2,000)",,
2026-08-24 09:03:25,유니퀘스트(077500),SELL,7100,47,333700,[상승모멘텀] ATR 3배 손절 (-10.5%),-10.64,-39661
2026-08-24 09:23:33,미래에셋생명(085620),BUY,26400,13,343200,"[상승모멘텀] 주도주 탑승 (기간 17.3%, ADX 45.6, 기관+0/외인+15,000)",,
2026-08-25 09:23:48,한국화장품제조(003350),BUY,12240,30,367200,"[상승모멘텀] 주도주 탑승 (기간 6.1%, ADX 38.3, 기관+0/외인+4,000)",,
2026-08-26 09:05:02,한국화장품제조(003350),SELL,13950,30,418500,[상승모멘텀] 트레일링 스탑 익절 (라이딩 종료),+13.75,50484
2026-08-26 09:19:36,미래에셋생명(085620),SELL,29000,13,377000,[상승모멘텀] 트레일링 스탑 익절 (라이딩 종료),+9.63,33065
2026-08-26 09:23:32,삼성물산(028260),BUY,382000,1,382000,"[상승모멘텀] 주도주 탑승 (기간 5.8%, ADX 24.4, 기관+0/외인+1,000)",,
2026-08-26 10:00:54,두산퓨얼셀(336260),BUY,45450,8,363600,"[상승모멘텀] 주도주 탑승 (기간 6.4%, ADX 25.9, 기관+23,000/외인-35,000)",,
2026-08-27 12:07:37,빙그레(005180),SELL,90000,4,360000,[상승모멘텀] 트레일링 스탑 익절 (라이딩 종료),+11.86,38098
2026-08-27 12:07:37,현대제철(004020),BUY,31700,12,380400,"[상승모멘텀] 주도주 탑승 (기간 5.9%, ADX 36.3, 기관+113,000/외인+197,000)",,
2026-08-27 14:37:37,현대해상(001450),SELL,48850,9,439650,[상승모멘텀] 트레일링 스탑 익절 (라이딩 종료),+4.55,19093
2026-08-27 14:45:35,삼아알미늄(006110),BUY,65400,5,327000,"[상승모멘텀] 주도주 탑승 (기간 7.3%, ADX 20.5, 기관+51,000/외인-50,000)",,
2026-08-28 10:09:57,삼아알미늄(006110),SELL,66900,5,334500,[상승모멘텀] 트레일링 스탑 익절 (라이딩 종료),+2.09,6848
2026-08-28 10:11:55,한화손해보험(000370),BUY,8070,47,379290,"[상승모멘텀] 주도주 탑승 (기간 5.2%, ADX 45.2, 기관+2,000/외인+18,000)",,
2026-08-31 09:09:24,자화전자(033240),SELL,27900,12,334800,[상승모멘텀] ATR 3배 손절 (-9.1%),-9.30,-34253
2026-08-31 09:32:04,대원전선(006340),BUY,14070,27,379890,"[상승모멘텀] 주도주 탑승 (기간 5.7%, ADX 40.8, 기관+0/외인+30,000)",,
2026-09-01 12:13:08,두산퓨얼셀(336260),SELL,41350,8,330800,[상승모멘텀] ATR 3배 손절 (-9.0%),-9.20,-33445
2026-09-01 13:05:36,SNT에너지(100840),BUY,32250,11,354750,"[상승모멘텀] 주도주 탑승 (기간 8.9%, ADX 39.1, 기관+2,000/외인+14,000)",,
2026-09-02 14:06:41,대원전선(006340),SELL,12800,27,345600,[상승모멘텀] ATR 3배 손절 (-9.0%),-9.20,-34964
2026-09-02 14:06:41,디아이(003160),BUY,30350,12,364200,"[상승모멘텀] 주도주 탑승 (기간 7.5%, ADX 52.1, 기관+153,000/외인+85,000)",,
2026-09-02 15:05:53,한화손해보험(000370),SELL,8560,47,402320,[상승모멘텀] 트레일링 스탑 익절 (라이딩 종료),+5.87,22245
2026-09-02 15:05:53,드림텍(192650),BUY,6200,59,365800,"[상승모멘텀] 주도주 탑승 (기간 12.0%, ADX 45.3, 기관+111,000/외인-7,000)",,
2026-09-03 09:57:37,SNT에너지(100840),SELL,33700,11,370700,[상승모멘텀] 트레일링 스탑 익절 (라이딩 종료),+4.29,15227
2026-09-03 09:57:37,한솔테크닉스(004710),BUY,8630,43,371090,"[상승모멘텀] 주도주 탑승 (기간 9.7%, ADX 50.4, 기관+142,000/외인+104,000)",,
2026-09-03 14:15:39,드림텍(192650),SELL,6160,59,363440,[상승모멘텀] 트레일링 스탑 익절 (라이딩 종료),-0.84,-3069
2026-09-03 14:15:39,한화생명(088350),BUY,6110,60,366600,"[상승모멘텀] 주도주 탑승 (기간 5.3%, ADX 30.5, 기관+365,000/외인+696,000)",,
