timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-14 09:32:48,모나미(005360),BUY,1962,152,298224,"[단타] 탑승 (기간 11.3%, ADX 38.3, 기관+0/외인+31,000)",,
2026-08-14 09:38:53,모나미(005360),SELL,1900,152,288800,[단타] 손절 (-3.2%),-3.35,-9987
2026-08-14 10:18:47,현대해상(001450),BUY,45050,6,270300,"[단타] 탑승 (기간 9.3%, ADX 43.2, 기관+4,000/외인+14,000)",,
2026-08-18 09:04:44,현대해상(001450),SELL,47600,6,285600,[단타] 2일 경과 모멘텀 소멸 강제청산,+5.45,14743
2026-08-18 09:20:49,코리아써키트(007810),BUY,68500,5,342500,"[단타] 탑승 (기간 6.8%, ADX 36.4, 기관+0/외인+31,000)",,
2026-08-18 09:26:47,코리아써키트(007810),SELL,72000,2,144000,[단타] 1차 분할 익절 +5% (5.1%),+4.90,6719
2026-08-18 09:56:51,유니퀘스트(077500),BUY,7930,48,380640,"[단타] 탑승 (기간 13.5%, ADX 37.7, 기관+0/외인+51,000)",,
2026-08-18 10:04:46,코리아써키트(007810),SELL,68500,3,205500,[단타] 매입가 복귀 손절 (0.0%),-0.20,-401
2026-08-18 10:54:49,유니퀘스트(077500),SELL,7690,48,369120,[단타] 손절 (-3.0%),-3.22,-12240
2026-08-19 10:28:41,자화전자(033240),BUY,31450,12,377400,"[단타] 탑승 (기간 7.9%, ADX 41.7, 기관+0/외인+8,000)",,
2026-08-19 10:46:46,STX그린로지스(465770),BUY,4085,92,375820,"[단타] 탑승 (기간 21.3%, ADX 55.4, 기관+0/외인+6,000)",,
2026-08-19 10:54:41,자화전자(033240),SELL,30450,12,365400,[단타] 손절 (-3.2%),-3.37,-12713
2026-08-19 12:36:42,STX그린로지스(465770),SELL,3955,92,363860,[단타] 손절 (-3.2%),-3.37,-12670
2026-08-19 13:54:48,빙그레(005180),BUY,80100,4,320400,"[단타] 탑승 (기간 8.0%, ADX 26.3, 기관+6,000/외인-2,000)",,
2026-08-20 12:56:48,빙그레(005180),SELL,84700,2,169400,[단타] 1차 분할 익절 +5% (5.7%),+5.54,8870
2026-08-24 09:22:50,미래에셋생명(085620),BUY,26400,14,369600,"[단타] 탑승 (기간 17.3%, ADX 45.6, 기관+0/외인+15,000)",,
2026-08-24 14:56:42,빙그레(005180),SELL,88200,2,176400,[단타] 2차 전량 익절 +10% (10.1%),+9.90,15856
2026-08-25 09:22:57,한국화장품제조(003350),BUY,12240,31,379440,"[단타] 탑승 (기간 6.1%, ADX 38.3, 기관+0/외인+4,000)",,
2026-08-25 09:48:46,미래에셋생명(085620),SELL,27750,7,194250,[단타] 1차 분할 익절 +5% (5.1%),+4.91,9071
2026-08-25 10:42:47,한국화장품제조(003350),SELL,12890,15,193350,[단타] 1차 분할 익절 +5% (5.3%),+5.11,9373
2026-08-25 11:02:45,한국화장품제조(003350),SELL,13520,16,216320,[단타] 2차 전량 익절 +10% (10.5%),+10.24,20058
2026-08-25 11:40:55,미래에셋생명(085620),SELL,29050,7,203350,[단타] 2차 전량 익절 +10% (10.0%),+9.82,18153
2026-08-25 14:18:48,두산퓨얼셀(336260),BUY,41900,9,377100,"[단타] 탑승 (기간 8.1%, ADX 28.8, 기관+46,000/외인-61,000)",,
2026-08-26 09:05:02,두산퓨얼셀(336260),SELL,45900,4,183600,[단타] 1차 분할 익절 +5% (9.5%),+9.33,15642
2026-08-26 09:23:32,삼성물산(028260),BUY,382000,1,382000,"[단타] 탑승 (기간 5.8%, ADX 24.4, 기관+0/외인+1,000)",,
2026-08-26 10:02:44,두산에너빌리티(034020),BUY,84300,4,337200,"[단타] 탑승 (기간 5.9%, ADX 41.3, 기관+98,000/외인-458,000)",,
2026-08-26 10:59:32,두산퓨얼셀(336260),SELL,46100,5,230500,[단타] 2차 전량 익절 +10% (10.0%),+9.81,20551
2026-08-27 09:25:31,대우건설(047040),BUY,20450,19,388550,"[단타] 탑승 (기간 14.3%, ADX 55.7, 기관+0/외인+321,000)",,
2026-08-27 09:31:38,대우건설(047040),SELL,21550,9,193950,[단타] 1차 분할 익절 +5% (5.4%),+5.17,9522
2026-08-27 09:56:47,드림텍(192650),BUY,6330,63,398790,"[단타] 탑승 (기간 7.5%, ADX 42.2, 기관+64,000/외인-2,000)",,
2026-08-27 09:56:47,현대제철(004020),BUY,32850,12,394200,"[단타] 탑승 (기간 5.9%, ADX 36.3, 기관+29,000/외인+46,000)",,
2026-08-27 10:04:07,드림텍(192650),SELL,6120,63,385560,[단타] 손절 (-3.3%),-3.51,-13982
2026-08-27 10:24:07,대우건설(047040),SELL,20100,10,201000,[단타] 매입가 복귀 손절 (-1.7%),-1.90,-3892
2026-08-27 10:38:54,삼아알미늄(006110),BUY,66100,5,330500,"[단타] 탑승 (기간 7.3%, ADX 20.5, 기관+1,000/외인-9,000)",,
2026-08-27 10:55:36,삼아알미늄(006110),SELL,69600,2,139200,[단타] 1차 분할 익절 +5% (5.3%),+5.09,6729
2026-08-27 11:05:39,현대제철(004020),SELL,31800,12,381600,[단타] 손절 (-3.2%),-3.39,-13344
2026-08-27 14:55:42,삼아알미늄(006110),SELL,65100,3,195300,[단타] 매입가 복귀 손절 (-1.5%),-1.70,-3381
2026-08-28 09:01:36,삼성물산(028260),SELL,370500,1,370500,[단타] 2일 경과 모멘텀 소멸 강제청산,-3.20,-12222
2026-08-28 09:01:36,두산에너빌리티(034020),SELL,85000,4,340000,[단타] 2일 경과 모멘텀 소멸 강제청산,+0.63,2137
2026-08-28 09:27:19,GS(078930),BUY,130000,3,390000,"[단타] 탑승 (기간 6.0%, ADX 36.5, 기관+0/외인+6,000)",,
2026-08-28 10:11:55,한화손해보험(000370),BUY,8070,48,387360,"[단타] 탑승 (기간 5.2%, ADX 45.2, 기관+2,000/외인+18,000)",,
2026-08-28 10:32:36,GS(078930),SELL,126100,3,378300,[단타] 손절 (-3.0%),-3.19,-12438
2026-08-28 10:53:32,DI동일(001530),BUY,29100,13,378300,"[단타] 탑승 (기간 5.8%, ADX 35.9, 기관+5,000/외인+2,000)",,
2026-08-28 11:01:42,한국콜마(161890),BUY,156600,2,313200,"[단타] 탑승 (기간 6.7%, ADX 52.0, 기관+11,000/외인-6,000)",,
2026-08-28 12:51:39,한화손해보험(000370),SELL,8480,24,203520,[단타] 1차 분할 익절 +5% (5.1%),+4.88,9443
2026-08-28 13:10:15,코오롱인더(120110),BUY,56350,6,338100,"[단타] 탑승 (기간 6.7%, ADX 39.2, 기관+12,000/외인-19,000)",,
2026-08-28 14:21:44,롯데웰푸드(280360),BUY,146000,2,292000,"[단타] 탑승 (기간 6.0%, ADX 49.7, 기관+1,000/외인-6,000)",,
2026-08-28 14:45:35,DI동일(001530),SELL,28200,13,366600,[단타] 손절 (-3.1%),-3.28,-12415
2026-08-31 09:01:30,한국콜마(161890),SELL,164800,2,329600,[단타] 2일 경과 모멘텀 소멸 강제청산,+5.03,15757
2026-08-31 09:01:30,코오롱인더(120110),SELL,56200,6,337200,[단타] 2일 경과 모멘텀 소멸 강제청산,-0.46,-1558
2026-08-31 09:01:30,롯데웰푸드(280360),SELL,148200,2,296400,[단타] 2일 경과 모멘텀 소멸 강제청산,+1.31,3822
2026-08-31 09:32:04,대원전선(006340),BUY,14070,28,393960,"[단타] 탑승 (기간 5.7%, ADX 40.8, 기관+0/외인+30,000)",,
2026-08-31 09:59:37,대원전선(006340),SELL,13630,28,381640,[단타] 손절 (-3.1%),-3.32,-13064
2026-08-31 11:08:17,롯데쇼핑(023530),BUY,105100,3,315300,"[단타] 탑승 (기간 6.1%, ADX 49.6, 기관-1,000/외인+1,000)",,
2026-09-01 09:23:30,S-Oil(010950),BUY,157600,2,315200,"[단타] 탑승 (기간 7.3%, ADX 54.3, 기관+0/외인+55,000)",,
2026-09-01 09:27:36,한화손해보험(000370),SELL,8880,24,213120,[단타] 2차 전량 익절 +10% (10.0%),+9.82,19024
2026-09-01 09:42:13,S-Oil(010950),SELL,152700,2,305400,[단타] 손절 (-3.1%),-3.30,-10396
2026-09-01 13:05:37,SNT에너지(100840),BUY,32250,12,387000,"[단타] 탑승 (기간 8.9%, ADX 39.1, 기관+2,000/외인+14,000)",,
2026-09-01 13:26:58,롯데쇼핑(023530),SELL,110900,1,110900,[단타] 1차 분할 익절 +5% (5.5%),+5.31,5584
2026-09-02 09:01:57,SNT에너지(100840),SELL,30700,12,368400,[단타] 손절 (-4.8%),-4.99,-19318
2026-09-02 09:29:41,디아이(003160),BUY,29450,13,382850,"[단타] 탑승 (기간 7.5%, ADX 52.1, 기관+0/외인+8,000)",,
2026-09-02 09:53:35,JB금융지주(175330),BUY,30300,12,363600,"[단타] 탑승 (기간 5.2%, ADX 50.9, 기관+0/외인+38,000)",,
2026-09-02 10:19:58,디아이(003160),SELL,31150,6,186900,[단타] 1차 분할 익절 +5% (5.8%),+5.57,9836
2026-09-02 10:51:43,금호건설(002990),BUY,17695,22,389290,"[단타] 탑승 (기간 5.2%, ADX 26.9, 기관+0/외인+73,000)",,
2026-09-02 11:07:36,드림텍(192650),BUY,6290,63,396270,"[단타] 탑승 (기간 12.0%, ADX 45.3, 기관+23,000/외인+6,000)",,
2026-09-02 11:09:37,금호건설(002990),SELL,18790,11,206690,[단타] 1차 분할 익절 +5% (6.2%),+5.98,11642
2026-09-02 12:41:43,금호건설(002990),SELL,17410,11,191510,[단타] 매입가 복귀 손절 (-1.6%),-1.80,-3508
2026-09-03 09:06:49,롯데쇼핑(023530),SELL,103200,2,206400,[단타] 매입가 복귀 손절 (-1.8%),-2.00,-4202
2026-09-03 09:17:26,JB금융지주(175330),SELL,31900,6,191400,[단타] 1차 분할 익절 +5% (5.3%),+5.08,9227
2026-09-03 09:25:30,한솔테크닉스(004710),BUY,8750,45,393750,"[단타] 탑승 (기간 9.7%, ADX 50.4, 기관+0/외인+117,000)",,
