timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-18 14:45:13,신원(009270),BUY,1169,325,379925,"[갭소진] 저가권 되밀림 매수 (갭 +16.4%, 장중 -6.1%, 일중위치 0.01)",,
2026-08-19 14:34:46,신원(009270),SELL,1160,325,377000,"[갭소진] 타임스탑 청산 (1일, -0.8%)",-0.96,-3660
2026-08-20 14:33:20,파미셀(005690),BUY,12130,31,376030,"[갭소진] 저가권 되밀림 매수 (갭 +29.8%, 장중 -17.9%, 일중위치 0.10)",,
2026-08-24 09:01:38,파미셀(005690),SELL,11140,31,345340,[갭소진] 손절 (-8.2%),-8.34,-31363
2026-08-31 14:31:46,SHD(001770),BUY,13790,27,372330,"[갭소진] 저가권 되밀림 매수 (갭 +30.0%, 장중 -14.1%, 일중위치 0.10)",,
2026-09-01 10:59:46,SHD(001770),SELL,13210,27,356670,[갭소진] 손절 (-4.2%),-4.39,-16356
2026-09-02 14:31:44,일동제약(249420),BUY,16260,22,357720,"[갭소진] 저가권 되밀림 매수 (갭 +19.3%, 장중 -6.0%, 일중위치 0.09)",,
2026-09-03 09:01:43,일동제약(249420),SELL,15750,22,346500,[갭소진] 손절 (-3.1%),-3.33,-11896
2026-09-03 14:31:40,TCC스틸(002710),BUY,11800,31,365800,"[갭소진] 저가권 되밀림 매수 (갭 +20.6%, 장중 -9.9%, 일중위치 0.07)",,
2026-09-04 09:01:38,TCC스틸(002710),SELL,11150,31,345650,[갭소진] 손절 (-5.5%),-5.69,-20824
2026-09-04 14:31:50,에이프로젠바이오로직스(003060),BUY,1920,189,362880,"[갭소진] 저가권 되밀림 매수 (갭 +30.0%, 장중 -14.5%, 일중위치 0.02)",,
