timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-18 09:03:46,한국전력(015760),BUY,32900,11,361900,"[레인지] 저점 매수 (채널폭 9.7%, 저점 33000)",,
2026-08-18 09:03:46,KT&G(033780),BUY,173900,2,347800,"[레인지] 저점 매수 (채널폭 8.6%, 저점 173800)",,
2026-08-18 09:13:36,메리츠금융지주(138040),BUY,115700,3,347100,"[레인지] 저점 매수 (채널폭 11.8%, 저점 113000)",,
2026-08-18 14:54:03,한국전력(015760),SELL,33250,11,365750,[Sim10-BEAR] 국면전환 잔여 청산,+0.87,3137
2026-08-18 14:54:03,KT&G(033780),SELL,176000,2,352000,[Sim10-BEAR] 국면전환 잔여 청산,+1.01,3514
2026-08-18 14:54:03,메리츠금융지주(138040),SELL,116700,3,350100,[Sim10-BEAR] 국면전환 잔여 청산,+0.67,2317
2026-08-19 10:34:39,메리츠금융지주(138040),BUY,115200,3,345600,"[레인지] 저점 매수 (채널폭 11.8%, 저점 113000)",,
2026-08-19 10:34:39,KT&G(033780),BUY,175600,2,351200,"[레인지] 저점 매수 (채널폭 8.6%, 저점 173800)",,
2026-08-19 10:34:39,대한항공(003490),BUY,25000,15,375000,"[레인지] 저점 매수 (채널폭 11.6%, 저점 24650)",,
2026-08-19 11:04:16,메리츠금융지주(138040),SELL,117200,3,351600,[Sim10-BEAR] 국면전환 잔여 청산,+1.54,5314
2026-08-19 11:04:16,KT&G(033780),SELL,176600,2,353200,[Sim10-BEAR] 국면전환 잔여 청산,+0.37,1311
2026-08-19 11:04:16,대한항공(003490),SELL,25250,15,378750,[Sim10-BEAR] 국면전환 잔여 청산,+0.80,3011
2026-08-20 09:33:29,메리츠금융지주(138040),BUY,116400,3,349200,"[레인지] 저점 매수 (채널폭 10.4%, 저점 114400)",,
2026-08-20 09:33:29,KT&G(033780),BUY,172600,2,345200,"[레인지] 저점 매수 (채널폭 8.6%, 저점 173800)",,
2026-08-20 09:33:29,크래프톤(259960),BUY,226500,1,226500,"[레인지] 저점 매수 (채널폭 16.9%, 저점 221500)",,
2026-08-20 09:33:29,NH투자증권(005940),BUY,26650,14,373100,"[레인지] 저점 매수 (채널폭 15.6%, 저점 25950)",,
2026-08-20 09:33:29,대한항공(003490),BUY,25050,15,375750,"[레인지] 저점 매수 (채널폭 11.6%, 저점 24650)",,
2026-08-21 09:13:19,크래프톤(259960),SELL,218000,1,218000,[레인지] 하드 손절 (-3.8%),-3.94,-8925
2026-08-21 09:13:19,KB금융(105560),BUY,160300,2,320600,"[레인지] 저점 매수 (채널폭 10.2%, 저점 160000)",,
2026-08-24 09:03:17,NH투자증권(005940),SELL,25850,14,361900,[레인지] 하드 손절 (-3.0%),-3.19,-11906
2026-08-24 09:03:17,삼성중공업(010140),BUY,19910,19,378290,"[레인지] 저점 매수 (채널폭 18.0%, 저점 19400)",,
2026-08-27 09:03:17,메리츠금융지주(138040),SELL,118800,3,356400,"[레인지] 타임 스탑 (7일 경과, +2.1%)",+1.86,6505
2026-08-27 09:03:17,KT&G(033780),SELL,174800,2,349600,"[레인지] 타임 스탑 (7일 경과, +1.3%)",+1.08,3718
2026-08-27 09:03:17,대한항공(003490),SELL,28450,15,426750,"[레인지] 타임 스탑 (7일 경과, +13.6%)",+13.35,50168
2026-08-27 09:13:09,크래프톤(259960),BUY,226500,1,226500,"[레인지] 저점 매수 (채널폭 16.9%, 저점 221500)",,
