timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-18 10:02:34,삼성전자(005930),BUY,282500,1,282500,"[심리] 관심 폭발 + 가격 정체 (작성자 492명, 배수 796.0x, ADX 100.0)",,
2026-08-19 09:02:06,삼성전자(005930),SELL,250000,1,250000,"[심리] 동적 손절가 이탈 (ATR 기반, -11.5%)",-11.68,-32988
2026-08-24 11:57:44,NAVER(035420),BUY,223500,1,223500,"[심리] 관심 폭발 + 가격 정체 (작성자 270명, 배수 535.0x, ADX 17.6)",,
2026-08-26 09:23:10,삼성전자(005930),BUY,261500,1,261500,"[심리] 관심 폭발 + 가격 정체 (작성자 479명, 배수 798.0x, ADX 16.2)",,
2026-08-27 10:04:30,두산에너빌리티(034020),BUY,85300,4,341200,"[심리] 관심 폭발 + 가격 정체 (작성자 201명, 배수 275.0x, ADX 63.1)",,
2026-08-28 10:43:50,NAVER(035420),SELL,220000,1,220000,"[심리] 동적 손절가 이탈 (ATR 기반, -1.6%)",-1.76,-3929
2026-08-31 09:03:10,삼성전자(005930),SELL,248000,1,248000,"[심리] 동적 손절가 이탈 (ATR 기반, -5.2%)",-5.35,-13984
2026-09-01 09:03:55,두산에너빌리티(034020),SELL,82500,4,330000,"[심리] 동적 손절가 이탈 (ATR 기반, -3.3%)",-3.47,-11844
2026-09-03 10:26:40,삼성전자(005930),BUY,253750,1,253750,"[심리] 관심 폭발 + 가격 정체 (작성자 429명, 배수 727.0x, ADX 66.0)",,
2026-09-07 09:13:00,삼성전자(005930),SELL,267250,1,267250,"[심리] 동적 목표가 달성 (ATR 기반, +5.3%)",+5.11,12979
