timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-24 09:05:30,신풍제약(019170),BUY,9980,57,568860,"[Sim12] 급락반등 (5일 -7.2%, 기관20일 +0.4%)",,
2026-08-24 09:38:24,삼아알미늄(006110),BUY,55800,10,558000,"[Sim12] 급락반등 (5일 -11.3%, 기관20일 +1.0%)",,
2026-08-24 13:36:32,한올바이오파마(009420),BUY,60000,9,540000,"[Sim12] 급락반등 (5일 -6.5%, 기관20일 +3.7%)",,
2026-08-24 14:07:35,코스모화학(005420),BUY,10620,54,573480,"[Sim12] 급락반등 (5일 -6.1%, 기관20일 +1.2%)",,
2026-08-24 14:44:45,DN오토모티브(007340),BUY,48000,12,576000,"[Sim12] 급락반등 (5일 -10.6%, 기관20일 +2.6%)",,
2026-08-25 09:01:47,신풍제약(019170),SELL,9890,57,563730,[Sim12] 트레일링 스탑 (고점대비 -6.3%),-1.10,-6229
2026-08-25 09:03:34,삼아알미늄(006110),SELL,56000,10,560000,[Sim12] 트레일링 스탑 (고점대비 -4.6%),+0.16,908
2026-08-25 09:17:46,한화갤러리아(452260),BUY,2160,258,557280,"[Sim12] 급락반등 (5일 -8.5%, 기관20일 +0.1%)",,
2026-08-25 09:31:41,한화갤러리아(452260),SELL,1959,258,505422,[Sim12] 하드 손절 (-9.3%),-9.48,-52844
2026-08-25 09:35:32,한전산업(130660),BUY,11200,49,548800,"[Sim12] 급락반등 (5일 -9.4%, 기관20일 +0.2%)",,
2026-08-25 09:41:47,현대건설(000720),BUY,117100,4,468400,"[Sim12] 급락반등 (5일 -8.8%, 기관20일 +1.0%)",,
2026-08-25 14:11:49,한전산업(130660),SELL,11990,49,587510,[Sim12] 트레일링 스탑 (고점대비 -3.5%),+6.84,37564
2026-08-25 14:11:49,대우건설(047040),BUY,17550,32,561600,"[Sim12] 급락반등 (5일 -12.5%, 기관20일 +2.2%)",,
2026-08-26 11:28:35,대우건설(047040),SELL,19160,32,613120,[Sim12] 트레일링 스탑 (고점대비 -3.0%),+8.96,50324
2026-08-26 11:28:35,다스코(058730),BUY,3480,169,588120,"[Sim12] 급락반등 (5일 -10.1%, 기관20일 +0.0%)",,
2026-08-27 09:56:50,현대건설(000720),SELL,130600,4,522400,[Sim12] 트레일링 스탑 (고점대비 -3.8%),+11.31,52981
2026-08-27 09:56:50,다스코(058730),SELL,3540,169,598260,[Sim12] 트레일링 스탑 (고점대비 -3.9%),+1.53,8973
2026-08-28 09:18:56,코스모화학(005420),SELL,11070,54,597780,[Sim12] 트레일링 스탑 (고점대비 -3.5%),+4.03,23134
2026-08-28 09:27:22,한올바이오파마(009420),SELL,63800,9,574200,[Sim12] 트레일링 스탑 (고점대비 -3.0%),+6.13,33080
2026-08-28 15:07:39,대림통상(006570),BUY,2050,290,594500,"[Sim12] 급락반등 (5일 -8.2%, 기관20일 +1.8%)",,
2026-08-31 09:01:33,DN오토모티브(007340),SELL,45950,12,551400,[Sim12] 급락반등 타임스탑(5일),-4.46,-25675
2026-08-31 10:39:21,STX그린로지스(465770),BUY,3315,177,586755,"[Sim12] 급락반등 (5일 -17.9%, 기관20일 +0.0%)",,
2026-08-31 11:39:39,SK이노베이션우(096775),BUY,65500,8,524000,"[Sim12] 급락반등 (5일 -6.5%, 기관20일 +2.6%)",,
2026-08-31 13:50:18,대림통상(006570),SELL,1880,290,545200,[Sim12] 하드 손절 (-8.3%),-8.47,-50363
2026-09-01 10:59:47,SGC에너지(005090),BUY,51500,11,566500,"[Sim12] 급락반등 (5일 -9.0%, 기관20일 +11.4%)",,
2026-09-01 12:21:51,STX그린로지스(465770),SELL,3075,177,544275,[Sim12] 하드 손절 (-7.2%),-7.42,-43541
2026-09-01 13:05:40,인디에프(014990),BUY,3640,158,575120,"[Sim12] 급락반등 (5일 -7.6%, 기관20일 +0.0%)",,
2026-09-01 13:09:45,인디에프(014990),SELL,3705,158,585390,[Sim12] 트레일링 스탑 (고점대비 -3.4%),+1.59,9128
2026-09-01 13:11:46,SK이노베이션우(096775),SELL,66700,8,533600,[Sim12] 트레일링 스탑 (고점대비 -3.1%),+1.63,8559
2026-09-02 09:17:30,흥아해운(003280),BUY,1766,326,575716,"[Sim12] 급락반등 (5일 -6.1%, 기관20일 +0.0%)",,
2026-09-03 09:01:46,SGC에너지(005090),SELL,54100,11,595100,[Sim12] 트레일링 스탑 (고점대비 -3.4%),+4.84,27440
2026-09-03 14:11:59,HD건설기계(267270),BUY,136000,4,544000,"[Sim12] 급락반등 (5일 -10.8%, 기관20일 +5.0%)",,
2026-09-04 09:01:40,깨끗한나라우(004545),BUY,4000,144,576000,"[Sim12] 급락반등 (5일 -6.7%, 기관20일 +0.1%)",,
2026-09-07 09:01:39,흥아해운(003280),SELL,1751,326,570826,[Sim12] 급락반등 타임스탑(5일),-1.04,-6003
