timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-14 14:05:24,SK이터닉스(475150),BUY,58000,3,174000,[리포트팔로워] 강력매수 bull_score=45.4 weight=10%,,
2026-08-14 14:05:24,코오롱티슈진(950160),BUY,30750,6,184500,[리포트팔로워] 강력매수 bull_score=45.4 weight=10%,,
2026-08-19 09:02:59,코오롱티슈진(950160),SELL,27600,6,165600,[리포트팔로워] 하드 스탑 -8%,-10.42,-19223
2026-08-20 11:03:58,인제니아테라퓨틱스(Reg.S)(950260),BUY,15320,14,214480,[리포트팔로워] 강력매수 bull_score=51.8 weight=11%,,
2026-08-20 11:23:29,SK이터닉스(475150),SELL,58700,3,176100,[리포트팔로워] 트레일링 스탑 -5%,+1.01,1757
2026-08-20 14:04:43,금호타이어(073240),BUY,7480,26,194480,[리포트팔로워] 강력매수 bull_score=45.7 weight=10%,,
2026-08-21 10:24:18,인제니아테라퓨틱스(Reg.S)(950260),SELL,18120,14,253680,[리포트팔로워] 트레일링 스탑 -5%,+18.05,38705
2026-08-26 14:04:59,신라젠(215600),BUY,2780,78,216840,[리포트팔로워] 강력매수 bull_score=50.0 weight=11%,,
2026-08-28 12:36:33,금호타이어(073240),SELL,7380,26,191880,[리포트팔로워] 타임 스탑 7일 부동,-1.53,-2974
2026-08-28 14:06:15,인제니아테라퓨틱스(Reg.S)(950260),BUY,18030,11,198330,[리포트팔로워] 강력매수 bull_score=47.7 weight=10%,,
