timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-19 09:02:15,셀트리온(068270),BUY,209500,1,209500,"[가치페어] 업종 저평가 진입(TTM) (PER 40.1x / 섹터 42.0x, PBR 2.73x / 섹터 3.50x, ADX 100.0, 섹터: 제약)",,
2026-08-19 09:23:11,셀트리온(068270),SELL,193000,1,193000,[가치페어] 손절 (-7.9%),-8.06,-16876
2026-08-21 11:06:38,미래산업(025560),BUY,7520,50,376000,"[가치페어] 업종 저평가 진입(TTM) (PER 6.8x / 섹터 38.0x, PBR 1.31x / 섹터 4.00x, ADX 100.0, 섹터: 의료·정밀기기)",,
2026-08-21 13:18:40,미래산업(025560),SELL,9170,50,458500,[가치페어] 목표 익절 (21.9%),+21.70,81606
2026-08-24 09:01:35,셀트리온(068270),BUY,193000,2,386000,"[가치페어] 업종 저평가 진입(TTM) (PER 37.0x / 섹터 42.0x, PBR 2.51x / 섹터 3.50x, ADX 100.0, 섹터: 제약)",,
2026-08-24 14:33:41,미래산업(025560),BUY,7170,54,387180,"[가치페어] 업종 저평가 진입(TTM) (PER 6.5x / 섹터 38.0x, PBR 1.25x / 섹터 4.00x, ADX 100.0, 섹터: 의료·정밀기기)",,
2026-08-25 09:01:41,미래산업(025560),SELL,9170,54,495180,[가치페어] 목표 익절 (27.9%),+27.64,107034
2026-08-26 11:07:06,크래프톤(259960),BUY,224500,1,224500,"[가치페어] 업종 저평가 진입(TTM) (PER 12.7x / 섹터 28.0x, PBR 1.35x / 섹터 3.00x, ADX 33.3, 섹터: IT 서비스)",,
2026-08-26 15:05:08,HD현대마린엔진(071970),BUY,52900,7,370300,"[가치페어] 업종 저평가 진입(TTM) (PER 9.2x / 섹터 14.0x, PBR 3.44x / 섹터 1.10x, ADX 29.4, 섹터: 기계·장비)",,
2026-08-27 10:06:56,DB하이텍(000990),BUY,93300,4,373200,"[가치페어] 업종 저평가 진입(TTM) (PER 11.8x / 섹터 18.0x, PBR 1.66x / 섹터 1.80x, ADX 32.5, 섹터: 전기·전자)",,
2026-08-28 15:10:56,F&F(383220),BUY,67000,6,402000,"[가치페어] 업종 저평가 진입(TTM) (PER 4.9x / 섹터 15.0x, PBR 1.22x / 섹터 1.20x, ADX 24.3, 섹터: 섬유·의류)",,
2026-08-31 09:00:52,셀트리온(068270),SELL,187500,2,375000,[가치페어] 타임스탑 (7일 보유),-3.04,-11731
2026-08-31 09:06:54,HD현대마린엔진(071970),SELL,50200,7,351400,[가치페어] 손절 (-5.1%),-5.29,-19585
2026-08-31 10:20:04,써니전자(004770),BUY,2120,189,400680,"[가치페어] 업종 저평가 진입(TTM) (PER 17.7x / 섹터 18.0x, PBR 0.92x / 섹터 1.80x, ADX 78.2, 섹터: 전기·전자)",,
2026-08-31 10:42:18,써니전자(004770),SELL,2325,189,439425,[가치페어] 목표 익절 (9.7%),+9.46,37888
2026-08-31 15:30:56,강원랜드(035250),BUY,14650,28,410200,"[가치페어] 업종 저평가 진입(TTM) (PER 9.5x / 섹터 25.0x, PBR 0.74x / 섹터 2.50x, ADX 53.6, 섹터: 오락·문화)",,
2026-09-02 09:01:20,크래프톤(259960),SELL,226000,1,226000,[가치페어] 타임스탑 (7일 보유),+0.47,1059
2026-09-02 09:14:51,셀트리온(068270),BUY,188000,2,376000,"[가치페어] 업종 저평가 진입(TTM) (PER 28.7x / 섹터 42.0x, PBR 2.40x / 섹터 3.50x, ADX 100.0, 섹터: 제약)",,
2026-09-02 09:29:01,써니전자(004770),BUY,1974,208,410592,"[가치페어] 업종 저평가 진입(TTM) (PER 16.4x / 섹터 18.0x, PBR 0.86x / 섹터 1.80x, ADX 98.1, 섹터: 전기·전자)",,
2026-09-02 10:08:09,써니전자(004770),SELL,1861,208,387088,[가치페어] 손절 (-5.7%),-5.91,-24259
2026-09-03 09:01:00,DB하이텍(000990),SELL,91000,4,364000,[가치페어] 타임스탑 (7일 보유),-2.66,-9910
2026-09-03 14:23:00,HD현대마린엔진(071970),BUY,49050,8,392400,"[가치페어] 업종 저평가 진입(TTM) (PER 8.6x / 섹터 14.0x, PBR 3.19x / 섹터 1.10x, ADX 92.1, 섹터: 기계·장비)",,
2026-09-04 09:00:55,F&F(383220),SELL,66200,6,397200,[가치페어] 타임스탑 (7일 보유),-1.39,-5575
2026-09-04 10:21:38,크래프톤(259960),BUY,216000,1,216000,"[가치페어] 업종 저평가 진입(TTM) (PER 12.2x / 섹터 28.0x, PBR 1.30x / 섹터 3.00x, ADX 20.9, 섹터: IT 서비스)",,
2026-09-04 10:43:10,DB하이텍(000990),BUY,88500,4,354000,"[가치페어] 업종 저평가 진입(TTM) (PER 11.2x / 섹터 18.0x, PBR 1.57x / 섹터 1.80x, ADX 72.5, 섹터: 전기·전자)",,
