timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-18 09:03:06,한국전력(015760),BUY,32950,11,362450,"[레인지] 저점 매수 (채널폭 9.7%, 저점 33000)",,
2026-08-18 09:03:06,KT&G(033780),BUY,174200,2,348400,"[레인지] 저점 매수 (채널폭 8.6%, 저점 173800)",,
2026-08-18 09:13:06,메리츠금융지주(138040),BUY,116000,3,348000,"[레인지] 저점 매수 (채널폭 11.8%, 저점 113000)",,
2026-08-19 09:02:57,한국전력(015760),SELL,31550,11,347050,[레인지] 하드 손절 (-4.2%),-4.44,-16077
2026-08-19 09:53:46,대한항공(003490),BUY,24750,15,371250,"[레인지] 저점 매수 (채널폭 11.6%, 저점 24650)",,
2026-08-19 10:04:01,크래프톤(259960),BUY,222000,1,222000,"[레인지] 저점 매수 (채널폭 14.3%, 저점 226500)",,
2026-08-19 11:23:57,LG유플러스(032640),BUY,14640,25,366000,"[레인지] 저점 매수 (채널폭 8.3%, 저점 14400)",,
2026-08-25 09:03:13,KT&G(033780),SELL,172300,2,344600,"[레인지] 타임 스탑 (7일 경과, -1.1%)",-1.28,-4472
2026-08-25 09:03:13,메리츠금융지주(138040),SELL,114800,3,344400,"[레인지] 타임 스탑 (7일 경과, -1.0%)",-1.23,-4272
2026-08-25 09:03:13,KB금융(105560),BUY,162850,2,325700,"[레인지] 저점 매수 (채널폭 9.9%, 저점 160000)",,
2026-08-25 09:03:13,한국전력(015760),BUY,31550,12,378600,"[레인지] 저점 매수 (채널폭 17.3%, 저점 30850)",,
2026-08-26 09:10:04,대한항공(003490),SELL,27100,15,406500,"[레인지] 타임 스탑 (7일 경과, +9.5%)",+9.28,34457
2026-08-26 09:10:04,크래프톤(259960),SELL,224500,1,224500,"[레인지] 타임 스탑 (7일 경과, +1.1%)",+0.93,2062
2026-08-26 09:10:04,LG유플러스(032640),SELL,14910,25,372750,"[레인지] 타임 스탑 (7일 경과, +1.8%)",+1.65,6023
2026-08-26 09:10:04,카카오(035720),BUY,35800,10,358000,"[레인지] 저점 매수 (채널폭 15.3%, 저점 35300)",,
2026-08-26 09:10:04,TIGER 미국나스닥100(133690),BUY,178480,2,356960,"[레인지] 저점 매수 (채널폭 8.5%, 저점 173865)",,
2026-08-26 09:10:04,KODEX 미국나스닥100(379810),BUY,26680,14,373520,"[레인지] 저점 매수 (채널폭 8.4%, 저점 25990)",,
2026-08-26 10:54:22,한국전력(015760),SELL,35300,12,423600,"[레인지] 트레일링 청산 (고점대비 -2%, +11.9%)",+11.67,44174
2026-08-26 10:54:22,KT&G(033780),BUY,175200,2,350400,"[레인지] 저점 매수 (채널폭 9.8%, 저점 171900)",,
2026-09-01 09:03:55,KB금융(105560),SELL,171400,2,342800,"[레인지] 타임 스탑 (7일 경과, +5.3%)",+5.04,16432
2026-09-01 09:03:55,HD한국조선해양(009540),BUY,354000,1,354000,"[레인지] 저점 매수 (채널폭 15.9%, 저점 348500)",,
2026-09-02 09:03:06,카카오(035720),SELL,35950,10,359500,"[레인지] 타임 스탑 (7일 경과, +0.4%)",+0.22,799
2026-09-02 09:03:06,TIGER 미국나스닥100(133690),SELL,176750,2,353500,"[레인지] 타임 스탑 (7일 경과, -1.0%)",-1.16,-4149
2026-09-02 09:03:06,KODEX 미국나스닥100(379810),SELL,26425,14,369950,"[레인지] 타임 스탑 (7일 경과, -1.0%)",-1.15,-4291
2026-09-02 09:03:06,KT&G(033780),SELL,173500,2,347000,"[레인지] 타임 스탑 (7일 경과, -1.0%)",-1.16,-4077
2026-09-02 09:03:06,HD한국조선해양(009540),SELL,342500,1,342500,[레인지] 하드 손절 (-3.2%),-3.44,-12168
2026-09-02 09:03:06,셀트리온(068270),BUY,185400,2,370800,"[레인지] 저점 매수 (채널폭 13.3%, 저점 185800)",,
2026-09-02 09:13:09,한국금융지주(071050),BUY,187700,2,375400,"[레인지] 저점 매수 (채널폭 14.4%, 저점 183100)",,
2026-09-02 09:23:20,NAVER(035420),BUY,211000,1,211000,"[레인지] 저점 매수 (채널폭 10.1%, 저점 208000)",,
2026-09-02 09:39:01,한국항공우주(047810),BUY,124700,3,374100,"[레인지] 저점 매수 (채널폭 21.2%, 저점 127200)",,
2026-09-02 09:39:01,NH투자증권(005940),BUY,26550,14,371700,"[레인지] 저점 매수 (채널폭 10.8%, 저점 25950)",,
2026-09-03 14:23:44,NAVER(035420),SELL,204000,1,204000,[레인지] 하드 손절 (-3.3%),-3.51,-7398
2026-09-03 14:23:44,현대차(005380),BUY,379000,1,379000,"[레인지] 저점 매수 (채널폭 19.8%, 저점 378000)",,
2026-09-09 09:04:01,셀트리온(068270),SELL,182100,2,364200,"[레인지] 타임 스탑 (7일 경과, -1.8%)",-1.97,-7310
