timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-14 09:52:52,삼성전자우(005935),BUY,191100,1,191100,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-14 09:52:52,한온시스템(018880),BUY,3800,78,296400,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-14 09:52:52,BNK금융지주(138930),BUY,15040,19,285760,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-14 09:52:52,삼성E&A(028050),BUY,49100,6,294600,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-14 09:52:52,대한항공(003490),BUY,26250,11,288750,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-14 09:52:52,한국화장품제조(003350),BUY,11610,25,290250,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-19 09:32:40,삼성E&A(028050),SELL,45500,6,273000,[MFHS2] 하드 손절 (-7%),-7.51,-22132
2026-08-24 09:01:35,한온시스템(018880),SELL,3420,78,266760,[MFHS2] 하드 손절 (-7%),-10.18,-30160
2026-08-24 09:01:35,한국화장품제조(003350),SELL,10660,25,266500,[MFHS2] 하드 손절 (-7%),-8.36,-24270
2026-08-24 09:53:34,맥쿼리인프라(088980),BUY,9680,37,358160,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-24 09:53:34,대한해운(005880),BUY,2095,173,362435,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-27 09:47:34,삼성전자우(005935),SELL,194900,1,194900,[MFHS2] 트레일링 스탑 익절,+1.79,3420
2026-08-27 09:56:44,삼성전자(005930),BUY,263500,1,263500,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-08-31 10:26:29,대한항공(003490),SELL,27900,11,306900,[MFHS2] 트레일링 스탑 익절,+6.08,17552
2026-08-31 10:26:29,HMM(011200),BUY,21300,17,362100,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-09-03 14:21:44,삼성전자(005930),SELL,245000,1,245000,[MFHS2] 하드 손절 (-7%),-7.20,-18978
2026-09-03 14:21:44,기업은행(024110),BUY,20900,17,355300,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
2026-09-04 09:37:48,BNK금융지주(138930),SELL,15490,19,294310,[MFHS2] 트레일링 스탑 익절,+2.79,7976
2026-09-04 09:54:38,대한항공(003490),BUY,29900,12,358800,[MFHS2] 다중 필터 수급 동승 (Score: 80/100),,
