timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-24 09:15:33,금호전기(001210),BUY,8920,50,446000,"[Sim13] 테마캐스케이드 진입 (기간 837.4%, ADX 63.5, 거래대금비 1.32, 외인20일 +0.3%, PER -32.27)",,
2026-08-24 14:43:02,서울식품(004410),BUY,1254,356,446424,"[Sim13] 테마캐스케이드 진입 (기간 18.6%, ADX 59.5, 거래대금비 1.30, 외인20일 +5.2%, PER -157.0)",,
2026-08-24 14:55:38,인디에프(014990),BUY,3735,119,444465,"[Sim13] 테마캐스케이드 진입 (기간 70.2%, ADX 52.4, 거래대금비 1.59, 외인20일 +4.3%, PER -533.57)",,
2026-08-24 15:13:40,인디에프(014990),SELL,3405,119,405195,[Sim13] 손절 (-8.8%),-9.01,-40060
2026-08-25 09:25:42,마니커(027740),BUY,1444,308,444752,"[Sim13] 테마캐스케이드 진입 (기간 36.3%, ADX 70.5, 거래대금비 1.43, 외인20일 +10.1%, PER -1449.0)",,
2026-08-25 09:45:43,금호전기(001210),SELL,8450,50,422500,[Sim13] 손절 (-5.3%),-5.45,-24324
2026-08-25 10:27:47,금호에이치티(214330),BUY,7700,57,438900,"[Sim13] 테마캐스케이드 진입 (기간 29.0%, ADX 53.4, 거래대금비 1.50, 외인20일 +1.2%, PER -3.67)",,
2026-08-25 10:41:48,한국화장품제조(003350),BUY,12730,35,445550,"[Sim13] 테마캐스케이드 진입 (기간 41.9%, ADX 41.9, 거래대금비 1.31, 외인20일 +2.6%, PER None)",,
2026-08-25 13:27:46,한화손해보험(000370),BUY,7530,60,451800,"[Sim13] 테마캐스케이드 진입 (기간 21.3%, ADX 40.2, 거래대금비 1.40, 외인20일 +4.7%, PER 3.91)",,
2026-08-26 09:05:06,이건산업(008250),BUY,4245,107,454215,"[Sim13] 테마캐스케이드 진입 (기간 24.8%, ADX 41.1, 거래대금비 25.79, 외인20일 +1.0%, PER -3.28)",,
2026-08-26 09:06:52,이건산업(008250),SELL,3930,107,420510,[Sim13] 손절 (-7.4%),-7.60,-34525
2026-08-26 09:06:52,키다리스튜디오(020120),BUY,6090,74,450660,"[Sim13] 테마캐스케이드 진입 (기간 61.8%, ADX 59.2, 거래대금비 1.37, 외인20일 +0.2%, PER 33.85)",,
2026-08-26 10:11:38,금호에이치티(214330),SELL,7310,57,416670,[Sim13] 손절 (-5.1%),-5.25,-23043
2026-08-26 12:13:05,키다리스튜디오(020120),SELL,5740,74,424760,[Sim13] 손절 (-5.7%),-5.93,-26728
2026-08-26 12:43:44,서울식품(004410),SELL,1189,356,423284,[Sim13] 손절 (-5.2%),-5.37,-23965
2026-08-27 09:56:52,제주은행(006220),BUY,10310,41,422710,"[Sim13] 테마캐스케이드 진입 (기간 15.8%, ADX 48.0, 거래대금비 2.02, 외인20일 +4.5%, PER 26.74)",,
2026-08-27 10:00:33,한화(000880),BUY,128300,3,384900,"[Sim13] 테마캐스케이드 진입 (기간 41.9%, ADX 100.0, 거래대금비 1.40, 외인20일 +4.2%, PER 32.37)",,
2026-08-27 11:55:43,삼성SDI우(006405),BUY,221500,1,221500,"[Sim13] 테마캐스케이드 진입 (기간 34.2%, ADX 52.8, 거래대금비 1.30, 외인20일 +4.5%, PER None)",,
2026-09-01 09:17:32,한화(000880),SELL,121400,3,364200,[Sim13] 손절 (-5.4%),-5.56,-21410
2026-09-01 09:19:35,써니전자(004770),BUY,2450,182,445900,"[Sim13] 테마캐스케이드 진입 (기간 46.3%, ADX 76.5, 거래대금비 2.24, 외인20일 +4.4%, PER 20.54)",,
2026-09-01 13:15:41,써니전자(004770),SELL,2315,182,421330,[Sim13] 손절 (-5.5%),-5.69,-25392
2026-09-01 13:15:41,인디에프(014990),BUY,3620,121,438020,"[Sim13] 테마캐스케이드 진입 (기간 65.9%, ADX 40.2, 거래대금비 1.51, 외인20일 +0.2%, PER -522.86)",,
2026-09-03 14:17:45,삼성SDI우(006405),SELL,210000,1,210000,[Sim13] 손절 (-5.2%),-5.38,-11910
2026-09-03 14:17:45,성문전자(014910),BUY,2390,183,437370,"[Sim13] 테마캐스케이드 진입 (기간 23.3%, ADX 44.4, 거래대금비 6.77, 외인20일 +4.4%, PER 27.3)",,
2026-09-03 15:19:41,성문전자(014910),SELL,2265,183,414495,[Sim13] 손절 (-5.2%),-5.41,-23683
2026-09-03 15:19:41,한화생명(088350),BUY,6130,71,435230,"[Sim13] 테마캐스케이드 진입 (기간 32.5%, ADX 40.5, 거래대금비 5.06, 외인20일 +2.4%, PER 8.3)",,
2026-09-04 09:01:43,마니커(027740),SELL,1501,308,462308,[Sim13] 보유기간 만료(10일),+3.74,16654
2026-09-04 09:01:43,한국화장품제조(003350),SELL,12650,35,442750,[Sim13] 보유기간 만료(10일),-0.82,-3663
2026-09-04 09:01:43,한화손해보험(000370),SELL,8720,60,523200,[Sim13] 보유기간 만료(10일),+15.58,70380
2026-09-04 09:39:45,한화생명(088350),SELL,5820,71,413220,[Sim13] 손절 (-5.1%),-5.24,-22816
2026-09-07 09:01:40,제주은행(006220),SELL,10050,41,412050,[Sim13] 보유기간 만료(10일),-2.71,-11463
