timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-27 01:19:47,Thermo Fisher Scientific Inc Common Stock(TMO),BUY,633.26,6,3799.56,"[US돈치안] 20일 채널 돌파 ($629.27 상회, 거래대금z +0.4)",,
2026-08-27 01:19:47,Verizon Communications Inc. Common Stock(VZ),BUY,50.38,75,3778.88,"[US돈치안] 20일 채널 돌파 ($50.25 상회, 거래대금z +0.9)",,
2026-08-27 01:19:47,"DoorDash, Inc. Class A Common Stock(DASH)",BUY,235.14,16,3762.24,"[US돈치안] 20일 채널 돌파 ($233.50 상회, 거래대금z +0.7)",,
2026-08-27 01:19:47,"BitMine Immersion Technologies, Inc. Common Stock(BMNR)",BUY,24.84,153,3799.91,"[US돈치안] 20일 채널 돌파 ($24.82 상회, 거래대금z +1.4)",,
2026-08-27 01:19:47,"Natera, Inc. Common Stock(NTRA)",BUY,337.82,11,3716.02,"[US돈치안] 20일 채널 돌파 ($336.71 상회, 거래대금z +0.4)",,
2026-08-31 22:31:41,Thermo Fisher Scientific Inc Common Stock(TMO),SELL,614.20,6,3685.17,[US돈치안] 2*ATR 손절 (-3.0%),-3.01,-114.39
2026-08-31 22:31:41,"Natera, Inc. Common Stock(NTRA)",SELL,321.92,11,3541.12,[US돈치안] 2*ATR 손절 (-4.7%),-4.71,-174.90
2026-08-31 22:31:41,Apple Inc. Common Stock(AAPL),BUY,319.43,11,3513.73,"[US돈치안] 20일 채널 돌파 ($316.83 상회, 거래대금z +0.2)",,
2026-08-31 22:31:41,Microsoft Corporation Common Stock(MSFT),BUY,509.34,7,3565.38,"[US돈치안] 20일 채널 돌파 ($506.06 상회, 거래대금z +0.9)",,
2026-09-01 01:39:02,Apple Inc. Common Stock(AAPL),SELL,313.18,11,3444.93,[US돈치안] 2*ATR 손절 (-2.0%),-1.96,-68.80
2026-09-01 01:39:02,"Tesla, Inc. Common Stock(TSLA)",BUY,364.38,10,3643.80,"[US돈치안] 20일 채널 돌파 ($362.86 상회, 거래대금z +3.3)",,
2026-09-02 00:07:08,"DoorDash, Inc. Class A Common Stock(DASH)",SELL,228.47,16,3655.52,[US돈치안] 2*ATR 손절 (-2.8%),-2.84,-106.72
2026-09-02 00:07:08,"Salesforce, Inc. Common Stock(CRM)",BUY,258.16,14,3614.24,"[US돈치안] 20일 채널 돌파 ($257.54 상회, 거래대금z +1.6)",,
2026-09-02 03:17:13,"BitMine Immersion Technologies, Inc. Common Stock(BMNR)",SELL,23.31,153,3565.97,[US돈치안] 2*ATR 손절 (-6.2%),-6.16,-233.94
2026-09-02 03:17:13,Chevron Corporation Common Stock(CVX),BUY,210.10,17,3571.70,"[US돈치안] 20일 채널 돌파 ($206.14 상회, 거래대금z +1.0)",,
2026-09-02 22:31:12,Microsoft Corporation Common Stock(MSFT),SELL,496.46,7,3475.25,[US돈치안] 2*ATR 손절 (-2.5%),-2.53,-90.12
2026-09-02 22:31:12,Johnson & Johnson Common Stock(JNJ),BUY,274.21,13,3564.73,"[US돈치안] 20일 채널 돌파 ($273.41 상회, 거래대금z +1.2)",,
