종목명,현재가,등락률,외인변화,게시물,외인비중,시장구분,전일종가,전일외인,게시물_요약,감정,키워드,연속,code
에이스테크,5590,+30.00%,0.0,85,0.0,KOSDAQ,4150,0.0,AI 분석 불가,0,[],1,088800
대한해운,3035,+27.52%,-0.09,227,9.17,KOSPI,2355,9.26,AI 분석 불가,0,[],1,005880
대한광통신,18040,+27.22%,-1.83,212,5.44,KOSDAQ,14690,7.27,AI 분석 불가,0,[],2,010170
쏠리드,17680,+24.33%,-1.0,365,13.74,KOSDAQ,15100,14.74,AI 분석 불가,0,[],1,050890
신성이엔지,3850,+21.84%,-0.17,191,12.22,KOSPI,3355,12.39,AI 분석 불가,0,[],2,011930
빛과전자,5130,+21.42%,0.15,297,2.23,KOSDAQ,3250,2.08,AI 분석 불가,0,[],1,069540
퍼스텍,11300,+15.66%,1.56,164,10.56,KOSPI,7520,9.0,AI 분석 불가,0,[],2,010820
머큐리,10020,+13.86%,0.0,160,1.06,KOSDAQ,7390,1.06,AI 분석 불가,0,[],2,100590
이노인스트루먼트,3015,+13.56%,0.12,193,10.98,KOSDAQ,2045,10.86,AI 분석 불가,0,[],1,215790
흥아해운,3525,+12.62%,-0.28,211,1.46,KOSPI,2990,1.74,AI 분석 불가,0,[],2,003280
캡스톤파트너스,4895,+12.53%,0.53,116,4.22,KOSDAQ,4570,3.69,AI 분석 불가,0,[],1,452300
우리로,8100,+11.72%,0.18,183,2.87,KOSDAQ,7160,2.69,AI 분석 불가,0,[],1,046970
LG디스플레이,12660,+7.29%,0.02,103,27.23,KOSPI,12110,27.21,AI 분석 불가,0,[],1,034220
파워넷,6580,+6.99%,0.0,91,2.31,KOSDAQ,6080,2.31,AI 분석 불가,0,[],1,037030
기가레인,2555,+6.24%,0.0,91,1.48,KOSDAQ,2405,1.48,AI 분석 불가,0,[],1,049080
GS건설,37500,+5.49%,-0.65,182,20.08,KOSPI,37400,20.73,AI 분석 불가,0,[],2,006360
대우건설,24500,+4.93%,-0.2,362,11.71,KOSPI,22550,11.91,AI 분석 불가,0,[],2,047040
삼표시멘트,17680,+4.80%,-0.13,199,1.85,KOSDAQ,17450,1.98,AI 분석 불가,0,[],1,038500
수산세보틱스,3020,+2.55%,0.02,115,1.57,KOSPI,2700,1.55,AI 분석 불가,0,[],2,017550
남선알미늄,2215,+2.31%,0.32,148,1.54,KOSPI,2060,1.22,AI 분석 불가,0,[],2,008350
한국첨단소재,4240,+1.92%,0.01,139,3.12,KOSDAQ,4160,3.11,AI 분석 불가,0,[],1,062970
삼성전자,207750,+1.84%,0.18,264,48.64,KOSPI,210500,48.46,AI 분석 불가,0,[],2,005930
한온시스템,3960,+0.51%,-0.01,83,6.98,KOSPI,3950,6.99,AI 분석 불가,0,[],1,018880
오가닉티코스메틱,116,-12.78%,0.08,98,15.45,KOSDAQ,103,15.37,AI 분석 불가,0,[],1,900300
