종목명,현재가,등락률,당일_게시글수,현재_외국인비중,시장구분,어제_종가,어제_외국인비중,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts,code
아이엠바이오로직스,104000,+300.00%,314,1.04%,KOSDAQ,,,"2개 받았는데 300% 개꿀딱[7] / 미친 한국주식시장..이런거나 고쳐라 / 알지노믹 공모가 22,500원.최고가23만.....[1] / 조단위 기술수출+96.5%보호예수.품절주됨...[1]",Positive (57%),"상한가, ..., 유통물량",1,"[{'title': '미친 한국주식시장..이런거나 고쳐라', 'date': '2026.03.20 11:46', 'views': '143', 'likes': '20', 'dislikes': '2', 'link': '/item/board_read.naver?code=493280&nid=415473520&page=5', 'score': 743}, {'title': '2개 받았는데 300% 개꿀딱[7]', 'date': '2026.03.20 09:22', 'views': '1208', 'likes': '18', 'dislikes': '5', 'link': '/item/board_read.naver?code=493280&nid=415443396&page=9', 'score': 1748}, {'title': '월욜 상한가 135200원이 종가', 'date': '2026.03.20 15:15', 'views': '128', 'likes': '15', 'dislikes': '4', 'link': '/item/board_read.naver?code=493280&nid=415505509&page=3', 'score': 578}, {'title': '조단위 기술수출+96.5%보호예수.품절주됨...[1]', 'date': '2026.03.20 12:22', 'views': '228', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=493280&nid=415478934&page=5', 'score': 618}, {'title': '■■■따따블매수■■■[1]', 'date': '2026.03.20 09:28', 'views': '153', 'likes': '12', 'dislikes': '4', 'link': '/item/board_read.naver?code=493280&nid=415445066&page=8', 'score': 513}, {'title': '알지노믹 공모가 22,500원.최고가23만.....[1]', 'date': '2026.03.20 17:02', 'views': '290', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=493280&nid=415516486&page=1', 'score': 620}, {'title': '조단위 기술수출+96.5%보호예수.품절주됨.....', 'date': '2026.03.20 17:00', 'views': '139', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=493280&nid=415516332&page=1', 'score': 469}, {'title': '연기금 보험이', 'date': '2026.03.20 16:13', 'views': '133', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=493280&nid=415512981&page=2', 'score': 463}, {'title': '유통물량 14% 기관 확약률 96.5% 점상 몇방이...[1]', 'date': '2026.03.20 15:39', 'views': '231', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=493280&nid=415509202&page=2', 'score': 561}, {'title': '매년적자 펩트론은 수출도없이 40만원 갔다....[2]', 'date': '2026.03.20 13:18', 'views': '226', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=493280&nid=415487110&page=4', 'score': 556}]",493280
우리로,2710,+29.98%,129,4.63%,KOSDAQ,2085.0,7.03%,국내외 광트랜시버 제조사에 채택 가능성- 제미나...[2] / 대한광통신VS우리로광통신~~~[3] / 우리로광통신! / 털렸네 ㅋㅋ,Positive (70%),"상한가, 지금, 시총",1,"[{'title': '일단 1조 가자', 'date': '2026.03.20 14:05', 'views': '95', 'likes': '13', 'dislikes': '3', 'link': '/item/board_read.naver?code=046970&nid=415494439&page=1', 'score': 485}, {'title': '쩜상10방200Gbps광검출기없어서못판다...', 'date': '2026.03.20 11:12', 'views': '159', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=046970&nid=415467252&page=2', 'score': 549}, {'title': '우리로광통신!', 'date': '2026.03.20 13:18', 'views': '230', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=046970&nid=415487096&page=2', 'score': 590}, {'title': '응아가 10연발 간다고 어제 분명히 말했...', 'date': '2026.03.20 11:12', 'views': '78', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=046970&nid=415467305&page=2', 'score': 438}, {'title': '지금 없어서 못판다고 합니다!!', 'date': '2026.03.20 10:57', 'views': '192', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=046970&nid=415464594&page=3', 'score': 552}, {'title': '대한광통신VS우리로광통신~~~[3]', 'date': '2026.03.20 10:22', 'views': '264', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=046970&nid=415457884&page=3', 'score': 624}, {'title': '국내외 광트랜시버 제조사에 채택 가능성- 제미나...[2]', 'date': '2026.03.20 16:12', 'views': '531', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=046970&nid=415512943&page=1', 'score': 861}, {'title': '털렸네 ㅋㅋ', 'date': '2026.03.20 11:05', 'views': '237', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=046970&nid=415466133&page=2', 'score': 567}, {'title': '개인의 그릇이 정확히 드러나는 시점이내[2]', 'date': '2026.03.20 10:16', 'views': '227', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=046970&nid=415456527&page=3', 'score': 557}, {'title': '오늘 감사보고서 받아 적정판결', 'date': '2026.03.20 14:16', 'views': '166', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=046970&nid=415496290&page=1', 'score': 466}]",046970
DL이앤씨,67400,+29.87%,241,29.72%,KOSPI,51900.0,29.24%,진짜 설마 설마 했는데[5] / 미국 원전주..이란 전쟁 재건주[4] / 이란 전쟁재건 대장주는 DL이앤씨다. 왜냐하 / 5년을 기다렸다[2],Positive (90%),"상한가, 오늘, 대장주",1,"[{'title': '진짜 설마 설마 했는데[5]', 'date': '2026.03.20 15:23', 'views': '589', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=375500&nid=415506745&page=4', 'score': 979}, {'title': '미국 원전주..이란 전쟁 재건주[4]', 'date': '2026.03.20 18:08', 'views': '366', 'likes': '10', 'dislikes': '3', 'link': '/item/board_read.naver?code=375500&nid=415520425&page=1', 'score': 666}, {'title': '축하드립니다.[2]', 'date': '2026.03.20 15:09', 'views': '152', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=375500&nid=415504578&page=5', 'score': 422}, {'title': '이란 전쟁재건 대장주는 DL이앤씨다. 왜냐하', 'date': '2026.03.20 14:22', 'views': '293', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=375500&nid=415497229&page=6', 'score': 563}, {'title': '5년을 기다렸다[2]', 'date': '2026.03.20 10:21', 'views': '241', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=375500&nid=415457629&page=10', 'score': 511}, {'title': '소형모듈원전 SMR 건설 분야 국내  1...', 'date': '2026.03.20 10:02', 'views': '186', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=375500&nid=415453423&page=10', 'score': 456}, {'title': '미-이란 전쟁이 끝나면 대박', 'date': '2026.03.20 16:46', 'views': '119', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=375500&nid=415515306&page=2', 'score': 359}, {'title': 'Gs건설 더 간다', 'date': '2026.03.20 09:25', 'views': '55', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=375500&nid=415444110&page=11', 'score': 295}, {'title': '앞으로 5년', 'date': '2026.03.20 18:29', 'views': '54', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=375500&nid=415521565&page=1', 'score': 264}, {'title': '월요일 10퍼이상 상승출발예측[1]', 'date': '2026.03.20 16:50', 'views': '218', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=375500&nid=415515620&page=2', 'score': 428}]",375500
SK오션플랜트,25550,+29.83%,602,6.07%,KOSPI,19680.0,6.23%,오션플랜트가 오늘 해상풍력 대장주가 된 이유는[5] / IPO 막히면 SK가 매각할 이유가 없음 / 개인적으로 생각하는 갑자기 오르는 이유 / 여기 돈 못버는 애들 특징 다 나오네[4],Positive (56%),"상한가, 오늘, 이제",1,"[{'title': '오션플랜트가 오늘 해상풍력 대장주가 된 이유는[5]', 'date': '2026.03.20 14:07', 'views': '283', 'likes': '15', 'dislikes': '2', 'link': '/item/board_read.naver?code=100090&nid=415494734&page=11', 'score': 733}, {'title': '월요일', 'date': '2026.03.20 16:16', 'views': '123', 'likes': '10', 'dislikes': '3', 'link': '/item/board_read.naver?code=100090&nid=415513208&page=6', 'score': 423}, {'title': '디오션 sk오션플랜트 매각 확실히 물건너감..[1]', 'date': '2026.03.20 14:21', 'views': '173', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=100090&nid=415497052&page=11', 'score': 473}, {'title': '아까 누가 상 못간다고 한놈 있었는데?[4]', 'date': '2026.03.20 15:03', 'views': '189', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=100090&nid=415503619&page=8', 'score': 459}, {'title': '25-29층에 물린 사람이 제일 많음[1]', 'date': '2026.03.20 14:36', 'views': '154', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=100090&nid=415499281&page=9', 'score': 424}, {'title': '여기 돈 못버는 애들 특징 다 나오네[4]', 'date': '2026.03.20 10:26', 'views': '211', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=100090&nid=415458579&page=22', 'score': 481}, {'title': '개인적으로 생각하는 갑자기 오르는 이유', 'date': '2026.03.20 09:16', 'views': '229', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=100090&nid=415441684&page=27', 'score': 499}, {'title': 'IPO 막히면 SK가 매각할 이유가 없음', 'date': '2026.03.20 08:22', 'views': '249', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=100090&nid=415432658&page=30', 'score': 519}, {'title': '잘 알아보니[1]', 'date': '2026.03.20 15:38', 'views': '123', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=100090&nid=415509071&page=7', 'score': 363}, {'title': '상에서1000만주를 흡수했으면 뭐다', 'date': '2026.03.20 15:03', 'views': '86', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=100090&nid=415503522&page=8', 'score': 326}]",100090
SNT에너지,53300,+28.28%,171,6.53%,KOSPI,41550.0,5.22%,석유·가스 플랜트에 들어가는 공랭식 열교환기(A...[1] / EB로 풀린 45만주 오늘 정리?[5] / 목표가 10만 기도 54일차[3] / 이놈이 대장이었네..,Positive (59%),"상한가, 이상, 상승했어요",1,"[{'title': '석유·가스 플랜트에 들어가는 공랭식 열교환기(A...[1]', 'date': '2026.03.20 12:10', 'views': '441', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=100840&nid=415477187&page=5', 'score': 981}, {'title': 'EB로 풀린 45만주 오늘 정리?[5]', 'date': '2026.03.20 15:36', 'views': '157', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=100840&nid=415508766&page=2', 'score': 457}, {'title': '목표가 10만 기도 54일차[3]', 'date': '2026.03.20 12:46', 'views': '118', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=100840&nid=415482256&page=5', 'score': 388}, {'title': '이놈이 대장이었네..', 'date': '2026.03.20 09:56', 'views': '73', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=100840&nid=415451935&page=8', 'score': 343}, {'title': '지주사가 50%이상 가지고 있는데', 'date': '2026.03.20 18:04', 'views': '62', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=100840&nid=415520229&page=1', 'score': 272}, {'title': '운전실력.예술![2]', 'date': '2026.03.20 15:21', 'views': '116', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=100840&nid=415506519&page=3', 'score': 326}, {'title': 'IMM 제발 오늘 다 털고 꺼지시길[1]', 'date': '2026.03.20 15:07', 'views': '63', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=100840&nid=415504219&page=3', 'score': 273}, {'title': '차트', 'date': '2026.03.20 14:33', 'views': '33', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=100840&nid=415498879&page=4', 'score': 243}, {'title': '사우디 아람코와 아랍에미레이트 석유국은 완전 ...[1]', 'date': '2026.03.20 10:04', 'views': '131', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=100840&nid=415454003&page=8', 'score': 341}, {'title': '주식이 이런거지...[1]', 'date': '2026.03.20 09:43', 'views': '73', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=100840&nid=415449004&page=8', 'score': 283}]",100840
태웅,57300,+26.49%,129,5.04%,KOSDAQ,45300.0,3.67%,이런 월요일[1] / 테마 엮기 좋고 가벼워서 세력붙으면 정신없이 ... / 상한가에 전량 매도~ 감사감사[2] / 이제 매물이 없어요..🤗,Positive (73%),"태웅, 상한가, 이상",1,"[{'title': '테마 엮기 좋고 가벼워서 세력붙으면 정신없이 ...', 'date': '2026.03.20 08:25', 'views': '59', 'likes': '8', 'dislikes': '4', 'link': '/item/board_read.naver?code=044490&nid=415433094&page=7', 'score': 299}, {'title': '이런 월요일[1]', 'date': '2026.03.20 17:08', 'views': '192', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=044490&nid=415516846&page=1', 'score': 402}, {'title': '아 짜증나서 던졌음..', 'date': '2026.03.20 17:00', 'views': '43', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=044490&nid=415516322&page=1', 'score': 223}, {'title': '이제 매물이 없어요..🤗', 'date': '2026.03.20 16:07', 'views': '57', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=044490&nid=415512465&page=2', 'score': 237}, {'title': '문어발', 'date': '2026.03.20 12:29', 'views': '51', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=044490&nid=415479929&page=3', 'score': 231}, {'title': '상한가에 전량 매도~ 감사감사[2]', 'date': '2026.03.20 12:03', 'views': '90', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=044490&nid=415476158&page=3', 'score': 270}, {'title': '오늘 상이네 ㅎㅎ', 'date': '2026.03.20 09:34', 'views': '27', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=044490&nid=415446673&page=6', 'score': 207}, {'title': '태웅', 'date': '2026.03.20 08:44', 'views': '32', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=044490&nid=415435563&page=7', 'score': 212}, {'title': '요상하다[1]', 'date': '2026.03.20 18:16', 'views': '87', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=044490&nid=415520871&page=1', 'score': 237}, {'title': '축하 축하 드립니다  상입니다!', 'date': '2026.03.20 18:28', 'views': '21', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=044490&nid=415521465&page=1', 'score': 141}]",044490
오르비텍,13700,+24.77%,164,4.76%,KOSDAQ,10980.0,4.33%,답답하다 투경이고뭐고[2] / 눈물 나네요.[2] / 오늘 13568 밑에서 끝나면[3] / 원전 해체 세계 최초 상용화 뭐가 두렵노[1],Positive (70%),"투경, 상한가, 오르비텍",1,"[{'title': '원전 해체 세계 최초 상용화 뭐가 두렵노[1]', 'date': '2026.03.20 15:43', 'views': '245', 'likes': '20', 'dislikes': '0', 'link': '/item/board_read.naver?code=046120&nid=415509812&page=2', 'score': 845}, {'title': '눈물 나네요.[2]', 'date': '2026.03.20 13:54', 'views': '299', 'likes': '19', 'dislikes': '0', 'link': '/item/board_read.naver?code=046120&nid=415492815&page=4', 'score': 869}, {'title': '오르비텍', 'date': '2026.03.20 13:16', 'views': '189', 'likes': '18', 'dislikes': '0', 'link': '/item/board_read.naver?code=046120&nid=415486662&page=4', 'score': 729}, {'title': '답답하다 투경이고뭐고[2]', 'date': '2026.03.20 16:42', 'views': '581', 'likes': '14', 'dislikes': '2', 'link': '/item/board_read.naver?code=046120&nid=415515087&page=1', 'score': 1001}, {'title': '100주 샀음요', 'date': '2026.03.20 16:10', 'views': '101', 'likes': '14', 'dislikes': '2', 'link': '/item/board_read.naver?code=046120&nid=415512779&page=1', 'score': 521}, {'title': '3만원은 넘길듯...[2]', 'date': '2026.03.20 13:09', 'views': '345', 'likes': '14', 'dislikes': '2', 'link': '/item/board_read.naver?code=046120&nid=415485691&page=4', 'score': 765}, {'title': '여기 주포는', 'date': '2026.03.20 16:40', 'views': '418', 'likes': '13', 'dislikes': '2', 'link': '/item/board_read.naver?code=046120&nid=415514954&page=1', 'score': 808}, {'title': '시간 외 상 박아 주고 담주 20% 갭으로 가자...', 'date': '2026.03.20 15:28', 'views': '131', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=046120&nid=415507583&page=2', 'score': 521}, {'title': '오늘 13568 밑에서 끝나면[3]', 'date': '2026.03.20 14:46', 'views': '497', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=046120&nid=415500943&page=3', 'score': 857}, {'title': '신고가 축하드립니다.', 'date': '2026.03.20 14:26', 'views': '149', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=046120&nid=415497809&page=3', 'score': 509}]",046120
GS건설,31800,+22.54%,369,23.05%,KOSPI,25950.0,23.16%,Gs건설이 원전으로만 올라가는걸로 보... / 매물소화중이라니까 계속들 파시네 / 미국에서 SMR건설 누가하겠냐 GS건설[1] / 건설 우량주 Gs건설 상한가 한방 묵자,Positive (81%),"상한가, 이제, 원전",1,"[{'title': '매물소화중이라니까 계속들 파시네', 'date': '2026.03.20 15:27', 'views': '196', 'likes': '15', 'dislikes': '1', 'link': '/item/board_read.naver?code=006360&nid=415507418&page=7', 'score': 646}, {'title': '건설 우량주 Gs건설 상한가 한방 묵자', 'date': '2026.03.20 12:50', 'views': '105', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=006360&nid=415482959&page=11', 'score': 465}, {'title': '뉴스케일파워 믿고 투자하세요.', 'date': '2026.03.20 18:25', 'views': '69', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=006360&nid=415521311&page=4', 'score': 369}, {'title': 's넥장[1]', 'date': '2026.03.20 15:47', 'views': '155', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=006360&nid=415510318&page=6', 'score': 455}, {'title': 'Gs건설이 원전으로만 올라가는걸로 보...', 'date': '2026.03.20 11:30', 'views': '523', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=006360&nid=415470730&page=12', 'score': 823}, {'title': '누가 원전주  아니라더니', 'date': '2026.03.20 16:06', 'views': '102', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=006360&nid=415512357&page=6', 'score': 372}, {'title': '상한가 가도', 'date': '2026.03.20 13:06', 'views': '74', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=006360&nid=415485164&page=11', 'score': 344}, {'title': '미국에서 SMR건설 누가하겠냐 GS건설[1]', 'date': '2026.03.20 17:27', 'views': '295', 'likes': '8', 'dislikes': '3', 'link': '/item/board_read.naver?code=006360&nid=415518090&page=5', 'score': 535}, {'title': '상 안쳐도 되는이유[3]', 'date': '2026.03.20 16:05', 'views': '175', 'likes': '8', 'dislikes': '2', 'link': '/item/board_read.naver?code=006360&nid=415512280&page=6', 'score': 415}, {'title': '지건인 에너지 회사임[1]', 'date': '2026.03.20 15:57', 'views': '104', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=006360&nid=415511460&page=6', 'score': 344}]",006360
유니슨,1682,+20.75%,131,5.25%,KOSDAQ,1393.0,4.08%,"답지 준다. 이거만 외워라.[4] / 총 칠천만주에 거래량 3800만주  터... / 3,000원대 까지는 ~~~[5] / 1차 목표가 만원 2차 목표가 5만원[2]",Positive (76%),"오늘, 이상, 상승했어요",1,"[{'title': '총 칠천만주에 거래량 3800만주  터...', 'date': '2026.03.20 15:38', 'views': '278', 'likes': '21', 'dislikes': '1', 'link': '/item/board_read.naver?code=018000&nid=415509095&page=2', 'score': 908}, {'title': '1차 목표가 만원 2차 목표가 5만원[2]', 'date': '2026.03.20 11:35', 'views': '292', 'likes': '20', 'dislikes': '2', 'link': '/item/board_read.naver?code=018000&nid=415471508&page=4', 'score': 892}, {'title': '신재생에너지 기업 주가가', 'date': '2026.03.20 15:49', 'views': '250', 'likes': '19', 'dislikes': '1', 'link': '/item/board_read.naver?code=018000&nid=415510489&page=2', 'score': 820}, {'title': '유니슨 오늘 외인 매수  및 프로그램 대량 매수중[1]', 'date': '2026.03.20 11:51', 'views': '179', 'likes': '19', 'dislikes': '0', 'link': '/item/board_read.naver?code=018000&nid=415474322&page=4', 'score': 749}, {'title': '3,000원대 까지는 ~~~[5]', 'date': '2026.03.20 16:19', 'views': '367', 'likes': '18', 'dislikes': '2', 'link': '/item/board_read.naver?code=018000&nid=415513488&page=1', 'score': 907}, {'title': '답지 준다. 이거만 외워라.[4]', 'date': '2026.03.20 10:24', 'views': '644', 'likes': '17', 'dislikes': '5', 'link': '/item/board_read.naver?code=018000&nid=415458177&page=4', 'score': 1154}, {'title': '오후에 .. 일단 상[1]', 'date': '2026.03.20 12:26', 'views': '258', 'likes': '16', 'dislikes': '5', 'link': '/item/board_read.naver?code=018000&nid=415479527&page=3', 'score': 738}, {'title': '지금까지[1]', 'date': '2026.03.20 11:01', 'views': '204', 'likes': '16', 'dislikes': '1', 'link': '/item/board_read.naver?code=018000&nid=415465465&page=4', 'score': 684}, {'title': '십수년동안 요즘이 거의 저점이다...', 'date': '2026.03.20 16:42', 'views': '134', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=018000&nid=415515055&page=1', 'score': 554}, {'title': '소머리국밥 먹으러 갑니다.[1]', 'date': '2026.03.20 17:48', 'views': '170', 'likes': '13', 'dislikes': '0', 'link': '/item/board_read.naver?code=018000&nid=415519355&page=1', 'score': 560}]",018000
티엠씨,23600,+20.53%,182,2.43%,KOSPI,19580.0,2.28%,"주린인데..투경예고? 아닌가요?[3] / TMC 선박케이블 세계1위, 원전케이블도 장... / 22층에 3개월 물려잇었는데[5] / 22200원 입성",Positive (54%),"오늘, 티엠씨, 어제",1,"[{'title': '22200원 입성', 'date': '2026.03.20 13:16', 'views': '35', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=217590&nid=415486668&page=5', 'score': 215}, {'title': '24050 추매', 'date': '2026.03.20 17:00', 'views': '21', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=217590&nid=415516296&page=3', 'score': 171}, {'title': 'TMC 선박케이블 세계1위, 원전케이블도 장...', 'date': '2026.03.20 12:16', 'views': '250', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=217590&nid=415478084&page=6', 'score': 400}, {'title': '25050 전량매도[1]', 'date': '2026.03.20 18:15', 'views': '84', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=217590&nid=415520806&page=2', 'score': 204}, {'title': '22층에 3개월 물려잇었는데[5]', 'date': '2026.03.20 18:02', 'views': '146', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=217590&nid=415520147&page=2', 'score': 266}, {'title': '성호전자 엔비디아 뉴스로 시총 3조 됐다', 'date': '2026.03.20 17:19', 'views': '50', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=217590&nid=415517635&page=3', 'score': 170}, {'title': '주린인데..투경예고? 아닌가요?[3]', 'date': '2026.03.20 16:26', 'views': '697', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=217590&nid=415513982&page=3', 'score': 817}, {'title': '오늘 연기금 81779주 떡 매수로', 'date': '2026.03.20 16:07', 'views': '63', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=217590&nid=415512408&page=4', 'score': 183}, {'title': '상이가', 'date': '2026.03.20 16:02', 'views': '36', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=217590&nid=415511962&page=4', 'score': 156}, {'title': '신고가에 수급좋고 상 가나요?', 'date': '2026.03.20 15:58', 'views': '33', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=217590&nid=415511584&page=4', 'score': 153}]",217590
