종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
캡스톤파트너스,4645.0,+29.93%,147,KOSDAQ,,AI 분석 불가,452300
광전자,7520.0,+29.88%,265,KOSPI,,AI 분석 불가,017900
아크릴,37650.0,+19.33%,248,KOSDAQ,,AI 분석 불가,0007C0
프로이천,2900.0,+18.37%,256,KOSDAQ,,AI 분석 불가,321260
풍산홀딩스,54800.0,+15.98%,588,KOSPI,,AI 분석 불가,005810
창해에탄올,12010.0,+15.93%,501,KOSDAQ,,AI 분석 불가,004650
리센스메디컬,23600.0,+12.38%,237,KOSDAQ,,AI 분석 불가,394420
흥구석유,22850.0,+9.86%,815,KOSDAQ,,AI 분석 불가,024060
엘앤에프,185000.0,+8.44%,221,KOSPI,,AI 분석 불가,066970
파워넷,5680.0,+8.19%,174,KOSDAQ,5250.0,AI 분석 불가,037030
에코프로머티,73100.0,+6.10%,270,KOSPI,,AI 분석 불가,450080
한국ANKOR유전,280.0,+4.87%,132,KOSPI,,AI 분석 불가,152550
삼성E&A,47800.0,+4.71%,939,KOSPI,,AI 분석 불가,028050
세림B&G,2385.0,+4.61%,145,KOSDAQ,2279.0,AI 분석 불가,340440
카카오,46400.0,+3.46%,142,KOSPI,,AI 분석 불가,035720
SK하이닉스,916000.0,+3.39%,739,KOSPI,,AI 분석 불가,000660
한화시스템,131700.0,+3.21%,363,KOSPI,,AI 분석 불가,272210
남선알미늄,2180.0,+2.35%,449,KOSPI,2129.0,AI 분석 불가,008350
삼성전자,196500.0,+1.76%,990,KOSPI,193101.0,AI 분석 불가,005930
우리로,7070.0,+1.73%,289,KOSDAQ,6949.0,AI 분석 불가,046970
대영포장,1288.0,+1.42%,144,KOSPI,1269.0,AI 분석 불가,014160
삼성전자우,130900.0,+1.39%,135,KOSPI,129105.0,AI 분석 불가,005935
기가레인,2400.0,+0.42%,178,KOSDAQ,2389.0,AI 분석 불가,049080
대우건설,17350.0,+0.23%,305,KOSPI,17310.0,AI 분석 불가,047040
흥아해운,3795.0,+0.13%,1070,KOSPI,3790.0,AI 분석 불가,003280
후성,9870.0,-0.30%,170,KOSPI,9899.0,AI 분석 불가,093370
우리기술,19950.0,-3.16%,338,KOSDAQ,20600.0,AI 분석 불가,032820
신성이엔지,3435.0,-3.92%,196,KOSPI,3575.0,AI 분석 불가,011930
스코넥,327.0,-5.76%,149,KOSDAQ,346.0,AI 분석 불가,276040
대한광통신,12640.0,-6.99%,427,KOSDAQ,13589.0,AI 분석 불가,010170
피노,9550.0,-7.55%,305,KOSDAQ,10329.0,AI 분석 불가,033790
보원케미칼,10120.0,-8.58%,482,KOSDAQ,11069.0,AI 분석 불가,0010F0
다날,7070.0,-9.36%,602,KOSDAQ,7800.0,AI 분석 불가,064260
SK오션플랜트,25850.0,-9.77%,439,KOSPI,28649.0,AI 분석 불가,100090
LIG넥스원,,,274,KOSPI,,AI 분석 불가,079550
