date,^IXIC,^SOX,^GSPC,NVDA
20260421,-0.5918,0.5000,-0.6348,-1.0789
20260422,1.6390,2.7164,1.0460,1.3108
20260423,-0.8885,1.7085,-0.4133,-1.4123
20260424,1.6290,4.3170,0.7974,4.3228
20260427,0.2033,-1.0046,0.1232,4.0044
20260428,-0.8972,-3.5786,-0.4894,-1.5881
20260429,0.0383,2.3488,-0.0399,-1.8389
20260430,0.8879,2.2626,1.0238,-4.6260
20260501,0.8924,0.8725,0.2928,-0.5612
20260504,-0.1857,-0.5727,-0.4062,0.0151
20260505,1.0305,4.2329,0.8120,-0.9976
20260506,2.0248,4.4822,1.4588,5.7659
20260507,-0.1267,-2.7174,-0.3803,1.7659
20260508,1.7084,5.5059,0.8426,1.7494
20260511,0.1031,2.5947,0.1880,1.9703
20260512,-0.7077,-3.0112,-0.1603,0.6106
20260513,1.2041,2.5665,0.5849,2.2873
20260514,0.8820,0.4643,0.7656,4.3883
20260515,-1.5396,-4.0196,-1.2363,-4.4201
20260518,-0.5125,-2.4675,-0.0736,-1.3314
20260519,-0.8433,0.0264,-0.6678,-0.7692
20260520,1.5448,4.4915,1.0792,1.2964
20260521,0.0866,1.2764,0.1715,-1.7721
20260522,0.1935,1.9931,0.3727,-1.9042
20260526,1.1851,5.5265,0.6108,-0.2183
20260527,0.0696,-1.3568,0.0165,-1.0518
20260528,0.9100,0.9994,0.5754,0.7761
20260529,0.2049,0.0019,0.2172,-1.4516
20260601,0.4234,1.0622,0.2625,6.2612
20260602,0.0262,5.8664,0.1292,-0.6864
20260603,-0.8855,1.3892,-0.7372,-3.6218
20260604,-0.0857,-2.1518,0.4055,1.8207
20260605,-4.1800,-10.2570,-2.6445,-6.2014
20260608,0.8566,5.6128,0.2978,1.7260
20260609,-0.9674,-1.9283,-0.2576,-0.2157
20260610,-1.9834,-3.5658,-1.6199,-3.7322
20260611,2.5434,7.9055,1.7519,2.2203
20260612,0.3068,1.5187,0.5026,0.1562
20260615,3.0712,5.4456,1.6528,3.5382
20260616,-1.1528,-5.7122,-0.5684,-2.3723
20260617,-1.3447,1.3754,-1.2148,-1.3307
20260618,1.9071,6.4162,1.0846,2.9514
20260622,-1.3249,2.0426,-0.3705,-0.9683
20260623,-2.2149,-7.8731,-1.4363,-4.1265
20260624,-0.4315,-0.1803,-0.0983,-0.5199
20260625,-0.4633,3.5864,-0.0099,-1.6382
20260626,-0.2405,-5.2888,-0.0472,-1.6399
20260629,2.0655,3.8330,1.1750,1.2673
20260630,1.5243,3.9191,0.7920,2.6260
20260701,-0.6626,-6.2728,-0.2151,-1.2544
20260702,-0.7963,-5.4448,0.0001,-1.3918
20260706,1.1168,2.1695,0.7242,0.3696
20260707,-1.1580,-4.6482,-0.4455,0.7057
20260708,0.2013,2.2312,-0.2817,3.6510
20260709,1.2997,3.0619,0.8143,-0.6565
20260710,0.2851,0.0552,0.4209,4.0339
20260713,-1.5541,-4.7765,-0.7927,-3.5220
20260714,0.9038,2.5442,0.3759,4.0633
20260715,0.6214,-2.0774,0.3819,0.3305
20260716,-1.4743,-4.2858,-0.5101,-2.4000
20260717,-1.3975,-1.6314,-1.0099,-2.2131
20260720,-0.0477,0.5993,-0.1932,0.2317
20260721,1.2903,5.2139,0.8856,1.9726
20260722,-0.5663,0.4412,-0.1364,2.3011
20260723,-2.1533,-0.5385,-1.2090,-1.5562
20260724,-0.6439,-4.2528,0.0497,-0.9197
20260727,-0.1751,-2.2337,0.0162,-4.9942
20260728,-0.2213,-4.4933,0.2104,0.2544
20260729,-1.7445,-5.3299,-1.5161,-3.5531
20260730,2.7789,8.1886,1.6604,2.6472
20260731,1.0018,0.0716,0.7004,2.9276
20260803,2.1284,1.0544,1.4791,2.9340
20260804,2.5897,6.5519,1.7896,2.5648
20260805,-0.8334,-1.3989,-0.1676,3.4349
20260806,-0.0572,0.3315,-0.1760,-0.1049
20260807,1.2990,2.5571,0.6184,2.2695
20260810,-0.3194,-2.9371,-0.0584,-2.8621
20260811,-0.6010,0.8722,-0.3213,-0.0230
20260812,0.5409,2.4872,0.2627,3.0299
20260813,0.8069,0.4566,0.6516,0.5400
20260814,-0.2756,-0.3127,-0.1696,-0.0621
20260817,-0.3152,1.6425,-0.5227,-0.0666
20260818,-1.3331,-4.9801,-0.6882,-2.3421
20260819,0.1574,-2.1199,0.2109,-0.9921
20260820,-1.0023,0.5264,-0.8669,-0.3263
20260821,0.4346,-0.5055,0.4346,-0.9822
20260824,-0.7650,-2.7018,-0.2803,-2.9061
20260825,0.6586,1.4433,0.3191,2.1921
20260826,-0.0807,0.2002,-0.0206,-1.5912
20260827,1.5735,2.3333,0.7203,8.7380
20260828,-0.5234,-3.4717,-0.2487,-4.5750
20260831,-0.1194,0.5701,-0.3322,1.4847
20260901,-1.0281,-2.1364,-0.7113,-1.5128
20260902,0.4523,0.4486,0.4603,3.2055
20260903,1.3969,0.1136,1.0580,
