시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts
KOSDAQ,347700,스피어,19090,4.52%,13680,4.32%,+29.95%,125,"이제 상 안풀리니까 오늘은 안심하고.[5] / 스피어, 니켈 제련소 지분 인수로 공급망 경...[1] / 메리츠증권기사 / 메리츠證 “스피어, 니켈 제련소 지분 확보로 ...",Positive (64%),"상한가, 스피어, 지분",False,"[{'title': '메리츠증권기사', 'date': '2026.01.02 08:33', 'views': '175', 'likes': '13', 'dislikes': '2', 'link': '/item/board_read.naver?code=347700&nid=409525359&page=7', 'body': '', 'score': 565}, {'title': '스피어, 니켈 제련소 지분 인수로 공급망 경...[1]', 'date': '2026.01.02 08:29', 'views': '238', 'likes': '12', 'dislikes': '2', 'link': '/item/board_read.naver?code=347700&nid=409525270&page=7', 'body': '', 'score': 598}, {'title': '이제 상 안풀리니까 오늘은 안심하고.[5]', 'date': '2026.01.02 11:48', 'views': '327', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=347700&nid=409545958&page=3', 'body': '', 'score': 627}, {'title': '메리츠證 “스피어, 니켈 제련소 지분 확보로 ...', 'date': '2026.01.02 09:40', 'views': '131', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=347700&nid=409527517&page=6', 'body': '', 'score': 431}, {'title': '대박냄새가 솔솔 납니다 왜?', 'date': '2026.01.02 12:50', 'views': '143', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=347700&nid=409553096&page=2', 'body': '', 'score': 323}, {'title': '상잔량이 심히 우려스럽다ㅡ[4]', 'date': '2026.01.02 11:38', 'views': '180', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=347700&nid=409544848&page=3', 'body': '', 'score': 360}, {'title': '갭상후 상한가라고 얘기 했잖아 ㅋ', 'date': '2026.01.02 10:46', 'views': '50', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=347700&nid=409536996&page=5', 'body': '', 'score': 230}, {'title': '경고에서 정지로 가면ㅡ[2]', 'date': '2026.01.02 13:50', 'views': '138', 'likes': '5', 'dislikes': '5', 'link': '/item/board_read.naver?code=347700&nid=409559255&page=1', 'body': '', 'score': 288}, {'title': '상한가 걸어둔거 왜사지나 했네 개잡주[1]', 'date': '2026.01.02 12:35', 'views': '225', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=347700&nid=409551428&page=2', 'body': '', 'score': 375}, {'title': '주주분들 축하합니다[1]', 'date': '2026.01.02 11:23', 'views': '85', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=347700&nid=409542968&page=3', 'body': '', 'score': 235}]"
KOSPI,093240,형지엘리트,2205,1.13%,1497,2.72%,+29.86%,122,"이젠 수요일 이미 야그했듯이[4] / 반도체분야는 이재용 , 모빌리티 분야는 정의선...[1] / 흔들리지 마시고, 꽉 잡으세요.[2] / 형지로보틱스 개미들 입 소문 났다",Positive (80%),"오늘, 상한가, 이상",False,"[{'title': '이젠 수요일 이미 야그했듯이[4]', 'date': '2026.01.02 10:21', 'views': '152', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409532431&page=4', 'body': '', 'score': 332}, {'title': '흔들리지 마시고, 꽉 잡으세요.[2]', 'date': '2026.01.02 10:02', 'views': '87', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409528900&page=6', 'body': '', 'score': 267}, {'title': '반도체분야는 이재용 , 모빌리티 분야는 정의선...[1]', 'date': '2026.01.02 11:31', 'views': '148', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409544039&page=2', 'body': '', 'score': 298}, {'title': '형지로보틱스 개미들 입 소문 났다', 'date': '2026.01.02 08:22', 'views': '86', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=093240&nid=409525141&page=7', 'body': '', 'score': 236}, {'title': '이주식 상속세낼려고', 'date': '2026.01.02 12:01', 'views': '61', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409547449&page=2', 'body': '', 'score': 181}, {'title': '오후에 상풀리고[2]', 'date': '2026.01.02 11:21', 'views': '109', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=093240&nid=409542814&page=2', 'body': '', 'score': 229}, {'title': '갖고 있을껄', 'date': '2026.01.02 10:43', 'views': '40', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=093240&nid=409536536&page=3', 'body': '', 'score': 160}, {'title': '5연속상한가[1]', 'date': '2026.01.02 13:19', 'views': '51', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=093240&nid=409556054&page=1', 'body': '', 'score': 141}, {'title': '오늘 부터', 'date': '2026.01.02 11:59', 'views': '53', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=093240&nid=409547244&page=2', 'body': '', 'score': 143}, {'title': '에휴 이런 작업주 진짜 언제 사라지려나', 'date': '2026.01.02 11:31', 'views': '21', 'likes': '3', 'dislikes': '2', 'link': '/item/board_read.naver?code=093240&nid=409543968&page=2', 'body': '', 'score': 111}]"
KOSDAQ,319400,현대무벡스,23950,2.01%,20350,2.99%,+27.46%,359,"추세 아직!! CES 기대감 현대무벡스 2만 ... / AGV가 상품을 착착, 겐트리가 타이어를 번쩍... / 하늘 높이  불타오르는  현무를 기대하며[1] / 외쿡형들   미친겁니다?[3]",Positive (75%),"오늘, 투경, 상한가",False,"[{'title': '하늘 높이  불타오르는  현무를 기대하며[1]', 'date': '2026.01.02 08:59', 'views': '139', 'likes': '22', 'dislikes': '3', 'link': '/item/board_read.naver?code=319400&nid=409526016&page=18', 'body': '', 'score': 799}, {'title': '추세 아직!! CES 기대감 현대무벡스 2만 ...', 'date': '2026.01.02 08:14', 'views': '222', 'likes': '22', 'dislikes': '0', 'link': '/item/board_read.naver?code=319400&nid=409524982&page=18', 'body': '', 'score': 882}, {'title': 'AGV가 상품을 착착, 겐트리가 타이어를 번쩍...', 'date': '2026.01.02 08:06', 'views': '177', 'likes': '21', 'dislikes': '0', 'link': '/item/board_read.naver?code=319400&nid=409524828&page=18', 'body': '', 'score': 807}, {'title': '외쿡형들   미친겁니다?[3]', 'date': '2026.01.02 11:51', 'views': '170', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=319400&nid=409546295&page=10', 'body': '', 'score': 710}, {'title': '현정은 회장이 이끈다 10만원 가즈아', 'date': '2026.01.02 12:06', 'views': '178', 'likes': '15', 'dislikes': '2', 'link': '/item/board_read.naver?code=319400&nid=409547962&page=9', 'body': '', 'score': 628}, {'title': '로봇주중에서  실적 좋고 가장 싸보인다', 'date': '2026.01.02 11:55', 'views': '59', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=319400&nid=409546844&page=9', 'body': '', 'score': 509}, {'title': '이건 투경먹고 쩜상 시나리오?설마?', 'date': '2026.01.02 13:17', 'views': '105', 'likes': '14', 'dislikes': '2', 'link': '/item/board_read.naver?code=319400&nid=409555903&page=6', 'body': '', 'score': 525}, {'title': '크게 갈놈은', 'date': '2026.01.02 12:23', 'views': '51', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=319400&nid=409549979&page=9', 'body': '', 'score': 471}, {'title': '투경을 받을거  알면서 펌핑 시키는구만', 'date': '2026.01.02 13:10', 'views': '70', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=319400&nid=409555160&page=6', 'body': '', 'score': 460}, {'title': '기업들 신년사 보면 알겠지만 AI,자동화로...', 'date': '2026.01.02 11:52', 'views': '117', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=319400&nid=409546464&page=10', 'body': '', 'score': 507}]"
KOSDAQ,098460,고영,27350,17.50%,23550,17.46%,+19.43%,153,로봇 전문가 고경철 대표는[1] / 오늘  25000원 넘기면  숏커버링  됩니다....[1] / 오늘 상한가 갈 가능성이 농후하다 / 연기금이 줄기차게 매수한 이유,Positive (62%),"고영, 오늘, 이제",False,"[{'title': '오늘 상한가 갈 가능성이 농후하다', 'date': '2026.01.02 10:16', 'views': '70', 'likes': '12', 'dislikes': '3', 'link': '/item/board_read.naver?code=098460&nid=409531586&page=7', 'body': '', 'score': 430}, {'title': '오늘  25000원 넘기면  숏커버링  됩니다....[1]', 'date': '2026.01.02 10:11', 'views': '262', 'likes': '12', 'dislikes': '2', 'link': '/item/board_read.naver?code=098460&nid=409530643&page=7', 'body': '', 'score': 622}, {'title': '연기금이 줄기차게 매수한 이유', 'date': '2026.01.02 10:18', 'views': '121', 'likes': '10', 'dislikes': '3', 'link': '/item/board_read.naver?code=098460&nid=409531846&page=7', 'body': '', 'score': 421}, {'title': '그림은 돈이다', 'date': '2026.01.02 12:48', 'views': '67', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=098460&nid=409552830&page=3', 'body': '', 'score': 337}, {'title': '상한가 갈것같은 막연한 느낌', 'date': '2026.01.02 12:23', 'views': '30', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=098460&nid=409550056&page=5', 'body': '', 'score': 300}, {'title': '로봇 전문가 고경철 대표는[1]', 'date': '2026.01.02 08:21', 'views': '449', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=098460&nid=409525115&page=8', 'body': '', 'score': 719}, {'title': '지금부터 시작 이고영', 'date': '2026.01.02 10:23', 'views': '62', 'likes': '8', 'dislikes': '3', 'link': '/item/board_read.naver?code=098460&nid=409532977&page=7', 'body': '', 'score': 302}, {'title': '일본승인 났나보네', 'date': '2026.01.02 10:07', 'views': '104', 'likes': '8', 'dislikes': '3', 'link': '/item/board_read.naver?code=098460&nid=409529848&page=8', 'body': '', 'score': 344}, {'title': '올해 텐버거 가나요?', 'date': '2026.01.02 13:55', 'views': '44', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=098460&nid=409559771&page=1', 'body': '', 'score': 254}, {'title': '와.. 너무 욕심 부리면 안되는데..[1]', 'date': '2026.01.02 13:18', 'views': '128', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=098460&nid=409555947&page=3', 'body': '', 'score': 338}]"
KOSDAQ,080220,제주반도체,30700,5.61%,22350,2.51%,+16.51%,260,"오늘 주식시장10시개장 / 30,500 원 넘어 가면 경고 때문에 주차인...[1] / 다들 팔고싶을텐데 익절 가격 알려드림 / 미리축하드립니다[1]",Positive (53%),"오늘, 프매, 지금",False,"[{'title': '오늘 주식시장10시개장', 'date': '2026.01.02 08:21', 'views': '185', 'likes': '20', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409525120&page=13', 'body': '', 'score': 785}, {'title': '30,500 원 넘어 가면 경고 때문에 주차인...[1]', 'date': '2026.01.02 13:20', 'views': '395', 'likes': '12', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409556118&page=2', 'body': '', 'score': 755}, {'title': '다들 팔고싶을텐데 익절 가격 알려드림', 'date': '2026.01.02 13:44', 'views': '304', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409558589&page=1', 'body': '', 'score': 604}, {'title': '미리축하드립니다[1]', 'date': '2026.01.02 08:41', 'views': '293', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=080220&nid=409525557&page=13', 'body': '', 'score': 593}, {'title': '15%감솨합니다', 'date': '2026.01.02 13:38', 'views': '39', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409557931&page=1', 'body': '', 'score': 309}, {'title': '개인매도, 외인 기관 집중매수 중![2]', 'date': '2026.01.02 12:28', 'views': '277', 'likes': '9', 'dislikes': '4', 'link': '/item/board_read.naver?code=080220&nid=409550620&page=4', 'body': '', 'score': 547}, {'title': '25000원에 팔고 나왓드만[2]', 'date': '2026.01.02 11:41', 'views': '152', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409545105&page=6', 'body': '', 'score': 422}, {'title': '2년전에 매수했습니다', 'date': '2026.01.02 11:33', 'views': '89', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409544248&page=6', 'body': '', 'score': 359}, {'title': '오늘 상 터치', 'date': '2026.01.02 10:39', 'views': '65', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=080220&nid=409535889&page=9', 'body': '', 'score': 335}, {'title': '네이버는 리딩방 애들  단속 강력히 해라~~~', 'date': '2026.01.02 09:21', 'views': '38', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=080220&nid=409526767&page=13', 'body': '', 'score': 308}]"
KOSPI,123690,한국화장품,11680,2.39%,9800,2.17%,+16.33%,116,4대그룹 총수에 ‘한한령 직격탄’ 게임-엔터기업들... / 매도타이밍 알려드립니다. / 오늘이 정규장 첫시세임 쫄필요없음 / 30일 종가에 샀는데 ㅜㅠ[2],Positive (61%),"오늘, 중국, 한국화장품",False,"[{'title': '4대그룹 총수에 ‘한한령 직격탄’ 게임-엔터기업들...', 'date': '2026.01.02 08:59', 'views': '120', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=123690&nid=409526018&page=6', 'body': '', 'score': 390}, {'title': '축 대통령 중국방문', 'date': '2026.01.02 13:25', 'views': '31', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=123690&nid=409556590&page=1', 'body': '', 'score': 241}, {'title': '오늘이 정규장 첫시세임 쫄필요없음', 'date': '2026.01.02 09:27', 'views': '41', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=123690&nid=409527014&page=5', 'body': '', 'score': 251}, {'title': '매도타이밍 알려드립니다.', 'date': '2026.01.02 11:55', 'views': '77', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=123690&nid=409546843&page=2', 'body': '', 'score': 257}, {'title': '이재명은 시진핑보다 위대하다', 'date': '2026.01.02 09:06', 'views': '32', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=123690&nid=409526249&page=6', 'body': '', 'score': 212}, {'title': '설레발치는거보니', 'date': '2026.01.02 08:49', 'views': '41', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=123690&nid=409525740&page=6', 'body': '', 'score': 221}, {'title': '30일 종가에 샀는데 ㅜㅠ[2]', 'date': '2026.01.02 09:37', 'views': '93', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=123690&nid=409527401&page=5', 'body': '', 'score': 243}, {'title': '죽, 세력은 오늘 상한가를 가고 월요일 갭상승', 'date': '2026.01.02 09:07', 'views': '92', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=123690&nid=409526295&page=5', 'body': '', 'score': 242}, {'title': '10860사서 11100 매도[2]', 'date': '2026.01.02 11:00', 'views': '72', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=123690&nid=409539657&page=3', 'body': '', 'score': 192}, {'title': '시초가 입성 합니다 잘부탁 드려요[1]', 'date': '2026.01.02 09:38', 'views': '49', 'likes': '4', 'dislikes': '4', 'link': '/item/board_read.naver?code=123690&nid=409527451&page=5', 'body': '', 'score': 169}]"
KOSPI,042700,한미반도체,143800,5.98%,130400,6.16%,+12.87%,358,진짜 버는사람들은 보면[5] / 매도벽 하나도안무서운이유 / 장비 계약 하고 있단다 / 오늘 147000원 구간만 벗겨내면 다음주 5...,Negative (51%),"오늘, 공매도, 한미",False,"[{'title': '매도벽 하나도안무서운이유', 'date': '2026.01.02 11:18', 'views': '152', 'likes': '30', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409542387&page=12', 'body': '', 'score': 1052}, {'title': '진짜 버는사람들은 보면[5]', 'date': '2026.01.02 12:50', 'views': '469', 'likes': '29', 'dislikes': '4', 'link': '/item/board_read.naver?code=042700&nid=409553087&page=4', 'body': '', 'score': 1339}, {'title': '형들아.[6]', 'date': '2026.01.02 10:43', 'views': '115', 'likes': '26', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409536445&page=14', 'body': '', 'score': 895}, {'title': '장비 계약 하고 있단다', 'date': '2026.01.02 13:07', 'views': '173', 'likes': '25', 'dislikes': '2', 'link': '/item/board_read.naver?code=042700&nid=409554828&page=3', 'body': '', 'score': 923}, {'title': '영등포 신한증권 한미공매담당팀 현재 분위기 ㅋ...', 'date': '2026.01.02 13:28', 'views': '147', 'likes': '23', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409556900&page=2', 'body': '', 'score': 837}, {'title': '오늘 147000원 구간만 벗겨내면 다음주 5...', 'date': '2026.01.02 12:45', 'views': '215', 'likes': '23', 'dislikes': '3', 'link': '/item/board_read.naver?code=042700&nid=409552586&page=4', 'body': '', 'score': 905}, {'title': '다들 매도하지 마세요 공매도 상환할 기회 주지...[1]', 'date': '2026.01.02 12:20', 'views': '159', 'likes': '23', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409549637&page=7', 'body': '', 'score': 849}, {'title': '주주는 아니지만 이 기회에 공매들', 'date': '2026.01.02 11:47', 'views': '53', 'likes': '23', 'dislikes': '0', 'link': '/item/board_read.naver?code=042700&nid=409545886&page=10', 'body': '', 'score': 743}, {'title': '오늘 공매도 제삿날이다', 'date': '2026.01.02 11:44', 'views': '48', 'likes': '22', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409545481&page=10', 'body': '', 'score': 708}, {'title': '개인 빼고 올 매수', 'date': '2026.01.02 11:18', 'views': '89', 'likes': '22', 'dislikes': '1', 'link': '/item/board_read.naver?code=042700&nid=409542375&page=12', 'body': '', 'score': 749}]"
KOSPI,068270,셀트리온,203000,21.06%,181300,21.08%,+12.15%,412,서회장 보시오[1] / [속보 주주필독] 국내 CMO중 세계1...[3] / 3시부터 21돌파시도[3] / 서진석 보거라[2],Mixed,"오늘, ■■, 공매도",False,"[{'title': '서회장 보시오[1]', 'date': '2026.01.02 11:18', 'views': '315', 'likes': '26', 'dislikes': '2', 'link': '/item/board_read.naver?code=068270&nid=409542379&page=7', 'body': '', 'score': 1095}, {'title': '[속보 주주필독] 국내 CMO중 세계1...[3]', 'date': '2026.01.02 08:31', 'views': '310', 'likes': '26', 'dislikes': '1', 'link': '/item/board_read.naver?code=068270&nid=409525329&page=20', 'body': '', 'score': 1090}, {'title': '서진석 보거라[2]', 'date': '2026.01.02 10:58', 'views': '198', 'likes': '22', 'dislikes': '3', 'link': '/item/board_read.naver?code=068270&nid=409539237&page=9', 'body': '', 'score': 858}, {'title': '오늘[1]', 'date': '2026.01.02 08:12', 'views': '169', 'likes': '21', 'dislikes': '7', 'link': '/item/board_read.naver?code=068270&nid=409524943&page=20', 'body': '', 'score': 799}, {'title': '큰거온다 해 찌?', 'date': '2026.01.02 10:58', 'views': '157', 'likes': '20', 'dislikes': '2', 'link': '/item/board_read.naver?code=068270&nid=409539297&page=9', 'body': '', 'score': 757}, {'title': '아직 31층임.ㅋ', 'date': '2026.01.02 13:19', 'views': '145', 'likes': '19', 'dislikes': '7', 'link': '/item/board_read.naver?code=068270&nid=409556047&page=2', 'body': '', 'score': 715}, {'title': '3시부터 21돌파시도[3]', 'date': '2026.01.02 12:30', 'views': '333', 'likes': '18', 'dislikes': '3', 'link': '/item/board_read.naver?code=068270&nid=409550896&page=4', 'body': '', 'score': 873}, {'title': '개미님들 이런 기회에 공매님들 혼쭐나게...[2]', 'date': '2026.01.02 12:45', 'views': '104', 'likes': '17', 'dislikes': '1', 'link': '/item/board_read.naver?code=068270&nid=409552548&page=3', 'body': '', 'score': 614}, {'title': '매동 보니', 'date': '2026.01.02 12:18', 'views': '120', 'likes': '17', 'dislikes': '3', 'link': '/item/board_read.naver?code=068270&nid=409549409&page=4', 'body': '', 'score': 630}, {'title': '오늘 혹시 횡보 조정주면[5]', 'date': '2026.01.02 08:45', 'views': '184', 'likes': '17', 'dislikes': '6', 'link': '/item/board_read.naver?code=068270&nid=409525654&page=19', 'body': '', 'score': 694}]"
KOSPI,204320,HL만도,65000,17.62%,56200,18.63%,+10.73%,135,연휴 강의 잊지마세요.원칙대로만 하세요.[5] / 광개토대왕 장중리딩[2] / 장중 썰입니다.[3] / 연휴때 배운것 잊지마세요.[3],Negative (62%),"2026년, 시총, 힘이",False,"[{'title': '광개토대왕 장중리딩[2]', 'date': '2026.01.02 10:27', 'views': '323', 'likes': '17', 'dislikes': '0', 'link': '/item/board_read.naver?code=204320&nid=409533740&page=5', 'body': '', 'score': 833}, {'title': '연휴 강의 잊지마세요.원칙대로만 하세요.[5]', 'date': '2026.01.02 11:09', 'views': '424', 'likes': '15', 'dislikes': '1', 'link': '/item/board_read.naver?code=204320&nid=409541029&page=3', 'body': '', 'score': 874}, {'title': '연휴때 배운것 잊지마세요.[3]', 'date': '2026.01.02 10:14', 'views': '302', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=204320&nid=409531151&page=6', 'body': '', 'score': 752}, {'title': '장중 썰입니다.[3]', 'date': '2026.01.02 12:09', 'views': '423', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=204320&nid=409548350&page=2', 'body': '', 'score': 753}, {'title': '목표가 30만원', 'date': '2026.01.02 12:09', 'views': '124', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=204320&nid=409548415&page=2', 'body': '', 'score': 394}, {'title': '안티.손절유도.악성단타 차단 부탁드립니다.[2]', 'date': '2026.01.02 10:43', 'views': '199', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=204320&nid=409536512&page=4', 'body': '', 'score': 469}, {'title': '2026년 내내 가서 시총 15~20조[4]', 'date': '2026.01.02 10:10', 'views': '183', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=204320&nid=409530390&page=6', 'body': '', 'score': 453}, {'title': '1차 전고점 89000원 갑니다.계정 차단하세...', 'date': '2026.01.02 10:06', 'views': '80', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=204320&nid=409529640&page=7', 'body': '', 'score': 350}, {'title': '이상한 계정들 바로 차단하세요.', 'date': '2026.01.02 10:02', 'views': '46', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=204320&nid=409528943&page=7', 'body': '', 'score': 286}, {'title': '이거 힘이 없는 이유 알려줄께[2]', 'date': '2026.01.02 10:51', 'views': '312', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=204320&nid=409537889&page=4', 'body': '', 'score': 522}]"
KOSPI,012200,계양전기,7270,1.99%,6630,1.83%,+9.65%,466,충격 계양전기가  납품하는곳[3] / 딱보면 모르세요? / 오늘은 무조건 팔고보자[2] / 현대와의 계약이라는 실체는...[1],Positive (57%),"상한가, 손바뀜, 종가는",False,"[{'title': '충격 계양전기가  납품하는곳[3]', 'date': '2026.01.02 08:37', 'views': '428', 'likes': '27', 'dislikes': '6', 'link': '/item/board_read.naver?code=012200&nid=409525470&page=24', 'body': '', 'score': 1238}, {'title': '종가는 상한가', 'date': '2026.01.02 12:47', 'views': '21', 'likes': '11', 'dislikes': '3', 'link': '/item/board_read.naver?code=012200&nid=409552807&page=6', 'body': '', 'score': 351}, {'title': '현재 주가를 보지 말고...', 'date': '2026.01.02 11:20', 'views': '34', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=012200&nid=409542667&page=15', 'body': '', 'score': 334}, {'title': '딱보면 모르세요?', 'date': '2026.01.02 13:12', 'views': '189', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=012200&nid=409555372&page=4', 'body': '', 'score': 459}, {'title': '어종상...[1]', 'date': '2026.01.02 11:43', 'views': '29', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=012200&nid=409545425&page=14', 'body': '', 'score': 269}, {'title': '안빠지네여~ㅋㅋ 곧 상한가 말아올릴듯~!!', 'date': '2026.01.02 10:36', 'views': '20', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=012200&nid=409535239&page=20', 'body': '', 'score': 260}, {'title': '오늘은 무조건 팔고보자[2]', 'date': '2026.01.02 09:15', 'views': '148', 'likes': '8', 'dislikes': '12', 'link': '/item/board_read.naver?code=012200&nid=409526533&page=23', 'body': '', 'score': 388}, {'title': '현대와의 계약이라는 실체는...[1]', 'date': '2026.01.02 09:09', 'views': '112', 'likes': '8', 'dislikes': '5', 'link': '/item/board_read.naver?code=012200&nid=409526330&page=24', 'body': '', 'score': 352}, {'title': '어 종 상', 'date': '2026.01.02 13:17', 'views': '50', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=012200&nid=409555836&page=4', 'body': '', 'score': 260}, {'title': '폭등나오겠네[1]', 'date': '2026.01.02 11:44', 'views': '119', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=012200&nid=409545494&page=14', 'body': '', 'score': 329}]"
