시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,478340,나라스페이스테크놀로지,47150,,16499,,+185.76%,702,진짜 너무하네 / 42000원에 다시 매수~~ / ㅈㅂㅈㅂ,Positive (54%),"패대기, 최초., 제2의",False
KOSPI,452260,한화갤러리아,1443,1.39%,1089,1.53%,+30.00%,126,근데 방금 상한가 사진애들 얼마나있냐... / [단독]호가아래 훼이크 받침물량 의미... / 천일고속 재료랑,Positive (53%),"이상, 상승했어요, 근데",False
KOSDAQ,317240,TS트릴리온,327,2.97%,266,3.87%,+24.81%,73,속보][[]] / 13만주 / 개잡주가,Positive (88%),"탈모, 이상, 상승했어요",False
KOSDAQ,191410,육일씨엔에쓰,3080,1.22%,2600,0.99%,+22.22%,50,상쳐서 기분좋아하는 사람아직있음? / (((  매매 마감까지 ))) / 투자경고,Positive (57%),"(((, 어제, 이상",False
KOSDAQ,330350,위더스제약,9930,1.47%,6730,2.05%,+13.62%,151,머리털 / 종가 / 방금 나온 기준선 이탈 전까진 전략 유...,Positive (78%),"탈모, 위더스, 위더스제약",False
KOSDAQ,003310,대주산업,2495,2.10%,2200,3.96%,+11.63%,97,바이오스마트도 양전  젝시믹스 / 누가 대장이야?[1] / 왜 2640은 못찍냨ㅋㅋㅋ,Positive (84%),"정원오, 단일가, 오늘",False
KOSDAQ,306040,에스제이그룹,6790,2.95%,4930,4.49%,+6.09%,71,"육일씨엔씨ㅡ상한가■ 에스제이~에이블씨엔씨 ㅡ상... / 김종인 ""서울시장? 오세훈과 붙으면 정원오 가... / 6800 /  천만원만 넣어놔본다 ㅋ",Positive (81%),"정원오, ㅋㅋ, 대장주",False
KOSDAQ,319400,현대무벡스,12590,1.02%,11650,1.36%,+5.80%,234,24년 매출 3400억인데 26년매출 60... / 어제도 최고점에서 5%빼고 점심시간에10%... / 현대무백스,Mixed,"오늘, 어제, ●로봇주",False
KOSPI,204320,HL만도,54400,21.78%,52400,23.19%,+4.21%,73,"광개토대왕.장후반 대응 / 4분기 실적 좋게 나올거라 버티고는 있는데..... / 미국,유럽,인도 등 로봇엑츄에이트시장~~~정조...",Positive (66%),"만도, 시장, HL만도",False
KOSDAQ,038500,삼표시멘트,5020,1.44%,5390,1.73%,+3.51%,269,시멘트지원[1] / 끝난듯..[1] / 내일까지 버티기만 하면 최소 500 ...[1],Positive (66%),"..., 정원오, 단타",False
KOSPI,015760,한국전력,51900,23.00%,50000,22.99%,+3.18%,45,오늘 박두환처럼이가 안보이네 / 얜또  왜 / 한국전력,Negative (75%),"오늘, 어제랑, 한국전력",False
KOSDAQ,464490,쿼드메디슨,20850,0.28%,17060,0.08%,+2.96%,156,밑에서 대기중이다 / 18800원대 재매수 해보자 / 개잡주,Positive (69%),"개잡주, 오늘, 찬티알바꾀임에",False
KOSPI,005930,삼성전자,105600,52.07%,104800,52.11%,+2.72%,477,이게 대장주잖아요[1] / 환단고기도  역사(설화)중에  하나이다... / 탈모관련주 대박,Positive (64%),"..., ㄱㄱㄱㄱㄱ, 오늘",False
KOSDAQ,0009K0,에임드바이오,73400,1.13%,70500,1.34%,+1.38%,157,속보.발표[1] / 상장 전 기술이전3조 흑자기업 삼성바이오로... / 삼성 바이오.삼성 에피ㅡ가격 장난아니네.,Negative (60%),"작정하고, 기술수출, 삼성이",False
KOSPI,001440,대한전선,23400,8.95%,24400,9.29%,-1.27%,41,대한전선은 배당 안주나요?[2] / 다날로 오시오 ~![2] / 일단 팔았습니다,Negative (83%),"공매도, 개미가, ㅋㅋㅋ",False
KOSDAQ,090710,휴림로봇,5670,2.96%,6280,4.83%,-1.73%,41,휴림 걱정마세요^^ / 클로봇은[1] / 달리자[1],Negative (57%),"로봇주, 초저평가, 휴림",False
KOSPI,034020,두산에너빌리티,75900,22.49%,77100,22.56%,-1.81%,267,어제 매수한 사모펀드 / 어제 공시알고 미리산 기관들 다파는중 / 언제,Negative (70%),"오늘, 어제, 수주공시",False
KOSDAQ,030530,원익홀딩스,33800,4.98%,37500,6.05%,-2.17%,66,아이로봇 부도   투자심리 위축 /  / 저점 찍고 올라오는거 보이시죠?[4],Positive (55%),"오늘, 어제도, 어제",False
KOSPI,249420,일동제약,37400,7.55%,40850,7.72%,-4.59%,138,박어라 박어 고점찍었다 쳐도 / ●찬티들 발악하니까 계속 떨어지죠?ㅋ... / 대놓고 겁나 팔아대네,Negative (55%),"일동, 오늘, 간독성",True
KOSPI,018880,한온시스템,3155,4.97%,3560,4.93%,-5.11%,56,형님들 배정금액이 역산해보니 기준가가 3...[2] / 이제 10억주 넘네...ㅋ[1] / 물량이  너무  많아서     유증 끝나...[1],Negative (66%),"유증가, 이제, 2830",False
KOSPI,032350,롯데관광개발,22000,17.56%,23600,17.58%,-5.98%,42,재명이가 하나는 알고 둘은 모르네.....[2] / 돈 버는 꼴을 못 보네ㅋㅋㅋ 공산당이... / 이련,Mixed,"이상, 하락했어요, 이련",False
KOSPI,034230,파라다이스,16430,9.43%,18000,9.42%,-6.01%,58,배당도 안하고 전필립 개인 사욕위한 카지노 사업... / 죄맹이가 정상적인 자라면[1] / 파라다이스주가   요것만,Mixed,"카지노, 파라다이스, 대통령",False
KOSPI,004310,현대약품,6570,1.72%,6330,1.61%,-6.54%,77,오늘 6천원 마감 예정 (어제 시초가)[2] / 탈모약은 현대약품이여 / ,Positive (60%),"오늘, 탈모, )))",False
KOSPI,217590,티엠씨,20150,2.27%,16770,2.27%,-7.57%,92,주포님 더 좀 털어야 좋을겄같은딩 개미들이 넘...[1] / 오후장 쏠듯ㅋㅋ / 프로그램 손절,Negative (56%),"ㅋㅋ, 상한가, 개미들이",False
KOSDAQ,0007C0,아크릴,61000,3.33%,67003,,-8.96%,394,인생 망했다 아...... / 아 11시땡하고 / 67500 가즈아[1],Positive (54%),"오늘, 아크릴, 어제",False
